node,af3_min_edge,af3_min_curvature,af3_min_normalized_score,orc_min_edge,orc_min_curvature,rank_score_af3_min,rank_score_af3_normalized,rank_score_orc_min,scenario_id,topology_seed
0,0-18,-4.0,0.3076923076923077,0-18,-0.11111111111111116,4.0,0.3076923076923077,0.11111111111111116,auto_000,3254350845
1,1-23,-9.0,0.375,1-23,-0.11794871794871775,9.0,0.375,0.11794871794871775,auto_000,3254350845
2,2-3,-6.0,0.2857142857142857,2-3,-0.12499999999999978,6.0,0.2857142857142857,0.12499999999999978,auto_000,3254350845
3,3-8,-12.0,0.5714285714285714,3-8,-0.3076923076923077,12.0,0.5714285714285714,0.3076923076923077,auto_000,3254350845
4,4-38,-5.0,0.25,4-16,-0.1217948717948718,5.0,0.25,0.1217948717948718,auto_000,3254350845
5,5-16,-5.0,0.29411764705882354,5-16,-0.1634615384615381,5.0,0.29411764705882354,0.1634615384615381,auto_000,3254350845
6,6-19,-4.0,0.3076923076923077,6-19,-0.0972222222222221,4.0,0.3076923076923077,0.0972222222222221,auto_000,3254350845
7,7-14,-5.0,0.19230769230769232,7-41,0.05844155844155874,5.0,0.19230769230769232,-0.05844155844155874,auto_000,3254350845
8,3-8,-12.0,0.5714285714285714,3-8,-0.3076923076923077,12.0,0.5714285714285714,0.3076923076923077,auto_000,3254350845
9,9-16,-3.0,0.16666666666666666,9-16,0.021367521367521514,3.0,0.16666666666666666,-0.021367521367521514,auto_000,3254350845
10,10-47,-2.0,0.18181818181818182,10-47,0.04999999999999982,2.0,0.18181818181818182,-0.04999999999999982,auto_000,3254350845
11,11-48,-2.0,0.4,11-48,-0.19999999999999996,2.0,0.4,0.19999999999999996,auto_000,3254350845
12,12-38,-6.0,0.2857142857142857,12-16,-0.15384615384615374,6.0,0.2857142857142857,0.15384615384615374,auto_000,3254350845
13,13-48,-4.0,0.5714285714285714,13-48,-0.2142857142857142,4.0,0.5714285714285714,0.2142857142857142,auto_000,3254350845
14,14-46,-11.0,0.55,14-27,-0.1625000000000001,11.0,0.55,0.1625000000000001,auto_000,3254350845
15,15-43,-7.0,0.5384615384615384,15-43,-0.1875,7.0,0.5384615384615384,0.1875,auto_000,3254350845
16,16-36,-7.0,0.28,5-16,-0.1634615384615381,7.0,0.28,0.1634615384615381,auto_000,3254350845
17,17-34,-5.0,0.35714285714285715,17-34,-0.21250000000000036,5.0,0.35714285714285715,0.21250000000000036,auto_000,3254350845
18,18-23,-6.0,0.3333333333333333,18-23,-0.1495726495726497,6.0,0.3333333333333333,0.1495726495726497,auto_000,3254350845
19,19-41,-6.0,0.4,19-41,-0.14772727272727249,6.0,0.4,0.14772727272727249,auto_000,3254350845
