update_probability,alpha,curvature_center,n_validation_scenarios,mean_VAoI,matched_random_mean_VAoI,fixed_random_mean_VAoI,improvement_vs_matched_random_pct,improvement_vs_fixed_random_pct,mean_broadcast_probability,actual_tx_ratio,probability_min,probability_max,probability_global_std,probability_global_variance,node_mean_probability_std,node_mean_probability_variance,mean_within_slot_probability_std,delta_vaoi_matched_mean,delta_vaoi_matched_ci95_low,delta_vaoi_matched_ci95_high,nn_beats_matched_fraction
0.05,0.1,0.4015509259807487,10,3.8689523232323224,3.946285898989898,3.977640888888888,1.9596546661094731,2.7324881429134367,0.09992193654179574,0.099858,0.09644359350204468,0.1055164560675621,0.002367109525948763,5.603207507837377e-06,0.000748956750612706,5.60936214288343e-07,0.002352735958993435,-0.07733357575757549,-0.2021495090847483,0.04748235756959732,0.7
0.05,0.2,0.4015509259807487,10,3.814632585858586,3.9442030909090904,3.977640888888888,3.2850870521639357,4.098115128634361,0.0998936228454113,0.09989600000000001,0.09300068020820618,0.11129957437515259,0.004754315596073866,2.26035167870712e-05,0.0015042510349303484,2.2627711760890242e-06,0.004724693950265646,-0.12957050505050388,-0.24072502747379895,-0.01841598262720881,0.8
0.05,0.5,0.4015509259807487,10,3.751129232323232,3.939413757575757,3.977640888888888,4.779506211817461,5.694623091752499,0.10010918453335763,0.100214,0.08332529664039612,0.1303350031375885,0.012067841365933418,0.00014563279523333375,0.0038243660237640142,1.4625775483720577e-05,0.011986253783106804,-0.18828452525252545,-0.29168948559317726,-0.08487956491187364,0.9
0.05,1.0,0.4015509259807487,10,3.7288674545454525,3.970988222222222,3.977640888888888,6.097242150501151,6.254295983288919,0.10147971287369728,0.10145600000000002,0.06921723484992981,0.1681528240442276,0.024945003911852837,0.0006222532201623533,0.007929329760372639,6.287427044873121e-05,0.024750202894210815,-0.2421207676767687,-0.3609377415419748,-0.12330379381156267,0.9
0.05,1.5,0.4015509259807487,10,3.7210776363636375,3.9827136363636355,3.977640888888888,6.56928978300537,6.450136140794716,0.10412108078598976,0.10410599999999999,0.057348430156707764,0.21424061059951782,0.038975972682237625,0.0015191264465265336,0.012428860180079937,0.00015447656537597668,0.03862491622567177,-0.26163599999999887,-0.4673048391429021,-0.055967160857095605,0.8
0.05,2.0,0.4015509259807487,10,3.760179616161616,4.043183494949495,3.977640888888888,6.999530917688759,5.467091645571291,0.10801537707448006,0.10800000000000001,0.047411128878593445,0.2688772678375244,0.05440512299537659,0.0029599174081420543,0.017400870099663734,0.0003027902802253714,0.053847093135118484,-0.2830038787878796,-0.4168540587952204,-0.14915369878053877,0.8
0.05,3.0,0.4015509259807487,10,4.211810808080807,4.291523212121211,3.977640888888888,1.8574384921246503,-5.887155872870475,0.1192694365978241,0.11929400000000001,0.03223681449890137,0.40086138248443604,0.08956876397132874,0.008022563479351597,0.028780894353985786,0.0008283398798152909,0.08845251798629761,-0.07971240404040367,-0.28324993659372794,0.1238251285129206,0.5
0.1,0.1,0.4015509259807487,10,7.686381070707069,7.821146464646463,7.904386565656566,1.723090016899275,2.758031798402916,0.09992193654179574,0.099858,0.09644359350204468,0.1055164560675621,0.002367109525948763,5.603207507837377e-06,0.000748956750612706,5.60936214288343e-07,0.002352735958993435,-0.1347653939393923,-0.38790012279126396,0.11836933491247936,0.7
0.1,0.2,0.4015509259807487,10,7.5766254545454546,7.818228262626263,7.904386565656566,3.0902501176097754,4.146572392286412,0.0998936228454113,0.09989600000000001,0.09300068020820618,0.11129957437515259,0.004754315596073866,2.26035167870712e-05,0.0015042510349303484,2.2627711760890242e-06,0.004724693950265646,-0.24160280808081014,-0.45863839331147926,-0.02456722285014104,0.8
0.1,0.5,0.4015509259807487,10,7.445808101010101,7.810524646464645,7.904386565656566,4.669552455988081,5.801569303795474,0.10010918453335763,0.100214,0.08332529664039612,0.1303350031375885,0.012067841365933418,0.00014563279523333375,0.0038243660237640142,1.4625775483720577e-05,0.011986253783106804,-0.36471654545454263,-0.560661943853034,-0.16877114705605128,0.8
0.1,1.0,0.4015509259807487,10,7.414859696969695,7.871659111111109,7.904386565656566,5.80308938298187,6.193103849624398,0.10147971287369728,0.10145600000000002,0.06921723484992981,0.1681528240442276,0.024945003911852837,0.0006222532201623533,0.007929329760372639,6.287427044873121e-05,0.024750202894210815,-0.45679941414141567,-0.6771846195634336,-0.2364142087193978,0.9
0.1,1.5,0.4015509259807487,10,7.384165111111112,7.9011689090909085,7.904386565656566,6.543383693328512,6.58142729007893,0.10412108078598976,0.10410599999999999,0.057348430156707764,0.21424061059951782,0.038975972682237625,0.0015191264465265336,0.012428860180079937,0.00015447656537597668,0.03862491622567177,-0.5170037979797982,-0.907162612104662,-0.12684498385493448,0.9
0.1,2.0,0.4015509259807487,10,7.465517050505049,8.015068141414142,7.904386565656566,6.856474345733167,5.55222738040599,0.10801537707448006,0.10800000000000001,0.047411128878593445,0.2688772678375244,0.05440512299537659,0.0029599174081420543,0.017400870099663734,0.0003027902802253714,0.053847093135118484,-0.5495510909090926,-0.8149443801871792,-0.284157801631006,0.8
