update_probability,alpha,curvature_center,n_validation_scenarios,mean_VAoI,matched_random_mean_VAoI,fixed_random_mean_VAoI,improvement_vs_matched_random_pct,improvement_vs_fixed_random_pct,mean_broadcast_probability,actual_tx_ratio,probability_min,probability_max,probability_global_std,probability_global_variance,node_mean_probability_std,node_mean_probability_variance,mean_within_slot_probability_std,delta_vaoi_matched_mean,delta_vaoi_matched_ci95_low,delta_vaoi_matched_ci95_high,nn_beats_matched_fraction
0.05,0.5,0.4012991820118967,10,2.017858343434343,2.099234181818182,2.0962443030303026,3.8764535700041716,3.7393523017639603,0.10012050420045852,0.10022,0.08333492279052734,0.13034924864768982,0.012069042772054672,0.00014566179343368513,0.003823807230219245,1.4621501733876974e-05,0.011987446807324886,-0.08137583838383855,-0.14425459490806422,-0.01849708185961288,0.8
0.05,1.0,0.4012991820118967,10,1.9425726262626264,2.0945722222222223,2.0962443030303026,7.256832414130506,7.330809512304006,0.10150252431631088,0.10148399999999999,0.0692334771156311,0.16818803548812866,0.02494986355304718,0.0006224956913156721,0.007930065505206585,6.288593891686737e-05,0.024755029007792473,-0.15199959595959595,-0.2075557028751513,-0.0964434890440406,0.9
0.05,1.2,0.4012991820118967,10,1.923080444444445,2.079775030303029,2.0962443030303026,7.534208439638462,8.2606716371529,0.10241147726774216,0.10238200000000001,0.06423693895339966,0.18561121821403503,0.030409321188926697,0.0009247268151713062,0.009677968919277191,9.366308240249532e-05,0.030157683417201042,-0.15669458585858453,-0.21689978808778337,-0.0964893836293857,0.9
0.05,1.5,0.4012991820118967,10,1.9101938383838388,2.076514363636363,2.0962443030303026,8.009601482422024,8.875418975618048,0.10415573716163636,0.10413000000000001,0.05736881494522095,0.21430417895317078,0.03898698091506958,0.0015199846808719997,0.012431779876351357,0.00015454915089405455,0.03863584250211716,-0.16632052525252475,-0.22937611625391796,-0.10326493425113155,0.9
0.05,1.8,0.4012991820118967,10,1.9056226464646464,2.069940747474747,2.0962443030303026,7.938299741698531,9.09348477608722,0.1063520610332489,0.10644,0.051194921135902405,0.2460923194885254,0.04807199165225029,0.0023109163814140216,0.015357336029410362,0.00023584776992022563,0.047602955251932144,-0.16431810101010058,-0.23455518954860977,-0.0940810124715914,0.8
0.1,0.5,0.4012991820118967,10,4.011498646464647,4.164831131313131,4.168536686868686,3.68160148668838,3.767222222098345,0.10012050420045852,0.10022,0.08333492279052734,0.13034924864768982,0.012069042772054672,0.00014566179343368513,0.003823807230219245,1.4621501733876974e-05,0.011987446807324886,-0.15333248484848516,-0.2785580654601254,-0.028106904236844893,0.8
0.1,1.0,0.4012991820118967,10,3.858843191919192,4.156380161616161,4.168536686868686,7.158560048108668,7.429309568632561,0.10150252431631088,0.10148399999999999,0.0692334771156311,0.16818803548812866,0.02494986355304718,0.0006224956913156721,0.007930065505206585,6.288593891686737e-05,0.024755029007792473,-0.2975369696969698,-0.4122081482404519,-0.18286579115348772,0.9
0.1,1.2,0.4012991820118967,10,3.8225451919191924,4.12861193939394,4.168536686868686,7.4133086850414065,8.300070766784948,0.10241147726774216,0.10238200000000001,0.06423693895339966,0.18561121821403503,0.030409321188926697,0.0009247268151713062,0.009677968919277191,9.366308240249532e-05,0.030157683417201042,-0.30606674747474777,-0.4244992547149784,-0.18763424023451716,0.9
0.1,1.5,0.4012991820118967,10,3.800176646464645,4.1229011313131325,4.168536686868686,7.827606691739919,8.83667502710034,0.10415573716163636,0.10413000000000001,0.05736881494522095,0.21430417895317078,0.03898698091506958,0.0015199846808719997,0.012431779876351357,0.00015454915089405455,0.03863584250211716,-0.32272448484848715,-0.43887609540738304,-0.20657287428959126,0.9
0.1,1.8,0.4012991820118967,10,3.7845932525252524,4.108597474747475,4.168536686868686,7.886005485171956,9.210508703279364,0.1063520610332489,0.10644,0.051194921135902405,0.2460923194885254,0.04807199165225029,0.0023109163814140216,0.015357336029410362,0.00023584776992022563,0.047602955251932144,-0.3240042222222222,-0.45619368274180705,-0.19181476170263737,0.9
0.2,0.5,0.4012991820118967,10,8.019323575757578,8.333569353535353,8.31756832323232,3.7708425339312943,3.585720439971572,0.10012050420045852,0.10022,0.08333492279052734,0.13034924864768982,0.012069042772054672,0.00014566179343368513,0.003823807230219245,1.4621501733876974e-05,0.011987446807324886,-0.3142457777777752,-0.5779686682635646,-0.05052288729198573,0.7
0.2,1.0,0.4012991820118967,10,7.7139536161616125,8.315251676767677,8.31756832323232,7.231267121908714,7.257105485803033,0.10150252431631088,0.10148399999999999,0.0692334771156311,0.16818803548812866,0.02494986355304718,0.0006224956913156721,0.007930065505206585,6.288593891686737e-05,0.024755029007792473,-0.6012980606060635,-0.8463573621964974,-0.3562387590156296,0.9
0.2,1.2,0.4012991820118967,10,7.638801191919191,8.260621979797978,8.31756832323232,7.527529880915757,8.160643891763689,0.10241147726774216,0.10238200000000001,0.06423693895339966,0.18561121821403503,0.030409321188926697,0.0009247268151713062,0.009677968919277191,9.366308240249532e-05,0.030157683417201042,-0.6218207878787864,-0.8762935606235525,-0.3673480151340203,0.9
0.2,1.5,0.4012991820118967,10,7.597708121212122,8.246506080808079,8.31756832323232,7.86754964148866,8.654695387466935,0.10415573716163636,0.10413000000000001,0.05736881494522095,0.21430417895317078,0.03898698091506958,0.0015199846808719997,0.012431779876351357,0.00015454915089405455,0.03863584250211716,-0.6487979595959588,-0.8918910344082771,-0.4057048847836404,0.9
0.2,1.8,0.4012991820118967,10,7.56667305050505,8.218546242424242,8.31756832323232,7.93173357782201,9.027822117552052,0.1063520610332489,0.10644,0.051194921135902405,0.2460923194885254,0.04807199165225029,0.0023109163814140216,0.015357336029410362,0.00023584776992022563,0.047602955251932144,-0.6518731919191932,-0.9194338073531119,-0.38431257648527467,0.8
