source,version,generation_slot,completion_slot,delay,completed
0,1,0,,,False
9,1,0,20,20,True
7,1,1,13,12,True
1,1,3,20,17,True
12,1,4,20,16,True
15,1,4,23,19,True
0,2,8,,,False
4,1,8,20,12,True
9,2,10,39,29,True
9,3,13,39,26,True
8,1,15,39,24,True
10,1,15,28,13,True
9,4,17,39,22,True
9,5,21,,,False
9,6,22,,,False
14,1,22,,,False
3,1,23,,,False
15,2,23,39,16,True
1,2,24,39,15,True
13,1,25,,,False
0,3,26,,,False
13,2,27,,,False
5,1,28,39,11,True
14,2,28,,,False
3,2,29,,,False
12,2,29,39,10,True
2,1,32,,,False
13,3,32,,,False
14,3,32,,,False
12,3,34,,,False
0,4,35,,,False
3,3,37,,,False
8,2,39,,,False
