source,version,generation_slot,completion_slot,delay,completed
0,1,0,35,35,True
9,1,0,,,False
7,1,1,10,9,True
1,1,3,,,False
12,1,4,,,False
15,1,4,,,False
0,2,8,35,27,True
4,1,8,,,False
9,2,10,,,False
9,3,13,,,False
8,1,15,36,21,True
10,1,15,35,20,True
9,4,17,,,False
9,5,21,,,False
9,6,22,,,False
14,1,22,,,False
3,1,23,35,12,True
15,2,23,,,False
1,2,24,,,False
13,1,25,36,11,True
0,3,26,,,False
13,2,27,,,False
5,1,28,,,False
14,2,28,,,False
3,2,29,,,False
12,2,29,,,False
2,1,32,,,False
13,3,32,,,False
14,3,32,,,False
12,3,34,,,False
0,4,35,,,False
3,3,37,,,False
8,2,39,,,False
