episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,alpha_raw,alpha_kappa,q_base_mean,q_base_std,q_base_min,q_base_max,corr_s_kappa_q_base,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,12.816293542146683,0.10395999978482723,0.10197999989241362,0.1,0.0019799998924136114,0.01979999694413642,0.0,0.10204628109931946,0.0,0.0,False,-4.4921875996806193e-07,465.9549560546875,0.3293398320674896,-1.4379024193544865e-08,0.0,4.882812376649781e-08,0.9999997615814209,4.223300457000732,0.0,0.0,0.0,1.1671792208289844e-06,0.0,0.0,100,0.2,0.146,0.0,970,-1.0492140054702759,0.30026230216026306,0.10204628109931946,0.006341979373246431,0.0896683931350708,0.11735806614160538,0.9993636337579078,0.10204628109931946,0.006341979373246431,0.0896683931350708,0.09377386868000064,0.10187950730323792,0.1103745698928833,0.11735806614160538,0.006341979373246431,0.006341979373246431,0.006341989152133465
1,23.759799598649145,0.0986999997086823,0.10033999980054796,0.1,0.00033999980054795487,0.003399997665479782,0.0,0.09980706125497818,0.0,0.0,False,-1.56249996052793e-07,1755.45849609375,0.324271023273468,-1.5911773232346604e-07,0.0,6.103515914901436e-08,0.9999998807907104,2.5817666053771973,0.0,0.0,0.0,0.0001848926767706871,0.0,0.0,100,0.2,0.146,0.0,904,-1.0483394861221313,0.3004891872406006,0.09980706125497818,0.008417737670242786,0.08965981006622314,0.11737436056137085,0.9992655095364793,0.09980706125497818,0.008417737670242786,0.08965981006622314,0.08965981006622314,0.09836450219154358,0.11737436056137085,0.11737436056137085,0.008417737670242786,0.008417737670242786,0.008417646400630474
2,12.009230322748422,0.09786000006273389,0.09909999993164093,0.1,-0.0009000000683590803,-0.008999999783590824,0.0,0.10010497272014618,0.0,0.0,False,1.1718749703959475e-07,401.90997314453125,0.3250178098678589,-3.141000703976715e-08,0.0,-3.5156250532963895e-07,0.9999997615814209,4.49367618560791,0.0,0.0,0.0,0.00010611300240270793,0.0,0.0,100,0.2,0.142,0.0,1070,-1.0472880601882935,0.3007621765136719,0.10010497272014618,0.007358405273407698,0.089652419090271,0.11738839745521545,0.9992472005387611,0.10010497272014618,0.007358405273407698,0.089652419090271,0.09119704365730286,0.09895649552345276,0.10933209955692041,0.11738839745521545,0.007358404342085123,0.007358405273407698,0.0073584457859396935
3,13.270172138154507,0.09823999989405274,0.09866999991284683,0.1,-0.0013300000871531714,-0.01329999954153176,0.0,0.09974250942468643,0.0,0.0,False,2.636718647863745e-07,493.1412353515625,0.32423511147499084,7.74508706058441e-08,0.0,-1.9531249506599124e-07,0.9999998211860657,4.391891002655029,0.0,0.0,0.0,5.721954948967323e-05,0.0,0.0,100,0.2,0.138,0.0,1058,-1.0463021993637085,0.3010183870792389,0.09974250942468643,0.007129761390388012,0.0896434485912323,0.11740529537200928,0.999248634071602,0.09974250942468643,0.007129761390388012,0.0896434485912323,0.0896434485912323,0.09939953684806824,0.10857645869254771,0.11740529537200928,0.007129760924726725,0.007129761390388012,0.007129800971597433
4,15.329947131454945,0.0989799997843802,0.09882499984861351,0.1,-0.001175000151386496,-0.011750000338864926,0.0,0.10070788115262985,0.0,0.0,False,8.593750067120709e-07,677.0301513671875,0.3263499140739441,3.119438929388707e-08,0.0,-1.8554688097083272e-07,0.9999998807907104,3.5685174465179443,0.0,0.0,0.0,0.00014265133359003812,0.0,0.0,100,0.2,0.134,0.0,940,-1.0460166931152344,0.30109259486198425,0.10070788115262985,0.007183115463703871,0.08963501453399658,0.11742118000984192,0.9994864513541846,0.10070788115262985,0.007183115463703871,0.08963501453399658,0.08963501453399658,0.10144490003585815,0.1083810031414032,0.11742118000984192,0.007183114532381296,0.007183115463703871,0.007183029782027006
5,15.902740772336722,0.10061999994143844,0.09972249989502598,0.1,-0.00027750010497402944,-0.002775000772240217,0.0,0.10097745060920715,0.0,0.0,False,6.24999984211172e-07,731.28955078125,0.3269912898540497,9.156614133587482e-09,0.0,-1.8066405971239874e-07,0.9999998807907104,3.4408886432647705,0.0,0.0,0.0,0.00010704976739361882,0.0,0.0,100,0.2,0.148,0.0,954,-1.0463120937347412,0.3010157346725464,0.10097745060920715,0.006540111266076565,0.08963266015052795,0.11742576956748962,0.999261462788035,0.10097745060920715,0.006540111266076565,0.08963266015052795,0.09208720028400438,0.10046818852424622,0.10771679580211205,0.11742576956748962,0.006540112197399139,0.006540111266076565,0.006540043279528618
6,13.417943429529666,0.09899999994784593,0.09936124992143595,0.1,-0.0006387500785640515,-0.006387500146890501,0.0,0.0998963862657547,0.0,0.0,False,-4.98046858865564e-07,500.95709228515625,0.32465121150016785,-2.538517129835327e-08,0.0,-1.6113281731122697e-07,0.9999998807907104,4.148366928100586,0.0,0.0,0.0,9.888399654300883e-05,0.0,0.0,100,0.2,0.14,0.0,1064,-1.046893835067749,0.3008646070957184,0.0998963862657547,0.006097587291151285,0.08963516354560852,0.11742100119590759,0.9993133576672609,0.0998963862657547,0.006097587291151285,0.08963516354560852,0.0927533209323883,0.09880334511399269,0.10628168880939391,0.11742100119590759,0.006097587291151285,0.006097587291151285,0.006097589153796434
7,14.213411513745784,0.1019200000204146,0.10064062497092527,0.1,0.0006406249709252632,0.006406249068627724,0.0,0.09877467900514603,0.0,0.0,False,4.199218608391675e-07,557.02490234375,0.3219897747039795,-4.379004181487289e-08,0.0,-1.416015606992005e-07,0.9999998211860657,4.408542633056641,0.0,0.0,0.0,0.00011619673750828952,0.0,0.0,100,0.2,0.156,0.01,976,-1.0476852655410767,0.3006590008735657,0.09877467900514603,0.008433406241238117,0.08964011073112488,0.11741164326667786,0.9994161558497499,0.09877467900514603,0.008433406241238117,0.08964011073112488,0.08964011073112488,0.096549391746521,0.11169087886810303,0.11741164326667786,0.008433407172560692,0.008433406241238117,0.008433477021753788
8,17.40008890476823,0.09909999990835786,0.09987031243964156,0.1,-0.00012968756035844353,-0.001296875473896888,0.0,0.09920378774404526,0.0,0.0,False,-2.1484375167801772e-07,865.6589965820312,0.32309797406196594,8.705705489830962e-09,0.0,1.6113281731122697e-07,0.9999998807907104,3.542290210723877,0.0,0.0,0.0,7.505078428948764e-06,0.0,0.0,100,0.2,0.14,0.0,922,-1.0483499765396118,0.3004864454269409,0.09920378774404526,0.006465164478868246,0.0896468460559845,0.11739897727966309,0.9993566909441933,0.09920378774404526,0.006465164478868246,0.0896468460559845,0.0896468460559845,0.09995803236961365,0.10633045732974833,0.11739897727966309,0.006465164478868246,0.006465164478868246,0.006465237587690353
9,13.502327281057834,0.09907999991998076,0.09947515617981116,0.1,-0.0005248438201888445,-0.005248437677044677,0.0,0.09949147701263428,0.0,0.0,False,2.4414063659605745e-07,494.2584228515625,0.32370612025260925,-2.546668120828599e-08,0.0,3.5644532658807293e-07,0.9999998211860657,4.524850845336914,0.0,0.0,0.0,1.16351802716963e-05,0.0,0.0,100,0.2,0.134,0.0,972,-1.0487653017044067,0.300378680229187,0.09949147701263428,0.006849019788205624,0.08965253829956055,0.11738824844360352,0.9992298121490132,0.09949147701263428,0.006849019788205624,0.08965253829956055,0.09095165133476257,0.09928420186042786,0.10795385837554865,0.11738824844360352,0.006849019788205624,0.006849019788205624,0.006849060766398907
