episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.997541932240129,0.16312500059604645,0.1565625002980232,0.15,0.006562500298023216,0.04374999907015484,0.0,0.16096216440200806,0.0,0.0,False,-7.165527222241508e-06,179.27163696289062,0.43908876180648804,-1.0523114724492189e-05,0.0,-1.2207031829802872e-07,0.9999997019767761,4.087253093719482,0.0,0.0,0.0,0.00188269407954067,0.0,0.0,100,0.2,0.26,0.03,970,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.16096216440200806,0.031174613162875175,0.10533541440963745,0.24244913458824158,0.0,0.0,0.0,0.0,0.16096216440200806,0.031174613162875175,0.9949823773180364,0.16096216440200806,0.031174613162875175,0.10533541440963745,0.12185349464416527,0.1585961878299713,0.20260882377624512,0.24244913458824158,0.031174609437584877,0.031174613162875175,0.031174564734101295
1,6.746223247759044,0.14777500017546116,0.1521687502367422,0.15,0.0021687502367422062,0.01445833394772578,0.0,0.1488655060529709,0.0,0.0,False,4.882812376649781e-08,123.1177749633789,0.418241024017334,2.914872538894997e-06,0.0,-7.324219097881723e-08,0.9999995231628418,5.0747480392456055,0.0,0.0,0.0,0.0012523718178272247,0.0,0.0,100,0.2,0.27,0.04,1032,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.14778505265712738,0.028450559824705124,0.10533541440963745,0.24244913458824158,0.00862921867519617,0.0007765105692669749,0.0036178964655846357,0.011034560389816761,0.1488655060529709,0.028599055483937263,0.9949409694951564,0.1488655060529709,0.028599055483937263,0.10569146275520325,0.11427221596241001,0.14790886640548706,0.1815501540899277,0.24430233240127563,0.028599021956324577,0.028599055483937263,0.02859889529645443
2,7.265712357647717,0.14940000046044588,0.15078437534859404,0.15,0.0007843753485940463,0.005229168642015733,0.0,0.15297038853168488,0.0,0.0,False,-8.15429666545242e-06,141.81845092773438,0.4258723258972168,1.537298521725461e-05,0.0,-6.103515914901436e-08,0.9999995231628418,4.927972793579102,0.0,0.0,0.0,0.003423502203077078,0.0,0.0,100,0.2,0.2675,0.02,1092,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15142542123794556,0.027188554406166077,0.10533541440963745,0.24244913458824158,0.012049682438373566,0.0008078216342255473,0.004638398997485638,0.01395987719297409,0.15297038853168488,0.027402488514780998,0.9938590885976557,0.15297038853168488,0.027402488514780998,0.10586097836494446,0.11628216430544853,0.15102629363536835,0.18209839165210723,0.24492233991622925,0.027402363717556,0.027402488514780998,0.027402300387620926
3,7.745590154454112,0.15137500016018748,0.15107968775439076,0.15,0.001079687754390768,0.007197917882743928,0.0,0.15266157686710358,0.0,0.0,False,-3.6621094068323146e-07,161.7384796142578,0.4236542880535126,7.363056283793412e-06,0.0,0.0,0.9999995827674866,4.5459818840026855,0.0,0.0,0.0,0.0009687855490483344,0.0,0.0,100,0.2,0.295,0.05,1058,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.1503824144601822,0.03418542817234993,0.10533541440963745,0.24244913458824158,0.017896631732583046,0.0013072883011773229,0.006011135410517454,0.020498191937804222,0.15266157686710358,0.03459351882338524,0.9938976307148767,0.15266157686710358,0.03459351882338524,0.10590329766273499,0.1070873111486435,0.14909280836582184,0.195624819397913,0.24611559510231018,0.03459321707487106,0.03459351882338524,0.034593116492033005
4,7.487253780961037,0.15570000050589441,0.1533898441301426,0.15,0.003389844130142594,0.022598959361020004,0.0,0.15473267436027527,0.0,0.0,False,-1.3922119251219556e-05,147.14476013183594,0.42906680703163147,-1.0339075515730656e-06,0.0,5.615234499600774e-07,0.9999996423721313,5.270206451416016,0.0,0.0,0.0,0.004125750157982111,0.0,0.0,100,0.2,0.245,0.01,1008,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15178966522216797,0.02669816091656685,0.10533541440963745,0.19951972365379333,0.02284090220928192,0.0017362989019602537,0.00798824429512024,0.027421293780207634,0.15473267436027527,0.027099866420030594,0.9970230355339135,0.15473267436027527,0.027099866420030594,0.10619914531707764,0.10777808129787445,0.15954270958900452,0.1843633651733388,0.20382055640220642,0.027099333703517914,0.027099866420030594,0.027098972350358963
5,7.3939552891999485,0.15875000035390258,0.1560699222420226,0.15,0.006069922242022602,0.040466145582407645,0.0,0.159197598695755,0.0,0.0,False,5.541992322832812e-06,142.64666748046875,0.4356333017349243,2.425206503176014e-06,0.0,1.9531249506599124e-07,0.9999995827674866,5.08388614654541,0.0,0.0,0.0,0.002900236751884222,0.0,0.0,100,0.2,0.29,0.03,1162,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15526457130908966,0.030214743688702583,0.10533541440963745,0.24244913458824158,0.02994554117321968,0.0024393810890614986,0.010411370545625687,0.037133049219846725,0.159197598695755,0.030773473903536797,0.9958864002816893,0.159197598695755,0.030773473903536797,0.10644194483757019,0.12276714444160461,0.15308989584445953,0.20524378418922423,0.24874556064605713,0.03077278658747673,0.030773473903536797,0.030771885067224503
6,6.5685580772161485,0.15422500021755695,0.15514746122978978,0.15,0.00514746122978979,0.03431640591083821,0.0,0.15546345710754395,0.0,0.0,False,-4.0832519516698085e-06,109.27954864501953,0.42781293392181396,-2.0626036985049723e-06,0.0,-2.0751953400122147e-07,0.9999995231628418,5.599179267883301,0.0,0.0,0.0,0.003655626205727458,0.0,0.0,100,0.2,0.2775,0.06,998,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.1510867476463318,0.03206869214773178,0.10533541440963745,0.24244913458824158,0.03407973051071167,0.003054286353290081,0.012571060098707676,0.04265514761209488,0.15546345710754395,0.032716576009988785,0.9939766556161697,0.15546345710754395,0.032716576009988785,0.10657522082328796,0.12392753958702088,0.14825454354286194,0.19569578468799206,0.2500497102737427,0.03271571174263954,0.032716576009988785,0.03271428868174553
7,6.418662884905935,0.15830000050365925,0.15672373086672453,0.15,0.006723730866724537,0.044824869456505614,0.0,0.1593465656042099,0.0,0.0,False,-2.3803710291758762e-07,102.31507110595703,0.43457645177841187,-2.446228336339118e-06,0.0,0.0,0.9999995231628418,6.036378860473633,0.0,0.0,0.0,0.0009935185080394149,0.0,0.0,100,0.2,0.2475,0.02,914,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15527722239494324,0.03024805150926113,0.10533541440963745,0.24244913458824158,0.030986160039901733,0.002948203356936574,0.011492333374917507,0.039293546229600906,0.1593465656042099,0.03080536052584648,0.9948408126765488,0.1593465656042099,0.03080536052584648,0.10653117299079895,0.1253802865743637,0.15377676486968994,0.19252034723758454,0.24940139055252075,0.030804520472884178,0.03080536052584648,0.03080298751592636
8,6.813591663576663,0.15712500028312207,0.15692436557492329,0.15,0.006924365574923291,0.04616243408865967,0.0,0.1562962681055069,0.0,0.0,False,-7.208252100099344e-06,115.24598693847656,0.4265817403793335,2.8176448267913656e-06,0.0,-6.103515914901436e-08,0.9999995827674866,5.610141277313232,0.0,0.0,0.0,0.00342555227689445,0.0,0.0,100,0.2,0.2675,0.09,944,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15270771086215973,0.04007883742451668,0.10533541440963745,0.24244913458824158,0.027898812666535378,0.0027295006439089775,0.00947444885969162,0.03534306213259697,0.1562962681055069,0.0407797247171402,0.9950529491016196,0.1562962681055069,0.0407797247171402,0.106231689453125,0.10798078775405884,0.1494838446378708,0.20807624757289883,0.24885627627372742,0.040779098868370056,0.0407797247171402,0.04077828675508499
9,7.026872721854597,0.15397500053048133,0.1554496830527023,0.15,0.005449683052702298,0.03633121792926746,0.0,0.15197893977165222,0.0,0.0,False,3.363037194503704e-06,121.67668151855469,0.4215579032897949,3.0241290005506016e-06,0.0,1.2207030941624453e-08,0.9999997019767761,5.5105085372924805,0.0,0.0,0.0,0.0037233985494822264,0.0,0.0,100,0.2,0.2825,0.04,972,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.1490541696548462,0.0330817848443985,0.10533541440963745,0.24244913458824158,0.023113436996936798,0.0022806895431131124,0.008001986891031265,0.0294168833643198,0.15197893977165222,0.033564578741788864,0.9937893333471762,0.15197893977165222,0.033564578741788864,0.1060919463634491,0.11266531944274903,0.1491059809923172,0.19363302588462827,0.24779221415519714,0.0335640013217926,0.033564578741788864,0.033563364297151566
10,6.907711111493409,0.16037500048987569,0.157912341771289,0.15,0.007912341771288994,0.052748941625330524,0.052748941625330524,0.15969665348529816,0.0,0.0,False,-6.591797045985004e-07,115.77960968017578,0.4344310462474823,-8.111844067570928e-07,0.0,-3.906249901319825e-07,0.9999995827674866,5.713770866394043,0.0,0.0,0.0,0.0011727611999958754,0.0,0.0,100,0.2,0.2825,0.05,924,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15685752034187317,0.03625192865729332,0.10533541440963745,0.24244913458824158,0.021559912711381912,0.002099117264151573,0.00818290188908577,0.027652665972709656,0.15969665348529816,0.03673602640628815,0.9950296912932793,0.15969665348529816,0.03673602640628815,0.10617628693580627,0.12271502315998127,0.1499912291765213,0.20697833299636836,0.2473934292793274,0.036735523492097855,0.03673602640628815,0.03673500940203667
11,6.602425261288881,0.15162499996833503,0.154768670869812,0.15,0.004768670869812003,0.03179113701267089,0.0,0.15379655361175537,0.0,0.0,False,-5.432128773463774e-07,103.68041229248047,0.426067590713501,3.075629365412169e-06,0.0,4.882812376649781e-08,0.9999995827674866,5.710110187530518,0.0,0.0,0.0,0.0008488575113005936,0.0,0.0,100,0.2,0.2375,0.01,904,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.1509222835302353,0.028948327526450157,0.10533541440963745,0.20260882377624512,0.02241942100226879,0.002436126349493861,0.008829770609736443,0.02926577627658844,0.15379655361175537,0.02938912622630596,0.9971158197735706,0.15379655361175537,0.02938912622630596,0.10620149970054626,0.1078700602054596,0.1544104516506195,0.19352273344993584,0.20730704069137573,0.029388509690761566,0.02938912622630596,0.029387539252638817
12,6.657615397274494,0.15680000018328427,0.15578433552654813,0.15,0.00578433552654814,0.03856223427283865,0.0,0.15706247091293335,0.0,0.0,False,-1.1718750556610757e-06,103.94252014160156,0.43088603019714355,-1.1599106528592529e-06,0.0,-2.19726558725597e-07,0.9999995231628418,5.916670322418213,0.0,0.0,0.0,0.0007762524764984846,0.0,0.0,100,0.2,0.265,0.06,1002,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15400858223438263,0.032872673124074936,0.10533541440963745,0.24244913458824158,0.02350194938480854,0.0028295665979385376,0.009007783606648445,0.03164626657962799,0.15706247091293335,0.033336952328681946,0.9945403821132077,0.15706247091293335,0.033336952328681946,0.10618731379508972,0.11930080950260162,0.15228481590747833,0.1968577742576551,0.24830874800682068,0.033336341381073,0.033336952328681946,0.03333500027656555
13,7.117210606485605,0.15437500015832484,0.15507966784243649,0.15,0.005079667842436492,0.03386445002527994,0.0,0.1533641368150711,0.0,0.0,False,-9.057616807695013e-06,118.24093627929688,0.4249383211135864,2.592125383671373e-06,0.0,2.0751953400122147e-07,0.9999995827674866,5.793850898742676,0.0,0.0,0.0,0.005589073523879051,0.0,0.0,100,0.2,0.2525,0.03,954,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.1502315104007721,0.02796235680580139,0.10533541440963745,0.24244913458824158,0.024513287469744682,0.0034292011987417936,0.009843596257269382,0.03470759093761444,0.1533641368150711,0.028401421383023262,0.9940974842990132,0.1533641368150711,0.028401421383023262,0.10634413361549377,0.11363478899002075,0.14814189076423645,0.18859224319458,0.24882182478904724,0.028400558978319168,0.028401421383023262,0.028398126363754272
14,7.3949742491543295,0.1477250000461936,0.15140233394431504,0.15,0.0014023339443150484,0.009348892338840835,0.0,0.14844951033592224,0.0,0.0,False,-1.4129638657323085e-05,128.47787475585938,0.41626349091529846,-1.9594722289184574e-06,0.0,1.4648438195763447e-07,0.9999997019767761,5.287914752960205,0.0,0.0,0.0,0.004188912454992533,0.0,0.0,100,0.2,0.23,0.02,952,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.1458718329668045,0.02568650245666504,0.10533541440963745,0.24244913458824158,0.020684806630015373,0.003615044755861163,0.008802676573395729,0.03161622956395149,0.14844951033592224,0.026012422516942024,0.9942917464399089,0.14844951033592224,0.026012422516942024,0.10616782307624817,0.1215419590473175,0.14659585058689117,0.17981894314289093,0.24808135628700256,0.026011673733592033,0.026012422516942024,0.026008624583482742
15,7.50330858822912,0.15675000032410025,0.15407616713420763,0.15,0.004076167134207637,0.02717444574975453,0.0,0.153793066740036,0.0,0.0,False,5.072021394880721e-06,130.98037719726562,0.42517679929733276,1.2497838724812027e-05,0.0,-9.765624753299562e-08,0.9999995827674866,5.232339859008789,0.0,0.0,0.0,0.002347838832065463,0.0,0.0,100,0.2,0.2575,0.04,1058,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15207315981388092,0.029345817863941193,0.10533541440963745,0.24244913458824158,0.01339712180197239,0.0030265054665505886,0.006660251412540674,0.02278679981827736,0.153793066740036,0.029578402638435364,0.9953009600913695,0.153793066740036,0.029578402638435364,0.10598644614219666,0.12108628153800964,0.14699476957321167,0.19559485614298963,0.246583491563797,0.02957805246114731,0.029578402638435364,0.02957594022154808
16,6.935052012167871,0.15050000042654574,0.15228808378037667,0.15,0.0022880837803766763,0.015253890852251786,0.0,0.15313151478767395,0.0,0.0,False,-2.7099608814751264e-06,106.7627944946289,0.424498975276947,-5.444659109343775e-06,0.0,-7.324219097881723e-08,0.9999996423721313,5.7486395835876465,0.0,0.0,0.0,0.001590644707903266,0.0,0.0,100,0.2,0.2775,0.03,1010,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15196572244167328,0.028956476598978043,0.10533541440963745,0.24244913458824158,0.009094607084989548,0.0028847355861216784,0.0036711348220705986,0.018460476770997047,0.15313151478767395,0.029110336676239967,0.9943572718647783,0.15313151478767395,0.029110336676239967,0.10570266842842102,0.12092354893684387,0.15032318234443665,0.1971076488494873,0.2457498013973236,0.02911003679037094,0.029110336676239967,0.029108045622706413
17,8.324423217773438,0.15105000040493904,0.15166904209265786,0.15,0.001669042092657863,0.011126946542589318,0.0,0.1499018371105194,0.0,0.0,False,9.887695568977506e-07,160.0371551513672,0.41880786418914795,1.5553054026895552e-06,0.0,-3.6621094068323146e-07,0.9999997019767761,5.2656168937683105,0.0,0.0,0.0,0.0015907983761280775,0.0,0.0,100,0.2,0.2625,0.02,962,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.14917221665382385,0.0295562781393528,0.10533541440963745,0.24244913458824158,0.005781704559922218,0.0025446934159845114,0.0018191642593592405,0.015175753273069859,0.1499018371105194,0.029669078066945076,0.99449637478981,0.1499018371105194,0.029669078066945076,0.10550963878631592,0.10595443844795227,0.15002816915512085,0.18728116750717164,0.24497640132904053,0.02966885082423687,0.029669078066945076,0.029667383059859276
18,8.413582557551562,0.1468000002298504,0.14923452116125413,0.15,-0.0007654788387458644,-0.005103191918092969,0.0,0.1470552384853363,0.0,0.0,False,-8.483886517751671e-07,161.06622314453125,0.41494378447532654,3.133658310616738e-07,0.0,2.9296876391526894e-07,0.9999997615814209,5.091057300567627,0.0,0.0,0.0,0.000948009779676795,0.0,0.0,100,0.2,0.24,0.01,1032,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.14653538167476654,0.0255214162170887,0.10533541440963745,0.20968934893608093,0.004181821830570698,0.0026003369130194187,0.00048066177987493575,0.013695122674107552,0.1470552384853363,0.025586988776922226,0.9969473988255428,0.1470552384853363,0.025586988776922226,0.10540521144866943,0.11693674921989447,0.14432504773139954,0.1856900066137298,0.21186131238937378,0.025586698204278946,0.025586988776922226,0.025585036724805832
19,7.191447734571994,0.15217500028200448,0.1507047607216293,0.15,0.0007047607216293106,0.004698404497635105,0.0,0.15218061208724976,0.0,0.0,False,-8.056640581344254e-07,108.18592071533203,0.4235002100467682,6.15371959611366e-07,0.0,-2.4414061883248905e-08,0.9999997019767761,6.295772552490234,0.0,0.0,0.0,0.0005480441614054143,0.0,0.0,100,0.2,0.2575,0.02,914,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.1516050100326538,0.028144819661974907,0.10533541440963745,0.24244913458824158,0.0045020622201263905,0.0029157535172998905,0.00019292229262646288,0.013679726980626583,0.15218061208724976,0.02822382003068924,0.9955484307849072,0.15218061208724976,0.02822382003068924,0.10537084937095642,0.12003295123577118,0.14476902782917023,0.18888775706290742,0.24459302425384521,0.028223514556884766,0.02822382003068924,0.028221435844898224
20,6.370843682028354,0.15402500050142406,0.1523648806115267,0.15,0.002364880611526704,0.01576586969245338,0.0,0.15451616048812866,0.0,0.0,False,-1.6845702930368134e-06,80.45780944824219,0.4276584982872009,7.195286144678903e-08,0.0,2.3193359766082722e-07,0.9999997019767761,6.436550617218018,0.0,0.0,0.0,0.001249642693437636,0.0,0.0,100,0.2,0.2225,0.0,1010,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15389616787433624,0.027414755895733833,0.10533541440963745,0.20260882377624512,0.004784260410815477,0.0031652317848056555,1.8611141058499925e-05,0.014794577844440937,0.15451616048812866,0.027500778436660767,0.9969332305896048,0.15451616048812866,0.027500778436660767,0.10534647107124329,0.11569441854953766,0.1498011350631714,0.1940271466970412,0.2048892080783844,0.027500424534082413,0.027500778436660767,0.0274977944791317
21,7.16953713003546,0.15847500030882655,0.15541994046017663,0.15,0.005419940460176631,0.03613293399231528,0.0,0.15786617994308472,0.0,0.0,False,-1.0864257546927547e-06,104.98916625976562,0.4316560924053192,1.9078571256159194e-07,0.0,-7.324219097881723e-08,0.9999996423721313,6.023204803466797,0.0,0.0,0.0,0.001382399583235383,0.0,0.0,100,0.2,0.2725,0.03,894,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15716403722763062,0.03555307164788246,0.10533541440963745,0.24244913458824158,0.005339787807315588,0.003272682661190629,-0.0002505463780835271,0.016347486525774002,0.15786617994308472,0.03568029776215553,0.9954147446708959,0.15786617994308472,0.03568029776215553,0.10534191131591797,0.11491419076919578,0.15012001991271973,0.20527385026216488,0.24522888660430908,0.03568001091480255,0.03568029776215553,0.035677772015333176
22,7.681029287911952,0.1497250002808869,0.15257247037053176,0.15,0.0025724703705317653,0.017149801326891683,0.0,0.15086406469345093,0.0,0.0,False,-9.216308171744458e-06,120.95681762695312,0.42049935460090637,3.052270358239184e-06,0.0,1.8310547034161573e-07,0.9999997019767761,5.9177069664001465,0.0,0.0,0.0,0.0039252424612641335,0.0,0.0,100,0.2,0.2375,0.03,848,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15001019835472107,0.033602043986320496,0.10533541440963745,0.24244913458824158,0.006709802430123091,0.0036778533831238747,0.00043420129804871976,0.01869693398475647,0.15086406469345093,0.03377508744597435,0.9951635330369591,0.15086406469345093,0.03377508744597435,0.10537633299827576,0.10586976408958436,0.14671917259693146,0.2007495552301407,0.24583700299263,0.03377468138933182,0.03377508744597435,0.03377193585038185
23,6.9687641475722195,0.1516250001359731,0.15209873525325243,0.15,0.0020987352532524373,0.013991567422245088,0.0,0.15035636723041534,0.0,0.0,False,2.6153563794650836e-06,93.59224700927734,0.42108359932899475,-3.7309732192625233e-07,0.0,-1.9531249506599124e-07,0.9999997615814209,6.386659622192383,0.0,0.0,0.0,0.0063444748520851135,0.0,0.0,100,0.2,0.25,0.02,1040,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.14885874092578888,0.024768684059381485,0.10533541440963745,0.24244913458824158,0.011804540641605854,0.004216438625007868,0.0035552566405385733,0.02482069842517376,0.15035636723041534,0.02498737908899784,0.9931112086442009,0.15035636723041534,0.02498737908899784,0.1056913360953331,0.12102045118808746,0.15037186443805695,0.17462979853153227,0.24658316373825073,0.02498636022210121,0.02498737908899784,0.024981850758194923
24,6.560636856518686,0.15515000015497207,0.15362436770411225,0.15,0.003624367704112258,0.024162449749918404,0.0,0.15229693055152893,0.0,0.0,False,6.958007929824817e-07,78.59841918945312,0.4226378798484802,4.28321118306485e-06,0.0,-1.2207031829802872e-07,0.9999995827674866,6.698081970214844,0.0,0.0,0.0,0.0013771374942734838,0.0,0.0,100,0.2,0.2325,0.02,912,curvature_stage2_residual_v1,True,0.5413248538970947,0.9999999403953552,1.0,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.15079966187477112,0.0306945089250803,0.10533541440963745,0.24244913458824158,0.011696957051753998,0.004175583831965923,0.002910397481173277,0.024631137028336525,0.15229693055152893,0.030969595536589622,0.9947307914010091,0.15229693055152893,0.030969595536589622,0.10565149784088135,0.1065868854522705,0.1506778597831726,0.18991966247558592,0.2467162311077118,0.03096877783536911,0.030969595536589622,0.030965181067585945
