episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,alpha_raw,alpha_kappa,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.174492729187012,0.11557999963313341,0.1077899998165667,0.1,0.007789999816566695,0.07789999037566792,0.07789999037566792,0.11421428620815277,0.0,0.0,False,-3.168945340803475e-06,141.59690856933594,0.34989407658576965,-4.468893621378811e-06,0.0,-4.785156306752469e-07,0.9999995231628418,5.331498622894287,0.0,0.0,0.0,0.0008806869736872613,0.0,0.0,100,0.2,0.23,0.14,970,1.2475175857543945,1.5000001192092896,0.11421428620815277,0.03525519371032715,0.057348430156707764,0.21424061059951782,0.0,0.0,0.0,0.0,0.11421428620815277,0.03525519371032715,0.9853881835453392,0.11421428620815277,0.03525519371032715,0.057348430156707764,0.0722202420234693,0.10971373319625854,0.16169032454490662,0.21424061059951782,0.03525519743561745,0.03525519371032715,0.03525528684258461
1,7.861927476450801,0.10513999976590276,0.10646499979123472,0.1,0.006464999791234716,0.06464999144734801,0.06464999144734801,0.10570167005062103,0.0,0.0,False,-3.0419921586144483e-06,170.10948181152344,0.32677143812179565,4.117273874726379e-06,0.0,-3.5644532658807293e-07,0.9999995827674866,4.863582134246826,0.0,0.0,0.0,0.000889111659489572,0.0,0.0,100,0.2,0.24,0.18,904,1.2475175857543945,1.5000001192092896,0.10531612485647202,0.04749239981174469,0.057348430156707764,0.21424058079719543,0.00435328483581543,0.001429496449418366,0.0020964760333299637,0.007693345192819834,0.10570167005062103,0.04758822172880173,0.9842768095844793,0.10570167005062103,0.04758822172880173,0.05746185779571533,0.05763977468013763,0.09248022735118866,0.21466985940933228,0.2154160439968109,0.04758821800351143,0.04758822172880173,0.047588080167770386
2,6.81426687541604,0.10390000003948807,0.1051824999153614,0.1,0.005182499915361391,0.051824993971114515,0.051824993971114515,0.10584479570388794,0.0,0.0,False,-2.1142577679711394e-06,123.60435485839844,0.3300629258155823,5.996700110699749e-06,0.0,4.394531316620487e-08,0.999999463558197,5.660623073577881,0.0,0.0,0.0,0.001764926710166037,0.0,0.0,100,0.2,0.244,0.14,1070,1.2475175857543945,1.5000001192092896,0.10532630234956741,0.041455768048763275,0.057348430156707764,0.21424058079719543,0.0058875055983662605,0.0031535401940345764,0.0007586467545479536,0.012584938667714596,0.10584479570388794,0.041524432599544525,0.9836140258118087,0.10584479570388794,0.041524432599544525,0.057395607233047485,0.06299461722373963,0.09546887874603271,0.15587572157381455,0.21628829836845398,0.04152440279722214,0.041524432599544525,0.04152354970574379
3,7.299941013723612,0.10276000019907951,0.10397125005722045,0.1,0.003971250057220446,0.0397124966009548,0.0,0.10412655025720596,0.0,0.0,False,-2.1289063170115696e-06,141.42877197265625,0.3275577425956726,6.539872174471384e-06,0.0,-4.3457032461446943e-07,0.9999995827674866,5.616617202758789,0.0,0.0,0.0,0.0008155166287906468,0.0,0.0,100,0.2,0.228,0.14,1058,1.2475175857543945,1.5000001192092896,0.10317700356245041,0.037895772606134415,0.057348430156707764,0.21424058079719543,0.010733092203736305,0.00415992084890604,0.004272071179002523,0.019942834973335266,0.10412655025720596,0.03807942196726799,0.9822008770309126,0.10412655025720596,0.03807942196726799,0.05757978558540344,0.058141437172889714,0.097939133644104,0.15161209702490025,0.21719548106193542,0.03807937726378441,0.03807942196726799,0.03807777538895607
4,7.812826870262623,0.10851999992132187,0.10624562498927116,0.1,0.006245624989271156,0.0624562436470872,0.0624562436470872,0.1096087172627449,0.0,0.0,False,-1.1948241990467068e-05,161.9376220703125,0.33976632356643677,1.0088662747875787e-05,0.0,1.4648438195763447e-07,0.9999995827674866,5.26101541519165,0.0,0.0,0.0,0.002966972067952156,0.0,0.0,100,0.2,0.224,0.15,940,1.2475175857543945,1.5000001192092896,0.10808786749839783,0.03676275163888931,0.057348430156707764,0.21424058079719543,0.016300788149237633,0.004788277670741081,0.008403918705880642,0.02763807214796543,0.1096087172627449,0.03709802031517029,0.9871231803778499,0.1096087172627449,0.03709802031517029,0.057832539081573486,0.05852150917053223,0.10884656012058258,0.1505231261253357,0.21842452883720398,0.037097930908203125,0.03709802031517029,0.03709554299712181
5,7.042344248741865,0.11017999978736043,0.10821281238831579,0.1,0.008212812388315782,0.08212811567034625,0.08212811567034625,0.11109405010938644,0.0,0.0,False,4.560547040455276e-06,129.3860626220703,0.34304532408714294,3.8041048355808016e-06,0.0,-5.859374851979737e-08,0.9999995827674866,5.382709503173828,0.0,0.0,0.0,0.0026012121234089136,0.0,0.0,100,0.2,0.228,0.17,954,1.2475175857543945,1.5000001192092896,0.10873180627822876,0.03567742928862572,0.057348430156707764,0.21424058079719543,0.024874813854694366,0.006112067494541407,0.010771061293780804,0.03934169188141823,0.11109405010938644,0.03618445619940758,0.983091850682231,0.11109405010938644,0.03618445619940758,0.057983189821243286,0.06713528037071229,0.10476931184530258,0.1483190864324326,0.220464289188385,0.03618421033024788,0.03618445619940758,0.03618009760975838
6,6.748957371741533,0.10502000001817942,0.10661640620324761,0.1,0.0066164062032476045,0.0661640554160705,0.0661640554160705,0.1052951067686081,0.0,0.0,False,-3.735351583600277e-06,115.9688491821289,0.33135145902633667,6.389722528865605e-08,0.0,1.56249996052793e-07,0.9999995231628418,6.137523651123047,0.0,0.0,0.0,0.002660132246091962,0.0,0.0,100,0.2,0.22,0.07,1064,1.2475175857543945,1.5000001192092896,0.10276204347610474,0.03330940753221512,0.057348430156707764,0.21424058079719543,0.027872510254383087,0.006482918281108141,0.01188964955508709,0.04299795255064964,0.1052951067686081,0.03384843096137047,0.9838686608611403,0.1052951067686081,0.03384843096137047,0.058072805404663086,0.07047241926193237,0.09644800797104836,0.1395087689161292,0.22116640210151672,0.0338481068611145,0.03384843096137047,0.03384355455636978
7,7.299601816445589,0.10679999982565641,0.10670820301445201,0.1,0.006708203014452005,0.06708202343631771,0.06708202343631771,0.10295888036489487,0.0,0.0,False,-3.3496094147267286e-06,135.203857421875,0.32169538736343384,-1.4874898624839261e-05,0.0,-9.765624753299562e-09,0.9999995827674866,6.1582489013671875,0.0,0.0,0.0,0.0011198815191164613,0.0,0.0,100,0.2,0.246,0.21,976,1.2475175857543945,1.5000001192092896,0.10023912042379379,0.045272041112184525,0.057348430156707764,0.21424058079719543,0.03125118836760521,0.007029030472040176,0.012596024200320244,0.047300975769758224,0.10295888036489487,0.04611349478363991,0.9864207845247386,0.10295888036489487,0.04611349478363991,0.058038294315338135,0.05908947587013245,0.08626352250576019,0.1744377225637436,0.22183063626289368,0.046113207936286926,0.04611349478363991,0.046109817922115326
8,8.975099395275116,0.10269999983534217,0.10470410142489708,0.1,0.004704101424897078,0.047041009544869825,0.0,0.10295911878347397,0.0,0.0,False,1.5136719184738467e-06,206.7328338623047,0.32590821385383606,1.0928373512797407e-06,0.0,2.19726558725597e-07,0.9999997019767761,5.919508934020996,0.0,0.0,0.0,0.0023736124858260155,0.0,0.0,100,0.2,0.226,0.09,922,1.2475175857543945,1.5000001192092896,0.09972172230482101,0.03291019797325134,0.057348430156707764,0.21424058079719543,0.03642166405916214,0.007832526229321957,0.013608825393021107,0.05591736361384392,0.10295911878347397,0.03369002789258957,0.9836545049382863,0.10295911878347397,0.03369002789258957,0.058130621910095215,0.059689420461654666,0.1026376485824585,0.14122268259524834,0.22295814752578735,0.033689454197883606,0.03369002789258957,0.0336831696331501
9,6.783976153731346,0.104699999935925,0.10470205068041105,0.1,0.004702050680411046,0.047020502102060255,0.0,0.1050524190068245,0.0,0.0,False,-2.7148437311552698e-06,111.86957550048828,0.32873526215553284,1.1355191276152254e-07,0.0,-5.859374851979737e-08,0.999999463558197,6.468479156494141,0.0,0.0,0.0,0.001501870690844953,0.0,0.0,100,0.2,0.226,0.12,972,1.2475175857543945,1.5000001192092896,0.101609006524086,0.036932323127985,0.057348430156707764,0.21424058079719543,0.03832334280014038,0.008743354119360447,0.01402626745402813,0.05782506987452507,0.1050524190068245,0.03778722137212753,0.9817855095557231,0.1050524190068245,0.03778722137212753,0.05811142921447754,0.06378395855426788,0.09918718039989471,0.1514789193868637,0.22413572669029236,0.03778662905097008,0.03778722137212753,0.03777932748198509
