episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,alpha_raw,alpha_kappa,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,8.001814129725098,0.16367500057443976,0.15683750028721988,0.15,0.006837500287219883,0.045583332209243745,0.0,0.1614183783531189,0.0,0.0,False,-6.420898444048362e-06,179.5067138671875,0.4397164583206177,-1.0276507964590564e-05,0.0,2.0751953400122147e-07,0.9999996423721313,4.07914400100708,0.0,0.0,0.0,0.0016382700996473432,0.0,0.0,100,0.2,0.26,0.03,970,0.5413248538970947,0.9999999403953552,0.1614183783531189,0.03124493546783924,0.10565611720085144,0.24307388067245483,0.0,0.0,0.0,0.0,0.1614183783531189,0.03124493546783924,0.9949967390782855,0.1614183783531189,0.03124493546783924,0.10565611720085144,0.12221761643886589,0.15905019640922546,0.20315849781036377,0.24307388067245483,0.03124493546783924,0.03124493546783924,0.031244788318872452
1,8.523413901552559,0.1519500000216067,0.15439375015441328,0.15,0.0043937501544132895,0.029291665743310883,0.0,0.1528553068637848,0.0,0.0,False,-1.068115216185106e-05,203.53416442871094,0.4205971658229828,-1.8855396319850115e-06,0.0,9.765624753299562e-08,0.9999997019767761,3.9365928173065186,0.0,0.0,0.0,0.0060205901972949505,0.0,0.0,100,0.2,0.3,0.12,904,0.5413248538970947,0.9999999403953552,0.15186135470867157,0.04164128378033638,0.10565611720085144,0.24307388067245483,0.007846003398299217,0.0008789877174422145,0.003884425386786461,0.010563327930867672,0.1528553068637848,0.04182346537709236,0.9943432946978132,0.1528553068637848,0.04182346537709236,0.10602372884750366,0.10643979907035828,0.14334554970264435,0.2442915141582489,0.24491888284683228,0.04182345047593117,0.04182346537709236,0.041823338717222214
2,6.737182067334652,0.1480750001873821,0.1512343751708977,0.15,0.0012343751708976947,0.008229167257373481,0.0,0.15306997299194336,0.0,0.0,False,-4.907226411887677e-06,120.41931915283203,0.4222191274166107,-1.954553408722859e-05,0.0,6.103515914901436e-08,0.999999463558197,5.349877834320068,0.0,0.0,0.0,0.002015292178839445,0.0,0.0,100,0.2,0.2825,0.07,1070,0.5413248538970947,0.9999999403953552,0.15261614322662354,0.03638659417629242,0.10565611720085144,0.24307388067245483,0.0035598482936620712,0.0006018150015734136,0.0021291591692715883,0.00544992508366704,0.15306997299194336,0.03645673021674156,0.9941952034533199,0.15306997299194336,0.03645673021674156,0.10587835311889648,0.11205073595046998,0.1456298828125,0.19815247356890323,0.24402442574501038,0.03645672649145126,0.03645673021674156,0.03645666316151619
3,7.680501501485705,0.14937500027008355,0.1503046877204906,0.15,0.00030468772049060955,0.0020312513345206416,0.0,0.15058140456676483,0.0,0.0,False,-2.4169921744032763e-06,158.8708038330078,0.41857606172561646,-3.0338644592120545e-06,0.0,8.544921570319275e-08,0.9999995827674866,4.597031593322754,0.0,0.0,0.0,0.0009652819717302918,0.0,0.0,100,0.2,0.29,0.05,1058,0.5413248538970947,0.9999999403953552,0.15081316232681274,0.03426383435726166,0.10565611720085144,0.24307388067245483,-0.001815640483982861,0.000678687880281359,-0.003146517090499401,0.0006855315295979381,0.15058140456676483,0.03421354293823242,0.9939144209413632,0.15058140456676483,0.03421354293823242,0.10536187887191772,0.10552290081977844,0.14695824682712555,0.19331634938715375,0.24320003390312195,0.034213531762361526,0.03421354293823242,0.034213434904813766
4,8.273766924105585,0.15437499987892805,0.15233984379970933,0.15,0.0023398437997093346,0.01559895762479839,0.0,0.1546420454978943,0.0,0.0,False,1.5014647942734882e-06,181.99281311035156,0.42593398690223694,3.33191451318271e-07,0.0,-6.713867151120212e-08,0.9999996423721313,4.988195419311523,0.0,0.0,0.0,0.0013154882472008467,0.0,0.0,100,0.2,0.305,0.03,940,0.5413248538970947,0.9999999403953552,0.15541352331638336,0.03395306318998337,0.10565611720085144,0.24307388067245483,-0.005922965705394745,0.0011126361787319183,-0.008081364445388317,-0.0007152045727707446,0.1546420454978943,0.033802881836891174,0.9957233041127708,0.1546420454978943,0.033802881836891174,0.1048949658870697,0.10517390370368956,0.15613721311092377,0.19143635332584383,0.24292853474617004,0.0338028185069561,0.033802881836891174,0.033802587538957596
5,6.892494188584387,0.1542750004865229,0.1533074221431161,0.15,0.0033074221431161066,0.02204947948414208,0.0,0.1553368717432022,0.0,0.0,False,-9.851074537436944e-06,123.2425765991211,0.42756810784339905,-2.0161839984211838e-06,0.0,2.685546860448085e-07,0.9999995231628418,5.108675003051758,0.0,0.0,0.0,0.005307336803525686,0.0,0.0,100,0.2,0.27,0.03,954,0.5413248538970947,0.9999999403953552,0.1563216596841812,0.03183475509285927,0.10565611720085144,0.24307388067245483,-0.007519976235926151,0.0015793420607224107,-0.010467858985066414,-0.001331262057647109,0.1553368717432022,0.03165708854794502,0.9941688562245584,0.1553368717432022,0.03165708854794502,0.10468146204948425,0.1144070208072663,0.1514958292245865,0.18825471997258905,0.2428259253501892,0.03165699169039726,0.03165708854794502,0.031656451523303986
6,7.382965416498482,0.14730000016279518,0.15030371115295565,0.15,0.0003037111529556602,0.002024740884721676,0.0,0.14954161643981934,0.0,0.0,False,-1.4038086192158516e-05,140.8606414794922,0.4175741672515869,-8.354222700290848e-06,0.0,1.9531249506599124e-07,0.9999995827674866,5.224941730499268,0.0,0.0,0.0,0.004433909896761179,0.0,0.0,100,0.2,0.2375,0.03,1064,0.5413248538970947,0.9999999403953552,0.15098804235458374,0.029717134311795235,0.10565611720085144,0.24307388067245483,-0.011390747502446175,0.0019197260262444615,-0.01494874432682991,-0.0026144434232264757,0.14954161643981934,0.029481161385774612,0.9945595101715039,0.14954161643981934,0.029481161385774612,0.10426133871078491,0.11698637008666991,0.14301934838294983,0.18049706816673056,0.24259313941001892,0.029480943456292152,0.029481161385774612,0.029480203986167908
7,7.575109587423503,0.14282500015571714,0.1465643556543364,0.15,-0.0034356443456635966,-0.02290429411080437,0.0,0.14489099383354187,0.0,0.0,False,3.3325195545330644e-06,146.83204650878906,0.40669122338294983,-7.1051681516109966e-06,0.0,1.098632793627985e-07,0.9999997019767761,5.269412994384766,0.0,0.0,0.0,0.0021664234809577465,0.0,0.0,100,0.2,0.2525,0.06,976,0.5413248538970947,0.9999999403953552,0.14710555970668793,0.04072777181863785,0.10565611720085144,0.24307388067245483,-0.017982536926865578,0.002030092990025878,-0.022237302735447884,-0.004877742845565081,0.14489099383354187,0.04023101553320885,0.9953274562627071,0.14489099383354187,0.04023101553320885,0.10357323288917542,0.10397627055644988,0.13266345113515854,0.2071405529975891,0.24216556549072266,0.04023073986172676,0.04023101553320885,0.04023027420043945
8,7.995061612762511,0.14680000017397105,0.14668217791415372,0.15,-0.0033178220858462726,-0.022118812431054322,0.0,0.1451605260372162,0.0,0.0,False,-1.1047362932004035e-05,163.1802520751953,0.40982821583747864,7.1138119892566465e-06,0.0,-9.765624753299562e-08,0.9999995231628418,5.079000473022461,0.0,0.0,0.0,0.004525953903794289,0.0,0.0,100,0.2,0.2425,0.01,922,0.5413248538970947,0.9999999403953552,0.1479661762714386,0.030471863225102425,0.10565611720085144,0.24307388067245483,-0.022579846903681755,0.0020794374868273735,-0.0266371201723814,-0.0066714477725327015,0.1451605260372162,0.02998788096010685,0.9945925590312755,0.1451605260372162,0.02998788096010685,0.10318058729171753,0.10364570319652558,0.14687830209732056,0.18002597987651328,0.24149712920188904,0.029987461864948273,0.02998788096010685,0.029986830428242683
9,6.82194797867909,0.1482999998703599,0.14749108889225682,0.15,-0.002508911107743178,-0.01672607293654966,0.0,0.14598087966442108,0.0,0.0,False,5.1635743147926405e-06,113.49466705322266,0.41096991300582886,6.362843578244792e-06,0.0,-1.2207030941624453e-08,0.9999995231628418,5.777712821960449,0.0,0.0,0.0,0.003237247234210372,0.0,0.0,100,0.2,0.2725,0.04,972,0.5413248538970947,0.9999999403953552,0.14948202669620514,0.03315718472003937,0.10565611720085144,0.24307388067245483,-0.02806496061384678,0.0021702267695218325,-0.03248080238699913,-0.008610563352704048,0.14598087966442108,0.032553598284721375,0.9938068722212341,0.14598087966442108,0.032553598284721375,0.1026260256767273,0.10785197615623474,0.14295735955238342,0.1873882830142975,0.2413668930530548,0.03255310654640198,0.032553598284721375,0.03255252167582512
10,7.698788362257183,0.15132499990984796,0.14940804440105238,0.15,-0.0005919555989476188,-0.003946370396559433,0.0,0.15000922977924347,0.0,0.0,False,-7.01904298239242e-07,147.56228637695312,0.4176959991455078,4.0965954895000323e-07,0.0,1.2207031829802872e-07,0.9999995827674866,5.129068374633789,0.0,0.0,0.0,0.0011456763604655862,0.0,0.0,100,0.2,0.2725,0.09,934,0.5413248538970947,0.9999999403953552,0.1539822220802307,0.037310950458049774,0.10565611720085144,0.24307388067245483,-0.031177295371890068,0.002450385829433799,-0.036214470863342285,-0.009446504525840282,0.15000922977924347,0.036566443741321564,0.9951058935710491,0.15000922977924347,0.036566443741321564,0.10228264331817627,0.11198408603668214,0.1377222239971161,0.20824279785156252,0.2409972846508026,0.03656584396958351,0.036566443741321564,0.036565203219652176
