episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,alpha_raw,alpha_kappa,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,12.946978182196617,0.11557999963313341,0.1077899998165667,0.1,0.007789999816566695,0.07789999037566792,0.07789999037566792,0.11421428620815277,0.0,0.0,False,-3.4179688555013854e-06,479.951416015625,0.34982287883758545,-2.998749550897628e-06,0.0,2.0996093041958375e-07,0.9999997019767761,4.140865325927734,0.0,0.0,0.0,0.0008466697763651609,0.0,0.0,100,0.2,0.23,0.14,970,1.2475175857543945,1.5000001192092896,0.11421428620815277,0.03525519371032715,0.057348430156707764,0.21424061059951782,0.0,0.0,0.0,0.0,0.11421428620815277,0.03525519371032715,0.9853881835453392,0.11421428620815277,0.03525519371032715,0.057348430156707764,0.0722202420234693,0.10971373319625854,0.16169032454490662,0.21424061059951782,0.03525519743561745,0.03525519371032715,0.03525528684258461
1,26.22065518297255,0.10511999975517392,0.10645499978587031,0.1,0.006454999785870302,0.06454999140370388,0.06454999140370388,0.10568428784608841,0.0,0.0,False,-3.9453125282307155e-06,2284.291015625,0.32732951641082764,5.893731213291176e-06,0.0,1.3183593239318725e-07,0.9999998807907104,2.049586772918701,0.0,0.0,0.0,0.0010241222335025668,0.0,0.0,100,0.2,0.24,0.18,904,1.2475175857543945,1.5000001192092896,0.10531612485647202,0.04749239981174469,0.057348430156707764,0.21424058079719543,0.00414688466116786,0.0012037164997309446,0.0018504129257053137,0.006950555834919214,0.10568428784608841,0.047585517168045044,0.9842768095844793,0.10568428784608841,0.047585517168045044,0.05744859576225281,0.057628899812698364,0.09243378043174744,0.21465739905834197,0.21528494358062744,0.04758550599217415,0.047585517168045044,0.04758542403578758
2,12.092947077780963,0.10436000006273388,0.1054074999243021,0.1,0.005407499924302089,0.05407499383552151,0.05407499383552151,0.10623744875192642,0.0,0.0,False,-8.78906234902388e-07,411.01922607421875,0.3311178386211395,8.822863492241595e-06,0.0,-6.835937682581061e-08,0.9999997615814209,4.3587236404418945,0.0,0.0,0.0,0.0006991805275902152,0.0,0.0,100,0.2,0.246,0.15,1070,1.2475175857543945,1.5000001192092896,0.10532630234956741,0.041455768048763275,0.057348430156707764,0.21424058079719543,0.010064172558486462,0.0026302498299628496,0.005912019871175289,0.01647513546049595,0.10623744875192642,0.04166528582572937,0.9836140258118087,0.10623744875192642,0.04166528582572937,0.057668864727020264,0.06323496401309968,0.09583209455013275,0.15645202398298638,0.2167852818965912,0.04166524484753609,0.04166528582572937,0.04166465625166893
3,13.155609677135944,0.10318000014126301,0.10429375003278255,0.1,0.0042937500327825395,0.04293749603407579,0.0,0.10462341457605362,0.0,0.0,False,-5.27343729572749e-07,486.1450500488281,0.3280116319656372,1.6850966630954645e-06,0.0,-9.765624753299562e-09,0.9999997615814209,4.424970626831055,0.0,0.0,0.0,0.0010563114192336798,0.0,0.0,100,0.2,0.228,0.14,1058,1.2475175857543945,1.5000001192092896,0.10317700356245041,0.037895772606134415,0.057348430156707764,0.21424058079719543,0.016020789742469788,0.0030228046234697104,0.008159162476658821,0.023888034746050835,0.10462341457605362,0.03826535865664482,0.9822008770309126,0.10462341457605362,0.03826535865664482,0.05779114365577698,0.05834986567497254,0.09844048321247101,0.1520576894283116,0.2180282175540924,0.038265325129032135,0.03826535865664482,0.03826449438929558
4,14.859457781285048,0.10855999989062548,0.10642687496170401,0.1,0.006426874961704007,0.06426874319016575,0.06426874319016575,0.10970286279916763,0.0,0.0,False,-5.703125225409167e-06,634.4210205078125,0.33934545516967773,3.3124927085737e-06,0.0,5.859374851979737e-08,0.9999999403953552,3.6684036254882812,0.0,0.0,0.0,0.00266667315736413,0.0,0.0,100,0.2,0.224,0.15,940,1.2475175857543945,1.5000001192092896,0.10808786749839783,0.03676275163888931,0.057348430156707764,0.21424058079719543,0.017089901491999626,0.0027345805428922176,0.008508269675076008,0.02473309077322483,0.10970286279916763,0.03718187287449837,0.9871231803778499,0.10970286279916763,0.03718187287449837,0.05784386396408081,0.05841946005821228,0.10895870625972748,0.15047686994075773,0.21821701526641846,0.03718180954456329,0.03718187287449837,0.037181075662374496
5,14.391343229919672,0.10991999984160065,0.10817343740165233,0.1,0.008173437401652328,0.0817343658430867,0.0817343658430867,0.11080644279718399,0.0,0.0,False,2.285156142534106e-06,585.8662719726562,0.34226641058921814,2.1240507521724794e-06,0.0,-8.789062633240974e-08,0.9999998211860657,3.9633145332336426,0.0,0.0,0.0,0.0016935893800109625,0.0,0.0,100,0.2,0.226,0.17,954,1.2475175857543945,1.5000001192092896,0.10873180627822876,0.03567742928862572,0.057348430156707764,0.21424058079719543,0.021704761311411858,0.003189080161973834,0.009520066902041435,0.030791109427809715,0.11080644279718399,0.036183640360832214,0.983091850682231,0.11080644279718399,0.036183640360832214,0.05791023373603821,0.0667245149612427,0.10433752834796906,0.14735967814919773,0.21921348571777344,0.03618340566754341,0.036183640360832214,0.03618248179554939
6,12.247286456882954,0.10474000000208616,0.10645671870186925,0.1,0.0064567187018692435,0.06456718056197437,0.06456718056197437,0.10498475283384323,0.0,0.0,False,-4.0039063264885044e-07,416.54815673828125,0.33041125535964966,1.1385277076669809e-07,0.0,-3.41796862812771e-07,0.9999997615814209,4.231943130493164,0.0,0.0,0.0,0.0008916545775718987,0.0,0.0,100,0.2,0.22,0.07,1064,1.2475175857543945,1.5000001192092896,0.10276204347610474,0.03330940753221512,0.057348430156707764,0.21424058079719543,0.024353355169296265,0.003675838466733694,0.010280915535986423,0.03379901871085167,0.10498475283384323,0.03383730724453926,0.9838686608611403,0.10498475283384323,0.03383730724453926,0.05797278881072998,0.07006771862506866,0.09616125747561455,0.13840506076812517,0.21975433826446533,0.033836930990219116,0.03383730724453926,0.0338357612490654
7,14.340934337228537,0.106319999858737,0.10638835928030313,0.1,0.006388359280303124,0.0638835864146726,0.0638835864146726,0.10243415087461472,0.0,0.0,False,-1.367187451251084e-06,573.033447265625,0.3200438320636749,-5.2633831728599034e-06,0.0,-9.765624753299562e-09,0.9999997615814209,4.232123851776123,0.0,0.0,0.0,0.0007634524954482913,0.0,0.0,100,0.2,0.246,0.19,976,1.2475175857543945,1.5000001192092896,0.10023912042379379,0.045272041112184525,0.057348430156707764,0.21424058079719543,0.025057634338736534,0.004050265997648239,0.010222545824944973,0.03622088581323624,0.10243415087461472,0.04600873216986656,0.9864207845247386,0.10243415087461472,0.04600873216986656,0.05790543556213379,0.05872028470039367,0.08571052551269531,0.17400595247745515,0.22028803825378418,0.046008385717868805,0.04600873216986656,0.046007491648197174
8,18.040078167945147,0.10161999998614192,0.10400417963322253,0.1,0.004004179633222527,0.040041792328046034,0.0,0.10207943618297577,0.0,0.0,False,-7.617187520736479e-07,941.852783203125,0.3239363431930542,1.0016013902713894e-06,0.0,1.9042968801841198e-07,0.9999999403953552,3.3772881031036377,0.0,0.0,0.0,0.0003411265497561544,0.0,0.0,100,0.2,0.224,0.08,922,1.2475175857543945,1.5000001192092896,0.09972172230482101,0.03291019797325134,0.057348430156707764,0.21424058079719543,0.026513589546084404,0.004578255582600832,0.010349992662668228,0.039475731551647186,0.10207943618297577,0.033516593277454376,0.9836545049382863,0.10207943618297577,0.033516593277454376,0.05794042348861694,0.058969962596893306,0.10196717083454132,0.13946798741816813,0.2203769087791443,0.033516060560941696,0.033516593277454376,0.03351421281695366
9,12.512004857718944,0.10359999996423722,0.10380208979872987,0.1,0.0038020897987298685,0.038020894185209264,0.0,0.10416170209646225,0.0,0.0,False,-3.7109376194166543e-07,418.38714599609375,0.3270432651042938,-5.354305585569819e-07,0.0,-2.5390625069121597e-07,0.9999997615814209,5.085324287414551,0.0,0.0,0.0,0.0011161849834024906,0.0,0.0,100,0.2,0.224,0.11,972,1.2475175857543945,1.5000001192092896,0.101609006524086,0.036932323127985,0.057348430156707764,0.21424058079719543,0.028465932235121727,0.0056365299969911575,0.010965448804199696,0.04254881665110588,0.10416170209646225,0.03758278489112854,0.9817855095557231,0.10416170209646225,0.03758278489112854,0.05794411897659302,0.06329124867916107,0.09861823543906212,0.1502322971820831,0.2211851179599762,0.03758230060338974,0.03758278489112854,0.03757956996560097
