episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.50995377548039,0.10287499989848584,0.10143749994924292,0.1,0.0014374999492429152,0.014374998054929347,0.0,0.09999994933605194,0.0,0.0,False,-2.301025460837991e-06,156.47109985351562,0.32476598024368286,4.553956387098879e-06,0.0,-3.295898522992502e-07,0.9999995827674866,4.525903224945068,0.0,0.0,0.0,0.000608687405474484,0.0,0.0,100,0.2,0.145,0.0,970,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.0,0.0,0.0,0.0,0.09999994933605194,1.7943374786000277e-08,0.20665804103807545,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.09999996423721313,0.09999996423721313,0.09999996423721313,0.10000000149011612,1.5269147723984133e-08,1.7943374786000277e-08,2.2351741790771484e-08
1,8.539926259703934,0.09974999964237213,0.10059374979580753,0.1,0.0005937497958075216,0.005937497364325479,0.0,0.09980631619691849,0.0,0.0,False,-7.403564268315677e-06,202.55377197265625,0.32391178607940674,1.5243729194480693e-06,0.0,-1.098632793627985e-07,0.9999997019767761,4.481600761413574,0.0,0.0,0.0,0.002852818462997675,0.0,0.0,100,0.2,0.145,0.0,904,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.0021539004519581795,0.0007206688751466572,-0.0038785007782280445,0.0013059311313554645,0.09980631619691849,6.474772817455232e-05,0.050565327518270156,0.09980631619691849,6.474772817455232e-05,0.09965148568153381,0.09970802068710327,0.09981855750083923,0.09987446665763855,0.10011756420135498,5.493791832122952e-05,6.474772817455232e-05,1.2010783393634483e-05
2,7.606675257459283,0.09489999993238599,0.09774687486409675,0.1,-0.0022531251359032556,-0.022531249105907643,0.0,0.0993221178650856,0.0,0.0,False,-7.000732239248464e-06,156.8467559814453,0.32261765003204346,-2.127628067682963e-05,0.0,3.6621094068323146e-07,0.9999995231628418,4.992068290710449,0.0,0.0,0.0,0.0019258804386481643,0.0,0.0,100,0.2,0.135,0.0,1070,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.0075555467046797276,0.0015217593172565103,-0.010985146276652813,0.0001557628420414403,0.0993221178650856,0.0001361556933261454,-0.03956191132299595,0.0993221178650856,0.0001361556933261454,0.09901562333106995,0.09911938235163689,0.09933927655220032,0.09945827722549438,0.10001400113105774,0.00010780501906992868,0.0001361556933261454,2.2870764951221645e-05
3,7.653806589171291,0.0967000000923872,0.09722343747824197,0.1,-0.002776562521758036,-0.027765622441018115,0.0,0.09872671216726303,0.0,0.0,False,1.2145995924583985e-06,157.8807373046875,0.32149621844291687,-8.101724233711138e-06,0.0,-2.4414063659605745e-07,0.9999995827674866,5.160053253173828,0.0,0.0,0.0,0.0006256221677176654,0.0,0.0,100,0.2,0.1375,0.0,1058,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.014230499044060707,0.002389008877798915,-0.019592655822634697,-0.0014407107373699546,0.09872671216726303,0.00021268805721774697,-0.1522996600251162,0.09872671216726303,0.00021268805721774697,0.0982503592967987,0.0984242856502533,0.09875404834747314,0.09895757138729094,0.09987035393714905,0.00015859580889809877,0.00021268805721774697,3.129847391392104e-05
4,8.919294469580054,0.09812499997206033,0.09767421872515114,0.1,-0.002325781274848865,-0.023257810422707605,0.0,0.09833123534917831,0.0,0.0,False,-4.516601563864242e-07,216.39859008789062,0.3213552236557007,3.148755070014886e-07,0.0,9.765624753299562e-08,0.9999997019767761,4.830948352813721,0.0,0.0,0.0,0.0023292626719921827,0.0,0.0,100,0.2,0.135,0.0,940,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.01868460886180401,0.0031536538153886795,-0.025540057569742203,-0.002616547280922532,0.09833123534917831,0.0002797796332743019,0.08833828037780952,0.09833123534917831,0.0002797796332743019,0.09772473573684692,0.09794396162033081,0.09834915399551392,0.09867761433124542,0.09976470470428467,0.00019865787180606276,0.0002797796332743019,4.286408147891052e-05
5,8.538274758383631,0.09624999982304872,0.09696210927409993,0.1,-0.0030378907259000776,-0.030378904221110354,0.0,0.09831790626049042,0.0,0.0,False,-1.6235351267823717e-06,198.14675903320312,0.3212759494781494,-3.72128567960317e-08,0.0,2.4414061883248905e-08,0.9999997019767761,4.5178046226501465,0.0,0.0,0.0,0.002819935791194439,0.0,0.0,100,0.2,0.135,0.0,954,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.018835201859474182,0.0031894908752292395,-0.025014789775013924,-0.0026514960918575525,0.09831790626049042,0.00028304453007876873,0.016605830264081592,0.09831790626049042,0.00028304453007876873,0.0977710485458374,0.09794658124446869,0.098320871591568,0.09868260324001311,0.09976157546043396,0.00019969014101661742,0.00028304453007876873,5.238782614469528e-05
6,7.2375656589865685,0.0980249999416992,0.09749355460789957,0.1,-0.0025064453921004315,-0.025064451414559173,0.0,0.09820304811000824,0.0,0.0,False,-5.834961029904662e-06,139.0335235595703,0.3205043077468872,6.755109893674671e-07,0.0,-4.1503906800244295e-07,0.9999996423721313,4.832248210906982,0.0,0.0,0.0,0.002821393311023712,0.0,0.0,100,0.2,0.14,0.0,1064,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.0201314277946949,0.003203683765605092,-0.0261925607919693,-0.003022019285708666,0.09820304811000824,0.00028418307192623615,-0.0782453580482264,0.09820304811000824,0.00028418307192623615,0.09766724705696106,0.09788882732391357,0.09817484021186829,0.0985855758190155,0.09972837567329407,0.00017095870862249285,0.00028418307192623615,4.557324791676365e-05
7,8.1200411619246,0.0969999998062849,0.09724677720709224,0.1,-0.002753222792907767,-0.02753222517585515,0.0,0.09781190752983093,0.0,0.0,False,6.347656267280399e-07,175.08668518066406,0.32017114758491516,2.527095261939394e-07,0.0,4.2724607851596375e-08,0.9999997019767761,5.061062335968018,0.0,0.0,0.0,0.0042604501359164715,0.0,0.0,100,0.2,0.1275,0.0,976,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.02455759607255459,0.003762627486139536,-0.03213195875287056,-0.004251796752214432,0.09781190752983093,0.0003326933365315199,-0.12051207130274845,0.09781190752983093,0.0003326933365315199,0.09714505076408386,0.09743070602416992,0.09776148200035095,0.09827418774366378,0.09961792826652527,0.00020343509095255286,0.0003326933365315199,5.7695957366377115e-05
8,9.0098868567124,0.09827500001527369,0.09776088861118296,0.1,-0.00223911138881705,-0.022391111649059336,0.0,0.09787171334028244,0.0,0.0,False,3.906249901319825e-07,216.4031982421875,0.3205097019672394,-1.13471878648852e-06,0.0,4.516601563864242e-07,0.9999997019767761,4.853928565979004,0.0,0.0,0.0,0.001962697133421898,0.0,0.0,100,0.2,0.15,0.0,922,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.02387947589159012,0.003563456702977419,-0.032750681042671204,-0.004435907583683729,0.09787171334028244,0.0003151081909891218,0.09661261899408656,0.09787171334028244,0.0003151081909891218,0.09709081053733826,0.09748840034008026,0.09782767295837402,0.09829577803611755,0.09960144758224487,0.000205203949008137,0.0003151081909891218,5.988032353343442e-05
9,7.354180311523378,0.1010249998094514,0.09939294421031718,0.1,-0.0006070557896828283,-0.006070557289772554,0.0,0.09786668419837952,0.0,0.0,False,-1.9592284843383823e-06,139.9984893798828,0.32050269842147827,-1.8144062323699472e-06,0.0,1.4648438195763447e-07,0.9999995827674866,5.113935470581055,0.0,0.0,0.0,0.002490665763616562,0.0,0.0,100,0.2,0.1425,0.0,972,no_curvature_stage2_residual_v1,False,0.5413248538970947,0.9999999403953552,0.0,8,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.02393544651567936,0.0031924298964440823,-0.03137775883078575,-0.0044646114110946655,0.09786668419837952,0.0002823779941536486,-0.14220072467601066,0.09786668419837952,0.0002823779941536486,0.09721122682094574,0.09754446148872375,0.0978349894285202,0.09823815524578094,0.09959885478019714,0.00017599418060854077,0.0002823779941536486,4.645962326321751e-05
