checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,node_count
270,n050_s00,nn,50,200,0.2,0.1,0.13090725243091583,0.13090725243091583,3.3113836734693876,0.13119999999999998,0.13090725243091583,0.09119947254657745,0.021929115056991577,0.0343139261007309,0.10834145545959473,0.25684557557106025,0.4183829128742218,0.08937345445156097,0.09119947254657745,0.03172190114855766,random,curvature,50
270,n050_s00,matched_random,50,200,0.2,0.1,0.13090725243091583,0.13090725243091583,4.019808163265306,0.1278,0.13090728223323822,2.9802322387695312e-08,0.13090725243091583,0.13090725243091583,0.13090725243091583,0.13090725243091583,0.13090725243091583,1.4901161193847656e-08,2.9802322387695312e-08,0.0,random,curvature,50
270,n050_s01,nn,50,200,0.2,0.1,0.11696583032608032,0.11696583032608032,3.5500979591836765,0.1191,0.11696583032608032,0.07823996245861053,0.021814554929733276,0.029855865240097045,0.10910011827945709,0.22626643776893615,0.3233327865600586,0.07674680650234222,0.07823996245861053,0.024739256128668785,random,curvature,50
270,n050_s01,matched_random,50,200,0.2,0.1,0.11696583032608032,0.11696583032608032,4.595499999999999,0.1165,0.11696579307317734,3.725290298461914e-08,0.11696583032608032,0.11696583032608032,0.11696583032608032,0.11696583032608032,0.11696583032608032,0.0,3.725290298461914e-08,0.0,random,curvature,50
270,n050_s02,nn,50,200,0.2,0.1,0.12804792821407318,0.12804792821407318,3.5302306122448988,0.1272,0.12804792821407318,0.0878588929772377,0.021848589181900024,0.032833799719810486,0.11911392211914062,0.25185794532299044,0.4183596074581146,0.08620767295360565,0.0878588929772377,0.03435394540429115,random,curvature,50
270,n050_s02,matched_random,50,200,0.2,0.1,0.12804792821407318,0.12804792821407318,4.455971428571428,0.1235,0.12804792821407318,0.0,0.12804792821407318,0.12804792821407318,0.12804792821407318,0.12804792821407318,0.12804792821407318,0.0,0.0,0.0,random,curvature,50
270,n050_s03,nn,50,200,0.2,0.1,0.12961433827877045,0.12961433827877045,3.3488551020408193,0.1324,0.12961433827877045,0.09122481197118759,0.021842867136001587,0.032277819514274594,0.10936357080936432,0.25360114574432374,0.41833555698394775,0.0894472673535347,0.09122481197118759,0.03311925381422043,random,curvature,50
270,n050_s03,matched_random,50,200,0.2,0.1,0.12961433827877045,0.12961433827877045,4.390259183673473,0.126,0.12961433827877045,0.0,0.12961433827877045,0.12961433827877045,0.12961433827877045,0.12961433827877045,0.12961433827877045,0.0,0.0,1.4901161193847656e-08,random,curvature,50
270,n050_s04,nn,50,200,0.2,0.1,0.12879686057567596,0.12879686057567596,3.3037326530612257,0.1242,0.12879686057567596,0.08667683601379395,0.02180841565132141,0.032712298631668094,0.12148259580135345,0.25671814084053046,0.4183547794818878,0.08510858565568924,0.08667683601379395,0.0317876823246479,random,curvature,50
270,n050_s04,matched_random,50,200,0.2,0.1,0.12879686057567596,0.12879686057567596,4.111044897959185,0.1308,0.12879684567451477,1.4901161193847656e-08,0.12879686057567596,0.12879686057567596,0.12879686057567596,0.12879686057567596,0.12879686057567596,1.4901161193847656e-08,1.4901161193847656e-08,0.0,random,curvature,50
210,n050_s00,nn,50,200,0.2,0.1,0.1294371336698532,0.1294371336698532,3.1330693877551004,0.1318,0.1294371336698532,0.08386282622814178,0.040247440338134766,0.040914854407310484,0.1042073667049408,0.2319068491458893,0.2319684624671936,0.08147075772285461,0.08386282622814178,0.008914937265217304,random,no_curvature,50
210,n050_s01,nn,50,200,0.2,0.1,0.12768562138080597,0.12768562138080597,3.62639387755102,0.1297,0.12768562138080597,0.08388199657201767,0.0402550995349884,0.0409625381231308,0.09887760877609253,0.23191590905189516,0.23196816444396973,0.0813947468996048,0.08388199657201767,0.01076886709779501,random,no_curvature,50
210,n050_s02,nn,50,200,0.2,0.1,0.12747812271118164,0.12747812271118164,3.676444897959184,0.1308,0.12747812271118164,0.08378445357084274,0.040282249450683594,0.04097523093223572,0.09852251410484314,0.23189009428024293,0.23196828365325928,0.0814368799328804,0.08378445357084274,0.009361518546938896,random,no_curvature,50
