topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio
random,Random-geometric topology,50,curvature,matched_random,5,4.314516734693878,0.24132544146710205,0.21153107599367,0.12492,0.005407124929202207,0.00473955397057571
random,Random-geometric topology,50,curvature,nn,5,3.4088600000000016,0.1212775409117978,0.10630445164413434,0.12682,0.005406662556513024,0.00473914868304424
random,Random-geometric topology,50,no_curvature,nn,5,3.4817612244897957,0.23046800923765093,0.20201411703541927,0.12891999999999998,0.0029422780290108575,0.002579020403176371
random,Random-geometric topology,60,curvature,matched_random,5,4.5175121468926545,0.2519692007783095,0.2208607423812244,0.12716666666666665,0.005271450886088613,0.00462063042836749
random,Random-geometric topology,60,curvature,nn,5,3.5474282485875706,0.19195447166680157,0.16825551291495405,0.12788333333333332,0.005971169157804118,0.005233960535664069
random,Random-geometric topology,60,no_curvature,nn,5,3.656219491525423,0.28762745224326797,0.2521165778811204,0.12853333333333333,0.0033991420486156033,0.002979479372865894
random,Random-geometric topology,70,curvature,matched_random,5,4.923266459627329,0.22744850716461507,0.19936740677316347,0.13044285714285714,0.0025948339571745423,0.0022744722464782853
random,Random-geometric topology,70,curvature,nn,5,3.8203426501035196,0.19868968566587658,0.1741591882821705,0.132,0.0030418006214096532,0.0026662558016814497
random,Random-geometric topology,70,no_curvature,nn,5,3.9393194616977225,0.2335279766215989,0.2046962967065597,0.1282,0.0018635877182664386,0.0016335066574703733
random,Random-geometric topology,80,curvature,matched_random,5,5.140703639240507,0.45958660708077886,0.4028454228325942,0.12685,0.006117118653827148,0.005361890909464687
random,Random-geometric topology,80,curvature,nn,5,4.049552689873417,0.33129484120648584,0.2903927319288187,0.1283625,0.005160206815138322,0.004523120700909935
random,Random-geometric topology,80,no_curvature,nn,5,4.189670727848101,0.36790491655313073,0.3224828778463217,0.12761250000000002,0.0024147172453519213,0.00211659298756279
random,Random-geometric topology,90,curvature,matched_random,5,5.585480149812732,0.5888422073775137,0.5161429518571222,0.1290888888888889,0.0036184967208107927,0.00317175222048446
random,Random-geometric topology,90,curvature,nn,5,4.355728963795257,0.35174075418772444,0.3083143648337519,0.12983333333333333,0.004410810233231549,0.0038662456348041185
random,Random-geometric topology,90,no_curvature,nn,5,4.367870911360798,0.35835176949160114,0.31410917524469767,0.12819999999999998,0.0025103489502162537,0.002200417872772081
random,Random-geometric topology,100,curvature,matched_random,5,5.807088484848485,0.19383902368894335,0.16990739559498239,0.13049,0.003947055864818737,0.003459747008091775
random,Random-geometric topology,100,curvature,nn,5,4.5257384848484845,0.0567326928619515,0.04972839785208873,0.13057,0.005076243689973918,0.00444952377676533
random,Random-geometric topology,100,no_curvature,nn,5,4.690209090909093,0.19358078927729824,0.1696810431531437,0.12639,0.0022680939133995315,0.0019880719705282304
random,Random-geometric topology,110,curvature,matched_random,5,6.040762552126773,0.25420452808514277,0.22282009315476037,0.1305181818181818,0.003467767757959071,0.0030396324592955794
random,Random-geometric topology,110,curvature,nn,5,4.850199332777315,0.23975357476547832,0.21015327408148157,0.1306,0.0032746837586258935,0.002870386871727988
random,Random-geometric topology,110,no_curvature,nn,5,4.875476230191827,0.2186970484738729,0.19169641501152937,0.12630909090909093,0.0019368650652515174,0.0016977370840656075
random,Random-geometric topology,120,curvature,matched_random,5,6.53380007002801,0.27469452926862553,0.24078037107284525,0.13210833333333333,0.002796420082494365,0.0024511702760563643
random,Random-geometric topology,120,curvature,nn,5,5.10296043417367,0.23716194112285902,0.20788160703439407,0.13108333333333333,0.003963811998008424,0.00347443440640983
random,Random-geometric topology,120,no_curvature,nn,5,5.205589285714286,0.2637358597131778,0.2311746736858214,0.1264,0.0031755084894653737,0.0027834559154643218
random,Random-geometric topology,130,curvature,matched_random,5,6.836986642814551,0.21320919336989938,0.18688609792277303,0.1285230769230769,0.003187856024901842,0.0027942790074718103
random,Random-geometric topology,130,curvature,nn,5,5.342016935002981,0.09802688783543423,0.08592435565052904,0.1291153846153846,0.002766424860515055,0.0024248783047607584
random,Random-geometric topology,130,no_curvature,nn,5,5.36857954680978,0.15589521840075957,0.13664818383881955,0.12540769230769228,0.0008233824019747126,0.0007217264967386656
random,Random-geometric topology,140,curvature,matched_random,5,6.968539979445017,0.4349222956962777,0.38122620069799934,0.13405714285714287,0.003608168171111257,0.003162698847503498
random,Random-geometric topology,140,curvature,nn,5,5.504763001027749,0.33898802323442767,0.2971361032960997,0.1315785714285714,0.0033244417975512915,0.0029140017158539823
random,Random-geometric topology,140,no_curvature,nn,5,5.5133098150051385,0.4112053901889963,0.36043741642935295,0.12451428571428572,0.0014295978455495797,0.0012530977615493532
random,Random-geometric topology,150,curvature,matched_random,5,7.43032527964206,0.22627045861479023,0.19833480169098774,0.13105333333333333,0.0016476582709341668,0.0014442361518194366
random,Random-geometric topology,150,curvature,nn,5,5.953485548098431,0.12919071178591332,0.11324065173703508,0.12961333333333336,0.002726882632034044,0.0023902180133015334
random,Random-geometric topology,150,no_curvature,nn,5,5.880644876957494,0.16202699348290578,0.14202292167413555,0.12311333333333334,0.0012801041624284591,0.0011220607707844229
