topology,topology_label,node_count,update_probability,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio
community,Community topology,100,0.05,curvature,matched_random,5,1.958457818181817,0.1632697829924201,0.1431122747095346,0.1202,0.0007787168933572688,0.0006825754522395285
community,Community topology,100,0.05,curvature,nn,5,1.4091524444444443,0.05562109938006766,0.04875404320526425,0.12001200000000001,0.0017544001823985298,0.001537799562491808
community,Community topology,100,0.05,no_curvature,nn,5,1.5564496161616166,0.09993304730013777,0.08759517808902946,0.122492,0.001591891956132702,0.0013953548216851513
community,Community topology,100,0.1,curvature,matched_random,5,3.7731969292929284,0.16218925315571364,0.14216514854823042,0.123936,0.0031706276981064772,0.002779177713209427
community,Community topology,100,0.1,curvature,nn,5,2.748224484848485,0.10325045920427373,0.09050301783161935,0.12501199999999998,0.0023661191855018646,0.0020739949099262524
community,Community topology,100,0.1,no_curvature,nn,5,2.997285333333332,0.17721868081372236,0.15533902273546982,0.126332,0.0006797940864702995,0.0005958657889155842
community,Community topology,100,0.15,curvature,matched_random,5,5.706321050505051,0.5312998276685895,0.46570483219154873,0.12588399999999997,0.004956922432316244,0.004344934082998267
community,Community topology,100,0.15,curvature,nn,5,4.139670626262627,0.26980702715955046,0.23649628658606758,0.125536,0.00490213014923105,0.004296906529306871
community,Community topology,100,0.15,no_curvature,nn,5,4.434668969696969,0.3025327367781868,0.26518163582318993,0.12799599999999997,0.0013917902140768267,0.0012199579114051495
community,Community topology,100,0.2,curvature,matched_random,5,7.296435353535351,0.3688946706929272,0.3233504356010596,0.124328,0.0037829776631642976,0.003315926123181879
community,Community topology,100,0.2,curvature,nn,5,5.4265183434343465,0.18636777268615617,0.16335855534825772,0.12554,0.0018707752403749633,0.0016398067983759554
community,Community topology,100,0.2,no_curvature,nn,5,5.692946666666667,0.30093188174892965,0.2637784245215137,0.13038,0.0014197887166758284,0.0012444996809963418
community,Community topology,100,0.25,curvature,matched_random,5,9.600541939393938,1.1604151095717128,1.0171486903111249,0.125724,0.004838313755845111,0.004240968994180459
community,Community topology,100,0.25,curvature,nn,5,7.1231206060606045,0.42670061808848364,0.3740195825301141,0.12628399999999998,0.0027098856064417137,0.00237531946348275
community,Community topology,100,0.25,no_curvature,nn,5,7.7130653333333346,0.6675982708300996,0.5851756851730677,0.129968,0.0005243281415297084,0.000459593879854811
community,Community topology,100,0.3,curvature,matched_random,5,11.657996606060598,1.0710495636989859,0.9388163356273499,0.12777599999999997,0.00357746837861637,0.003135789292921326
community,Community topology,100,0.3,curvature,nn,5,8.498943272727272,0.3754925698197037,0.3291337491758738,0.126932,0.002810715211471984,0.002463700509071669
community,Community topology,100,0.3,no_curvature,nn,5,8.881823676767677,0.3822724084115412,0.33507653972326124,0.130136,0.0010687749997076131,0.0009368225923834279
random,Random-geometric topology,100,0.05,curvature,matched_random,5,1.5844822626262625,0.10177080223321976,0.08920604131192138,0.120956,0.004354937427793878,0.0038172709615116357
random,Random-geometric topology,100,0.05,curvature,nn,5,1.233447191919192,0.07849678100061448,0.06880546222625687,0.12265600000000002,0.004119135831700625,0.0036105817494691906
random,Random-geometric topology,100,0.05,no_curvature,nn,5,1.2619472323232315,0.09617465778652445,0.08430080442919166,0.11846399999999999,0.0011899915966089806,0.001043073624247106
random,Random-geometric topology,100,0.1,curvature,matched_random,5,3.116201616161617,0.3265934221854049,0.28627175646025443,0.127104,0.0023706286086183984,0.0020779475935643814
random,Random-geometric topology,100,0.1,curvature,nn,5,2.3981621414141423,0.15784334781024378,0.1383557945559403,0.126604,0.00273731255065986,0.002399360240064003
random,Random-geometric topology,100,0.1,no_curvature,nn,5,2.472376161616161,0.25586677847590905,0.22427711986355692,0.12279199999999998,0.0013480801163135692,0.0011816443214436418
random,Random-geometric topology,100,0.15,curvature,matched_random,5,4.734621373737373,0.22846746572712068,0.20026056333307451,0.129492,0.0036855555890530317,0.0032305319101349284
random,Random-geometric topology,100,0.15,curvature,nn,5,3.5638062222222215,0.14665349672653716,0.12854745762488334,0.129248,0.0028086509217060047,0.0024618910793128097
random,Random-geometric topology,100,0.15,no_curvature,nn,5,3.67249103030303,0.16110899581959742,0.1412182612442249,0.12608,0.001477768588108442,0.0012953212790655503
random,Random-geometric topology,100,0.2,curvature,matched_random,5,6.249686585858586,0.5010636267710546,0.4392016335609633,0.131308,0.0019077526045061528,0.0016722188871077875
random,Random-geometric topology,100,0.2,curvature,nn,5,4.77944682828283,0.19496423842084973,0.1708936897938745,0.13011599999999998,0.0010101881012959933,0.0008854689117072394
random,Random-geometric topology,100,0.2,no_curvature,nn,5,4.90709785858586,0.3219483141954238,0.28220013978671177,0.127244,0.0006856238035541027,0.0006009757612416627
random,Random-geometric topology,100,0.25,curvature,matched_random,5,7.693629090909089,0.4258804487762634,0.37330067243072207,0.131012,0.0030920737378012145,0.0027103221311128274
random,Random-geometric topology,100,0.25,curvature,nn,5,5.918752242424242,0.2706176531995546,0.2372068316385417,0.131716,0.0018140231531047213,0.0015900614005754609
random,Random-geometric topology,100,0.25,no_curvature,nn,5,6.077164040404043,0.4175945543829349,0.36603776576851826,0.12844,0.002112676028169009,0.0018518421876607047
random,Random-geometric topology,100,0.3,curvature,matched_random,5,9.446827272727269,0.6272911247243858,0.5498449138538819,0.12815600000000002,0.00438714941619271,0.0038455060142457234
random,Random-geometric topology,100,0.3,curvature,nn,5,7.259382505050508,0.391779593074956,0.34340995450662054,0.12958,0.005137548053303255,0.004503259420464254
random,Random-geometric topology,100,0.3,no_curvature,nn,5,7.468641090909091,0.449433955915617,0.3939462317149936,0.128248,0.0025262462271124723,0.0022143524503565374
