topology,topology_label,node_count,scenario_id,n_nodes,fixed_training_center,mean_c_kappa,std_c_kappa_nodes,median_c_kappa,p05_c_kappa,p95_c_kappa,mean_delta_c_kappa,mean_abs_delta_c_kappa,rmse_delta_c_kappa
community,Community topology,50,n050_s00,50,0.4012991820118967,0.2716369561810738,0.23147717488607758,0.25,0.0,0.6999999999999998,-0.12966222583082287,0.22718249419722344,0.2653186297655011
community,Community topology,50,n050_s01,50,0.4012991820118967,0.34386686997213317,0.2237675305962063,0.3076923076923077,0.04500000000000002,0.75,-0.05743231203976357,0.18771013693521213,0.231020298275621
community,Community topology,50,n050_s02,50,0.4012991820118967,0.32985344737821515,0.22213742224149577,0.34523809523809523,0.0,0.7272727272727273,-0.0714457346336815,0.19131132067772824,0.2333442250355535
community,Community topology,50,n050_s03,50,0.4012991820118967,0.36290946308593364,0.23975958830300317,0.3333333333333333,0.0,0.75,-0.03838971892596301,0.19853863459521187,0.24281357190742042
community,Community topology,50,n050_s04,50,0.4012991820118967,0.3695052153728624,0.23084910777574358,0.4,0.0625,0.75,-0.03179396663903426,0.18391688177774326,0.23302825338465052
community,Community topology,60,n060_s00,60,0.4012991820118967,0.3238732605973318,0.2435118533223286,0.26785714285714285,0.0,0.8235294117647058,-0.07742592141456489,0.21391275547490884,0.25552455070965224
community,Community topology,60,n060_s01,60,0.4012991820118967,0.30375756617823174,0.22577252204227452,0.30090497737556565,0.0,0.7272727272727273,-0.09754161583366487,0.20786888766216452,0.24594226665779026
community,Community topology,60,n060_s02,60,0.4012991820118967,0.3416707737566871,0.21309215341577686,0.3333333333333333,0.0,0.6666666666666666,-0.05962840825520961,0.1769097440319905,0.2212776828295681
community,Community topology,60,n060_s03,60,0.4012991820118967,0.3886282712385654,0.28602656982045116,0.4,0.0,1.0,-0.012670910773331334,0.24070852668420992,0.2863070914648799
community,Community topology,60,n060_s04,60,0.4012991820118967,0.4232803116645995,0.24473466222782292,0.4,0.11676470588235294,1.0,0.021981129652702904,0.1747013862096412,0.245719809857845
community,Community topology,70,n070_s00,70,0.4012991820118967,0.35439608713818854,0.30916411558545476,0.25,0.0,1.0,-0.04690309487370813,0.2765079572257911,0.3127016959891144
community,Community topology,70,n070_s01,70,0.4012991820118967,0.3991209687776473,0.20294003043022943,0.4,0.14285714285714285,0.7782967032967032,-0.0021782132342494463,0.1518528773000604,0.20295171978555962
community,Community topology,70,n070_s02,70,0.4012991820118967,0.3409868988081062,0.2529561059659666,0.4,0.0,0.7400375939849622,-0.060312283203790444,0.21573640549574832,0.26004684780000614
community,Community topology,70,n070_s03,70,0.4012991820118967,0.3775460175749101,0.18936085413722978,0.375,0.03461538461538463,0.7149999999999999,-0.023753164436986548,0.14382876381647355,0.1908448215182999
community,Community topology,70,n070_s04,70,0.4012991820118967,0.31741015022129576,0.2492323336526441,0.3333333333333333,0.0,0.9205882352941172,-0.08388903179060096,0.20414799288826027,0.2629717205189702
community,Community topology,80,n080_s00,80,0.4012991820118967,0.37586189835706085,0.26122747188434825,0.35714285714285715,0.0,0.8323529411764701,-0.02543728365483579,0.20805195514673597,0.2624630401919945
community,Community topology,80,n080_s01,80,0.4012991820118967,0.40172234854597644,0.31126810083135725,0.36278195488721804,0.0,1.0,0.000423166534079758,0.24859394881308267,0.31126838847701116
community,Community topology,80,n080_s02,80,0.4012991820118967,0.4129182810868183,0.21529716641855143,0.4,0.1407142857142857,0.7807692307692301,0.011619099074921552,0.15634462445012914,0.2156104666549615
community,Community topology,80,n080_s03,80,0.4012991820118967,0.3822926006667089,0.23781368015669685,0.36278195488721804,0.0,1.0,-0.019006581345187797,0.17591810519868825,0.238571994593043
community,Community topology,80,n080_s04,80,0.4012991820118967,0.39248062117490207,0.24012590618672688,0.4,0.0,0.8,-0.008818560836994652,0.19219557273786397,0.24028778128992023
community,Community topology,90,n090_s00,90,0.4012991820118967,0.40081056108680957,0.23576324965292048,0.4,0.0,0.7782967032967032,-0.000488620925087115,0.18879945047159877,0.23576375598745822
community,Community topology,90,n090_s01,90,0.4012991820118967,0.4066695370893446,0.23731964492196794,0.45454545454545453,0.0,0.75,0.005370355077447906,0.19888629627223556,0.2373804005800538
community,Community topology,90,n090_s02,90,0.4012991820118967,0.31665861351199226,0.27635829316134686,0.25,0.0,0.8,-0.08464056849990453,0.2516309640800147,0.2890292926937336
community,Community topology,90,n090_s03,90,0.4012991820118967,0.37382756883357005,0.22543834551812436,0.35714285714285715,0.045454545454545456,0.7272727272727273,-0.027471613178326592,0.18534697797930266,0.22710600423715976
community,Community topology,90,n090_s04,90,0.4012991820118967,0.3792823456313158,0.2656805379659539,0.3076923076923077,0.023684210526315797,1.0,-0.022016836380580797,0.21810172884618856,0.26659124017508146
community,Community topology,100,n100_s00,100,0.4012991820118967,0.41770892557090633,0.23385909065800922,0.3875,0.0730769230769231,0.8571428571428571,0.01640974355900966,0.18755685626447652,0.23443411434145725
community,Community topology,100,n100_s01,100,0.4012991820118967,0.3724780280091426,0.2101787203903203,0.375,0.0,0.6004347826086956,-0.02882115400275412,0.16929469216113863,0.21214559487051085
community,Community topology,100,n100_s02,100,0.4012991820118967,0.3379825703752881,0.20271996161303638,0.34782608695652173,0.0,0.6666666666666666,-0.0633166116366086,0.17083609159318233,0.21237790879828358
community,Community topology,100,n100_s03,100,0.4012991820118967,0.4366773008845396,0.2743919966994051,0.4444444444444444,0.0,1.0,0.03537811887264294,0.2181015359138911,0.27666329562783204
community,Community topology,100,n100_s04,100,0.4012991820118967,0.41338299670894907,0.26807671994001053,0.4891304347826087,0.0,0.75,0.012083814697052365,0.2353350069233955,0.2683489264957614
community,Community topology,110,n110_s00,110,0.4012991820118967,0.4372993932119349,0.23499030106438856,0.45454545454545453,0.0,0.7857142857142857,0.03600021120003829,0.1914866164369437,0.23773190110033476
community,Community topology,110,n110_s01,110,0.4012991820118967,0.4062665358537036,0.21030767449280552,0.4,0.07692307692307693,0.7149999999999999,0.004967353841806775,0.1716534644387225,0.2103663294226563
community,Community topology,110,n110_s02,110,0.4012991820118967,0.4453672247255348,0.24346750363568306,0.45454545454545453,0.0,0.9205882352941172,0.04406804271363822,0.19128621184862982,0.24742355933742927
community,Community topology,110,n110_s03,110,0.4012991820118967,0.3495979307026494,0.20512681742486497,0.3181818181818182,0.0,0.7124999999999997,-0.051701251309247374,0.1745158350427471,0.2115420303717345
community,Community topology,110,n110_s04,110,0.4012991820118967,0.41158491126669267,0.19990634239003446,0.4,0.11764705882352941,0.6842105263157895,0.010285729254796053,0.16162936954695853,0.20017078196895932
community,Community topology,120,n120_s00,120,0.4012991820118967,0.38579932254408966,0.20811773188185412,0.35714285714285715,0.0,0.7692307692307693,-0.015499859467807015,0.16685723959181828,0.2086941205860124
community,Community topology,120,n120_s01,120,0.4012991820118967,0.39373882742569644,0.21001320222326347,0.4,0.0,0.770054945054945,-0.007560354586200228,0.16536231326039683,0.21014924237203056
community,Community topology,120,n120_s02,120,0.4012991820118967,0.4599704477878935,0.2507537915490654,0.45454545454545453,0.0,0.7964285714285708,0.058671265775996774,0.20595066947084195,0.2575262732304993
community,Community topology,120,n120_s03,120,0.4012991820118967,0.43583216895371124,0.23272962084590793,0.45454545454545453,0.0,0.7531249999999998,0.034532986941814524,0.18761399202742063,0.2352777159150513
community,Community topology,120,n120_s04,120,0.4012991820118967,0.42505679661249945,0.23427476784985973,0.3875,0.0,1.0,0.023757614600602817,0.17965823539222056,0.2354763068816403
community,Community topology,130,n130_s00,130,0.4012991820118967,0.4600927577552186,0.23843069928123758,0.4258241758241758,0.0625,1.0,0.058793575743321905,0.1811162454180874,0.24557256139158884
community,Community topology,130,n130_s01,130,0.4012991820118967,0.3997443240249573,0.23231338869538248,0.4,0.0,0.75,-0.001554857986939426,0.18879898882189772,0.23231859191741716
community,Community topology,130,n130_s02,130,0.4012991820118967,0.39642156200944534,0.24067713115129422,0.4,0.0,0.7556856187290969,-0.004877620002451314,0.18961945452203754,0.24072655158105344
community,Community topology,130,n130_s03,130,0.4012991820118967,0.4449482625177692,0.23106688780767334,0.45454545454545453,0.0,0.7857142857142857,0.04364908050587255,0.18641409295916772,0.23515345812922256
