topology,topology_label,node_count,n_scenarios,fixed_training_center,mean_test_c_kappa,std_test_c_kappa,ci95_test_c_kappa,mean_center_delta,std_center_delta,ci95_center_delta,mean_abs_delta_c_kappa,mean_rmse_delta_c_kappa
community,Community topology,50,5,0.4012991820118967,0.33555439039804363,0.039012802331722385,0.03419622897854547,-0.06574479161385303,0.03901280233172239,0.034196228978545476,0.19773189363662377,0.24110499567374935
community,Community topology,60,5,0.4012991820118967,0.3562420366870831,0.0488816875575977,0.042846688283608096,-0.04505714532481356,0.0488816875575977,0.042846688283608096,0.20282026001258296,0.2509542803039471
community,Community topology,70,5,0.4012991820118967,0.3578920245040296,0.03171313721413893,0.027797790391512436,-0.04340715750786711,0.031713137214138924,0.027797790391512433,0.19841479934526673,0.24590336112239006
community,Community topology,80,5,0.4012991820118967,0.3930551499662933,0.01484448349377072,0.013011763479714403,-0.008244032045603384,0.014844483493770698,0.013011763479714384,0.19622084126929998,0.2536403342413861
community,Community topology,90,5,0.4012991820118967,0.3754497252306065,0.035677597436778306,0.03127279299186335,-0.025849456781290227,0.035677597436778355,0.03127279299186339,0.20855308352986804,0.2511741387346974
community,Community topology,100,5,0.4012991820118967,0.3956459643097651,0.039833300866000065,0.03491542765379434,-0.005653217702131552,0.039833300866000086,0.03491542765379435,0.19622483657121684,0.24079396802676906
community,Community topology,110,5,0.4012991820118967,0.41002319915210306,0.03761966054199566,0.032975086358848604,0.008724017140206392,0.03761966054199574,0.032975086358848674,0.17811429946280033,0.2214469204402228
community,Community topology,120,5,0.4012991820118967,0.42007951266477805,0.0305498337729726,0.02677810996693276,0.018780330652881375,0.030549833772972584,0.026778109966932744,0.18108848994853968,0.22942473179704675
community,Community topology,130,5,0.4012991820118967,0.4351994925390474,0.03550690910379812,0.031123178071383498,0.033900310527150736,0.03550690910379815,0.031123178071383525,0.1841366350428941,0.23682350568151872
community,Community topology,140,5,0.4012991820118967,0.43407316783482186,0.01731278028926895,0.015175321013678944,0.03277398582292518,0.01731278028926892,0.01517532101367892,0.17734696557572274,0.22768655324488257
community,Community topology,150,5,0.4012991820118967,0.42152333011229104,0.019989192935650928,0.01752130013403383,0.020224148100394346,0.019989192935650935,0.017521300134033836,0.19994352741108187,0.251198720430454
random,Random-geometric topology,50,5,0.42143491589124205,0.37644069598735824,0.05320831158708331,0.04663914145726953,-0.044994219903883775,0.053208311587083335,0.04663914145726956,0.22024872897457343,0.2653888638023958
random,Random-geometric topology,60,5,0.42143491589124205,0.3919714456637124,0.04236587622559645,0.03713532783337614,-0.02946347022752959,0.04236587622559646,0.037135327833376156,0.19691535597198848,0.23836904249624058
random,Random-geometric topology,70,5,0.42143491589124205,0.42744178539742494,0.01700182623973448,0.014902757771764885,0.006006869506182827,0.017001826239734518,0.014902757771764917,0.19659345246089335,0.24478473916776147
random,Random-geometric topology,80,5,0.42143491589124205,0.4084025826092919,0.030141184989291338,0.026419913514913063,-0.013032333281950076,0.030141184989291355,0.02641991351491308,0.16331989974800085,0.21402105615275335
random,Random-geometric topology,90,5,0.42143491589124205,0.41414530081753476,0.027169128516640786,0.023814791155033634,-0.007289615073707229,0.027169128516640804,0.023814791155033647,0.1820662585510937,0.2221490430474958
random,Random-geometric topology,100,5,0.42143491589124205,0.4287348785513979,0.031060678268302604,0.02722588490978863,0.0072999626601558745,0.031060678268302534,0.027225884909788566,0.19938228011818193,0.24958188530992928
random,Random-geometric topology,110,5,0.42143491589124205,0.4389515840567517,0.02255193223814495,0.01976764017531674,0.017516668165509654,0.02255193223814494,0.019767640175316736,0.17855411408141825,0.22522415128048062
random,Random-geometric topology,120,5,0.42143491589124205,0.4345936847029616,0.025491438667237125,0.02234423116404987,0.01315876881171954,0.025491438667237125,0.02234423116404987,0.17695319481321234,0.22640106999857137
random,Random-geometric topology,130,5,0.42143491589124205,0.4221793641830124,0.02217182951028145,0.019434465444445874,0.0007444482917704026,0.02217182951028142,0.019434465444445846,0.16978004802307584,0.21749136439208896
random,Random-geometric topology,140,5,0.42143491589124205,0.4571499147307872,0.02181090951660374,0.01911810512144743,0.03571499883954515,0.02181090951660371,0.019118105121447404,0.18146211908969384,0.2293137678755524
random,Random-geometric topology,150,5,0.42143491589124205,0.4409601729880356,0.02117020052852285,0.018556498931798993,0.019525257096793522,0.021170200528522875,0.018556498931799018,0.1764614213070253,0.22432067191324107
