topology,topology_label,scenario_id,node_count,slots,fixed_training_center,test_n150_center,original_fixed_mean_VAoI,recentered_mean_VAoI,delta_recentered_minus_fixed_VAoI,original_fixed_actual_tx_ratio,recentered_actual_tx_ratio,delta_recentered_minus_fixed_tx_ratio,original_fixed_action_prob_mean,recentered_action_prob_mean,delta_recentered_minus_fixed_action_prob,no_curvature_mean_VAoI
community,Community topology,n150_s00,150,200,0.4012991820118967,0.42152333011229104,6.127230425055931,6.107745413870245,-0.019485011185685686,0.12776666666666667,0.12636666666666665,-0.0014000000000000123,0.12914049625396729,0.1266564279794693,-0.002484068274497986,6.693222371364653
community,Community topology,n150_s01,150,200,0.4012991820118967,0.42152333011229104,7.542855033557047,7.141614988814317,-0.40124004474273,0.12446666666666668,0.12243333333333332,-0.002033333333333359,0.12768980860710144,0.1250772774219513,-0.0026125311851501465,7.360855704697986
community,Community topology,n150_s02,150,200,0.4012991820118967,0.42152333011229104,6.064595749440718,6.224354809843398,0.1597590604026795,0.1243,0.12229999999999999,-0.0020000000000000018,0.12706023454666138,0.12468337267637253,-0.002376861870288849,7.165222595078296
community,Community topology,n150_s03,150,200,0.4012991820118967,0.42152333011229104,6.552827069351232,6.573279642058168,0.02045257270693579,0.13053333333333333,0.12736666666666666,-0.0031666666666666787,0.1317347288131714,0.12945516407489777,-0.0022795647382736206,6.635411409395972
community,Community topology,n150_s04,150,200,0.4012991820118967,0.42152333011229104,6.166125503355704,6.22274496644295,0.0566194630872463,0.12703333333333333,0.12583333333333332,-0.0012000000000000066,0.1264430284500122,0.12405660003423691,-0.002386428415775299,6.763787695749443
random,Random-geometric topology,n150_s00,150,200,0.42143491589124205,0.4409601729880356,5.870836241610736,5.74903914988814,-0.12179709172259567,0.12983333333333336,0.1275666666666667,-0.002266666666666667,0.13305243849754333,0.13175681233406067,-0.001295626163482666,5.685038255033554
random,Random-geometric topology,n150_s01,150,200,0.42143491589124205,0.4409601729880356,6.161956152125275,6.055458836689038,-0.1064973154362372,0.12993333333333332,0.12766666666666665,-0.002266666666666667,0.131513312458992,0.12974737584590912,-0.0017659366130828857,6.121148545861298
random,Random-geometric topology,n150_s02,150,200,0.42143491589124205,0.4409601729880356,5.875139149888138,5.711204697986578,-0.16393445190155997,0.13340000000000002,0.13206666666666667,-0.001333333333333353,0.132145494222641,0.13037408888339996,-0.0017714053392410278,5.79473378076063
random,Random-geometric topology,n150_s03,150,200,0.42143491589124205,0.4409601729880356,5.861906487695751,6.002427069351232,0.14052058165548154,0.12916666666666668,0.12723333333333334,-0.0019333333333333425,0.12724371254444122,0.12510597705841064,-0.0021377354860305786,5.919661744966445
random,Random-geometric topology,n150_s04,150,200,0.42143491589124205,0.4409601729880356,5.9975897091722565,5.899495525727071,-0.09809418344518583,0.12573333333333334,0.12493333333333333,-0.000800000000000009,0.12788325548171997,0.1255989521741867,-0.002284303307533264,5.882642058165545
