topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
community,Community topology,50,curvature,matched_random,5,5.343937959183673,0.45294225936402227,0.3970213952735554,0.10554000000000001,0.004834563061952961,0.004237681366030248,0.10630851835012436,0.004559734814374965,0.003996783785691405
community,Community topology,50,curvature,nn,5,4.060328979591835,0.3239106380852695,0.28392019251444595,0.10700000000000001,0.00441984162612191,0.0038741619997103858,0.10630851984024048,0.004559722379400538,0.003996772885955742
community,Community topology,50,no_curvature,nn,5,4.033747755102041,0.3165491432015581,0.2774675577478557,0.13194,0.0026949953617770995,0.0023622675885682514,0.13138510286808014,0.0015575443023957277,0.0013652477757447397
community,Community topology,60,curvature,matched_random,5,6.159587005649715,0.8074058300660526,0.7077224140112761,0.10771666666666666,0.005941730948693874,0.005208156807675177,0.10791226774454117,0.005236317769309736,0.004589834893714919
community,Community topology,60,curvature,nn,5,4.561740395480227,0.4407013983480238,0.38629180751827474,0.10768333333333333,0.0048187279326487075,0.004223801263211978,0.10791226476430893,0.005236320700191918,0.004589837462746422
community,Community topology,60,no_curvature,nn,5,4.520134463276835,0.42193661388871945,0.3698437487336933,0.13023333333333334,0.0018887459096212787,0.0016555587844860383,0.131080761551857,0.0024621172832849972,0.002158140952688925
community,Community topology,70,curvature,matched_random,5,6.158653830227741,0.6041590229257847,0.5295687326369081,0.10941428571428573,0.0067475241113058,0.0059144656563378615,0.10632334202528,0.0032201648374252053,0.0028225989302930288
community,Community topology,70,curvature,nn,5,4.756568322981365,0.413397828428034,0.3623591732774246,0.10691428571428571,0.002436646239805685,0.002135814598695308,0.10632335245609284,0.0032201567895368383,0.0028225918760078463
community,Community topology,70,no_curvature,nn,5,4.862744927536232,0.44144744741708847,0.38694574836000245,0.12965714285714286,0.0022260058492322883,0.0019511801557006536,0.12908183932304382,0.000860019024093264,0.0007538399119277025
community,Community topology,80,curvature,matched_random,5,6.301227689873416,0.5006833227313437,0.4388682823724781,0.109975,0.0017335161161639117,0.0015194938713269,0.10991552323102952,0.001654683882652597,0.0014503943720107207
community,Community topology,80,curvature,nn,5,4.782920727848101,0.22167370837208888,0.19430557245182634,0.11045,0.0028136803078885803,0.00246629953067343,0.10991551131010055,0.0016546895783866153,0.001450399364541712
community,Community topology,80,no_curvature,nn,5,4.862078797468355,0.5088257232593002,0.4460054111160501,0.13105,0.0018642399590717978,0.0016340783717435385,0.1299784153699875,0.0019072643344812375,0.0016717908995606896
community,Community topology,90,curvature,matched_random,5,6.9407972534332085,0.6817584125214619,0.5975875966150903,0.10700000000000001,0.002860167050288418,0.002507046956968385,0.1073104903101921,0.003558962554699941,0.0031195682230606694
community,Community topology,90,curvature,nn,5,5.416514856429463,0.3903858782461021,0.34218830959598234,0.10718888888888889,0.004151007612319067,0.003638518596935694,0.1073104903101921,0.003558961568348762,0.0031195673584857413
community,Community topology,90,no_curvature,nn,5,5.632781273408239,0.46284616229110004,0.4057025489470574,0.12904444444444443,0.002396435109609249,0.0021005679890313484,0.12771433889865874,0.001390779914523686,0.001219072344801593
community,Community topology,100,curvature,matched_random,5,7.444190909090911,0.18185138610490906,0.15939976796418984,0.10878999999999998,0.006298452190816407,0.005520836762665601,0.10894479751586914,0.004354741562212428,0.003817099277759842
community,Community topology,100,curvature,nn,5,5.716221313131314,0.21110649680520865,0.18504300312052915,0.10811,0.004314713200202307,0.0037820128714746632,0.10894479155540467,0.004354751480386493,0.0038171079714227197
community,Community topology,100,no_curvature,nn,5,5.869751616161614,0.3915547838128295,0.3432129005001226,0.12886000000000003,0.0015958540033474244,0.0013988277091908068,0.1282812088727951,0.0012255608934666417,0.001074251487595861
community,Community topology,110,curvature,matched_random,5,7.411036697247702,0.7487455945374366,0.6563044505177678,0.10977272727272727,0.00467729260531159,0.0040998277327244535,0.1094435915350914,0.0037872231550191305,0.0033196474608689274
community,Community topology,110,curvature,nn,5,5.723686488740618,0.4392489601769396,0.38501868932868005,0.10862727272727271,0.00444216740338198,0.0038937314063071677,0.1094435915350914,0.0037872119480868295,0.0033196376375596495
community,Community topology,110,no_curvature,nn,5,6.2439322768974135,0.5276978850504946,0.4625475902818642,0.12775454545454545,0.00176589592834687,0.00154787602809369,0.12853809595108032,0.0015151552982130743,0.0013280921753631727
community,Community topology,120,curvature,matched_random,5,7.605335784313728,0.32142851582123505,0.2817445164229941,0.11071666666666666,0.0036856045034099334,0.0032305747854591547,0.10963994264602661,0.0034483766507005208,0.0030226354043718495
community,Community topology,120,curvature,nn,5,6.055244257703081,0.14721247553705433,0.1290374241552563,0.11011666666666667,0.003114621655282642,0.0027300862521987225,0.10963995307683945,0.003448385546061945,0.003022643201499918
community,Community topology,120,no_curvature,nn,5,6.235223319327731,0.3686215279531917,0.3231110154334848,0.12883333333333333,0.0008436856971381912,0.0007395231196145556,0.1275807201862335,0.0011647652082880785,0.0010209617199550673
