checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model
160,u0.05_s00,nn,100,500,0.05,0.1,0.10192298889160156,0.10192298889160156,1.575242828282827,0.10208,0.10192298889160156,0.060745224356651306,0.026212722063064575,0.03695329129695892,0.08601135015487671,0.1854039967060089,0.39194539189338684,0.060146763920784,0.060745224356651306,0.022897643968462944,community,curvature
160,u0.05_s00,matched_random,100,500,0.05,0.1,0.10192298889160156,0.10192298889160156,2.0950367676767674,0.10400000000000001,0.10192298889160156,0.0,0.10192298889160156,0.10192298889160156,0.10192298889160156,0.10192298889160156,0.10192298889160156,0.0,0.0,1.4901161193847656e-08,community,curvature
160,u0.05_s01,nn,100,500,0.05,0.1,0.10223522782325745,0.10223522782325745,1.4844456565656565,0.1018,0.10223522782325745,0.06084128096699715,0.026227593421936035,0.039869606494903564,0.08462785184383392,0.18990231156349183,0.3978625237941742,0.06021406501531601,0.06084128096699715,0.021668676286935806,community,curvature
160,u0.05_s01,matched_random,100,500,0.05,0.1,0.10223522782325745,0.10223522782325745,1.9504549494949488,0.10152,0.10223520547151566,2.2351741790771484e-08,0.10223522782325745,0.10223522782325745,0.10223522782325745,0.10223522782325745,0.10223522782325745,3.725290298461914e-08,2.2351741790771484e-08,7.450580596923828e-09,community,curvature
160,u0.05_s02,nn,100,500,0.05,0.1,0.10398983210325241,0.10398983210325241,1.445205454545453,0.10456,0.10398983210325241,0.05965893343091011,0.026301711797714233,0.04266386330127716,0.08562575280666351,0.19308079481124876,0.39187392592430115,0.05896597355604172,0.05965893343091011,0.017115995287895203,community,curvature
160,u0.05_s02,matched_random,100,500,0.05,0.1,0.10398983210325241,0.10398983210325241,1.956333131313132,0.10310000000000001,0.10398983210325241,0.0,0.10398983210325241,0.10398983210325241,0.10398983210325241,0.10398983210325241,0.10398983210325241,1.4901161193847656e-08,0.0,1.4901161193847656e-08,community,curvature
160,u0.05_s03,nn,100,500,0.05,0.1,0.10148156434297562,0.10148156434297562,1.5603311111111096,0.10035999999999999,0.10148156434297562,0.05967770889401436,0.026051461696624756,0.03835446015000343,0.08926145732402802,0.18274978697299957,0.39440470933914185,0.058988213539123535,0.05967770889401436,0.022585192695260048,community,curvature
160,u0.05_s03,matched_random,100,500,0.05,0.1,0.10148156434297562,0.10148156434297562,2.2341959595959606,0.10253999999999999,0.10148156434297562,0.0,0.10148156434297562,0.10148156434297562,0.10148156434297562,0.10148156434297562,0.10148156434297562,0.0,0.0,2.2351741790771484e-08,community,curvature
160,u0.05_s04,nn,100,500,0.05,0.1,0.10398401319980621,0.10398401319980621,1.4960719191919185,0.10407999999999999,0.10398401319980621,0.06111418083310127,0.026373684406280518,0.04038268625736237,0.08498041331768036,0.19308420419692993,0.3966996669769287,0.06034090369939804,0.06111418083310127,0.019548071548342705,community,curvature
160,u0.05_s04,matched_random,100,500,0.05,0.1,0.10398401319980621,0.10398401319980621,1.8911262626262624,0.10460000000000001,0.10398400574922562,7.450580596923828e-09,0.10398401319980621,0.10398401319980621,0.10398401319980621,0.10398401319980621,0.10398401319980621,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08,community,curvature
