topology,topology_label,node_count,update_probability,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
community,Community topology,100,0.05,curvature,matched_random,5,2.0254294141414144,0.13861949477240992,0.12150534442057184,0.103152,0.0012100082644345928,0.0010606190071840178,0.10272271931171417,0.0011847069732209249,0.0010384414476116842
community,Community topology,100,0.05,curvature,nn,5,1.512259393939393,0.05433615763737042,0.047627742108415416,0.102576,0.0017289534406686616,0.0015154945099207723,0.10272272527217866,0.001184706656839171,0.0010384411702908498
community,Community topology,100,0.05,no_curvature,nn,5,1.5564496161616166,0.09993304730013777,0.08759517808902946,0.122492,0.001591891956132702,0.0013953548216851513,0.12253977954387665,0.0006009442388021698,0.0005267508501102193
community,Community topology,100,0.1,curvature,matched_random,5,3.8750064242424243,0.19876933797447982,0.17422900660899834,0.107212,0.0020918221721742984,0.0018335629769386161,0.10715740621089935,0.0012852331753796557,0.001126556548858033
community,Community topology,100,0.1,curvature,nn,5,2.8769653333333327,0.08385718119424933,0.07350406016032852,0.107528,0.0016579867309481104,0.0014532894461875105,0.10715741664171219,0.0012852304559469528,0.0011265541651701706
community,Community topology,100,0.1,no_curvature,nn,5,2.997285333333332,0.17721868081372236,0.15533902273546982,0.126332,0.0006797940864702995,0.0005958657889155842,0.12590745091438293,0.0012301909371092614,0.001078309899786747
community,Community topology,100,0.15,curvature,matched_random,5,5.722224767676768,0.6169546350046643,0.5407845811383682,0.108724,0.004299846508888427,0.0037689816419823525,0.10821458995342255,0.003872049354637238,0.0033940009031275973
community,Community topology,100,0.15,curvature,nn,5,4.403994303030301,0.2934433882289103,0.25721447054206037,0.108212,0.004124356919569397,0.0036151582347664917,0.1082145854830742,0.0038720539279015775,0.0033940049117705345
community,Community topology,100,0.15,no_curvature,nn,5,4.434668969696969,0.3025327367781868,0.26518163582318993,0.12799599999999997,0.0013917902140768267,0.0012199579114051495,0.1285460501909256,0.0006707036376149513,0.000587897659173659
community,Community topology,100,0.2,curvature,matched_random,5,7.498001414141416,0.5917322340747708,0.5186761719486499,0.107436,0.003513215051772379,0.0030794687687326853,0.10796408653259278,0.002778710477050415,0.002435647122458434
community,Community topology,100,0.2,curvature,nn,5,5.643808242424242,0.27730127196217647,0.24306528178699655,0.10872000000000001,0.0017617037208338998,0.0015442013961915737,0.10796408653259278,0.002778697109358354,0.002435635405159719
community,Community topology,100,0.2,no_curvature,nn,5,5.692946666666667,0.30093188174892965,0.2637784245215137,0.13038,0.0014197887166758284,0.0012444996809963418,0.12939105927944183,0.0011887317600466336,0.0010419693288110786
community,Community topology,100,0.25,curvature,matched_random,5,9.777205333333338,1.0924332373987946,0.9575599520439171,0.10815999999999999,0.004707971962533339,0.004126719374999954,0.10830386728048325,0.0040888007733829584,0.0035839918984892994
community,Community topology,100,0.25,curvature,nn,5,7.417073737373738,0.6399974137662199,0.5609824672612883,0.108504,0.0026544830005106475,0.0023267569382296916,0.1083038717508316,0.004088788553224749,0.0035839811870483538
community,Community topology,100,0.25,no_curvature,nn,5,7.7130653333333346,0.6675982708300996,0.5851756851730677,0.129968,0.0005243281415297084,0.000459593879854811,0.1295725643634796,0.0013016842946707292,0.0011409765907060261
community,Community topology,100,0.3,curvature,matched_random,5,11.706375151515157,1.150609030078027,1.0085532826575907,0.11057600000000001,0.0019958657269465775,0.0017494534442505155,0.10985574275255203,0.002014984266818484,0.0017662115833258919
community,Community topology,100,0.3,curvature,nn,5,8.570425050505053,0.22254416388986578,0.1950685603538088,0.11000800000000002,0.0019810906087304545,0.001736502482117432,0.1098557397723198,0.0020149673417748973,0.001766196747871083
community,Community topology,100,0.3,no_curvature,nn,5,8.881823676767677,0.3822724084115412,0.33507653972326124,0.130136,0.0010687749997076131,0.0009368225923834279,0.12999190092086793,0.0008343336708568434,0.0007313257071495121
random,Random-geometric topology,100,0.05,curvature,matched_random,5,1.6010230303030304,0.10207271401422628,0.0894706786560125,0.10472000000000001,0.003640494471909001,0.0031910340994730836,0.10557125061750412,0.002995665504363524,0.0026258165885983484
random,Random-geometric topology,100,0.05,curvature,nn,5,1.2861091313131312,0.07440022556439062,0.06521467306609166,0.106492,0.003579597742763847,0.0031376557628905086,0.10557125955820083,0.0029956664983064422,0.002625817459827729
random,Random-geometric topology,100,0.05,no_curvature,nn,5,1.2619472323232315,0.09617465778652445,0.08430080442919166,0.11846399999999999,0.0011899915966089806,0.001043073624247106,0.11835421472787858,0.00039797923178134105,0.0003488441774313195
random,Random-geometric topology,100,0.1,curvature,matched_random,5,3.1132920404040405,0.2926704645217191,0.2565369730413857,0.110652,0.0020344827352425437,0.0017833027444603975,0.11061854958534241,0.0017434915903549568,0.0015282377599792967
random,Random-geometric topology,100,0.1,curvature,nn,5,2.4722301010101004,0.17648857868538376,0.1546990600035927,0.110264,0.0020444754828561787,0.0017920617739352635,0.11061855852603912,0.0017434820245108905,0.0015282293751472796
random,Random-geometric topology,100,0.1,no_curvature,nn,5,2.472376161616161,0.25586677847590905,0.22427711986355692,0.12279199999999998,0.0013480801163135692,0.0011816443214436418,0.12342202812433242,0.0013915913646822865,0.0012197836122258667
random,Random-geometric topology,100,0.15,curvature,matched_random,5,4.73425111111111,0.30063841030276195,0.26352118545710396,0.11318399999999999,0.003963821388508823,0.0034744426375463463,0.11210211962461472,0.0030423268139323327,0.0026667170297634355
random,Random-geometric topology,100,0.15,curvature,nn,5,3.685659353535354,0.1697796544269931,0.14881842861011044,0.112724,0.0036530370926121203,0.003202028191256287,0.11210213601589203,0.0030423319870753265,0.002666721564223197
random,Random-geometric topology,100,0.15,no_curvature,nn,5,3.67249103030303,0.16110899581959742,0.1412182612442249,0.12608,0.001477768588108442,0.0012953212790655503,0.12543836683034898,0.0008795917620934565,0.0007709961732159982
random,Random-geometric topology,100,0.2,curvature,matched_random,5,6.217260888888886,0.5545381993546958,0.48607416307195245,0.114708,0.001464417973121058,0.0012836189490654892,0.11416361331939698,0.0009979327243540383,0.0008747266001818581
random,Random-geometric topology,100,0.2,curvature,nn,5,4.8554709898989925,0.23518530934632115,0.20614901289101475,0.11409600000000002,0.0011416128941107817,0.001000667821807015,0.1141636162996292,0.0009979226987338861,0.0008747178123383329
random,Random-geometric topology,100,0.2,no_curvature,nn,5,4.90709785858586,0.3219483141954238,0.28220013978671177,0.127244,0.0006856238035541027,0.0006009757612416627,0.12715075314044952,0.0009063682463158922,0.0007944667964725665
random,Random-geometric topology,100,0.25,curvature,matched_random,5,7.728787313131312,0.48294867497706534,0.42332317822173055,0.11478400000000002,0.003073935588134534,0.0026944233419416487,0.11448115557432174,0.0025430699589541698,0.002229099101505576
random,Random-geometric topology,100,0.25,curvature,nn,5,6.093987676767677,0.3269057163499716,0.286545494364786,0.11474,0.0015083103128998338,0.0013220922811967384,0.1144811451435089,0.002543074423817645,0.002229103015130967
random,Random-geometric topology,100,0.25,no_curvature,nn,5,6.077164040404043,0.4175945543829349,0.36603776576851826,0.12844,0.002112676028169009,0.0018518421876607047,0.12797791063785552,0.0010104101978419709,0.000885663587913194
random,Random-geometric topology,100,0.3,curvature,matched_random,5,9.535635191919194,0.6599988193132897,0.5785144722212138,0.111236,0.0034368124766998927,0.0030124989589375858,0.11185432374477386,0.003318442397175461,0.002908743009564661
random,Random-geometric topology,100,0.3,curvature,nn,5,7.433893858585859,0.36816108835493006,0.3227074223309165,0.11219599999999999,0.003900189738974242,0.003418667037545478,0.11185433715581894,0.0033184378011990832,0.0029087389810137448
random,Random-geometric topology,100,0.3,no_curvature,nn,5,7.468641090909091,0.449433955915617,0.3939462317149936,0.128248,0.0025262462271124723,0.0022143524503565374,0.12807836532592773,0.0009649108005368498,0.0008457816077518615
