topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability,model_label
community,Community topology,50,v32_curvature,nn,5.0,4.060328979591835,0.3239106380852695,0.28392019251444595,0.10700000000000001,0.00441984162612191,0.0038741619997103858,0.10630851984024048,0.004559722379400538,0.003996772885955742,V3.2 curvature MPNN
community,Community topology,60,v32_curvature,nn,5.0,4.561740395480227,0.4407013983480238,0.38629180751827474,0.10768333333333333,0.0048187279326487075,0.004223801263211978,0.10791226476430893,0.005236320700191918,0.004589837462746422,V3.2 curvature MPNN
community,Community topology,70,v32_curvature,nn,5.0,4.756568322981365,0.413397828428034,0.3623591732774246,0.10691428571428571,0.002436646239805685,0.002135814598695308,0.10632335245609284,0.0032201567895368383,0.0028225918760078463,V3.2 curvature MPNN
community,Community topology,80,v32_curvature,nn,5.0,4.782920727848101,0.22167370837208888,0.19430557245182634,0.11045,0.0028136803078885803,0.00246629953067343,0.10991551131010055,0.0016546895783866153,0.001450399364541712,V3.2 curvature MPNN
community,Community topology,90,v32_curvature,nn,5.0,5.416514856429463,0.3903858782461021,0.34218830959598234,0.10718888888888889,0.004151007612319067,0.003638518596935694,0.1073104903101921,0.003558961568348762,0.0031195673584857413,V3.2 curvature MPNN
community,Community topology,100,v32_curvature,nn,5.0,5.716221313131314,0.21110649680520865,0.18504300312052915,0.10811,0.004314713200202307,0.0037820128714746632,0.10894479155540467,0.004354751480386493,0.0038171079714227197,V3.2 curvature MPNN
community,Community topology,110,v32_curvature,nn,5.0,5.723686488740618,0.4392489601769396,0.38501868932868005,0.10862727272727271,0.00444216740338198,0.0038937314063071677,0.1094435915350914,0.0037872119480868295,0.0033196376375596495,V3.2 curvature MPNN
community,Community topology,120,v32_curvature,nn,5.0,6.055244257703081,0.14721247553705433,0.1290374241552563,0.11011666666666667,0.003114621655282642,0.0027300862521987225,0.10963995307683945,0.003448385546061945,0.003022643201499918,V3.2 curvature MPNN
community,Community topology,130,v32_curvature,nn,5.0,6.002611568276685,0.2249081308251374,0.19714066873322983,0.11143846153846153,0.002829159241158812,0.0024798674139019073,0.11062828302383423,0.002728103512145206,0.0023912881619025405,V3.2 curvature MPNN
community,Community topology,140,v32_curvature,nn,5.0,6.180781808838644,0.5941404496089183,0.5207870659350692,0.11010714285714285,0.0013866620470226589,0.0012154628747929766,0.1102122813463211,0.0020135808035564875,0.001764981393536855,V3.2 curvature MPNN
community,Community topology,150,v32_curvature,nn,5.0,6.608326621923934,0.29775133595195424,0.2609905532113391,0.10835999999999998,0.0014343794631980935,0.0012572890342143132,0.10885202139616013,0.0024346736538750067,0.002134085550892185,V3.2 curvature MPNN
