model,model_label,panel,slot,node,node_min_curvature,broadcast_probability
v35_curvature_stage2,Curvature Stage-2,random_slot,246,0,-8.0,0.0642896294593811
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,0,-8.0,0.09783706110715866
v35_curvature_stage2,Curvature Stage-2,random_slot,246,1,-5.0,0.055732280015945435
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,1,-5.0,0.09096662360429764
v35_curvature_stage2,Curvature Stage-2,random_slot,246,2,-3.0,0.07353994250297546
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,2,-3.0,0.07950165206193924
v35_curvature_stage2,Curvature Stage-2,random_slot,246,3,-2.0,0.12442854046821594
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,3,-2.0,0.09489974355697632
v35_curvature_stage2,Curvature Stage-2,random_slot,246,4,-9.0,0.08515113592147827
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,4,-9.0,0.12620874780416488
v35_curvature_stage2,Curvature Stage-2,random_slot,246,5,-5.0,0.13343358039855957
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,5,-5.0,0.0908949972987175
v35_curvature_stage2,Curvature Stage-2,random_slot,246,6,-6.0,0.05389919877052307
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,6,-6.0,0.08884190440177918
v35_curvature_stage2,Curvature Stage-2,random_slot,246,7,-5.0,0.12821605801582336
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,7,-5.0,0.08337046492099762
v35_curvature_stage2,Curvature Stage-2,random_slot,246,8,-11.0,0.06483021378517151
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,8,-11.0,0.10083244174718857
v35_curvature_stage2,Curvature Stage-2,random_slot,246,9,-9.0,0.07816001772880554
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,9,-9.0,0.11853963834047318
v35_curvature_stage2,Curvature Stage-2,random_slot,246,10,-6.0,0.09070691466331482
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,10,-6.0,0.1103632423877716
v35_curvature_stage2,Curvature Stage-2,random_slot,246,11,-3.0,0.11108240485191345
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,11,-3.0,0.0899767484664917
v35_curvature_stage2,Curvature Stage-2,random_slot,246,12,0.0,0.0828043520450592
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,12,0.0,0.07260116076469421
v35_curvature_stage2,Curvature Stage-2,random_slot,246,13,-7.0,0.09546151757240295
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,13,-7.0,0.10046225160360336
v35_curvature_stage2,Curvature Stage-2,random_slot,246,14,-5.0,0.13696599006652832
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,14,-5.0,0.08591803854703903
v35_curvature_stage2,Curvature Stage-2,random_slot,246,15,-2.0,0.06306082010269165
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,15,-2.0,0.08328836739063263
v35_curvature_stage2,Curvature Stage-2,random_slot,246,16,-5.0,0.05370625853538513
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,16,-5.0,0.08652775329351425
v35_curvature_stage2,Curvature Stage-2,random_slot,246,17,-18.0,0.10020080208778381
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,17,-18.0,0.13388773447275162
v35_curvature_stage2,Curvature Stage-2,random_slot,246,18,-8.0,0.06200629472732544
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,18,-8.0,0.08519970726966858
v35_curvature_stage2,Curvature Stage-2,random_slot,246,19,-6.0,0.1258428990840912
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,19,-6.0,0.09083507084846497
v35_curvature_stage2,Curvature Stage-2,random_slot,246,20,-4.0,0.06204766035079956
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,20,-4.0,0.10714102339744568
v35_curvature_stage2,Curvature Stage-2,random_slot,246,21,-3.0,0.10129407048225403
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,21,-3.0,0.0901110897064209
