model,model_label,scenario_id,slot,max_VAoI,action_prob_mean
v35_curvature_stage2,Curvature Stage-2,n100_s00,0,1.0,0.10311320424079895
v35_curvature_stage2,Curvature Stage-2,n100_s00,1,2.0,0.09292776137590408
v35_curvature_stage2,Curvature Stage-2,n100_s00,2,3.0,0.08691047877073288
v35_curvature_stage2,Curvature Stage-2,n100_s00,3,3.0,0.08638805150985718
v35_curvature_stage2,Curvature Stage-2,n100_s00,4,4.0,0.08871684968471527
v35_curvature_stage2,Curvature Stage-2,n100_s00,5,4.0,0.08898858726024628
v35_curvature_stage2,Curvature Stage-2,n100_s00,6,4.0,0.09231671690940857
v35_curvature_stage2,Curvature Stage-2,n100_s00,7,5.0,0.0952138602733612
v35_curvature_stage2,Curvature Stage-2,n100_s00,8,6.0,0.09426083415746689
v35_curvature_stage2,Curvature Stage-2,n100_s00,9,7.0,0.09727860242128372
v35_curvature_stage2,Curvature Stage-2,n100_s00,10,8.0,0.09615813195705414
v35_curvature_stage2,Curvature Stage-2,n100_s00,11,8.0,0.09824850410223007
v35_curvature_stage2,Curvature Stage-2,n100_s00,12,8.0,0.09796851873397827
v35_curvature_stage2,Curvature Stage-2,n100_s00,13,8.0,0.09983734786510468
v35_curvature_stage2,Curvature Stage-2,n100_s00,14,8.0,0.09948316216468811
v35_curvature_stage2,Curvature Stage-2,n100_s00,15,8.0,0.09621992707252502
v35_curvature_stage2,Curvature Stage-2,n100_s00,16,8.0,0.0985797569155693
v35_curvature_stage2,Curvature Stage-2,n100_s00,17,9.0,0.09797365218400955
v35_curvature_stage2,Curvature Stage-2,n100_s00,18,10.0,0.09729025512933731
v35_curvature_stage2,Curvature Stage-2,n100_s00,19,10.0,0.09815026074647903
v35_curvature_stage2,Curvature Stage-2,n100_s00,20,10.0,0.10031307488679886
v35_curvature_stage2,Curvature Stage-2,n100_s00,21,10.0,0.0975046157836914
v35_curvature_stage2,Curvature Stage-2,n100_s00,22,10.0,0.09598498046398163
v35_curvature_stage2,Curvature Stage-2,n100_s00,23,10.0,0.0959109365940094
v35_curvature_stage2,Curvature Stage-2,n100_s00,24,11.0,0.09822473675012589
v35_curvature_stage2,Curvature Stage-2,n100_s00,25,11.0,0.09817306697368622
v35_curvature_stage2,Curvature Stage-2,n100_s00,26,11.0,0.0961078330874443
v35_curvature_stage2,Curvature Stage-2,n100_s00,27,12.0,0.09817595779895782
v35_curvature_stage2,Curvature Stage-2,n100_s00,28,12.0,0.09911536425352097
