topology,topology_label,node_count,model,policy,model_label,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
community,Community topology,50,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,5.730415510204081,0.47050473312537106,0.4124155822654609,0.09557999999999998,0.0046558565269990875,0.004081038181639569,0.09500453621149063,0.0026015202769467186,0.0022803330641660013
community,Community topology,60,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,6.433905084745764,0.5341755876186635,0.4682255469278008,0.09559999999999999,0.004015335187336999,0.0035195964730822937,0.09655553996562957,0.003631266478860684,0.003182945406930326
community,Community topology,70,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,6.701689233954451,0.49462097872859145,0.4335544035615663,0.09564285714285714,0.0020769630497926707,0.001820538381907943,0.09591243863105774,0.0022950628106901466,0.0020117112512752803
community,Community topology,80,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,6.910494778481014,0.39959285660298594,0.35025858194954,0.09871250000000001,0.002990740919905967,0.0026214999999999984,0.09797136783599854,0.0010646067652921019,0.000933168973827727
community,Community topology,90,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,7.852363420724094,0.6954860181618712,0.609620373492154,0.09645555555555556,0.0031886178746625155,0.002794946798230385,0.09670295864343643,0.002436409729357416,0.0021356072881469385
community,Community topology,100,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,8.39603616161616,0.6105594300414705,0.5351789368314921,0.09741,0.0027891306889423454,0.0024447808408935147,0.09801965057849885,0.003231221203565393,0.0028322902625122744
community,Community topology,110,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,8.331399332777316,0.6061849497168078,0.531344535765597,0.09856363636363637,0.003740635690882078,0.0032788117480786927,0.09831906706094742,0.0025502507514470014,0.0022353933436429227
community,Community topology,120,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,8.749040686274508,0.3782016421194023,0.3315083557445642,0.09916666666666667,0.0025143684318554215,0.0022039411037704415,0.09887259304523469,0.0025260219039252903,0.0022141558224135134
community,Community topology,130,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,8.893247763864043,0.3454129345951982,0.3027677864085203,0.0998,0.002109502310972902,0.001849060301883097,0.09976209551095963,0.0023091892726702246,0.0020240936411487363
community,Community topology,140,v35_curvature_stage2,nn,V3.5 ch2 curvature MPNN (Stage-2),5,9.462771017471738,0.5727419853487455,0.5020304850207296,0.09947857142857143,0.0020958535351537143,0.0018370966223908844,0.09952126592397689,0.0011636651086271077,0.0010199974400864767
