episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.0722361135482785,0.11662499957252294,0.10831249978626148,0.1,0.008312499786261474,0.08312498955011578,0.08312498955011578,0.11425203830003738,0.0,0.0,False,-3.363037194503704e-06,127.009521484375,0.34884175658226013,5.398836947279051e-06,0.0,1.708984314063855e-07,0.9999995827674866,4.808034896850586,0.0,0.0,0.0,0.0005148955387994647,0.0,0.0,100,0.2,0.235,0.16,970,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.21430417895317078,0.0,0.0,0.0,0.0,0.11425203830003738,0.035265110433101654,0.9853913506278098,mpnn,5,3,16,mean_max,32,38,388000,3880.0,0.47124791145324707,1.0292789936065674,0.10758177191019058,1.5804415941238403,0.1223878487944603,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.07224552631378195,0.10975059866905212,0.1617414951324463,0.21430417895317078,0.03526511788368225,0.035265110433101654,0.03526517003774643
1,7.640677530821413,0.10532499979715794,0.10681874979170972,0.1,0.006818749791709711,0.068187491098348,0.068187491098348,0.1050373986363411,0.0,0.0,False,-1.0131835551874246e-05,144.23193359375,0.3239254653453827,4.52551194030093e-06,0.0,8.544921570319275e-08,0.9999995827674866,5.179267406463623,0.0,0.0,0.0,0.0021981908939778805,0.0,0.0,100,0.2,0.2625,0.17,904,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10535085201263428,0.04750553518533707,0.05736881494522095,0.21430417895317078,-0.0033420762047171593,0.000656133342999965,-0.006294967141002417,0.0024146586656570435,0.1050373986363411,0.04736527428030968,0.9842799039959053,mpnn,5,3,16,mean_max,32,38,361600,3616.0,0.4379061758518219,1.0358426570892334,0.11059141159057617,1.5827476978302002,0.12689153850078583,0.1050373986363411,0.04736527428030968,0.0570446252822876,0.057207432389259336,0.0919826328754425,0.21353270411491393,0.21467581391334534,0.04736525937914848,0.04736527428030968,0.04736523702740669
2,6.802018676735461,0.10049999967217445,0.10365937473194209,0.1,0.0036593747319420833,0.03659374366004647,0.0,0.10418636351823807,0.0,0.0,False,-1.0107421985594556e-05,108.65418243408203,0.3241272270679474,-3.0435121516347863e-05,0.0,-1.9531249506599124e-07,0.9999995231628418,5.549810409545898,0.0,0.0,0.0,0.0017777744214981794,0.0,0.0,100,0.2,0.2575,0.13,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10536124557256699,0.04146726429462433,0.05736881494522095,0.21430417895317078,-0.012718267738819122,0.0009913231479004025,-0.017745379358530045,0.00017292586562689394,0.10418636351823807,0.041064705699682236,0.9836173688181908,mpnn,5,3,16,mean_max,32,38,428000,4280.0,0.4681883156299591,1.0734918117523193,0.11180666089057922,1.6407690048217773,0.13308408856391907,0.10418636351823807,0.041064705699682236,0.0565434992313385,0.06190583109855652,0.0942535549402237,0.15433081090448902,0.21424338221549988,0.04106462374329567,0.041064705699682236,0.04106459766626358
3,7.583151491582393,0.1002750000404194,0.10196718738618074,0.1,0.0019671873861807354,0.019671871894620163,0.0,0.10088735818862915,0.0,0.0,False,2.9479981549229706e-06,133.52764892578125,0.3191398084163666,-9.92347622741363e-07,0.0,-3.906249901319825e-07,0.9999996423721313,5.606359958648682,0.0,0.0,0.0,0.0017961490666493773,0.0,0.0,100,0.2,0.2425,0.12,1058,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1032114028930664,0.037906575947999954,0.05736881494522095,0.21430417895317078,-0.025697503238916397,0.0016645074356347322,-0.032968662679195404,-0.003034395631402731,0.10088735818862915,0.03715845197439194,0.9822045469189904,mpnn,5,3,16,mean_max,32,38,423200,4232.0,0.44860315322875977,1.0687552690505981,0.11030023545026779,1.6312437057495117,0.1293659806251526,0.10088735818862915,0.03715845197439194,0.05571174621582031,0.05602284967899322,0.09480123221874237,0.14847931265829528,0.2135007679462433,0.037158213555812836,0.03715845197439194,0.037158120423555374
4,7.80168839506805,0.10557499958667904,0.10377109348642989,0.1,0.0037710934864298856,0.037710931093205745,0.0,0.10537870973348618,0.0,0.0,False,-3.6743163036589976e-06,136.51219177246094,0.3304709494113922,1.5905425243545324e-06,0.0,2.4414063659605745e-07,0.9999997019767761,5.877121925354004,0.0,0.0,0.0,0.0013280712300911546,0.0,0.0,100,0.2,0.2725,0.11,940,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10812375694513321,0.03677346929907799,0.05736881494522095,0.21430417895317078,-0.029105130583047867,0.0018958543660119176,-0.03800778463482857,-0.0048203193582594395,0.10537870973348618,0.03592650592327118,0.9871258857759444,mpnn,5,3,16,mean_max,32,38,376000,3760.0,0.44223612546920776,1.0474348068237305,0.10555943101644516,1.5979869365692139,0.12324193120002747,0.10537870973348618,0.03592650592327118,0.0555589497089386,0.05586695671081543,0.10466085374355316,0.14460501372814177,0.21328172087669373,0.0359262079000473,0.03592650592327118,0.035926029086112976
5,7.093595942780375,0.10534999977331609,0.10456054662987299,0.1,0.004560546629872986,0.04560546173818368,0.0,0.1064588874578476,0.0,0.0,False,-2.972412175950012e-06,105.38317108154297,0.3331911861896515,3.515623575367499e-06,0.0,3.662109548940862e-08,0.9999997019767761,5.8639726638793945,0.0,0.0,0.0,0.0018163888016715646,0.0,0.0,100,0.2,0.235,0.1,954,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10876794159412384,0.03568749874830246,0.05736881494522095,0.21430417895317078,-0.024260688573122025,0.00213614571839571,-0.03352482244372368,-0.004387372173368931,0.1064588874578476,0.035002514719963074,0.9830953955263049,mpnn,5,3,16,mean_max,32,38,381600,3816.0,0.4597885012626648,1.0516488552093506,0.10270047932863235,1.6066466569900513,0.11799023300409317,0.1064588874578476,0.035002514719963074,0.05566641688346863,0.06434452533721924,0.10076835751533508,0.14284694194791359,0.21326500177383423,0.03500231355428696,0.035002514719963074,0.03500191122293472
6,6.734026004076004,0.09987500008195639,0.1022177733559147,0.1,0.002217773355914693,0.022177731341373793,0.0,0.1007007583975792,0.0,0.0,False,-1.2780761608155444e-05,88.81076049804688,0.32013994455337524,-3.064684051423683e-06,0.0,9.765624753299562e-08,0.9999995827674866,6.201110363006592,0.0,0.0,0.0,0.0033599375747144222,0.0,0.0,100,0.2,0.21,0.09,1064,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10279645770788193,0.03331880643963814,0.05736881494522095,0.21430417895317078,-0.023057544603943825,0.0032605535816401243,-0.03526749834418297,-0.004395721945911646,0.1007007583975792,0.032686762511730194,0.9838722380773735,mpnn,5,3,16,mean_max,32,38,425600,4256.0,0.4629463255405426,1.0711652040481567,0.1010189801454544,1.6387386322021484,0.11856275796890259,0.1007007583975792,0.032686762511730194,0.05569940805435181,0.06712381839752198,0.09226810932159424,0.1340090692043294,0.21338734030723572,0.03268657624721527,0.032686762511730194,0.03268541395664215
7,7.488587140291929,0.09542499972507358,0.09882138654049413,0.1,-0.0011786134595058728,-0.011786133416445386,0.0,0.09749240428209305,0.0,0.0,False,2.221679778813268e-06,108.5960922241211,0.30807504057884216,-1.1899086530320346e-05,0.0,-4.028320290672127e-07,0.9999995827674866,5.990843772888184,0.0,0.0,0.0,0.0007350314990617335,0.0,0.0,100,0.2,0.2275,0.14,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10027240961790085,0.04528488218784332,0.05736881494522095,0.21430417895317078,-0.03153113275766373,0.00423397496342659,-0.04792309179902077,-0.006698994431644678,0.09749240428209305,0.04410603642463684,0.9864236079993455,mpnn,5,3,16,mean_max,32,38,390400,3904.0,0.4501771032810211,1.0737066268920898,0.10199180990457535,1.6263277530670166,0.1184670552611351,0.09749240428209305,0.04410603642463684,0.05489867925643921,0.055682468414306636,0.08189001679420471,0.1659542441368103,0.2129122018814087,0.04410577192902565,0.04410603642463684,0.04410439729690552
8,8.504043449498713,0.09747499965131283,0.09814819309590347,0.1,-0.0018518069040965313,-0.018518067189158594,0.0,0.09622152894735336,0.0,0.0,False,-1.3677978131454438e-05,137.47193908691406,0.3094998896121979,1.3245019545138348e-05,0.0,-1.9531249506599124e-07,0.9999996423721313,5.903263092041016,0.0,0.0,0.0,0.0024711990263313055,0.0,0.0,100,0.2,0.2125,0.06,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09975522756576538,0.032919786870479584,0.05736881494522095,0.21430417895317078,-0.04020247980952263,0.005360906943678856,-0.059780772775411606,-0.008875526487827301,0.09622152894735336,0.03181067854166031,0.9836579594239181,mpnn,5,3,16,mean_max,32,38,368800,3688.0,0.41828471422195435,1.0842747688293457,0.10369464010000229,1.6489120721817017,0.12719488143920898,0.09622152894735336,0.03181067854166031,0.05436405539512634,0.055311048030853266,0.09612244367599487,0.13340528011321695,0.21232396364212036,0.031810179352760315,0.03181067854166031,0.03180716931819916
9,6.6894974695891145,0.10060000012163073,0.0993740966087671,0.1,-0.0006259033912329043,-0.0062590332864257145,0.0,0.09699265658855438,0.0,0.0,False,5.151367076905444e-06,69.22720336914062,0.3103761672973633,3.072992694796994e-05,0.0,-2.9296876391526894e-07,0.9999995827674866,6.572155475616455,0.0,0.0,0.0,0.001316301990300417,0.0,0.0,100,0.2,0.2375,0.09,972,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10164296627044678,0.036942772567272186,0.05736881494522095,0.21430417895317078,-0.05242785066366196,0.006523977033793926,-0.07657495141029358,-0.011191141791641712,0.09699265658855438,0.035393111407756805,0.9817893843811308,mpnn,5,3,16,mean_max,32,38,388800,3888.0,0.47320127487182617,1.1085869073867798,0.10160886496305466,1.683491826057434,0.12503333389759064,0.09699265658855438,0.035393111407756805,0.05376553535461426,0.05867667198181152,0.09161384403705597,0.13997904360294344,0.21166029572486877,0.03539238125085831,0.035393111407756805,0.035388436168432236
10,7.5192613643780355,0.10267499993555247,0.10102454827215979,0.1,0.001024548272159781,0.01024548169704964,0.0,0.10129451006650925,0.0,0.0,False,-1.3159179616195615e-05,88.48538970947266,0.32055872678756714,-5.1074198381684255e-06,0.0,1.9531249506599124e-07,0.9999997615814209,5.909745216369629,0.0,0.0,0.0,0.0035866862162947655,0.0,0.0,100,0.2,0.2425,0.14,934,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10694996267557144,0.04260651022195816,0.05736881494522095,0.21430417895317078,-0.06125490739941597,0.00735442154109478,-0.08798284828662872,-0.015451801009476185,0.10129451006650925,0.04052025079727173,0.9863716345540401,mpnn,5,3,16,mean_max,32,38,373600,3736.0,0.44567635655403137,1.0882049798965454,0.10274746268987656,1.6541616916656494,0.12195093184709549,0.10129451006650925,0.04052025079727173,0.05312281847000122,0.061590826511383055,0.08622036874294281,0.16547215282917022,0.21128901839256287,0.040519267320632935,0.04052025079727173,0.04051480069756508
