episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.937092675603926,0.10082499981392175,0.10041249990696088,0.1,0.0004124999069608781,0.004124998657108915,0.0,0.10093576461076736,0.0,0.0,False,-2.554443653934868e-06,133.1053009033203,0.31925079226493835,3.521369649206463e-07,0.0,0.05,2.011709739235812e-06,0.001794962678104639,0.001794962678104639,0.0,-8.544921570319275e-08,0.9999995827674866,5.122920513153076,node_conditioned,25,True,True,False,0.9696224331855774,0.1658254861831665,0.10842183232307434,0.14679110050201416,0.0637701153755188,2.1318819522857666,-10.65588665008545,2.0562198162078857,-0.07494753796861575,0.9899874329566956,0.11723555624485016,0.0,0.0,0.0,0.001794962678104639,0.0,0.0,100,0.2,0.22,0.15,1002,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10093576461076736,0.039848558604717255,0.0534496009349823,0.2019607424736023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10093576461076736,0.039848558604717255,0.9804689738926113,mpnn,5,3,16,mean_max,32,38,400800,none,4008.0,0.46838852763175964,0.5968937277793884,0.20139111578464508,1.104610562324524,0.18854309618473053,0.10093576461076736,0.039848558604717255,0.0534496009349823,0.0534496009349823,0.09329211711883545,0.16038930416107178,0.2019607424736023,0.03984856233000755,0.039848558604717255,0.03984849900007248
1,6.96111817702651,0.09854999992065132,0.09948124991380611,0.1,-0.0005187500861938976,-0.005187500343188942,0.0,0.10142618417739868,0.0,0.0,False,6.180703167046886e-07,132.3931121826172,0.319423109292984,1.430067186447559e-06,0.0,0.05,5.647538728226209e-06,0.0011389108840376139,0.0013188199372962117,0.00018898383132182062,1.3427734302240424e-07,0.9999995231628418,5.157011032104492,node_conditioned,25,True,True,False,0.5899778604507446,0.1398366093635559,0.10012511909008026,0.1347043663263321,0.062083568423986435,2.0951454639434814,-11.010004997253418,2.0409302711486816,-0.053833626780600774,0.6572455763816833,0.09924732893705368,0.0,0.0,0.0,0.0011389108840376139,0.0,0.0,100,0.2,0.2225,0.13,1006,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10125555098056793,0.04161419719457626,0.0534496009349823,0.2019607424736023,0.0019070497946813703,0.0001961706147994846,0.0004823843773920089,0.0024434179067611694,0.0019070497946813703,0.0001961706147994846,0.0019070496782660484,0.002105392748489976,1.0,0.0,0.0,0.10142618417739868,0.0416717566549778,0.9828731163718388,mpnn,5,3,16,mean_max,32,38,402400,none,4024.0,0.46010154485702515,0.6076274514198303,0.20359990000724792,1.118315577507019,0.18389035761356354,0.10142618417739868,0.0416717566549778,0.05347400903701782,0.053539812564849854,0.09343475103378296,0.15208394527435304,0.20232880115509033,0.0416717566549778,0.0416717566549778,0.0416717603802681
2,7.551495713703335,0.09902499995660037,0.09925312493520325,0.1,-0.0007468750647967592,-0.007468749901092603,0.0,0.09895340353250504,0.0,0.0,False,-6.15156352523627e-08,156.66390991210938,0.31960898637771606,4.723854374333314e-08,0.0,0.05,7.558749530289788e-06,0.0018154192948713899,0.0015774210914969444,0.0002405662089586258,-2.3193359766082722e-07,0.9999996423721313,4.611076354980469,node_conditioned,25,True,True,False,0.23239995539188385,0.11450256407260895,0.08721236884593964,0.1315942108631134,0.05691690370440483,2.5588531494140625,-12.312203407287598,2.5170671939849854,-0.03347765065669095,0.25058239698410034,0.09123710542917252,0.0,0.0,0.0,0.0018154192948713899,0.0,0.0,100,0.2,0.18,0.06,1022,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09874175488948822,0.0238664448261261,0.0534496009349823,0.14816269278526306,0.002387308981269598,0.0002368780696997419,0.000417586910771206,0.003054429776966572,0.002387308981269598,0.0002368780696997419,0.002387308981269598,0.0026069923769682646,1.0,0.0,0.0,0.09895340353250504,0.0239122174680233,0.9914940265498265,mpnn,5,3,16,mean_max,32,38,408800,none,4088.0,0.44781991839408875,0.6162065863609314,0.21401552855968475,1.151645302772522,0.16625049710273743,0.09895340353250504,0.0239122174680233,0.053470730781555176,0.06919486671686173,0.0971931517124176,0.13333699107170105,0.14850997924804688,0.02391221560537815,0.0239122174680233,0.023912210017442703
3,7.832193431183696,0.10087499999906868,0.10006406246713596,0.1,6.406246713595853e-05,0.0006406246072971246,0.0,0.09795714914798737,0.0,0.0,False,-1.4717134035890922e-06,166.57337951660156,0.31478431820869446,-3.1565300560032483e-06,0.0,0.05,1.4877255125611555e-05,0.002434125170111656,0.0021533803083002567,0.0002870888274628669,-2.0751953400122147e-07,0.9999995827674866,4.887903213500977,node_conditioned,25,True,True,False,-0.15520425140857697,0.09597194939851761,0.08587286621332169,0.11694439500570297,0.05676653981208801,2.467499256134033,-13.111673355102539,2.4444284439086914,-0.01896525452750364,-0.1773652285337448,0.0914192646741867,0.0,0.0,0.0,0.002434125170111656,0.0,0.0,100,0.2,0.23,0.09,938,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09770240634679794,0.03284190222620964,0.0534496009349823,0.2019607424736023,0.002903877990320325,0.00030887406319379807,0.0005304210353642702,0.0037330505438148975,0.002903877990320325,0.00030887406319379807,0.002903877990320325,0.0031391477677971125,1.0,0.0,0.0,0.09795714914798737,0.03291870653629303,0.9851905931338207,mpnn,5,3,16,mean_max,32,38,375200,none,3752.0,0.4432692229747772,0.6014311909675598,0.20490717887878418,1.110592007637024,0.17713043093681335,0.09795714914798737,0.03291870653629303,0.05347651243209839,0.05359437949955463,0.09354978799819946,0.13929578959941866,0.20251262187957764,0.03291870653629303,0.03291870653629303,0.03291869908571243
4,6.516413654647767,0.10132499976549297,0.10069453111631446,0.1,0.0006945311163144563,0.006945310468613516,0.0,0.09989383816719055,0.0,0.0,False,-2.2719075332133798e-07,111.6461410522461,0.3209076523780823,-1.7360299580104765e-06,0.0,0.05,3.0734503525309265e-05,0.0017220107838511467,0.001290927641093731,0.0004383942286949605,-3.295898522992502e-07,0.9999995231628418,5.682597637176514,node_conditioned,25,True,True,False,-0.5411429405212402,0.10318736732006073,0.09716816246509552,0.1328306794166565,0.06562000513076782,1.7729709148406982,-11.228591918945312,1.7680301666259766,-0.005596703208381015,-0.5305672287940979,0.09395452588796616,0.0,0.0,0.0,0.0017220107838511467,0.0,0.0,100,0.2,0.18,0.05,980,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.0995086133480072,0.027103397995233536,0.0534496009349823,0.151840478181839,0.004301924258470535,0.00043194752652198076,0.0009773625060915947,0.005499785300344229,0.004301924258470535,0.00043194752652198076,0.004301923792809248,0.004755635745823383,1.0,0.0,0.0,0.09989383816719055,0.027202339842915535,0.9910153618655719,mpnn,5,3,16,mean_max,32,38,392000,none,3920.0,0.46844682097435,0.628652811050415,0.2078460156917572,1.1521480083465576,0.1701839566230774,0.09989383816719055,0.027202339842915535,0.05349910259246826,0.06515621244907413,0.10085207223892212,0.14441699683666231,0.15247973799705505,0.027202339842915535,0.027202339842915535,0.02720232680439949
5,7.358034111559391,0.0971500000776723,0.09892226559699338,0.1,-0.001077734403006625,-0.010777342952331953,0.0,0.09679540991783142,0.0,0.0,False,1.4244054682421847e-06,143.38475036621094,0.31242337822914124,-2.2547320099874923e-07,0.0,0.05,4.899592022411525e-05,0.0007431433768942952,0.00044274164247326553,0.0006132366834208369,2.807617249800387e-07,0.9999995827674866,4.831623554229736,node_conditioned,25,True,True,False,-0.9177290201187134,0.10038363933563232,0.0931604877114296,0.13416798412799835,0.06268861144781113,2.34275221824646,-12.948342323303223,2.3514604568481445,0.007392945624891123,-0.9775798916816711,0.1263333261013031,0.0,0.0,0.0,0.0007431433768942952,0.0,0.0,100,0.2,0.2125,0.11,998,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09628071635961533,0.032178401947021484,0.0534496009349823,0.2019607424736023,0.00591422850266099,0.000644213636405766,0.0014852876774966717,0.007729930803179741,0.00591422850266099,0.000644213636405766,0.0059142280369997025,0.0065175131894648075,1.0,0.0,0.0,0.09679540991783142,0.03234023600816727,0.984103404298238,mpnn,5,3,16,mean_max,32,38,399200,none,3992.0,0.44118425250053406,0.5979610681533813,0.20996585488319397,1.1255693435668945,0.18830780684947968,0.09679540991783142,0.03234023600816727,0.05352482199668884,0.053718981146812436,0.09379103779792786,0.14026088118552513,0.20314323902130127,0.03234022483229637,0.03234023600816727,0.03234020248055458
6,6.933437367379665,0.09589999980293214,0.09741113269996277,0.1,-0.0025888673000372397,-0.025888670411505357,0.0,0.09567452222108841,0.0,0.0,False,-2.1243174614937743e-06,125.76525115966797,0.3103187084197998,-2.8079935532332456e-07,0.0,0.05,7.616599032189697e-05,0.004663161002099514,0.0038931204471737146,0.0007814702112227678,-3.1127930810725957e-07,0.9999995827674866,4.742184162139893,node_conditioned,25,True,True,False,-1.2862297296524048,0.10168865323066711,0.08645952492952347,0.11182472854852676,0.06048848107457161,2.270465612411499,-12.57323932647705,2.3032333850860596,0.028251308848002532,-1.2813804149627686,0.08380407840013504,0.0,0.0,0.0,0.004663161002099514,0.0,0.0,100,0.2,0.22,0.05,1054,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09504256397485733,0.03111451305449009,0.0534496009349823,0.2019607424736023,0.007362921256572008,0.0007937884656712413,0.0016826553037390113,0.009358596056699753,0.007362921256572008,0.0007937884656712413,0.007362920790910721,0.008018181659281254,1.0,0.0,0.0,0.09567452222108841,0.031300138682127,0.9844140411855534,mpnn,5,3,16,mean_max,32,38,421600,none,4216.0,0.4776231050491333,0.634943425655365,0.21667692065238953,1.168929934501648,0.19146506488323212,0.09567452222108841,0.031300138682127,0.05353483557701111,0.05969395339488992,0.09028135240077972,0.13386536240577698,0.20338714122772217,0.031300127506256104,0.031300138682127,0.03130008652806282
7,7.086489394940436,0.10344999991822988,0.10043056630909633,0.1,0.0004305663090963252,0.004305662660396986,0.0,0.1032547578215599,0.0,0.0,False,4.56544285043492e-06,129.11485290527344,0.3277987837791443,-6.069666937946749e-07,0.0,0.05,0.00011389185965526849,0.001034099841490388,0.0009096425492316484,0.0010225996375083923,-1.8310547034161573e-07,0.9999995231628418,5.078402042388916,node_conditioned,25,True,True,False,-1.6935511827468872,0.12492702156305313,0.08308924734592438,0.11656927317380905,0.06056811287999153,2.1568353176116943,-13.171481132507324,2.2054529190063477,0.043602654556631815,-1.7000385522842407,0.09558627009391785,0.0,0.0,0.0,0.001034099841490388,0.0,0.0,100,0.2,0.2125,0.07,1084,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10239621251821518,0.029322205111384392,0.0534496009349823,0.2019607424736023,0.00933388713747263,0.0010213403729721904,0.0018422211287543178,0.011974150314927101,0.00933388713747263,0.0010213403729721904,0.009333888068795204,0.009995453990995884,1.0,0.0,0.0,0.1032547578215599,0.029540376737713814,0.9821922483340318,mpnn,5,3,16,mean_max,32,38,433600,none,4336.0,0.4619370996952057,0.6415829658508301,0.2229394167661667,1.1807349920272827,0.18863752484321594,0.1032547578215599,0.029540376737713814,0.053542882204055786,0.06273717954754834,0.10351747274398804,0.14006716012954712,0.20360437035560608,0.02954035997390747,0.029540376737713814,0.029540298506617546
8,6.9377242287248375,0.09762499986216426,0.09902778308563029,0.1,-0.0009722169143697168,-0.00972216817148035,0.0,0.09836003184318542,0.0,0.0,False,5.591584795183735e-06,120.2313232421875,0.31561267375946045,7.029942139524792e-07,0.0,0.05,0.0001440582564100623,0.0022845666389912367,0.0011182193411514163,0.0012187827378511429,-5.065917889623961e-07,0.999999463558197,5.824805736541748,node_conditioned,25,True,True,False,-2.099137306213379,0.1425189971923828,0.08540979027748108,0.11379233002662659,0.06621506810188293,1.7975629568099976,-13.248601913452148,1.851348876953125,0.05726058233255449,-2.2044942378997803,0.08524081110954285,0.0,0.0,0.0,0.0022845666389912367,0.0,0.0,100,0.2,0.2225,0.08,908,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09740399569272995,0.03383122757077217,0.0534496009349823,0.2019607424736023,0.01093290001153946,0.0011486029252409935,0.002212160499766469,0.013611462898552418,0.01093290001153946,0.0011486029252409935,0.010932900942862034,0.011612567119300365,1.0,0.0,0.0,0.09836003184318542,0.03410930186510086,0.9827005196614937,mpnn,5,3,16,mean_max,32,38,363200,none,3632.0,0.45329320430755615,0.6518009305000305,0.2214892953634262,1.1810401678085327,0.1761084794998169,0.09836003184318542,0.03410930186510086,0.053561657667160034,0.06376548111438751,0.09205162525177002,0.13599452972410042,0.20390242338180542,0.03410927951335907,0.03410930186510086,0.034109197556972504
9,7.435105557106436,0.09592499987222254,0.09747639147892642,0.1,-0.0025236085210735837,-0.025236082687127567,0.0,0.09584377706050873,0.0,0.0,False,7.519087830587523e-06,138.47149658203125,0.3101392686367035,-3.1107356335269287e-07,0.0,0.05,0.00017772550927475095,0.0018513730028644204,0.000644270854536444,0.0013983994722366333,-8.544921570319275e-08,0.9999995231628418,5.026608943939209,node_conditioned,25,True,True,False,-2.5841360092163086,0.18777485191822052,0.08404114842414856,0.11501911282539368,0.06528628617525101,2.2285866737365723,-14.501091003417969,2.3219974040985107,0.07883875469277213,-2.6937360763549805,0.09123282134532928,0.0,0.0,0.0,0.0018513730028644204,0.0,0.0,100,0.2,0.2325,0.08,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09479216486215591,0.03334173932671547,0.0534496009349823,0.2019607424736023,0.012321032583713531,0.0013323681196197867,0.0023239459842443466,0.015241831541061401,0.012321032583713531,0.0013323681196197867,0.012321033515036106,0.012738572433590889,1.0,0.0,0.0,0.09584377706050873,0.03364770859479904,0.982602851750067,mpnn,5,3,16,mean_max,32,38,368800,none,3688.0,0.44907012581825256,0.6382309198379517,0.22003933787345886,1.177821159362793,0.18029172718524933,0.09584377706050873,0.03364770859479904,0.05356726050376892,0.06332597434520731,0.08897428214550018,0.13569771349428641,0.2043120265007019,0.033647678792476654,0.03364770859479904,0.0336475744843483
