episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.144353032894433,0.09972499995026737,0.09986249997513369,0.1,-0.00013750002486631607,-0.0013750001111631496,0.0,0.09999905526638031,0.0,0.0,False,-2.912620630013407e-06,139.1001739501953,0.32526087760925293,4.364149503999215e-07,0.0,0.05,8.296199212054489e-07,0.001802526181563735,0.001802526181563735,0.0,4.39453117451194e-07,0.9999995231628418,5.017236709594727,node_conditioned,22,False,False,True,0.06886285543441772,0.0925615131855011,0.07665091753005981,0.10586555302143097,0.06754697114229202,2.2292933464050293,-11.766201972961426,2.2003257274627686,-0.02650360693150078,0.11022878438234329,0.0729791596531868,0.0,0.0,0.0,0.001802526181563735,0.0,0.0,100,0.2,0.1325,0.0,1002,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999905526638031,1.4600096243100325e-08,0.0,mpnn,5,3,16,mean_max,32,37,400800,disabled_zero_placeholder,4008.0,0.4597225487232208,0.3800550103187561,0.0946902483701706,0.6937040090560913,0.05863356217741966,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999904036521912,0.09999904036521912,0.09999904036521912,0.09999905526638031,2.195077897226838e-08,1.4600096243100325e-08,1.4901161193847656e-08
1,7.5949679115042095,0.09717499997001142,0.09851874997257255,0.1,-0.0014812500274274526,-0.014812498793024646,0.0,0.10010892897844315,0.0,0.0,False,3.8828710557936574e-07,156.80982971191406,0.32540184259414673,1.171829580925987e-06,0.0,0.05,2.638789510456263e-06,0.0009241052903234959,0.001005972851999104,8.33755184430629e-05,2.4414063659605745e-07,0.9999995827674866,4.760028839111328,node_conditioned,22,False,False,True,-0.2635073959827423,0.09065334498882294,0.08430498093366623,0.12020331621170044,0.0720195397734642,2.4786734580993652,-12.799026489257812,2.461059808731079,-0.014365225010491978,-0.24654345214366913,0.09603463113307953,0.0,0.0,0.0,0.0009241052903234959,0.0,0.0,100,0.2,0.13,0.0,1006,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.0012203918304294348,0.00014164007734507322,0.00031224466511048377,0.001596146379597485,0.0012203918304294348,0.00014164007734507322,0.001220391714014113,0.0012614415027201176,1.0,0.0,0.0,0.10010892897844315,1.2759486708091572e-05,0.0,mpnn,5,3,16,mean_max,32,37,402400,disabled_zero_placeholder,4024.0,0.45852428674697876,0.37882405519485474,0.09460052847862244,0.6919200420379639,0.06163850426673889,0.10010892897844315,1.2759486708091572e-05,0.10002714395523071,0.10009491443634033,0.10010778903961182,0.10012638568878174,0.10014280676841736,1.1827275557152461e-05,1.2759486708091572e-05,2.248106966362684e-06
2,7.931917668245733,0.10055000009015203,0.09953437503136228,0.1,-0.0004656249686377234,-0.004656249220752312,0.0,0.1001465916633606,0.0,0.0,False,-2.693330429792695e-07,169.8831787109375,0.3254706561565399,-1.1824108980817982e-07,0.0,0.05,3.890683274221374e-06,0.0017048359150066972,0.0015935890842229128,0.00011183081369381398,-4.272461069376732e-07,0.9999995827674866,4.879814147949219,node_conditioned,22,False,False,True,-0.598469614982605,0.0891079306602478,0.08587060868740082,0.1330634504556656,0.07419275492429733,2.529306173324585,-13.653371810913086,2.528534173965454,-0.0006107481975963225,-0.5689704418182373,0.07219795882701874,0.0,0.0,0.0,0.0017048359150066972,0.0,0.0,100,0.2,0.145,0.0,1022,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.0016385008348152041,0.00019875986617989838,0.0003870996879413724,0.0021688472479581833,0.0016385008348152041,0.00019875986617989838,0.001638500951230526,0.0016997867496684194,1.0,0.0,0.0,0.1001465916633606,1.791143586160615e-05,0.0,mpnn,5,3,16,mean_max,32,37,408800,disabled_zero_placeholder,4088.0,0.44483932852745056,0.38015884160995483,0.096571184694767,0.6978406310081482,0.06033366173505783,0.1001465916633606,1.791143586160615e-05,0.10003384947776794,0.10012754797935486,0.10014450550079346,0.1001710295677185,0.10019439458847046,1.6573898392380215e-05,1.791143586160615e-05,2.9502173219952965e-06
3,8.101445221044123,0.10222500000149011,0.1008796875164262,0.1,0.0008796875164261975,0.008796874284574546,0.0,0.10019116848707199,0.0,0.0,False,-1.3341692692847573e-06,176.44161987304688,0.32562848925590515,-1.3028885632593301e-06,0.0,0.05,7.679406735405792e-06,0.0016577990027144551,0.0015128124505281448,0.00014586096222046763,1.4648438195763447e-07,0.9999997019767761,4.743436336517334,node_conditioned,22,False,False,True,-0.9597219824790955,0.10378390550613403,0.09695163369178772,0.12934434413909912,0.08429251611232758,2.671772003173828,-14.242626190185547,2.6882035732269287,0.012187643667891934,-0.969936192035675,0.11417753249406815,0.0,0.0,0.0,0.0016577990027144551,0.0,0.0,100,0.2,0.1475,0.0,938,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.0021329501178115606,0.00027344562113285065,0.00047467020340263844,0.002843936439603567,0.0021329501178115606,0.00027344562113285065,0.0021329503506422043,0.002242249669507146,1.0,0.0,0.0,0.10019116848707199,2.465172656229697e-05,0.0,mpnn,5,3,16,mean_max,32,37,375200,disabled_zero_placeholder,3752.0,0.43261584639549255,0.3842649757862091,0.09873951226472855,0.6988546252250671,0.06208415701985359,0.10019116848707199,2.465172656229697e-05,0.10004177689552307,0.10016506910324097,0.10018804669380188,0.10022580623626709,0.10025522112846375,2.2747082766727544e-05,2.465172656229697e-05,3.5703126286534825e-06
4,7.008410846255719,0.10132500001695006,0.10110234376668814,0.1,0.0011023437666881353,0.011023436564537695,0.0,0.10027100145816803,0.0,0.0,False,-1.3532003322325181e-06,127.65316009521484,0.3258382976055145,-8.684161798555579e-07,0.0,0.05,1.4684041161672212e-05,0.001652050414122641,0.0014429176226258278,0.00021072813251521438,1.2817382355478912e-07,0.9999995231628418,5.637022972106934,node_conditioned,22,False,False,True,-1.2977497577667236,0.1182236447930336,0.10181906074285507,0.12980255484580994,0.08775350451469421,1.8705871105194092,-12.697473526000977,1.9014983177185059,0.03224816982782197,-1.3546671867370605,0.09881473332643509,0.0,0.0,0.0,0.001652050414122641,0.0,0.0,100,0.2,0.14,0.0,980,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.0030181885231286287,0.0003837388940155506,0.0006304215057753026,0.004000116139650345,0.0030181885231286287,0.0003837388940155506,0.0030181885231286287,0.0031127803958952427,1.0,0.0,0.0,0.10027100145816803,3.4619402867974713e-05,0.0,mpnn,5,3,16,mean_max,32,37,392000,disabled_zero_placeholder,3920.0,0.4423813819885254,0.3836652934551239,0.09795985370874405,0.7007641196250916,0.05872875824570656,0.10027100145816803,3.4619402867974713e-05,0.10005578398704529,0.10023370385169983,0.10026710107922554,0.10031959414482117,0.10035961866378784,3.19780083373189e-05,3.4619402867974713e-05,5.3021703934064135e-06
5,7.737036103457212,0.100500000086613,0.10080117192665057,0.1,0.0008011719266505651,0.008011718465333805,0.0,0.10037143528461456,0.0,0.0,False,1.0012020084104734e-06,156.96871948242188,0.3260355293750763,-7.546152858139976e-08,0.0,0.05,2.331993709958624e-05,0.00038983585545793176,0.0005117072141729295,0.000296175159746781,3.662109548940862e-08,0.9999997019767761,4.866288185119629,node_conditioned,22,False,False,True,-1.6560505628585815,0.13732698559761047,0.1058139055967331,0.14532087743282318,0.08931257575750351,2.4910051822662354,-14.206357955932617,2.5348541736602783,0.03429754914964267,-1.6816366910934448,0.09624040126800537,0.0,0.0,0.0,0.00038983585545793176,0.0,0.0,100,0.2,0.145,0.0,998,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.004130830056965351,0.0005116033717058599,0.000881857005879283,0.005434978753328323,0.004130830056965351,0.0005116033717058599,0.004130829591304064,0.004292069468647242,1.0,0.0,0.0,0.10037143528461456,4.619402898242697e-05,0.0,mpnn,5,3,16,mean_max,32,37,399200,disabled_zero_placeholder,3992.0,0.42965710163116455,0.38367390632629395,0.09909303486347198,0.7030884027481079,0.06149905547499657,0.10037143528461456,4.619402898242697e-05,0.10007843375205994,0.10032051801681519,0.10036784410476685,0.10043323040008545,0.10048922896385193,4.251678183209151e-05,4.619402898242697e-05,7.050840849842643e-06
6,7.525813140980899,0.10412499994505196,0.10246308593585127,0.1,0.0024630859358512613,0.024630856895426923,0.0,0.10044841468334198,0.0,0.0,False,-3.7523041100939736e-06,147.99388122558594,0.3262392282485962,-3.2811365144880256e-06,0.0,0.05,3.432891389820725e-05,0.004355150740593672,0.003994198516011238,0.00036204044590704143,9.765624753299562e-08,0.9999995827674866,4.51177978515625,node_conditioned,22,False,False,True,-2.015706777572632,0.17855219542980194,0.11522389203310013,0.15517090260982513,0.09439519792795181,2.5788161754608154,-14.189993858337402,2.665243625640869,0.06380379760944244,-2.0787618160247803,0.1332714557647705,0.0,0.0,0.0,0.004355150740593672,0.0,0.0,100,0.2,0.165,0.01,1054,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.0049829366616904736,0.000658000644762069,0.001031186431646347,0.00666821701452136,0.0049829366616904736,0.000658000644762069,0.004982937127351761,0.005178678780794144,1.0,0.0,0.0,0.10044841468334198,5.945557131781243e-05,0.0,mpnn,5,3,16,mean_max,32,37,421600,disabled_zero_placeholder,4216.0,0.45242640376091003,0.3819318115711212,0.09934782981872559,0.7054509520530701,0.06221165135502815,0.10044841468334198,5.945557131781243e-05,0.10009187459945679,0.10038408637046814,0.10044137388467789,0.10053342580795288,0.10060083866119385,5.489251634571701e-05,5.945557131781243e-05,9.290216439694632e-06
7,7.263388890065253,0.10107499985955655,0.10176904289770392,0.1,0.0017690428977039097,0.017690427207996375,0.0,0.10056259483098984,0.0,0.0,False,-3.466286671027774e-07,135.51669311523438,0.3265305757522583,-8.114120078062115e-07,0.0,0.05,5.3736370318802074e-05,0.0017517313826829195,0.0013497042236849666,0.0004660662089008838,1.5869140668200998e-07,0.9999995231628418,4.631731986999512,node_conditioned,22,False,False,True,-2.3796277046203613,0.20538866519927979,0.12231308966875076,0.1497424989938736,0.09859370440244675,2.44193959236145,-14.05437183380127,2.547745943069458,0.0813341562404436,-2.4334917068481445,0.12242376059293747,0.0,0.0,0.0,0.0017517313826829195,0.0,0.0,100,0.2,0.1325,0.0,1084,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.0062459055334329605,0.000861960812471807,0.001287437858991325,0.008377253077924252,0.0062459055334329605,0.000861960812471807,0.006245906464755535,0.006532521918416023,1.0,0.0,0.0,0.10056259483098984,7.79647525632754e-05,0.0,mpnn,5,3,16,mean_max,32,37,433600,disabled_zero_placeholder,4336.0,0.4627678096294403,0.3799705505371094,0.09718091785907745,0.7040025591850281,0.0593603290617466,0.10056259483098984,7.79647525632754e-05,0.10011497139930725,0.10047757625579834,0.10055342316627502,0.10067656636238098,0.10075557231903076,7.253469811985269e-05,7.79647525632754e-05,1.2328397133387625e-05
8,7.636629539355636,0.10037500009406358,0.10107202149588375,0.1,0.0010720214958837432,0.010720213886816043,0.0,0.10068903118371964,0.0,0.0,False,1.1626780178630725e-06,147.4366455078125,0.32680225372314453,1.777261537938557e-08,0.0,0.05,7.574379560537636e-05,0.0018652501748874784,0.0012850608909502625,0.0005857553333044052,-9.765624753299562e-08,0.9999995231628418,5.076168060302734,node_conditioned,22,False,False,True,-2.782395124435425,0.23578284680843353,0.12767422199249268,0.16679584980010986,0.1011819839477539,2.295898914337158,-15.003312110900879,2.40840744972229,0.09124767427921643,-2.9340243339538574,0.13657605648040771,0.0,0.0,0.0,0.0018652501748874784,0.0,0.0,100,0.2,0.1375,0.0,908,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.00764276972040534,0.001099510700441897,0.0015375084476545453,0.010363382287323475,0.00764276972040534,0.001099510700441897,0.00764276972040534,0.007942278869450092,1.0,0.0,0.0,0.10068903118371964,9.956300345947966e-05,0.0,mpnn,5,3,16,mean_max,32,37,363200,disabled_zero_placeholder,3632.0,0.42815226316452026,0.39206790924072266,0.10121699422597885,0.7121410965919495,0.06340005248785019,0.10068903118371964,9.956300345947966e-05,0.10013750195503235,0.10058018565177917,0.10067775845527649,0.10083207488059998,0.10093563795089722,9.258378122467548e-05,9.956300345947966e-05,1.5299949154723436e-05
9,8.358389891572296,0.10132499967701733,0.10119851058645055,0.1,0.0011985105864505408,0.011985104665994941,0.0,0.10081327706575394,0.0,0.0,False,2.500354867152055e-06,178.0436248779297,0.32707297801971436,-8.887358262654743e-07,0.0,0.05,0.00010139869846170768,0.0016556859482079744,0.0009520564926788211,0.0007075083558447659,3.906249901319825e-07,0.9999997019767761,4.657379150390625,node_conditioned,22,False,False,True,-3.2258517742156982,0.28282472491264343,0.1387413740158081,0.1739693135023117,0.10584954917430878,2.799489974975586,-16.590707778930664,2.9560179710388184,0.10310067190221006,-3.2008070945739746,0.16385772824287415,0.0,0.0,0.0,0.0016556859482079744,0.0,0.0,100,0.2,0.135,0.0,922,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999905526638031,0.009013894945383072,0.0013566658599302173,0.0017843634122982621,0.012457190081477165,0.009013894945383072,0.0013566658599302173,0.009013894014060497,0.0093781016767025,1.0,0.0,0.0,0.10081327706575394,0.00012298786896280944,0.0,mpnn,5,3,16,mean_max,32,37,368800,disabled_zero_placeholder,3688.0,0.4194595217704773,0.39185211062431335,0.1017838567495346,0.7137588858604431,0.06246915087103844,0.10081327706575394,0.00012298786896280944,0.10015973448753357,0.10067951679229736,0.10079854726791382,0.10098949372768402,0.10112574696540833,0.00011489158350741491,0.00012298786896280944,1.7900367311085574e-05
