episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.7018944560363884,0.09707499978132546,0.09853749989066274,0.1,-0.001462500109337267,-0.014624999630872706,-0.014624999630872706,0.09749448299407959,0.0,0.0,False,-3.3046417229343206e-06,124.04084777832031,0.3170437514781952,9.511998086964013e-07,0.0,0.05,2.022398575718398e-06,0.002218953100964427,0.002218953100964427,0.0,8.544921570319275e-08,0.9999995231628418,5.1341657638549805,node_conditioned,25,True,True,False,0.9611921906471252,0.16103702783584595,0.1074383556842804,0.14043904840946198,0.06452148407697678,2.071937322616577,-10.267425537109375,2.0026309490203857,-0.0704131095933378,0.9815841913223267,0.12174702435731888,0.0,0.0,0.0,0.002218953100964427,0.0,0.0,100,0.2,0.1575,0.04,942,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09749448299407959,0.022093551233410835,0.06522423028945923,0.13938942551612854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09749448299407959,0.022093551233410835,0.9949542425014819,mpnn,5,3,16,mean_max,32,38,376800,none,3768.0,0.46554794907569885,0.6103563904762268,0.20650535821914673,1.0990638732910156,0.2052460014820099,0.09749448299407959,0.022093551233410835,0.06522423028945923,0.06522423028945923,0.09713844954967499,0.12892019152640982,0.13938942551612854,0.022093549370765686,0.022093551233410835,0.022093545645475388
1,6.236550750434398,0.09814999990630895,0.09834374989848585,0.1,-0.0016562501015141562,-0.016562499358891626,-0.016562499358891626,0.10025139153003693,0.0,0.0,False,8.803194191386865e-07,105.388671875,0.32261666655540466,7.078472776811395e-07,0.0,0.05,5.155216058483347e-06,0.0018379309913143516,0.002026359550654888,0.00019228685414418578,-1.098632793627985e-07,0.9999995231628418,5.440690994262695,node_conditioned,25,True,True,False,0.5670751929283142,0.14211037755012512,0.10931944102048874,0.1359422504901886,0.07005862146615982,1.8010942935943604,-9.817877769470215,1.7559887170791626,-0.052033140634916375,0.5902524590492249,0.10671298205852509,0.0,0.0,0.0,0.0018379309913143516,0.0,0.0,100,0.2,0.18,0.05,980,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10007822513580322,0.02392595261335373,0.06522423028945923,0.15942996740341187,0.0019249410834163427,0.00018407039169687778,0.0004010213306173682,0.0024546829517930746,0.0019249410834163427,0.00018407039169687778,0.0019249410834163427,0.002152985194697976,1.0,0.0,0.0,0.10025139153003693,0.0239641685038805,0.991597799059934,mpnn,5,3,16,mean_max,32,38,392000,none,3920.0,0.4794498682022095,0.6123561859130859,0.20476873219013214,1.129024624824524,0.18507348001003265,0.10025139153003693,0.0239641685038805,0.06524866819381714,0.07005138397216805,0.09691891074180603,0.1348108932375889,0.15973958373069763,0.02396416664123535,0.0239641685038805,0.023964162915945053
2,6.550543189533055,0.09560000016354024,0.09697187503101304,0.1,-0.003028124968986967,-0.030281246661745004,-0.030281246661745004,0.09496346116065979,0.0,0.0,False,1.6355596699213493e-07,115.94384765625,0.3110389709472656,1.2309216401718004e-07,0.0,0.05,4.735963102575624e-06,0.00115445745177567,0.0009479830623604357,0.00021789981110487133,1.831054774470431e-08,0.9999995231628418,5.220155239105225,node_conditioned,25,True,True,False,0.2134406566619873,0.11926858127117157,0.09681542217731476,0.13414497673511505,0.0653528943657875,1.9758931398391724,-10.652173042297363,1.935634732246399,-0.04202969128339751,0.18176621198654175,0.10378900170326233,0.0,0.0,0.0,0.00115445745177567,0.0,0.0,100,0.2,0.1925,0.09,1018,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09477667510509491,0.022520344704389572,0.06522423028945923,0.15942996740341187,0.002187673933804035,0.00018724336405284703,0.0003774796787183732,0.002742716344073415,0.002187673933804035,0.00018724336405284703,0.002187673933804035,0.002390924608334899,1.0,0.0,0.0,0.09496346116065979,0.022558551281690598,0.993142686032035,mpnn,5,3,16,mean_max,32,38,407200,none,4072.0,0.477251261472702,0.6099318265914917,0.20291930437088013,1.1344424486160278,0.1730092167854309,0.09496346116065979,0.022558551281690598,0.06524720788002014,0.07173353433609009,0.09086534380912781,0.12516135871410194,0.15976941585540771,0.022558551281690598,0.022558551281690598,0.02255854569375515
3,6.000667173303664,0.10124999998603017,0.0991109375085216,0.1,-0.0008890624914784095,-0.008890624025721694,-0.008890624025721694,0.09882143884897232,0.0,0.0,False,-5.702132170881669e-07,95.27079010009766,0.3205113410949707,-1.0993492196575971e-06,0.0,0.05,7.028353138593957e-06,0.0018202211940661073,0.0016307227779179811,0.00021888507762923837,-2.4414061883248905e-08,0.9999994039535522,5.662850379943848,node_conditioned,25,True,True,False,-0.15344130992889404,0.1075502336025238,0.09759487211704254,0.13136722147464752,0.06832171231508255,1.6667721271514893,-10.037781715393066,1.64821457862854,-0.022645102637087966,-0.15423184633255005,0.09915169328451157,0.0,0.0,0.0,0.0018202211940661073,0.0,0.0,100,0.2,0.185,0.02,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09862463921308517,0.019268913194537163,0.06522423028945923,0.15942996740341187,0.0022212567273527384,0.00019967085972893983,0.00031340905115939677,0.0026850332506000996,0.0022212567273527384,0.00019967085972893983,0.0022212567273527384,0.0023221527226269245,1.0,0.0,0.0,0.09882143884897232,0.019301682710647583,0.9920236601073942,mpnn,5,3,16,mean_max,32,38,390400,none,3904.0,0.4862727224826813,0.6174575090408325,0.20212173461914062,1.1313997507095337,0.17711761593818665,0.09882143884897232,0.019301682710647583,0.06524333357810974,0.0763198733329773,0.10067379474639893,0.12174687683582305,0.15975093841552734,0.019301680848002434,0.019301682710647583,0.019301677122712135
4,6.659102781638503,0.09724999990314245,0.09818046870583202,0.1,-0.0018195312941679809,-0.018195311122148696,-0.018195311122148696,0.09581384062767029,0.0,0.0,False,-1.5902005543466657e-06,116.76274871826172,0.31340333819389343,-1.1710483249771642e-06,0.0,0.05,1.3362006029637996e-05,0.0023941262625157833,0.0021274934988468885,0.00027629538089968264,9.765624753299562e-08,0.9999995231628418,5.887526512145996,node_conditioned,25,True,True,False,-0.5124754905700684,0.10366356372833252,0.0991542711853981,0.12787629663944244,0.06570005416870117,1.7599194049835205,-11.443103790283203,1.752703070640564,-0.008251522861014271,-0.5350514054298401,0.08743150532245636,0.0,0.0,0.0,0.0023941262625157833,0.0,0.0,100,0.2,0.17,0.03,964,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09556947648525238,0.02107120491564274,0.06522423028945923,0.15942996740341187,0.0028279314283281565,0.00030353886540979147,0.0003146299859508872,0.003540798556059599,0.0028279314283281565,0.00030353886540979147,0.0028279316611588,0.0029926542192697525,1.0,0.0,0.0,0.09581384062767029,0.021122470498085022,0.9922794619471629,mpnn,5,3,16,mean_max,32,38,385600,none,3856.0,0.47569558024406433,0.5971178412437439,0.199615016579628,1.0900533199310303,0.20006154477596283,0.09581384062767029,0.021122470498085022,0.0652434229850769,0.06539404392242432,0.09452423453330994,0.12200005054473662,0.1598791778087616,0.021122470498085022,0.021122470498085022,0.021122461184859276
5,6.0922530341148375,0.10299999992828816,0.1005902343170601,0.1,0.0005902343170600954,0.005902342580366696,0.005902342580366696,0.10180341452360153,0.0,5.9023425803666964e-05,False,5.260584998723061e-07,95.57332611083984,0.3271428346633911,-1.296869072575646e-06,0.0,0.05,2.5779958377825096e-05,0.0012184006627649069,0.0009774183854460716,0.00041950936429202557,-2.19726558725597e-07,0.9999994039535522,5.740004539489746,node_conditioned,25,True,True,False,-0.8597777485847473,0.10244861990213394,0.10017366707324982,0.12294936180114746,0.06810236722230911,1.632835030555725,-10.775967597961426,1.6346728801727295,0.0022472715373305086,-0.8629122376441956,0.09460875391960144,0.0,0.0,0.0,0.0012184006627649069,0.0,0.0,100,0.2,0.1925,0.02,1074,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10143018513917923,0.01943209208548069,0.06522423028945923,0.15942996740341187,0.004105031490325928,0.000411601533414796,0.000279801752185449,0.005158201791346073,0.004105031490325928,0.000411601533414796,0.00410503102466464,0.004548387601971626,1.0,0.0,0.0,0.10180341452360153,0.019493073225021362,0.9943695769319496,mpnn,5,3,16,mean_max,32,38,429600,none,4296.0,0.4909341037273407,0.6185043454170227,0.20925772190093994,1.1625802516937256,0.17049017548561096,0.10180341452360153,0.019493073225021362,0.06524130702018738,0.07726248800754555,0.10355502367019653,0.1266268879175186,0.1600373238325119,0.019493069499731064,0.019493073225021362,0.01949305087327957
6,5.890557577926666,0.09732499989215285,0.09895761710460647,0.1,-0.0010423828953935316,-0.010423827911552525,-0.010423827911552525,0.09435010701417923,5.9023425803666964e-05,0.0,False,-5.1699189498322085e-06,88.87956237792969,0.3113621473312378,-4.171884484094335e-06,0.0,0.05,4.577153958962299e-05,0.005742635577917099,0.005172933451831341,0.0005671118851751089,0.0,0.9999995231628418,5.064458847045898,node_conditioned,25,True,True,False,-1.2541662454605103,0.10822780430316925,0.09732774645090103,0.12110964208841324,0.07151895761489868,1.7835253477096558,-10.801204681396484,1.8017164468765259,0.020091040613081868,-1.2682973146438599,0.09416772425174713,-1.7558841136633419e-07,1.7469808881287463e-05,5.5162981880130246e-05,0.005742635577917099,5.437636900751386e-06,0.0009468870796521728,100,0.2,0.1775,0.02,1078,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09388952702283859,0.015400026924908161,0.06522423028945923,0.12870299816131592,0.00540523836389184,0.0005358313210308552,0.0006825849413871765,0.006711307447403669,0.00540523836389184,0.0005358313210308552,0.005405238829553127,0.0058946372009813786,1.0,0.0,0.0,0.09435010701417923,0.0154724745079875,0.9961770545823174,mpnn,5,3,16,mean_max,32,38,431200,none,4312.0,0.49761149287223816,0.6461475491523743,0.21152086555957794,1.1834319829940796,0.17445391416549683,0.09435010701417923,0.0154724745079875,0.06526580452919006,0.07653768956661224,0.09469382464885712,0.11589943170547486,0.1294574737548828,0.01547246240079403,0.0154724745079875,0.015472423285245895
7,5.976894947551191,0.09754999993834644,0.09825380852147646,0.1,-0.0017461914785235483,-0.01746191303904418,-0.01746191303904418,0.09795334190130234,0.0,0.0,False,-1.3627504813484848e-07,89.72216796875,0.31943267583847046,5.124891231389483e-07,0.0,0.05,7.8329183452297e-05,0.002597537823021412,0.00193148129619658,0.0007717807311564684,-1.708984314063855e-07,0.9999994039535522,5.465451717376709,node_conditioned,25,True,True,False,-1.6206121444702148,0.11497293412685394,0.09145403653383255,0.12562532722949982,0.06823030114173889,1.6931060552597046,-11.242915153503418,1.7220720052719116,0.03335782538733145,-1.6178425550460815,0.0976879745721817,0.0,0.0,0.0,0.002597537823021412,0.0,0.0,100,0.2,0.16,0.02,1026,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09731660783290863,0.015716243535280228,0.06522423028945923,0.12475091218948364,0.007223289459943771,0.0007215299992822111,0.0010590016609057784,0.00895616039633751,0.007223289459943771,0.0007215299992822111,0.007223289459943771,0.007888030260801315,1.0,0.0,0.0,0.09795334190130234,0.01581941545009613,0.996353323749435,mpnn,5,3,16,mean_max,32,38,410400,none,4104.0,0.4830256402492523,0.6360430121421814,0.2101556956768036,1.1721388101577759,0.17270901799201965,0.09795334190130234,0.01581941545009613,0.06528878211975098,0.07605496048927335,0.09974604099988937,0.12041169703006743,0.12570998072624207,0.01581939496099949,0.01581941545009613,0.01581932045519352
8,5.4106982225552205,0.10397499994840473,0.10111440423494059,0.1,0.0011144042349405803,0.01114404123500168,0.01114404123500168,0.10361693054437637,0.0,0.0001114404123500168,False,3.5187695175409317e-06,70.63995361328125,0.3312302231788635,-8.140096383613127e-07,0.0,0.05,0.00011554140655789524,0.0014079021057114005,0.0005748707335442305,0.001031110412441194,4.7607420583517523e-07,0.9999992847442627,6.229698657989502,node_conditioned,25,True,True,False,-1.9985538721084595,0.12728551030158997,0.09339754283428192,0.11433766782283783,0.07371246069669724,1.314861536026001,-10.605843544006348,1.3484818935394287,0.04924238129640568,-2.0359609127044678,0.10323229432106018,0.0,0.0,0.0,0.0014079021057114005,0.0,0.0,100,0.2,0.1775,0.06,934,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10275310277938843,0.019355596974492073,0.06522423028945923,0.15942996740341187,0.00936517957597971,0.0009053036919794977,0.0016731341602280736,0.011448227800428867,0.00936517957597971,0.0009053036919794977,0.00936517957597971,0.00992619153112173,1.0,0.0,0.0,0.10361693054437637,0.019494609907269478,0.9920006854501496,mpnn,5,3,16,mean_max,32,38,373600,none,3736.0,0.49489131569862366,0.679400622844696,0.20665253698825836,1.209404706954956,0.16055841743946075,0.10361693054437637,0.019494609907269478,0.0653262734413147,0.08294442296028137,0.10138632357120514,0.12072888016700745,0.16089293360710144,0.01949458010494709,0.019494609907269478,0.01949446275830269
9,6.0634338301792745,0.10029999994207174,0.10070720208850617,0.1,0.0007072020885061647,0.00707202017785963,0.00707202017785963,0.0992579460144043,0.0001114404123500168,0.0001821606141286131,False,6.6073475863959175e-06,89.36820220947266,0.3206409215927124,-1.1796295211752295e-06,0.0,0.05,0.00015021335275378078,0.0016572466120123863,0.0005309152766130865,0.001262044650502503,-3.784179796184617e-07,0.9999994039535522,5.502622604370117,node_conditioned,25,True,True,False,-2.4578511714935303,0.15931223332881927,0.08905591815710068,0.11966864764690399,0.07091423869132996,1.675862431526184,-12.09396743774414,1.740919828414917,0.07334277358996177,-2.496577262878418,0.09627994894981384,-1.1612740280497746e-07,3.335730070830323e-05,0.00010415791621198878,0.0016572466120123863,1.1334410373819992e-05,0.006839260915698962,100,0.2,0.175,0.06,1102,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.0982658639550209,0.023421116173267365,0.06522423028945923,0.15942996740341187,0.01117197796702385,0.0013175492640584707,0.0014638819266110659,0.0142346927896142,0.01117197796702385,0.0013175492640584707,0.01117197796702385,0.01173646841198206,1.0,0.0,0.0,0.0992579460144043,0.023635245859622955,0.9922718401311117,mpnn,5,3,16,mean_max,32,38,440800,none,4408.0,0.5055146813392639,0.6653013229370117,0.21606536209583282,1.1988377571105957,0.20374445617198944,0.0992579460144043,0.023635245859622955,0.06531351804733276,0.06905664503574403,0.09527677297592163,0.13714187145233153,0.16109973192214966,0.02363521046936512,0.023635245859622955,0.023635072633624077
