episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.144353032894433,0.09972499995026737,0.09986249997513369,0.1,-0.00013750002486631607,-0.0013750001111631496,-0.0013750001111631496,0.09999905526638031,0.0,0.0,False,-2.0944039533787873e-06,137.5303497314453,0.32525891065597534,4.3117515247104166e-07,0.0,0.05,8.11969641745236e-07,0.8,5.139233394402254e-07,0.0008007699507288635,0.0018448864575475454,0.0018448864575475454,0.0,1.098632793627985e-07,0.9999995231628418,5.087357997894287,node_conditioned,22,False,False,True,-0.24555231630802155,0.09166940301656723,0.06829801201820374,0.08144756406545639,0.06171734631061554,2.1867148876190186,-12.0432767868042,2.216434955596924,0.026638073466406675,-0.24366065859794617,0.06868091970682144,0.0,0.0,0.0,0.0018448864575475454,0.0,0.0,100,0.2,0.1325,0.0,1002,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09999905526638031,1.4600096243100325e-08,0.0,mpnn,5,3,16,mean_max,32,37,400800,disabled_zero_placeholder,4008.0,0.4597225487232208,,,,,0.09999905526638031,1.4600096243100325e-08,0.09999904036521912,0.09999904036521912,0.09999904036521912,0.09999904036521912,0.09999905526638031,2.195077897226838e-08,1.4600096243100325e-08,1.4901161193847656e-08
1,7.5949679115042095,0.09717499997001142,0.09851874997257255,0.1,-0.0014812500274274526,-0.014812498793024646,-0.014812498793024646,0.10010658949613571,0.0,0.0,False,9.358516308566323e-07,155.3171844482422,0.3253232538700104,9.917132359760217e-08,0.0,0.05,1.5039726122267894e-06,0.8,9.583092150933226e-07,0.0010934402234852314,0.000874099088832736,0.001993970014154911,8.152455848176032e-05,1.2207031829802872e-07,0.9999995827674866,4.855242729187012,node_conditioned,22,False,False,True,-0.6111044883728027,0.10426308214664459,0.06356623768806458,0.08218997716903687,0.05760572478175163,2.436131715774536,-13.104364395141602,2.478817939758301,0.03414425947843858,-0.6343403458595276,0.05919642001390457,0.0,0.0,0.0,0.000874099088832736,0.0,0.0,100,0.2,0.13,0.0,1006,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10010658949613571,1.2448487723304424e-05,0.0,mpnn,5,3,16,mean_max,32,37,402400,disabled_zero_placeholder,4024.0,0.45852428674697876,,,,,0.10010658949613571,1.2448487723304424e-05,0.10002663731575012,0.10009288787841797,0.10010549426078796,0.1001235842704773,0.10013961791992188,1.1540342711668927e-05,1.2448487723304424e-05,2.2054853161534993e-06
2,7.9441729774698615,0.10050000008195639,0.09950937502726448,0.1,-0.0004906249727355261,-0.004906249236730337,-0.004906249236730337,0.10009843111038208,0.0,0.0,False,1.1296015145489946e-06,169.23704528808594,0.3252629041671753,4.7983601092482786e-08,0.0,0.05,8.492419283356867e-07,0.8,5.378230412134144e-07,0.0008190359221771359,0.0015479595167562366,0.0005272349808365107,7.468862168025225e-05,-1.0375976700061074e-07,0.9999995231628418,4.943922519683838,node_conditioned,22,False,False,True,-0.9678143262863159,0.12383799254894257,0.0647406280040741,0.10802171379327774,0.05807701125741005,2.4744086265563965,-13.998323440551758,2.5385982990264893,0.0499317146788697,-1.0137099027633667,0.05639709159731865,0.0,0.0,0.0,0.0015479595167562366,0.0,0.0,100,0.2,0.145,0.0,1022,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10009843111038208,1.1634220754785929e-05,0.0,mpnn,5,3,16,mean_max,32,37,408800,disabled_zero_placeholder,4088.0,0.44479069113731384,,,,,0.10009843111038208,1.1634220754785929e-05,0.10002255439758301,0.10008600354194641,0.10009729862213135,0.10011392831802368,0.10012903809547424,1.075882937584538e-05,1.1634220754785929e-05,1.9933193016186124e-06
3,8.100414412356914,0.10215000001713634,0.10082968752220041,0.1,0.0008296875222004035,0.008296874392316597,0.008296874392316597,0.10008048266172409,0.0,8.296874392316597e-05,False,2.747665348579176e-07,175.40562438964844,0.3252730071544647,-1.4200918485585134e-07,0.0,0.05,9.459064358452451e-07,0.8,5.997856646899891e-07,0.0008647279464639723,0.001480192644521594,0.0006635405006818473,6.039110303390771e-05,2.9296876391526894e-07,0.9999996423721313,4.782410144805908,node_conditioned,22,False,False,True,-1.3149018287658691,0.14804859459400177,0.07163430005311966,0.12208884209394455,0.06380171328783035,2.633329153060913,-14.551390647888184,2.7099480628967285,0.055747043835456145,-1.3614447116851807,0.0764138475060463,0.0,0.0,0.0,0.001480192644521594,0.0,0.0,100,0.2,0.1475,0.0,938,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10008048266172409,1.1166609510837588e-05,0.0,mpnn,5,3,16,mean_max,32,37,375200,disabled_zero_placeholder,3752.0,0.43239709734916687,,,,,0.10008048266172409,1.1166609510837588e-05,0.10001572966575623,0.10006862878799438,0.10007894039154053,0.10009592771530151,0.10011011362075806,1.0380276762589347e-05,1.1166609510837588e-05,1.6296446574415313e-06
4,7.008148218654096,0.10127500000409782,0.10105234376314912,0.1,0.0010523437631491106,0.010523436579147448,0.010523436579147448,0.10009095072746277,8.296874392316597e-05,0.00018820310971464044,False,7.725237765043858e-07,127.0509262084961,0.32531464099884033,-1.4573913631465985e-07,0.0,0.05,1.4003661590322736e-06,0.8,8.917144782571995e-07,0.0010544805554673076,0.0012902511516585946,0.0003864611207973212,6.822196155553684e-05,-7.629394893626795e-09,0.9999995231628418,5.701883792877197,node_conditioned,22,False,False,True,-1.612024188041687,0.16645216941833496,0.07630740851163864,0.11958955228328705,0.06509064882993698,1.8382501602172852,-12.97474479675293,1.9182102680206299,0.08163190842050483,-1.7669074535369873,0.07639424502849579,-9.823906310657549e-08,2.50310458795866e-05,7.467071554856375e-05,0.0012902511516585946,5.03512137584039e-06,0.0039024048498770055,100,0.2,0.14,0.0,980,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10009095072746277,1.2853069165430497e-05,0.0,mpnn,5,3,16,mean_max,32,37,392000,disabled_zero_placeholder,3920.0,0.44203460216522217,,,,,0.10009095072746277,1.2853069165430497e-05,0.1000138521194458,0.10007679462432861,0.10008940100669861,0.100108802318573,0.10012415051460266,1.1938123861909844e-05,1.2853069165430497e-05,2.055136974377092e-06
5,7.718133067041635,0.10017500010784715,0.10061367193549814,0.1,0.0006136719354981335,0.006136718741309461,0.006136718741309461,0.10011076182126999,0.00018820310971464044,0.000249570297127735,False,1.122474259318551e-06,155.59890747070312,0.3253103792667389,1.231618185215666e-08,0.0,0.05,1.350497313978849e-06,0.8,8.596368274993438e-07,0.0010352300014346838,0.0004133631009608507,0.001453414442948997,8.322782377945259e-05,-2.807617249800387e-07,0.9999997019767761,4.807611465454102,node_conditioned,22,False,False,True,-1.97368323802948,0.18563875555992126,0.08600172400474548,0.13430438935756683,0.07042594254016876,2.4862000942230225,-14.450323104858398,2.5740671157836914,0.06710559655869242,-2.014777898788452,0.07600899040699005,-1.2090455747681972e-08,5.650482125929557e-05,0.00016937879263423383,0.0004133631009608507,1.1352293768140953e-05,0.027462584628156764,100,0.2,0.14,0.0,998,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10011076182126999,1.3561277228291146e-05,0.0,mpnn,5,3,16,mean_max,32,37,399200,disabled_zero_placeholder,3992.0,0.42961880564689636,,,,,0.10011076182126999,1.3561277228291146e-05,0.1000170111656189,0.10009491443634033,0.10011026263237,0.1001279354095459,0.10014447569847107,1.2328311640885659e-05,1.3561277228291146e-05,1.9757062545977533e-06
6,7.507478298060596,0.10372500002849847,0.1021693359819983,0.1,0.0021693359819982966,0.0216933576506472,0.0216933576506472,0.10009543597698212,0.000249570297127735,0.000466503873634207,False,7.099987442416023e-07,146.86341857910156,0.3253251612186432,-5.855958988831844e-07,0.0,0.05,1.5303174905056949e-06,0.8,9.75279704107379e-07,0.0011023443657904863,0.0037954896688461304,0.002798966597765684,7.113841274986044e-05,2.4414063659605745e-07,0.9999995231628418,4.481109142303467,node_conditioned,22,False,False,True,-2.3027217388153076,0.2359129786491394,0.0946444496512413,0.1313563883304596,0.07539884746074677,2.5586116313934326,-14.412368774414062,2.6939139366149902,0.0979278226745196,-2.4250330924987793,0.10917346924543381,-9.058315981747e-07,7.609483873238787e-05,0.00022461079061031342,0.0037954896688461304,1.5417632312164642e-05,0.004062082375797376,100,0.2,0.1625,0.01,1054,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10009543597698212,1.300119129155064e-05,0.0,mpnn,5,3,16,mean_max,32,37,421600,disabled_zero_placeholder,4216.0,0.45315924286842346,,,,,0.10009543597698212,1.300119129155064e-05,0.10000994801521301,0.10007962584495544,0.10009443759918213,0.10011261701583862,0.10012859106063843,1.1848381291201804e-05,1.300119129155064e-05,2.0045672499691136e-06
7,7.1567664218321445,0.10069999989122153,0.1014346679366099,0.1,0.0014346679366099013,0.01434667793143122,0.01434667793143122,0.10012417286634445,0.000466503873634207,0.0006099706529485193,False,1.5560206065856619e-06,130.7679443359375,0.3254215717315674,-3.537170698564296e-07,0.0,0.05,2.9770928904326865e-06,0.8,1.9076542230322957e-06,0.0015415032394230366,0.0011943482095375657,0.0007394655258394778,9.283974941354245e-05,-2.19726558725597e-07,0.9999995827674866,4.690133094787598,node_conditioned,22,False,False,True,-2.6272921562194824,0.251706600189209,0.0994776040315628,0.12533855438232422,0.0790167823433876,2.331514358520508,-14.091706275939941,2.47550368309021,0.11294807420049835,-2.7050604820251465,0.09342151880264282,-2.686263940177014e-07,0.0001403854403179139,0.0004198463575448841,0.0011943482095375657,2.8215341444592923e-05,0.023623851889055466,100,0.2,0.1325,0.0,1084,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10012417286634445,1.9444827557890676e-05,0.0,mpnn,5,3,16,mean_max,32,37,433600,disabled_zero_placeholder,4336.0,0.4637366533279419,,,,,0.10012417286634445,1.9444827557890676e-05,0.1000126302242279,0.1001025140285492,0.10012143850326538,0.10015317797660828,0.1001749336719513,1.7985437807510607e-05,1.9444827557890676e-05,3.11547887577035e-06
8,7.6508507629483935,0.09992500012274831,0.10067983402967912,0.1,0.0006798340296791106,0.006798339616957144,0.006798339616957144,0.10015981644392014,0.0006099706529485193,0.0006779540491180907,False,2.0220500118739437e-06,147.46437072753906,0.3254568874835968,-1.447746598159938e-07,0.0,0.05,3.629467755672522e-06,0.8,2.328857817701646e-06,0.0017023746622726321,0.0012133747804909945,0.00054989691125229,0.00012003960728179663,-1.2207030941624453e-08,0.9999995231628418,5.1393723487854,node_conditioned,22,False,False,True,-3.0132744312286377,0.27999991178512573,0.10533276200294495,0.14017219841480255,0.08283305913209915,2.263277769088745,-15.228483200073242,2.405181646347046,0.11451759259476813,-3.193668842315674,0.11052960902452469,1.4322851882297982e-07,0.00018293011817149818,0.0005489630857482553,0.0012133747804909945,3.680472946143709e-05,0.03033228210308037,100,0.2,0.1375,0.0,908,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10015981644392014,3.0420209441217594e-05,0.0,mpnn,5,3,16,mean_max,32,37,363200,disabled_zero_placeholder,3632.0,0.4266531765460968,,,,,0.10015981644392014,3.0420209441217594e-05,0.10001403093338013,0.10012829303741455,0.10015422105789185,0.1002061165869236,0.10024037957191467,2.8473668862716295e-05,3.0420209441217594e-05,4.8221927499980666e-06
9,8.379692166037858,0.1006499997433275,0.10066491688650331,0.1,0.0006649168865033028,0.006649168200116208,0.006649168200116208,0.10017017275094986,0.0006779540491180907,0.0007444457311192528,False,3.336029749334557e-06,178.33653259277344,0.32544103264808655,1.843161889780731e-08,0.0,0.05,3.333556605866761e-06,0.8,2.1378577912400942e-06,0.0016301103169098496,0.0010867025703191757,0.0007514801691286266,0.00012750517635140568,-5.981445383440587e-07,0.9999997019767761,4.679518222808838,node_conditioned,22,False,False,True,-3.445513963699341,0.331335186958313,0.11487724632024765,0.1592109203338623,0.08859532326459885,2.7829272747039795,-16.81859016418457,2.9679760932922363,0.1208097028174181,-3.4615349769592285,0.13897526264190674,-3.253023805882549e-07,0.00020397230400703847,0.0006101513863541186,0.0010867025703191757,4.115136471227743e-05,0.037867754396354286,100,0.2,0.13,0.0,922,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10017017275094986,3.9902406570035964e-05,0.0,mpnn,5,3,16,mean_max,32,37,368800,disabled_zero_placeholder,3688.0,0.4169595539569855,,,,,0.10017017275094986,3.9902406570035964e-05,0.10000920295715332,0.10013037919998169,0.10016092658042908,0.10023293197154999,0.10027769207954407,3.755254510906525e-05,3.9902406570035964e-05,6.123182174633257e-06
