episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.964901504702866,0.097874999884516,0.098937499942258,0.1,-0.0010625000577419996,-0.010624999514920045,-0.010624999514920045,0.0980132594704628,0.0,0.0,False,-3.162355824315455e-06,136.00360107421875,0.3174596130847931,2.8805806095988373e-07,0.0,0.05,1.938430159498239e-06,0.8,0.0,0.0,0.0021201306954026222,0.0021201306954026222,0.0,1.4648438195763447e-07,0.9999995231628418,5.147649765014648,node_conditioned,25,True,True,False,1.213045358657837,0.18997694551944733,0.08684707432985306,0.1517300307750702,0.048410385847091675,2.130244255065918,-10.489398002624512,2.0314230918884277,-0.09965895201371344,1.3038972616195679,0.09629892557859421,0.0,0.0,0.0,0.0021201306954026222,0.0,0.0,100,0.2,0.185,0.07,1002,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.0980132594704628,0.025424612686038017,0.06522423028945923,0.15942996740341187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0980132594704628,0.025424612686038017,0.9908152825030138,mpnn,5,3,16,mean_max,32,38,400800,none,4008.0,0.46821680665016174,0.5945572257041931,0.2022835612297058,1.0998823642730713,0.1936734914779663,0.0980132594704628,0.025424612686038017,0.06522423028945923,0.06522423028945923,0.09427881240844727,0.13587576150894165,0.15942996740341187,0.02542460896074772,0.025424612686038017,0.025424737483263016
1,7.102038137353957,0.09562500005122274,0.09728124999674037,0.1,-0.0027187500032596346,-0.027187497313846613,-0.027187497313846613,0.09827787429094315,0.0,0.0,False,8.08819777375902e-07,140.82275390625,0.31755557656288147,1.1823032082247664e-06,0.0,0.05,5.190066985960584e-06,0.8,0.0,0.0,0.0015451632207259536,0.0017264877678826451,0.00018627745157573372,-2.4414061883248905e-08,0.9999995231628418,4.8422746658325195,node_conditioned,25,True,True,False,0.9052027463912964,0.17838318645954132,0.09020489454269409,0.1684936136007309,0.05053921788930893,2.293142557144165,-10.974725723266602,2.2085533142089844,-0.07806832996714519,0.9918220639228821,0.08269572257995605,0.0,0.0,0.0,0.0015451632207259536,0.0,0.0,100,0.2,0.1825,0.06,1006,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09811218082904816,0.026508867740631104,0.06522423028945923,0.15942996740341187,0.001877486938610673,0.00021445797756314278,0.00047491188161075115,0.0024618778843432665,0.001877486938610673,0.00021445797756314278,0.0018774870550259948,0.0021215062588453293,1.0,0.0,0.0,0.09827787429094315,0.02654924988746643,0.9919517313099199,mpnn,5,3,16,mean_max,32,38,402400,none,4024.0,0.458953857421875,0.6032740473747253,0.20535001158714294,1.1134320497512817,0.18736045062541962,0.09827787429094315,0.02654924988746643,0.06525316834449768,0.06533202528953552,0.09442052245140076,0.13108960390090943,0.15973931550979614,0.02654924802482128,0.02654924988746643,0.026549244299530983
2,7.82277902405709,0.09690000001341105,0.0970906250050757,0.1,-0.002909374994924302,-0.029093747039868317,-0.029093747039868317,0.09753836691379547,0.0,0.0,False,-2.816008759509714e-07,170.8095245361328,0.31822270154953003,1.37342141215413e-07,0.0,0.05,6.086732810217654e-06,0.8,0.0,0.0,0.001558775082230568,0.0013318746350705624,0.00023009486903902143,2.685546860448085e-07,0.9999995231628418,4.63740348815918,node_conditioned,25,True,True,False,0.6223003268241882,0.1690448671579361,0.08156172931194305,0.1807919293642044,0.0460299476981163,2.604306697845459,-12.430259704589844,2.509392499923706,-0.07707774998381733,0.7114641070365906,0.07524748891592026,0.0,0.0,0.0,0.001558775082230568,0.0,0.0,100,0.2,0.17,0.02,1022,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09733786433935165,0.015891794115304947,0.06522423028945923,0.12870299816131592,0.002278567524626851,0.00025529490085318685,0.0004472887667361647,0.002952314680442214,0.002278567524626851,0.00025529490085318685,0.0022785672917962074,0.0025627680588513613,1.0,0.0,0.0,0.09753836691379547,0.015924686565995216,0.996127827316096,mpnn,5,3,16,mean_max,32,38,408800,none,4088.0,0.4351937174797058,0.6126102209091187,0.21546365320682526,1.1457042694091797,0.1657985895872116,0.09753836691379547,0.015924686565995216,0.06525152921676636,0.0773668885231018,0.09695082902908325,0.11988121271133423,0.1290055513381958,0.015924684703350067,0.015924686565995216,0.01592467911541462
3,7.834638383612036,0.099074999964796,0.09808281248493586,0.1,-0.0019171875150641449,-0.019171873233454127,-0.019171873233454127,0.09640365093946457,0.0,0.0,False,-5.5764274975445e-07,169.406005859375,0.31459444761276245,-2.1694656879844842e-06,0.0,0.05,1.0453589311509859e-05,0.8,0.0,0.0,0.001979522407054901,0.001739427912980318,0.0002501149720046669,-3.967285238104523e-07,0.9999997019767761,4.798508644104004,node_conditioned,25,True,True,False,0.3012814223766327,0.15122827887535095,0.08536756783723831,0.16560567915439606,0.047744035720825195,2.5355539321899414,-12.719276428222656,2.4583137035369873,-0.06382712794169865,0.37298452854156494,0.07951350510120392,0.0,0.0,0.0,0.001979522407054901,0.0,0.0,100,0.2,0.185,0.02,938,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09618183225393295,0.021571839228272438,0.06522423028945923,0.15942996740341187,0.0025389688089489937,0.0003200349456164986,0.0005445069400593638,0.0033258472103625536,0.0025389688089489937,0.0003200349456164986,0.0025389688089489937,0.0028743199072778225,1.0,0.0,0.0,0.09640365093946457,0.0216238833963871,0.9933398331926222,mpnn,5,3,16,mean_max,32,38,375200,none,3752.0,0.44695380330085754,0.5996597409248352,0.20571854710578918,1.107272982597351,0.18399059772491455,0.09640365093946457,0.0216238833963871,0.06525745987892151,0.0653647780418396,0.09451201558113098,0.1234794557094574,0.1598488986492157,0.0216238833963871,0.0216238833963871,0.021623872220516205
4,6.595146969743073,0.09967500005383044,0.09887890626938314,0.1,-0.0011210937306168622,-0.011210936185075003,-0.011210936185075003,0.0979941189289093,0.0,0.0,False,2.2100044816397713e-07,116.64952850341797,0.31893324851989746,-1.3729506918025436e-06,0.0,0.05,1.955672814801801e-05,0.8,0.0,0.0,0.0008927343878895044,0.0005899020470678806,0.0003611971333157271,3.662109548940862e-08,0.9999995231628418,5.339071750640869,node_conditioned,25,True,True,False,-0.07813619077205658,0.13635818660259247,0.09541379660367966,0.15547509491443634,0.05635252967476845,1.9071757793426514,-10.960289001464844,1.8556023836135864,-0.056359191729521196,-0.03949875012040138,0.09448553621768951,0.0,0.0,0.0,0.0008927343878895044,0.0,0.0,100,0.2,0.1625,0.01,980,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09767758101224899,0.018066180869936943,0.06522423028945923,0.13087493181228638,0.003574649803340435,0.00042380826198495924,0.000927724177017808,0.004761351738125086,0.003574649803340435,0.00042380826198495924,0.003574649803340435,0.004132917616516352,1.0,0.0,0.0,0.0979941189289093,0.0181290190666914,0.9959325425156889,mpnn,5,3,16,mean_max,32,38,392000,none,3920.0,0.46669256687164307,0.6255543828010559,0.20702624320983887,1.14480721950531,0.17191468179225922,0.0979941189289093,0.0181290190666914,0.06528076529502869,0.07435095012187984,0.09936404228210449,0.12654552161693572,0.13136893510818481,0.01812901347875595,0.0181290190666914,0.01812898926436901
5,7.4765151347219945,0.09630000002216547,0.0975894531457743,0.1,-0.0024105468542257036,-0.024105466131710423,-0.024105466131710423,0.0956743061542511,0.0,0.0,False,1.3110123973092414e-06,150.4161834716797,0.31302303075790405,-2.6998893076779495e-07,0.0,0.05,2.6830597562366165e-05,0.8,0.0,0.0,0.00045307620894163847,0.0007048019324429333,0.00047327717766165733,-6.103515914901436e-08,0.9999995231628418,4.9120330810546875,node_conditioned,25,True,True,False,-0.38994380831718445,0.12955409288406372,0.09740175306797028,0.15813829004764557,0.05615297332406044,2.359579563140869,-12.689092636108398,2.3113768100738525,-0.04214404074281042,-0.37768489122390747,0.1272786408662796,0.0,0.0,0.0,0.00045307620894163847,0.0,0.0,100,0.2,0.1725,0.04,998,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09527149796485901,0.021128609776496887,0.06522423028945923,0.15942996740341187,0.0046387300826609135,0.0006081800675019622,0.001277993549592793,0.006260158959776163,0.0046387300826609135,0.0006081800675019622,0.0046387300826609135,0.005347430240362883,1.0,0.0,0.0,0.0956743061542511,0.021226374432444572,0.9928164794100185,mpnn,5,3,16,mean_max,32,38,399200,none,3992.0,0.4357954263687134,0.5919812321662903,0.20900198817253113,1.1154112815856934,0.1906168907880783,0.0956743061542511,0.021226374432444572,0.06530216336250305,0.06547185778617859,0.0946638435125351,0.12410498261451344,0.160243421792984,0.021226365119218826,0.021226374432444572,0.021226339042186737
6,7.0198161770403384,0.09620000003371387,0.09689472658974409,0.1,-0.003105273410255918,-0.03105273099728608,-0.03105273099728608,0.0949632078409195,0.0,0.0,False,-1.8776308934320696e-06,131.62557983398438,0.3116535544395447,-9.655127541918773e-07,0.0,0.05,3.8619255064986646e-05,0.8,0.0,0.0,0.004088812507688999,0.003546815598383546,0.0005491444608196616,1.770019508740006e-07,0.9999995231628418,4.645862579345703,node_conditioned,25,True,True,False,-0.7473048567771912,0.10980290919542313,0.08823949098587036,0.13982242345809937,0.052081089466810226,2.3391273021698,-12.251087188720703,2.3019418716430664,-0.03256866108086531,-0.7270368933677673,0.0862753614783287,0.0,0.0,0.0,0.004088812507688999,0.0,0.0,100,0.2,0.1925,0.03,1054,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09450536221265793,0.020421061664819717,0.06522423028945923,0.15942996740341187,0.005319740157574415,0.0006799141992814839,0.0012968572555109859,0.007043170277029276,0.005319740157574415,0.0006799141992814839,0.005319740157574415,0.006105029955506325,1.0,0.0,0.0,0.0949632078409195,0.020524263381958008,0.9929769568252824,mpnn,5,3,16,mean_max,32,38,421600,none,4216.0,0.4672652781009674,0.6254960894584656,0.21607659757137299,1.1526482105255127,0.1950477659702301,0.0949632078409195,0.020524263381958008,0.06530332565307617,0.07016602456569677,0.09228706359863281,0.1201582282781601,0.160325288772583,0.020524252206087112,0.020524263381958008,0.020524214953184128
7,7.2320661569014195,0.1006500000320375,0.09877236331089079,0.1,-0.0012276366891092183,-0.012276365663455616,-0.012276365663455616,0.10013844072818756,0.0,0.0,False,4.789436388819013e-06,137.7217559814453,0.3234308362007141,-4.780115432367893e-07,0.0,0.05,5.119614434079267e-05,0.8,2.583633204267244e-06,0.0017862719250842929,0.0007557708886452019,0.003039540257304907,0.0007113289902918041,-8.544921570319275e-08,0.9999995827674866,5.0058817863464355,node_conditioned,25,True,True,False,-1.109405279159546,0.0977887213230133,0.08668117225170135,0.13192103803157806,0.04952492192387581,2.2327346801757812,-12.910151481628418,2.2127318382263184,-0.018161598023654024,-1.0705993175506592,0.10359311103820801,0.0,0.0,0.0,0.0007557708886452019,0.0,0.0,100,0.2,0.1575,0.03,1084,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09953371435403824,0.01910480298101902,0.06522423028945923,0.15942996740341187,0.006706040818244219,0.0008016875945031643,0.0013367990031838417,0.008792182430624962,0.006706040818244219,0.0008016875945031643,0.006706041283905506,0.007468999829143286,1.0,0.0,0.0,0.10013844072818756,0.019224608317017555,0.9918911943344222,mpnn,5,3,16,mean_max,32,38,433600,none,4336.0,0.4622192084789276,0.6344179511070251,0.218770831823349,1.165871500968933,0.18927006423473358,0.10013844072818756,0.019224608317017555,0.06530579924583435,0.07250106781721119,0.10109825432300568,0.12392991781234741,0.1604672074317932,0.01922459341585636,0.019224608317017555,0.019224543124437332
8,6.9199161548912524,0.0961999999685213,0.09748618163970604,0.1,-0.0025138183602939623,-0.025138181089121515,-0.025138181089121515,0.09662904590368271,0.0,0.0,False,2.225979187642224e-06,123.17153930664062,0.31500673294067383,-1.5625283822373603e-07,0.0,0.05,4.866997551289387e-05,0.8,0.0,0.0,0.001749766175635159,0.0010434883879497647,0.0007442532805725932,2.4414063659605745e-07,0.9999995231628418,5.320435523986816,node_conditioned,25,True,True,False,-1.4754927158355713,0.08392544835805893,0.08132362365722656,0.11013342440128326,0.04651487246155739,1.9670993089675903,-12.677196502685547,1.960922360420227,-0.006309952481562187,-1.4769790172576904,0.07833007723093033,0.0,0.0,0.0,0.001749766175635159,0.0,0.0,100,0.2,0.175,0.05,908,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09601829946041107,0.02168552577495575,0.06522423028945923,0.15942996740341187,0.007014775648713112,0.0007526433910243213,0.001372598810121417,0.008967873640358448,0.007014775648713112,0.0007526433910243213,0.007014775183051825,0.007695636246353388,1.0,0.0,0.0,0.09662904590368271,0.021817399188876152,0.9919429803715695,mpnn,5,3,16,mean_max,32,38,363200,none,3632.0,0.45489099621772766,0.6398389935493469,0.2153884768486023,1.1590114831924438,0.1755187064409256,0.09662904590368271,0.021817399188876152,0.06530797481536865,0.07323059141635894,0.09342211484909058,0.12138933241366104,0.1605163812637329,0.021817384287714958,0.021817399188876152,0.021817343309521675
9,7.716614133268595,0.09465000024065376,0.0960680909401799,0.1,-0.0039319090598201045,-0.03931908666629238,-0.03931908666629238,0.09489691257476807,0.0,0.0,False,1.6899375623324886e-06,154.67343139648438,0.3112542927265167,-1.9814818674745993e-09,0.0,0.05,5.235343996901065e-05,0.8,0.0,0.0,0.0017421841621398926,0.001082907197996974,0.0007392701809294522,6.103515488575795e-07,0.9999995827674866,4.832398414611816,node_conditioned,25,True,True,False,-1.8468749523162842,0.08120277523994446,0.07753720134496689,0.10230759531259537,0.04498619958758354,2.4520061016082764,-14.333839416503906,2.45772123336792,0.004645545279374885,-1.8869082927703857,0.0851830393075943,0.0,0.0,0.0,0.0017421841621398926,0.0,0.0,100,0.2,0.19,0.03,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09429911524057388,0.021326320245862007,0.06522423028945923,0.15942996740341187,0.006981105078011751,0.0007544022519141436,0.0012138279853388667,0.008522688411176205,0.006981105078011751,0.0007544022519141436,0.006981105078011751,0.007420517969876528,1.0,0.0,0.0,0.09489691257476807,0.02145416848361492,0.9918273478787929,mpnn,5,3,16,mean_max,32,38,368800,none,3688.0,0.4410196542739868,0.6216182708740234,0.21590058505535126,1.1482048034667969,0.17964152991771698,0.09489691257476807,0.02145416848361492,0.06529825925827026,0.07287814021110542,0.09125389158725739,0.12109678089617806,0.16053491830825806,0.021454153582453728,0.02145416848361492,0.021454112604260445
