episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.964901504702866,0.097874999884516,0.098937499942258,0.1,-0.0010625000577419996,-0.010624999514920045,-0.010624999514920045,0.0980132594704628,0.0,0.0,False,-3.0549933853762923e-06,136.00360107421875,0.31741881370544434,3.74322759455481e-08,0.0,0.05,1.4001293493492994e-06,0.8,0.0,0.0,0.0020348038524389267,0.0020348038524389267,0.0,1.4648438195763447e-07,0.9999995231628418,5.147649765014648,node_conditioned,25,True,True,False,1.213045358657837,0.18997694551944733,0.08684707432985306,0.1517300307750702,0.048410385847091675,2.130244255065918,-10.489398002624512,2.0314230918884277,-0.09965895201371344,1.3038972616195679,0.09629892557859421,0.0,0.0,0.0,0.0020348038524389267,0.0,0.0,100,0.2,0.185,0.07,1002,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.0980132594704628,0.025424612686038017,0.06522423028945923,0.15942996740341187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0980132594704628,0.025424612686038017,0.9908152825030138,mpnn,5,3,16,mean_max,32,38,400800,none,4008.0,0.46821680665016174,0.4924953877925873,0.13358762860298157,0.8378399610519409,0.16929036378860474,0.0980132594704628,0.025424612686038017,0.06522423028945923,0.06522423028945923,0.09427881240844727,0.13587576150894165,0.15942996740341187,0.02542460896074772,0.025424612686038017,0.025424737483263016
1,7.10217247787863,0.09560000004712492,0.09726874999469146,0.1,-0.0027312500053085498,-0.027312497321835764,-0.027312497321835764,0.09825192391872406,0.0,0.0,False,7.841175033718173e-07,140.8282012939453,0.31748780608177185,1.013859900922398e-06,0.0,0.05,3.719459073181497e-06,0.8,0.0,0.0,0.001446475856937468,0.0015843940200284123,0.00014249880041461438,0.0,0.9999995827674866,4.842270851135254,node_conditioned,25,True,True,False,0.9052042961120605,0.1783818155527115,0.09020096063613892,0.1684936136007309,0.05054014176130295,2.2931909561157227,-10.974950790405273,2.20859956741333,-0.07806877071084806,0.9918220639228821,0.08269572257995605,0.0,0.0,0.0,0.001446475856937468,0.0,0.0,100,0.2,0.1825,0.06,1006,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09811218082904816,0.026508867740631104,0.06522423028945923,0.15942996740341187,0.0015845708549022675,0.00019543562666513026,0.00038155727088451385,0.0021900052670389414,0.0015845708549022675,0.00019543562666513026,0.0015845709713175893,0.0018750748131424189,1.0,0.0,0.0,0.09825192391872406,0.0265433918684721,0.9919517313099199,mpnn,5,3,16,mean_max,32,38,402400,none,4024.0,0.4589519202709198,0.49284908175468445,0.13452862203121185,0.8307401537895203,0.16915260255336761,0.09825192391872406,0.0265433918684721,0.0652528703212738,0.06533139944076538,0.09439101815223694,0.13105599582195282,0.15970763564109802,0.02654339000582695,0.0265433918684721,0.0265433881431818
2,7.824990897588432,0.0968750000372529,0.09707187501597217,0.1,-0.0029281249840278356,-0.029281246912153665,-0.029281246912153665,0.09750798344612122,0.0,0.0,False,-3.423753014430986e-07,170.9071807861328,0.31814995408058167,1.0112430715025766e-07,0.0,0.05,4.382962742965901e-06,0.8,0.0,0.0,0.0013634096831083298,0.0011898644734174013,0.00017475576896686107,3.1738281336401997e-07,0.9999996423721313,4.637761116027832,node_conditioned,25,True,True,False,0.6223616003990173,0.1690504401922226,0.08156521618366241,0.18079189956188202,0.04603661596775055,2.604909658432007,-12.433926582336426,2.5099663734436035,-0.07708390906964069,0.7114635705947876,0.07524748146533966,0.0,0.0,0.0,0.0013634096831083298,0.0,0.0,100,0.2,0.17,0.02,1022,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09733786433935165,0.015891794115304947,0.06522423028945923,0.12870299816131592,0.0019307363545522094,0.00028641530661843717,0.0004344648914411664,0.0028442677576094866,0.0019307363545522094,0.00028641530661843717,0.0019307363545522094,0.002281161956489086,1.0,0.0,0.0,0.09750798344612122,0.015921538695693016,0.996127827316096,mpnn,5,3,16,mean_max,32,38,408800,none,4088.0,0.4350961744785309,0.48631295561790466,0.13753604888916016,0.8357123136520386,0.18240272998809814,0.09750798344612122,0.015921538695693016,0.06525072455406189,0.07733927965164185,0.09692463278770447,0.11984206438064576,0.12898164987564087,0.015921534970402718,0.015921538695693016,0.015921523794531822
3,7.840100256428123,0.09897499994840472,0.09802343748218845,0.1,-0.0019765625178115587,-0.019765623201553267,-0.019765623201553267,0.09636946767568588,0.0,0.0,False,-8.649793699078145e-07,169.6363067626953,0.31450146436691284,-1.6792638461993192e-06,0.0,0.05,7.602757705171825e-06,0.8,0.0,0.0,0.0018424855079501867,0.0016623771516606212,0.00019242754206061363,-1.5258788721439487e-07,0.9999996423721313,4.8032097816467285,node_conditioned,25,True,True,False,0.301533043384552,0.15122264623641968,0.08534429222345352,0.16560575366020203,0.0477963387966156,2.534977912902832,-12.728175163269043,2.457718849182129,-0.06385874022618854,0.372974157333374,0.07951084524393082,0.0,0.0,0.0,0.0018424855079501867,0.0,0.0,100,0.2,0.185,0.02,938,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09618183225393295,0.021571839228272438,0.06522423028945923,0.15942996740341187,0.002153543522581458,0.00028969504637643695,0.0005226858193054795,0.003124397713690996,0.002153543522581458,0.00028969504637643695,0.002153543522581458,0.002533594612032175,1.0,0.0,0.0,0.09636946767568588,0.02161449007689953,0.9933398331926222,mpnn,5,3,16,mean_max,32,38,375200,none,3752.0,0.4451119899749756,0.4799748957157135,0.12946400046348572,0.816476047039032,0.16668881475925446,0.09636946767568588,0.02161449007689953,0.06525608897209167,0.06536933481693268,0.09446951746940613,0.12343378067016601,0.15980061888694763,0.02161448635160923,0.02161449007689953,0.021614478901028633
4,6.587128788419068,0.0996250000456348,0.09882421876391162,0.1,-0.0011757812360883857,-0.011757811185102739,-0.011757811185102739,0.09794360399246216,0.0,0.0,False,-1.7633931292948546e-07,116.33297729492188,0.3187880218029022,-1.105352112062974e-06,0.0,0.05,1.3563058018917218e-05,0.8,0.0,0.0,0.0006282483809627593,0.0004530031874310225,0.0002724414807744324,4.882812731921149e-07,0.999999463558197,5.354206562042236,node_conditioned,25,True,True,False,-0.07866207510232925,0.13661542534828186,0.09595658630132675,0.1554737538099289,0.0567011721432209,1.8993030786514282,-10.947267532348633,1.848045825958252,-0.05624105474483332,-0.039931949228048325,0.09448891133069992,0.0,0.0,0.0,0.0006282483809627593,0.0,0.0,100,0.2,0.1625,0.01,980,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09767758101224899,0.018066180869936943,0.06522423028945923,0.13087493181228638,0.0030116094276309013,0.0003602971264626831,0.0007580638630315661,0.004313486162573099,0.0030116094276309013,0.0003602971264626831,0.0030116098932921886,0.003608436556532979,1.0,0.0,0.0,0.09794360399246216,0.018116744235157967,0.9959325425156889,mpnn,5,3,16,mean_max,32,38,392000,none,3920.0,0.46646732091903687,0.48990002274513245,0.12770824134349823,0.8306803703308105,0.16280750930309296,0.09794360399246216,0.018116744235157967,0.06527829170227051,0.07430592775344874,0.09930276870727539,0.12648123502731323,0.13132241368293762,0.01811673678457737,0.018116744235157967,0.018116718158125877
5,7.4750848330557345,0.09622500001918524,0.09752460939154843,0.1,-0.0024753906084515748,-0.024753903609125386,-0.024753903609125386,0.09561081230640411,0.0,0.0,False,6.475574991782196e-07,150.36965942382812,0.3128562569618225,-2.423809917218023e-07,0.0,0.05,1.8688455384108238e-05,0.8,0.0,0.0,0.0006286106072366238,0.000784865755122155,0.0003612401778809726,2.19726558725597e-07,0.9999995827674866,4.907388210296631,node_conditioned,25,True,True,False,-0.3899482786655426,0.12954628467559814,0.09739028662443161,0.15813924372196198,0.05615895614027977,2.3616602420806885,-12.686695098876953,2.3134961128234863,-0.042071051304256146,-0.3777543604373932,0.12702535092830658,0.0,0.0,0.0,0.0006286106072366238,0.0,0.0,100,0.2,0.1725,0.04,998,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09527149796485901,0.021128609776496887,0.06522423028945923,0.15942996740341187,0.00391945568844676,0.0004778230795636773,0.0008941633859649301,0.005753049626946449,0.00391945568844676,0.0004778230795636773,0.003919455222785473,0.004597595427185297,1.0,0.0,0.0,0.09561081230640411,0.021209456026554108,0.9928164794100185,mpnn,5,3,16,mean_max,32,38,399200,none,3992.0,0.4357253313064575,0.48308029770851135,0.12959635257720947,0.82540363073349,0.1678820550441742,0.09561081230640411,0.021209456026554108,0.06529662013053894,0.06548341810703277,0.09459061920642853,0.12403772175311668,0.16012826561927795,0.02120945043861866,0.021209456026554108,0.02120942249894142
6,7.019763891845941,0.09615000001620501,0.09683730470387672,0.1,-0.0031626952961232857,-0.031626949798537876,-0.031626949798537876,0.09488043934106827,0.0,0.0,False,-1.7762921515895869e-06,131.62429809570312,0.31143707036972046,-9.772719522516127e-07,0.0,0.05,2.5997595002991147e-05,0.8,0.0,0.0,0.0037598758935928345,0.003360519651323557,0.00040540823829360306,-3.662109548940862e-08,0.9999995231628418,4.646003723144531,node_conditioned,25,True,True,False,-0.7472143769264221,0.10982251912355423,0.08825039118528366,0.13982650637626648,0.05208634212613106,2.3390376567840576,-12.250922203063965,2.3018388748168945,-0.03258210984704246,-0.7269529104232788,0.0862848162651062,0.0,0.0,0.0,0.0037598758935928345,0.0,0.0,100,0.2,0.1925,0.03,1054,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09450536221265793,0.020421061664819717,0.06522423028945923,0.15942996740341187,0.004378031007945538,0.00048658301238901913,0.001070922240614891,0.005938289687037468,0.004378031007945538,0.00048658301238901913,0.00437803054228425,0.005038940813392401,1.0,0.0,0.0,0.09488043934106827,0.02049984410405159,0.9929769568252824,mpnn,5,3,16,mean_max,32,38,421600,none,4216.0,0.46720871329307556,0.4990805387496948,0.13589531183242798,0.8462429642677307,0.17624619603157043,0.09488043934106827,0.02049984410405159,0.06529486179351807,0.07008557021617896,0.09219786524772644,0.12006586492061615,0.1601785123348236,0.020499834790825844,0.02049984410405159,0.020499812439084053
7,7.231370462216437,0.10052500002086162,0.09868115236236917,0.1,-0.001318847637630835,-0.013188475057460845,-0.013188475057460845,0.10003132373094559,0.0,0.0,False,2.199216851295205e-06,137.6959991455078,0.3232392966747284,-7.123433078959351e-07,0.0,0.05,3.83681726816576e-05,0.8,6.592260888282908e-07,0.0008987130131572485,0.0008933510980568826,0.0013789765071123838,0.0005288703832775354,-1.3427734302240424e-07,0.9999995827674866,5.005522727966309,node_conditioned,25,True,True,False,-1.109295129776001,0.09780669957399368,0.08669605106115341,0.1319405734539032,0.049511536955833435,2.2326643466949463,-12.908914566040039,2.2126688957214355,-0.01815512983964762,-1.070467472076416,0.1036040335893631,0.0,0.0,0.0,0.0008933510980568826,0.0,0.0,100,0.2,0.1575,0.03,1084,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09953371435403824,0.01910480298101902,0.06522423028945923,0.15942996740341187,0.005542246624827385,0.0005883924895897508,0.001140650361776352,0.00744645856320858,0.005542246624827385,0.0005883924895897508,0.005542246159166098,0.0061086262576282024,1.0,0.0,0.0,0.10003132373094559,0.01919647864997387,0.9918911943344222,mpnn,5,3,16,mean_max,32,38,433600,none,4336.0,0.462344765663147,0.5007514357566833,0.13691037893295288,0.869231641292572,0.17851732671260834,0.10003132373094559,0.01919647864997387,0.06529378890991211,0.07240642681717877,0.10098037123680115,0.12379595637321472,0.1603347361087799,0.019196465611457825,0.01919647864997387,0.01919643022119999
8,6.920775750204921,0.09612499996554107,0.09740307616395512,0.1,-0.002596923836044887,-0.025969235763525295,-0.025969235763525295,0.09654892235994339,0.0,0.0,False,1.2810824046027847e-06,123.19860076904297,0.314907968044281,-6.830915566524709e-08,0.0,0.05,4.197906673653051e-05,0.8,0.0,0.0,0.0015189636033028364,0.0009620378259569407,0.0005802708328701556,2.258300781932121e-07,0.9999995827674866,5.322780132293701,node_conditioned,25,True,True,False,-1.4753990173339844,0.08395712077617645,0.08132308721542358,0.10944197326898575,0.04651885852217674,1.9662444591522217,-12.67849349975586,1.9599255323410034,-0.00645863066510266,-1.4770587682724,0.07831055670976639,0.0,0.0,0.0,0.0015189636033028364,0.0,0.0,100,0.2,0.175,0.05,908,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09601829946041107,0.02168552577495575,0.06522423028945923,0.15942996740341187,0.006115550175309181,0.0005945301381871104,0.0010817603906616569,0.007652862463146448,0.006115550175309181,0.0005945301381871104,0.006115549709647894,0.006516903638839722,1.0,0.0,0.0,0.09654892235994339,0.021796127781271935,0.9919429803715695,mpnn,5,3,16,mean_max,32,38,363200,none,3632.0,0.45484912395477295,0.4934627115726471,0.12775711715221405,0.8309492468833923,0.16258853673934937,0.09654892235994339,0.021796127781271935,0.06529688835144043,0.07319339513778686,0.09330527484416962,0.12128578424452502,0.16041609644889832,0.02179611474275589,0.021796127781271935,0.021796073764562607
9,7.716614133268595,0.09465000024065376,0.09602653820230445,0.1,-0.00397346179769556,-0.0397346140034942,-0.0397346140034942,0.09486377239227295,0.0,0.0,False,2.085076630464755e-06,154.67384338378906,0.31123027205467224,4.605576364724584e-08,0.0,0.05,5.085680459160358e-05,0.8,0.0,0.0,0.001452630735002458,0.0008841817616485059,0.0006353725912049413,-1.2207031829802872e-07,0.9999995827674866,4.8325066566467285,node_conditioned,25,True,True,False,-1.8467193841934204,0.08124308288097382,0.07758109271526337,0.1023627296090126,0.04500801861286163,2.4520130157470703,-14.33370590209961,2.457724094390869,0.004642140171835063,-1.8867366313934326,0.0852087214589119,0.0,0.0,0.0,0.001452630735002458,0.0,0.0,100,0.2,0.19,0.03,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09429911524057388,0.021326320245862007,0.06522423028945923,0.15942996740341187,0.0066248276270926,0.0006824641022831202,0.0009402689756825566,0.008228197693824768,0.0066248276270926,0.0006824641022831202,0.0066248271614313126,0.006873969454318285,1.0,0.0,0.0,0.09486377239227295,0.021438028663396835,0.9918273478787929,mpnn,5,3,16,mean_max,32,38,368800,none,3688.0,0.4410196542739868,0.4887537360191345,0.128891259431839,0.8261206746101379,0.16512492299079895,0.09486377239227295,0.021438028663396835,0.06529033184051514,0.07279603183269509,0.09119436144828796,0.12106146067380048,0.16051989793777466,0.021438008174300194,0.021438028663396835,0.021437956020236015
