episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,edge_freshness_feature,version_gap_tau,mean_directed_degree,mean_edge_freshness_feature,mean_neighbor_freshness_gain,mean_neighbor_version_gap_normalized,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,attention_temperature,attention_uniform_mix,attention_entropy_mean,attention_effective_degree_mean,attention_max_weight_mean,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,9.264413886778057,0.09647499986924231,0.19823749993462114,0.3,-0.10176250006537885,-0.3392083222443188,-0.3392083222443188,0.09662904590368271,0.0,0.0,False,-2.6794882614922244e-06,235.57765197753906,0.31281420588493347,4.064415577431646e-07,0.0,0.05,1.2198063359392108e-06,0.8,0.0,0.0,0.001746967202052474,0.001746967202052474,0.0,3.41796862812771e-07,0.9999997019767761,4.377973556518555,node_conditioned,25,True,True,False,-0.8095476031303406,0.11037617176771164,0.04706960171461105,0.06782658398151398,0.03463202714920044,3.287475824356079,-16.07030487060547,3.3571572303771973,0.041081383533701055,-0.8165619373321533,0.05281032994389534,0.0,0.0,0.0,0.001746967202052474,0.0,0.0,100,0.2,0.1975,0.0,1002,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09662904590368271,0.030371293425559998,0.0,mpnn,5,3,16,mean_max,32,38,400800,none,binary_fraction,,4008.0,0.47055676579475403,0.47055676579475403,,,,,,0.5,0.0,,,,0.09662904590368271,0.030371293425559998,0.05871915817260742,0.05871915817260742,0.09158152341842651,0.141914963722229,0.17157936096191406,0.030371299013495445,0.030371293425559998,0.030371027067303658
1,9.729665419496596,0.094125000028871,0.1461812499817461,0.3,-0.1538187500182539,-0.5127291496365414,-0.5127291496365414,0.09692630916833878,0.0,0.0,False,4.7253598722818424e-07,258.71051025390625,0.31283819675445557,5.674427328017373e-08,0.0,0.05,2.126501158272731e-06,0.8,0.0,0.0,0.002026386559009552,0.0021476936526596546,0.00012327033618930727,-1.5869140668200998e-07,0.9999997019767761,4.385827541351318,node_conditioned,25,True,True,False,-1.1730144023895264,0.14752060174942017,0.04989275336265564,0.07883524149656296,0.033595241606235504,3.4099950790405273,-17.159866333007812,3.506253480911255,0.054152910742119253,-1.226668119430542,0.045239996165037155,0.0,0.0,0.0,0.002026386559009552,0.0,0.0,100,0.2,0.1875,0.0,1006,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09692630916833878,0.03172031044960022,0.0,mpnn,5,3,16,mean_max,32,38,402400,none,binary_fraction,,4024.0,0.4780912697315216,0.4780912697315216,,,,,,0.5,0.0,,,,0.09692630916833878,0.03172031044960022,0.05873677134513855,0.05881592333316803,0.09167960286140442,0.1358794927597046,0.1718398928642273,0.03172031044960022,0.03172031044960022,0.03172030672430992
2,10.317741149403155,0.09527499999385328,0.12072812498779968,0.3,-0.17927187501220032,-0.5975728967882379,-0.5975728967882379,0.0955633744597435,0.0,0.0,False,4.773797854795703e-07,292.6663818359375,0.31319156289100647,2.3176054853024652e-08,0.0,0.05,1.7350961343254312e-06,0.8,0.0,0.0,0.001856404822319746,0.001750966184772551,0.00010692516661947593,-4.39453117451194e-07,0.9999997019767761,4.060670375823975,node_conditioned,25,True,True,False,-1.548871397972107,0.1953817754983902,0.0472736731171608,0.085245281457901,0.03357952833175659,3.9216742515563965,-18.478174209594727,4.058559894561768,0.06631778754843476,-1.6407344341278076,0.05677416920661926,0.0,0.0,0.0,0.001856404822319746,0.0,0.0,100,0.2,0.17,0.0,1022,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.0955633744597435,0.018670562654733658,0.0,mpnn,5,3,16,mean_max,32,38,408800,none,binary_fraction,,4088.0,0.4577316343784332,0.4577316343784332,,,,,,0.5,0.0,,,,0.0955633744597435,0.018670562654733658,0.058733850717544556,0.07208302319049835,0.09459114074707031,0.12204137742519379,0.13320037722587585,0.018670562654733658,0.018670562654733658,0.01867055892944336
3,9.812014653272927,0.0968499998934567,0.10878906244062819,0.3,-0.1912109375593718,-0.6373697706189136,-0.6373697706189136,0.09444142878055573,0.0,0.0,False,-1.0132667966900044e-06,258.33355712890625,0.3090642988681793,-1.1191613111805054e-06,0.0,0.05,3.660446282083285e-06,0.8,0.0,0.0,0.0016731496434658766,0.0015620093327015638,0.00011541270941961557,2.685546860448085e-07,0.9999997019767761,4.57224178314209,node_conditioned,25,True,True,False,-1.8859413862228394,0.21923929452896118,0.05351182073354721,0.09507447481155396,0.03382614254951477,3.2366695404052734,-17.912179946899414,3.389644145965576,0.08822333032620389,-2.067847967147827,0.04105185717344284,0.0,0.0,0.0,0.0016731496434658766,0.0,0.0,100,0.2,0.2,0.0,938,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09444142878055573,0.02548329532146454,0.0,mpnn,5,3,16,mean_max,32,38,375200,none,binary_fraction,,3752.0,0.4599156975746155,0.4599156975746155,,,,,,0.5,0.0,,,,0.09444142878055573,0.02548329532146454,0.05873635411262512,0.05880779027938843,0.09170794486999512,0.12641525268554688,0.17179861664772034,0.02548329532146454,0.02548329532146454,0.025483280420303345
4,8.785869444943964,0.09770000000018626,0.10324453122040722,0.3,-0.19675546877959277,-0.6558515407369245,-0.6558515407369245,0.09611914306879044,0.0,0.0,False,-3.235433894133166e-07,203.0657501220703,0.31395137310028076,-1.0531839507166296e-06,0.0,0.05,7.4451481850701384e-06,0.8,0.0,0.0,0.0006404452142305672,0.0005221334286034107,0.00017841985390987247,3.2348631862078037e-07,0.9999996423721313,4.809592247009277,node_conditioned,25,True,True,False,-2.2027969360351562,0.2403104305267334,0.056322455406188965,0.09257258474826813,0.035583995282649994,2.8074443340301514,-16.455142974853516,2.9585506916046143,0.09954028170877405,-2.2806506156921387,0.06250256299972534,0.0,0.0,0.0,0.0006404452142305672,0.0,0.0,100,0.2,0.1625,0.0,980,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09611914306879044,0.02122817374765873,0.0,mpnn,5,3,16,mean_max,32,38,392000,none,binary_fraction,,3920.0,0.4830501973628998,0.4830501973628998,,,,,,0.5,0.0,,,,0.09611914306879044,0.02122817374765873,0.058746159076690674,0.06867059469223051,0.09735485911369324,0.13012227714061736,0.1360219120979309,0.02122817188501358,0.02122817374765873,0.021228156983852386
5,10.174341425597667,0.09390000008046627,0.09857226565043675,0.3,-0.20142773434956324,-0.6714257587843522,-0.6714257587843522,0.09347691386938095,0.0,0.0,False,5.560145268646011e-07,273.9494934082031,0.30698060989379883,-1.6770418653777597e-07,0.0,0.05,1.0265798664477188e-05,0.8,0.0,0.0,0.0006501150783151388,0.0008494271314702928,0.00023969405447132885,4.882812376649781e-08,0.9999997019767761,4.490381717681885,node_conditioned,25,True,True,False,-2.6636085510253906,0.29756036400794983,0.06581472605466843,0.10765379667282104,0.03827863559126854,3.416177749633789,-19.165082931518555,3.612373113632202,0.10567429906717063,-2.82918119430542,0.05828750878572464,0.0,0.0,0.0,0.0006501150783151388,0.0,0.0,100,0.2,0.1775,0.0,998,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09347691386938095,0.02499033510684967,0.0,mpnn,5,3,16,mean_max,32,38,399200,none,binary_fraction,,3992.0,0.4300011098384857,0.4300011098384857,,,,,,0.5,0.0,,,,0.09347691386938095,0.02499033510684967,0.05875644087791443,0.05891287326812744,0.0918063223361969,0.12701863348483558,0.17209520936012268,0.024990329518914223,0.02499033510684967,0.02499031275510788
6,9.412125764749945,0.09299999991897494,0.09578613278470585,0.3,-0.20421386721529414,-0.6807128680272182,-0.6807128680272182,0.09257994592189789,0.0,0.0,False,-2.522211843825062e-06,232.4540557861328,0.3052315413951874,-4.1546252305124654e-07,0.0,0.05,1.571787470311392e-05,0.8,0.0,0.0,0.00403399346396327,0.00375644164159894,0.00027810962637886405,1.9531249506599124e-07,0.9999996423721313,4.369570255279541,node_conditioned,25,True,True,False,-3.0054807662963867,0.355377197265625,0.07196398824453354,0.1092054545879364,0.041049886494874954,3.264371156692505,-18.21351432800293,3.513810396194458,0.13693716671233136,-3.2937674522399902,0.09587128460407257,0.0,0.0,0.0,0.00403399346396327,0.0,0.0,100,0.2,0.2,0.0,1054,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09257994592189789,0.02416255697607994,0.0,mpnn,5,3,16,mean_max,32,38,421600,none,binary_fraction,,4216.0,0.4703940749168396,0.4703940749168396,,,,,,0.5,0.0,,,,0.09257994592189789,0.02416255697607994,0.058757930994033813,0.06399641633033759,0.08900792896747589,0.12221060693264008,0.1721460223197937,0.02416255511343479,0.02416255697607994,0.024162525311112404
7,9.108342699632049,0.0990250000078231,0.09740556639626448,0.3,-0.20259443360373552,-0.6753147561686266,-0.6753147561686266,0.09852483868598938,0.0,0.0,False,6.688608777949412e-07,215.1333770751953,0.31912872195243835,-9.206348181578505e-07,0.0,0.05,2.717116331041325e-05,0.8,0.0,0.0,0.0006491009844467044,0.0005081258132122457,0.0003723108093254268,7.324219097881723e-08,0.9999997615814209,4.282933235168457,node_conditioned,25,True,True,False,-3.4132487773895264,0.3879911005496979,0.0721777006983757,0.11330848932266235,0.042546529322862625,3.2086615562438965,-18.035921096801758,3.4809253215789795,0.15031402396752036,-3.522780418395996,0.06547365337610245,0.0,0.0,0.0,0.0006491009844467044,0.0,0.0,100,0.2,0.17,0.0,1084,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09852483868598938,0.022689562290906906,0.0,mpnn,5,3,16,mean_max,32,38,433600,none,binary_fraction,,4336.0,0.48889410495758057,0.48889410495758057,,,,,,0.5,0.0,,,,0.09852483868598938,0.022689562290906906,0.058763980865478516,0.06654622033238417,0.09925803542137146,0.1267272263765335,0.17235729098320007,0.022689547389745712,0.022689562290906906,0.02268948033452034
8,9.110126515068114,0.09370000010821969,0.09555278325224209,0.3,-0.2044472167477579,-0.6814906997761697,-0.6814906997761697,0.09457014501094818,0.0,0.0,False,1.2820918300349149e-06,209.31675720214844,0.30941322445869446,5.091190473649476e-07,0.0,0.05,3.7360587157309055e-05,0.8,0.0,0.0,0.0005761209758929908,0.0003356702800374478,0.0004781749448738992,1.098632793627985e-07,0.9999997615814209,5.264819622039795,node_conditioned,25,True,True,False,-3.808002233505249,0.39871829748153687,0.08160977065563202,0.12885382771492004,0.0493868924677372,2.570082426071167,-18.35955810546875,2.8286726474761963,0.17447785072657096,-4.114092826843262,0.07586322724819183,0.0,0.0,0.0,0.0005761209758929908,0.0,0.0,100,0.2,0.1875,0.0,908,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09457014501094818,0.025952057912945747,0.0,mpnn,5,3,16,mean_max,32,38,363200,none,binary_fraction,,3632.0,0.46121275424957275,0.46121275424957275,,,,,,0.5,0.0,,,,0.09457014501094818,0.025952057912945747,0.05877384543418884,0.06737312078475952,0.09036983549594879,0.12373852431772614,0.1725832223892212,0.025952035561203957,0.025952057912945747,0.025951944291591644
9,9.89202119577676,0.09262500015553086,0.09408889170388648,0.3,-0.2059111082961135,-0.6863703381080338,-0.6863703381080338,0.09260130673646927,0.0,0.0,False,1.075661543836759e-06,248.03524780273438,0.30504682660102844,-3.805402570833394e-08,0.0,0.05,4.8246627557091415e-05,0.8,0.0,0.0,0.0018166719237342477,0.00129460368771106,0.0005584518075920641,1.5258788721439487e-07,0.9999997019767761,4.846324443817139,node_conditioned,25,True,True,False,-4.301591873168945,0.48049700260162354,0.0946294292807579,0.1466694325208664,0.05295182392001152,3.0192432403564453,-20.102283477783203,3.343167304992676,0.18439480980744716,-4.699859619140625,0.08281639963388443,0.0,0.0,0.0,0.0018166719237342477,0.0,0.0,100,0.2,0.1975,0.0,922,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09260130673646927,0.02555733360350132,0.0,mpnn,5,3,16,mean_max,32,38,368800,none,binary_fraction,,3688.0,0.44999775290489197,0.44999775290489197,,,,,,0.5,0.0,,,,0.09260130673646927,0.02555733360350132,0.05877631902694702,0.06701604127883919,0.08782967925071716,0.12351697981356513,0.1727502942085266,0.025557301938533783,0.02555733360350132,0.025557169690728188
