episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.7018944560363884,0.09707499978132546,0.09853749989066274,0.1,-0.001462500109337267,-0.014624999630872706,-0.014624999630872706,0.09749448299407959,0.0,0.0,False,-2.3954030439199414e-06,125.89513397216797,0.3170435130596161,9.508773928246228e-07,0.0,0.05,2.0186976144032087e-06,1.0,0.0,0.0,0.0018962176982313395,0.0018962176982313395,0.0,-3.6621094068323146e-07,0.9999995827674866,5.092668533325195,node_conditioned,25,True,True,False,1.202414631843567,0.19517531991004944,0.10002853721380234,0.15915736556053162,0.0518244169652462,2.0853042602539062,-10.05916976928711,1.991675615310669,-0.09622993612219077,1.235730767250061,0.09867770224809647,0.0,0.0,0.0,0.0018962176982313395,0.0,0.0,100,0.2,0.1575,0.04,942,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09749448299407959,0.022093551233410835,0.06522423028945923,0.13938942551612854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09749448299407959,0.022093551233410835,0.9949542425014819,mpnn,5,3,16,mean_max,32,38,376800,none,3768.0,0.46554794907569885,0.6101778149604797,0.2064007967710495,1.0987167358398438,0.20517581701278687,0.09749448299407959,0.022093551233410835,0.06522423028945923,0.06522423028945923,0.09713844954967499,0.12892019152640982,0.13938942551612854,0.022093549370765686,0.022093551233410835,0.022093545645475388
1,6.236550750434398,0.09814999990630895,0.09834374989848585,0.1,-0.0016562501015141562,-0.016562499358891626,-0.016562499358891626,0.10025113821029663,0.0,0.0,False,3.4805993891495746e-06,107.200927734375,0.3224475085735321,-1.1897450349351857e-06,0.0,0.05,1.964317107194802e-06,1.0,4.157529929216253e-06,0.002038390841335058,0.0021865679882466793,0.006863565184175968,0.0001918600028147921,-4.516601563864242e-07,0.9999995231628418,5.399956226348877,node_conditioned,25,True,True,False,0.8550254106521606,0.17129576206207275,0.10154261440038681,0.16609741747379303,0.057736512273550034,1.8189561367034912,-9.5700044631958,1.7497727870941162,-0.08064036240275119,0.8920276165008545,0.08601240068674088,0.0,0.0,0.0,0.0021865679882466793,0.0,0.0,100,0.2,0.18,0.05,980,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10007822513580322,0.02392595261335373,0.06522423028945923,0.15942996740341187,0.0019221616676077247,0.0001839374890550971,0.00039742584340274334,0.002451768610626459,0.0019221616676077247,0.0001839374890550971,0.0019221615511924028,0.002150382613763213,1.0,0.0,0.0,0.10025113821029663,0.023964105173945427,0.991597799059934,mpnn,5,3,16,mean_max,32,38,392000,none,3920.0,0.4794498682022095,0.6106957793235779,0.20399077236652374,1.1257131099700928,0.1846836805343628,0.10025113821029663,0.023964105173945427,0.06524845957756042,0.0700511574745179,0.09691865742206573,0.13481053858995248,0.1597391963005066,0.023964107036590576,0.023964105173945427,0.023964105173945427
2,6.559887633807957,0.09555000017397106,0.09694687503622845,0.1,-0.003053124963771553,-0.03053124658459087,-0.03053124658459087,0.09486910700798035,0.0,0.0,False,3.9291944631258957e-07,118.3634033203125,0.3107026219367981,6.234280931494141e-07,0.0,0.05,1.6795939927760628e-07,1.0,0.0,0.0,0.0009135851869359612,0.000814457715023309,0.00010696268873289227,1.4648438195763447e-07,0.9999995231628418,5.1741862297058105,node_conditioned,25,True,True,False,0.5692945122718811,0.16153675317764282,0.09628698974847794,0.18449003994464874,0.055633317679166794,2.0026960372924805,-10.36028003692627,1.9327142238616943,-0.07372917817720759,0.5805390477180481,0.10561708360910416,0.0,0.0,0.0,0.0009135851869359612,0.0,0.0,100,0.2,0.1925,0.09,1018,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09477667510509491,0.022520344704389572,0.06522423028945923,0.15942996740341187,0.0010848630918189883,9.627611871110275e-05,0.00013199265231378376,0.0013883700594305992,0.0010848630918189883,9.627611871110275e-05,0.0010848630918189883,0.0011980071431025863,1.0,0.0,0.0,0.09486910700798035,0.022538568824529648,0.993142686032035,mpnn,5,3,16,mean_max,32,38,407200,none,4072.0,0.4770902693271637,0.6066851019859314,0.20135721564292908,1.1277965307235718,0.17224843800067902,0.09486910700798035,0.022538568824529648,0.0652322769165039,0.0716624230146408,0.09077250957489014,0.12502736747264673,0.15959981083869934,0.0225385669618845,0.022538568824529648,0.02253856509923935
3,6.013314650692045,0.10107499997597187,0.09901093750610016,0.1,-0.0009890624938998505,-0.00989062394993611,-0.00989062394993611,0.09864664077758789,0.0,0.0,False,3.967469979215821e-07,97.33726501464844,0.3199974000453949,5.785847179140546e-07,0.0,0.05,3.69278163603326e-10,1.0,0.0,0.0,0.00147814501542598,0.0014581180876120925,2.4569850211264566e-05,-1.4648438195763447e-07,0.999999463558197,5.540056228637695,node_conditioned,25,True,True,False,0.22932805120944977,0.14456577599048615,0.09898032993078232,0.17262950539588928,0.05901946872472763,1.6972514390945435,-9.728592872619629,1.6445668935775757,-0.06509736324069593,0.2584277093410492,0.09713635593652725,0.0,0.0,0.0,0.00147814501542598,0.0,0.0,100,0.2,0.185,0.02,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09862463921308517,0.019268913194537163,0.06522423028945923,0.15942996740341187,0.00025450592511333525,9.452132508158684e-05,-0.00018454452219884843,0.0008395105833187699,0.00025450592511333525,9.452132508158684e-05,0.00025450592511333525,0.0002776413457468152,0.999625,0.000375,0.0,0.09864664077758789,0.019270066171884537,0.9920236601073942,mpnn,5,3,16,mean_max,32,38,390400,none,3904.0,0.4860217571258545,0.611825704574585,0.19976763427257538,1.120267629623413,0.17559833824634552,0.09864664077758789,0.019270066171884537,0.06521755456924438,0.07617086172103882,0.10049977526068687,0.12152719497680664,0.15948566794395447,0.019270064309239388,0.019270066171884537,0.019270064309239388
4,6.654652778431773,0.09677499996963888,0.09789296873786951,0.1,-0.002107031262130493,-0.02107031051427388,-0.02107031051427388,0.09556925296783447,0.0,0.0,False,-4.570659939417965e-07,118.41194915771484,0.3127232789993286,-1.4010072391101858e-07,0.0,0.05,1.395315862851021e-08,1.0,0.0,0.0,0.002038473729044199,0.002037337515503168,1.2263990356586874e-06,9.765624753299562e-08,0.9999995231628418,5.750875949859619,node_conditioned,25,True,True,False,-0.06107407063245773,0.13845941424369812,0.09820675104856491,0.15518294274806976,0.055847179144620895,1.7965593338012695,-11.042919158935547,1.7492599487304688,-0.05481036837589315,0.0209607295691967,0.0968664214015007,0.0,0.0,0.0,0.002038473729044199,0.0,0.0,100,0.2,0.17,0.03,964,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09556947648525238,0.02107120491564274,0.06522423028945923,0.15942996740341187,1.2775479262927547e-05,0.00017655891133472323,-0.00044414421427063644,0.0008510677143931389,1.2775479262927547e-05,0.00017655891133472323,2.0414241589605808e-05,0.00012680271174758673,0.311825,0.688175,0.0,0.09556925296783447,0.02106555365025997,0.9922794619471629,mpnn,5,3,16,mean_max,32,38,385600,none,3856.0,0.4754926264286041,0.5887221097946167,0.1960352212190628,1.0734487771987915,0.19717727601528168,0.09556925296783447,0.02106555365025997,0.06520181894302368,0.06524476408958435,0.09427487850189209,0.1216885954141593,0.15944230556488037,0.02106555551290512,0.02106555365025997,0.021065546199679375
5,6.093231319189072,0.1025249998504296,0.10020898429414955,0.1,0.00020898429414954733,0.0020898427325112,0.0020898427325112,0.10144644975662231,0.0,2.0898427325111998e-05,False,0.0001902321382658556,97.2901840209961,0.326029896736145,9.785436532183667e-07,0.0,0.05,3.453533281572163e-07,1.0,0.00018954958068206906,0.013767680153250694,0.0009063874022103846,0.02486824430525303,1.743926986819133e-05,-5.126952942191565e-07,0.9999993443489075,5.673776626586914,node_conditioned,25,True,True,False,-0.41634780168533325,0.1207335963845253,0.09589184075593948,0.15124228596687317,0.05690859630703926,1.6603291034698486,-10.39516830444336,1.6256898641586304,-0.04306877644910134,-0.389375776052475,0.09625396877527237,0.0,0.0,0.0,0.0009063874022103846,0.0,0.0,100,0.2,0.1875,0.02,1074,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10143018513917923,0.01943209208548069,0.06522423028945923,0.15942996740341187,0.0001812197151593864,0.00011372758308425546,-0.0002471919870004058,0.0009463935857638717,0.0001812197151593864,0.00011372758308425546,0.00018121972971130162,0.0002778536290861666,0.93915,0.06085,0.0,0.10144644975662231,0.019434086978435516,0.9943695769319496,mpnn,5,3,16,mean_max,32,38,429600,none,4296.0,0.4903848469257355,0.6066686511039734,0.2030254602432251,1.1380255222320557,0.16796571016311646,0.10144644975662231,0.019434086978435516,0.06521439552307129,0.0771097719669343,0.10318727791309357,0.12619537115097046,0.15950635075569153,0.019434086978435516,0.019434086978435516,0.019434085115790367
6,5.921164900381118,0.09664999982807786,0.0984294920611137,0.1,-0.0015705079388863008,-0.015705077818355225,-0.015705077818355225,0.0938066616654396,2.0898427325111998e-05,0.0,False,4.359838385425974e-06,91.827880859375,0.3097233772277832,2.5268034278269624e-06,0.0,0.05,3.212388946849387e-06,1.0,0.0,0.0,0.004980939906090498,0.005072920583188534,9.413972293259576e-05,0.0,0.9999995231628418,4.924046993255615,node_conditioned,25,True,True,False,-0.7632221579551697,0.1085200384259224,0.09151864051818848,0.13116882741451263,0.056200578808784485,1.84511137008667,-10.42896842956543,1.8137528896331787,-0.034877442860856256,-0.7438866496086121,0.09581562876701355,-5.9421068954179646e-08,6.166147159092361e-06,1.9536453692126088e-05,0.004980939906090498,1.7635240965319099e-06,0.00035405377082302033,100,0.2,0.1775,0.01,1078,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09388952702283859,0.015400026924908161,0.06522423028945923,0.12870299816131592,-0.0009734787163324654,0.00013535995094571263,-0.0014542469289153814,-0.0001584945566719398,-0.0009734787163324654,0.00013535995094571263,0.0009734787163324654,0.0010152056347578764,0.0,1.0,0.0,0.0938066616654396,0.015386547893285751,0.9961770545823174,mpnn,5,3,16,mean_max,32,38,431200,none,4312.0,0.49699223041534424,0.6278635859489441,0.20175452530384064,1.1470227241516113,0.16963931918144226,0.0938066616654396,0.015386547893285751,0.06516358256340027,0.07607885897159576,0.09418261051177979,0.11522787809371948,0.12863296270370483,0.015386547893285751,0.015386547893285751,0.0153865497559309
7,5.956939144693315,0.09662499987985938,0.09752724597048654,0.1,-0.0024727540295134687,-0.024727537822380904,-0.024727537822380904,0.09714622050523758,0.0,0.0,False,5.410921062320995e-07,91.16120910644531,0.31726354360580444,-1.2379400970985444e-07,0.0,0.05,5.328678071236936e-06,1.0,0.0,0.0,0.0016471999697387218,0.0017862096428871155,0.00018540723249316216,-3.662109548940862e-08,0.9999994039535522,5.394504070281982,node_conditioned,25,True,True,False,-1.1059361696243286,0.0907018855214119,0.080901600420475,0.12323454767465591,0.05084206163883209,1.7073991298675537,-10.766097068786621,1.6909154653549194,-0.019591678920485744,-1.0948489904403687,0.08466885983943939,0.0,0.0,0.0,0.0016471999697387218,0.0,0.0,100,0.2,0.16,0.02,1026,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09731660783290863,0.015716243535280228,0.06522423028945923,0.12475091218948364,-0.0019384620245546103,0.0001979670487344265,-0.0024486794136464596,-0.0006578929605893791,-0.0019384620245546103,0.0001979670487344265,0.0019384619081392884,0.00207697506994009,0.0,1.0,0.0,0.09714622050523758,0.015688087791204453,0.996353323749435,mpnn,5,3,16,mean_max,32,38,410400,none,4104.0,0.4838261008262634,0.6109986305236816,0.19681395590305328,1.1210765838623047,0.16552166640758514,0.09714622050523758,0.015688087791204453,0.06510579586029053,0.07565897703170806,0.0988680049777031,0.11943572759628296,0.12461444735527039,0.015688085928559303,0.015688087791204453,0.015688078477978706
8,5.431330294646322,0.10282500000204892,0.10017612298626773,0.1,0.00017612298626772105,0.0017612296865542418,0.0017612296865542418,0.10253503173589706,0.0,1.761229686554242e-05,False,0.0005981731810607016,73.27389526367188,0.3284359276294708,2.488335724137869e-07,0.0,0.05,1.146171780419536e-05,1.0,0.0005963671719655395,0.024420417845249176,0.0007876400486566126,0.042854927480220795,0.0002229002711828798,-6.591797045985004e-07,0.9999992251396179,6.102989673614502,node_conditioned,25,True,True,False,-1.4725213050842285,0.0800301805138588,0.07806654274463654,0.10954201966524124,0.04898836463689804,1.3445758819580078,-10.187973022460938,1.3392137289047241,-0.008023902527108495,-1.477939486503601,0.07511679828166962,0.0,0.0,0.0,0.0007876400486566126,0.0,0.0,100,0.2,0.175,0.05,934,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10275310277938843,0.019355596974492073,0.06522423028945923,0.15942996740341187,-0.002371228998526931,0.00022668845485895872,-0.00295054167509079,-0.0010044904192909598,-0.002371228998526931,0.00022668845485895872,0.002371228998526931,0.0025873875711113214,0.0,1.0,0.0,0.10253503173589706,0.019318195059895515,0.9920006854501496,mpnn,5,3,16,mean_max,32,38,373600,none,3736.0,0.49464190006256104,0.648704469203949,0.1923656314611435,1.152849793434143,0.15245123207569122,0.10253503173589706,0.019318195059895515,0.06507861614227295,0.08206337690353394,0.10026615858078003,0.11940473318099976,0.15929540991783142,0.019318191334605217,0.019318195059895515,0.01931818760931492
9,6.111567934192717,0.09889999995473772,0.09953806147050273,0.1,-0.00046193852949727443,-0.004619384833034261,-0.004619384833034261,0.09792131185531616,1.761229686554242e-05,0.0,False,2.6551365408522543e-06,93.97631072998047,0.317278116941452,1.3831863725499716e-06,0.0,0.05,2.624725857458543e-05,1.0,0.0,0.0,0.0007619817042723298,0.001097837113775313,0.00037721762782894075,-3.0517577442878974e-07,0.9999994039535522,5.302957057952881,node_conditioned,25,True,True,False,-1.8208414316177368,0.08496895432472229,0.0825081616640091,0.11339585483074188,0.04557573422789574,1.7657757997512817,-11.624682426452637,1.770613193511963,0.00545666098765496,-1.821212649345398,0.07209191471338272,-1.7236862603908776e-08,5.2394871090655215e-06,1.6467605746584013e-05,0.0007619817042723298,1.518690396551392e-06,0.0019930537144123867,100,0.2,0.1725,0.05,1102,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.0982658639550209,0.023421116173267365,0.06522423028945923,0.15942996740341187,-0.0038890396244823933,0.0004327207279857248,-0.0049004931934177876,-0.0012723257532343268,-0.0038890396244823933,0.0004327207279857248,0.0038890393916517496,0.004263042006641626,0.0,1.0,0.0,0.09792131185531616,0.023340430110692978,0.9922718401311117,mpnn,5,3,16,mean_max,32,38,440800,none,4408.0,0.5049211382865906,0.6368669271469116,0.2023392766714096,1.1455955505371094,0.19324423372745514,0.09792131185531616,0.023340430110692978,0.0649799108505249,0.0684698618948463,0.09393596649169922,0.13538027703762054,0.15913477540016174,0.02334042638540268,0.023340430110692978,0.023340418934822083
