episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.964901504702866,0.097874999884516,0.098937499942258,0.1,-0.0010625000577419996,-0.010624999514920045,-0.010624999514920045,0.0980132594704628,0.0,0.0,False,-3.1994213713915087e-06,136.00360107421875,0.3174225687980652,9.036623005442834e-09,0.0,0.05,1.441260110368603e-06,0.8,0.0,0.0,0.002097895136103034,0.002097895136103034,0.0,1.4648438195763447e-07,0.9999995231628418,5.147649765014648,node_conditioned,25,True,True,False,1.213045358657837,0.18997694551944733,0.08684707432985306,0.1517300307750702,0.048410385847091675,2.130244255065918,-10.489398002624512,2.0314230918884277,-0.09965895201371344,1.3038972616195679,0.09629892557859421,0.0,0.0,0.0,0.002097895136103034,0.0,0.0,100,0.2,0.185,0.07,1002,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.0980132594704628,0.025424612686038017,0.06522423028945923,0.15942996740341187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0980132594704628,0.025424612686038017,0.9908152825030138,mpnn,5,3,16,mean_max,32,38,400800,none,4008.0,0.46821680665016174,0.4971677362918854,0.13669881224632263,0.8661952018737793,0.17165647447109222,0.0980132594704628,0.025424612686038017,0.06522423028945923,0.06522423028945923,0.09427881240844727,0.13587576150894165,0.15942996740341187,0.02542460896074772,0.025424612686038017,0.025424737483263016
1,7.10217247787863,0.09560000004712492,0.09726874999469146,0.1,-0.0027312500053085498,-0.027312497321835764,-0.027312497321835764,0.09825574606657028,0.0,0.0,False,7.596076443405764e-07,140.8282012939453,0.3175008296966553,1.1240905450904393e-06,0.0,0.05,3.961683887609979e-06,0.8,0.0,0.0,0.0014286254299804568,0.0015714478213340044,0.00014674423437099904,0.0,0.9999995827674866,4.842270851135254,node_conditioned,25,True,True,False,0.9052042961120605,0.1783818155527115,0.09020096063613892,0.1684936136007309,0.05054014176130295,2.2931909561157227,-10.974950790405273,2.20859956741333,-0.07806877071084806,0.9918220639228821,0.08269572257995605,0.0,0.0,0.0,0.0014286254299804568,0.0,0.0,100,0.2,0.1825,0.06,1006,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09811218082904816,0.026508867740631104,0.06522423028945923,0.15942996740341187,0.0016153125325217843,0.00019972652080468833,0.0004693756636697799,0.0022438985761255026,0.0016153125325217843,0.00019972652080468833,0.0016153126489371061,0.0019021948100998998,1.0,0.0,0.0,0.09825574606657028,0.02655021846294403,0.9919517313099199,mpnn,5,3,16,mean_max,32,38,402400,none,4024.0,0.4589519202709198,0.4992087781429291,0.1386164426803589,0.8677326440811157,0.17106252908706665,0.09825574606657028,0.02655021846294403,0.0652528703212738,0.06533041596412659,0.09439495205879211,0.13106874227523804,0.15973085165023804,0.026550214737653732,0.02655021846294403,0.026550211012363434
2,7.824990897588432,0.0968750000372529,0.09707187501597217,0.1,-0.0029281249840278356,-0.029281246912153665,-0.029281246912153665,0.09751220792531967,0.0,0.0,False,-4.255355179338949e-07,170.9071807861328,0.31816351413726807,1.1173580105605652e-07,0.0,0.05,4.67288373329211e-06,0.8,0.0,0.0,0.0014160523423925042,0.0012386901071295142,0.0001796542783267796,3.1738281336401997e-07,0.9999996423721313,4.637761116027832,node_conditioned,25,True,True,False,0.6223616003990173,0.1690504401922226,0.08156521618366241,0.18079189956188202,0.04603661596775055,2.604909658432007,-12.433926582336426,2.5099663734436035,-0.07708390906964069,0.7114635705947876,0.07524748146533966,0.0,0.0,0.0,0.0014160523423925042,0.0,0.0,100,0.2,0.17,0.02,1022,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09733786433935165,0.015891794115304947,0.06522423028945923,0.12870299816131592,0.0019751591607928276,0.00027152575785294175,0.0004325246554799378,0.0027913779485970736,0.0019751591607928276,0.00027152575785294175,0.0019751593936234713,0.0023498334921896458,1.0,0.0,0.0,0.09751220792531967,0.015924759209156036,0.996127827316096,mpnn,5,3,16,mean_max,32,38,408800,none,4088.0,0.4350961744785309,0.4886685609817505,0.1355128139257431,0.8512008786201477,0.16719204187393188,0.09751220792531967,0.015924759209156036,0.06525057554244995,0.0773426815867424,0.09692534804344177,0.11985740661621093,0.1289995014667511,0.015924755483865738,0.015924759209156036,0.01592474989593029
3,7.834653784260154,0.09899999996181577,0.09803593748889397,0.1,-0.001964062511106035,-0.019640623146998035,-0.019640623146998035,0.0963786169886589,0.0,0.0,False,-1.2058402489856235e-06,169.38894653320312,0.3145241141319275,-1.7710318616082077e-06,0.0,0.05,8.231827450799756e-06,0.8,0.0,0.0,0.001872535445727408,0.0016841657925397158,0.00020274646522011608,1.098632793627985e-07,0.9999995827674866,4.804332733154297,node_conditioned,25,True,True,False,0.30123597383499146,0.1512422263622284,0.08540405333042145,0.16560575366020203,0.047777872532606125,2.5324697494506836,-12.719268798828125,2.4553074836730957,-0.06384090949240417,0.372974157333374,0.07951084524393082,0.0,0.0,0.0,0.001872535445727408,0.0,0.0,100,0.2,0.185,0.02,938,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09618183225393295,0.021571839228272438,0.06522423028945923,0.15942996740341187,0.0022464341018348932,0.0003077066212426871,0.0005225305794738233,0.0032388106919825077,0.0022464341018348932,0.0003077066212426871,0.002246434334665537,0.002677385462448001,1.0,0.0,0.0,0.0963786169886589,0.02162279188632965,0.9933398331926222,mpnn,5,3,16,mean_max,32,38,375200,none,3752.0,0.44550809264183044,0.48636186122894287,0.13112467527389526,0.8457308411598206,0.1638970524072647,0.0963786169886589,0.02162279188632965,0.06525608897209167,0.06537007689476013,0.09447914361953735,0.12346020340919495,0.15986445546150208,0.02162279188632965,0.02162279188632965,0.021622780710458755
4,6.587128788419068,0.0996250000456348,0.0988304687672644,0.1,-0.00116953123273561,-0.011695311157824984,-0.011695311157824984,0.09795469045639038,0.0,0.0,False,1.7637211158216815e-07,116.3332748413086,0.3188137114048004,-1.0449066394357942e-06,0.0,0.05,1.4513769201585092e-05,0.8,0.0,0.0,0.0006350985495373607,0.00045539959683083,0.00028538904734887183,1.8310547034161573e-07,0.9999995231628418,5.354207992553711,node_conditioned,25,True,True,False,-0.0786382332444191,0.13661694526672363,0.09595727920532227,0.1554754376411438,0.056701842695474625,1.8993037939071655,-10.947246551513672,1.848045825958252,-0.05624196226851619,-0.039907731115818024,0.09448941797018051,0.0,0.0,0.0,0.0006350985495373607,0.0,0.0,100,0.2,0.1625,0.01,980,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09767758101224899,0.018066180869936943,0.06522423028945923,0.13087493181228638,0.0031245711725205183,0.00039813973126001656,0.0008723714272491634,0.004469604231417179,0.0031245711725205183,0.00039813973126001656,0.0031245711725205183,0.0038107740692794323,1.0,0.0,0.0,0.09795469045639038,0.01812586933374405,0.9959325425156889,mpnn,5,3,16,mean_max,32,38,392000,none,3920.0,0.46646732091903687,0.49670425057411194,0.12971672415733337,0.8589637875556946,0.16116569936275482,0.09795469045639038,0.01812586933374405,0.06527891755104065,0.07430747449398066,0.09930473566055298,0.12651142477989197,0.13136783242225647,0.018125860020518303,0.01812586933374405,0.01812584139406681
5,7.474983066469431,0.09625000001396984,0.09754023439061713,0.1,-0.00245976560938288,-0.024597653634063438,-0.024597653634063438,0.09562195092439651,0.0,0.0,False,7.423220722557744e-07,150.3656768798828,0.312880277633667,-2.5336797193631355e-07,0.0,0.05,1.9729253835976124e-05,0.8,0.0,0.0,0.0005804224638268352,0.0007474368321709335,0.00037472450640052557,2.5634764710957825e-07,0.9999995827674866,4.90728759765625,node_conditioned,25,True,True,False,-0.3899073600769043,0.1295458972454071,0.09738601744174957,0.15814253687858582,0.056159280240535736,2.36167573928833,-12.68648910522461,2.313518762588501,-0.042064164930292414,-0.3776910901069641,0.12701283395290375,0.0,0.0,0.0,0.0005804224638268352,0.0,0.0,100,0.2,0.1725,0.04,998,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09527149796485901,0.021128609776496887,0.06522423028945923,0.15942996740341187,0.004031970631331205,0.0005187279311940074,0.0010594121413305402,0.005847080610692501,0.004031970631331205,0.0005187279311940074,0.004031970631331205,0.00481034629046917,1.0,0.0,0.0,0.09562195092439651,0.021219702437520027,0.9928164794100185,mpnn,5,3,16,mean_max,32,38,399200,none,3992.0,0.43573346734046936,0.4887571334838867,0.13082262873649597,0.8484736084938049,0.16485241055488586,0.09562195092439651,0.021219702437520027,0.06529787182807922,0.06548276543617249,0.09459885954856873,0.12406394481658559,0.16019588708877563,0.02121969312429428,0.021219702437520027,0.02121966890990734
6,7.019809854179621,0.09617500002030283,0.09685761720545998,0.1,-0.00314238279454003,-0.03142382480301782,-0.03142382480301782,0.09489145874977112,0.0,0.0,False,-1.4020059779795702e-06,131.6261444091797,0.31145983934402466,-1.0024316452472704e-06,0.0,0.05,2.7135663913213648e-05,0.8,0.0,0.0,0.0037632992025464773,0.003352585481479764,0.0004176177317276597,-2.807617249800387e-07,0.9999995231628418,4.6459059715271,node_conditioned,25,True,True,False,-0.7471906542778015,0.10982656478881836,0.0882561132311821,0.13982878625392914,0.05208740383386612,2.339104175567627,-12.250978469848633,2.301905393600464,-0.03258112735980867,-0.7269225120544434,0.0862862840294838,0.0,0.0,0.0,0.0037632992025464773,0.0,0.0,100,0.2,0.1925,0.03,1054,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09450536221265793,0.020421061664819717,0.06522423028945923,0.15942996740341187,0.004484043922275305,0.0005231283139437437,0.0011879204539582133,0.006339648272842169,0.004484043922275305,0.0005231283139437437,0.004484043922275305,0.005279898643493652,1.0,0.0,0.0,0.09489145874977112,0.020514121279120445,0.9929769568252824,mpnn,5,3,16,mean_max,32,38,421600,none,4216.0,0.4672592878341675,0.504080593585968,0.13666214048862457,0.8669397234916687,0.1711072027683258,0.09489145874977112,0.020514121279120445,0.0652967095375061,0.07008923888206488,0.09220220148563385,0.12009792029857635,0.16028136014938354,0.0205141119658947,0.020514121279120445,0.02051408402621746
7,7.231425006426871,0.10057500002905727,0.09871630861725862,0.1,-0.0012836913827413837,-0.012836912543722583,-0.012836912543722583,0.10004087537527084,0.0,0.0,False,2.03383410735114e-06,137.69683837890625,0.3232541084289551,-7.103143389031175e-07,0.0,0.05,3.92396941606421e-05,0.8,7.798571459716186e-07,0.0009756837971508503,0.0008602368761785328,0.0014485627179965377,0.000538379477802664,2.0751953400122147e-07,0.9999995231628418,5.0058746337890625,node_conditioned,25,True,True,False,-1.1092863082885742,0.09780481457710266,0.0866917222738266,0.13193942606449127,0.04951231926679611,2.23252272605896,-12.90898323059082,2.212519884109497,-0.01816322529664416,-1.0704526901245117,0.10360074788331985,0.0,0.0,0.0,0.0008602368761785328,0.0,0.0,100,0.2,0.1575,0.03,1084,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09953371435403824,0.01910480298101902,0.06522423028945923,0.15942996740341187,0.005631731357425451,0.000579988060053438,0.0011740203481167555,0.007568084169179201,0.005631731357425451,0.000579988060053438,0.005631731823086739,0.006327258888632059,1.0,0.0,0.0,0.10004087537527084,0.019209163263440132,0.9918911943344222,mpnn,5,3,16,mean_max,32,38,433600,none,4336.0,0.4622807502746582,0.5027911067008972,0.13532863557338715,0.8805009722709656,0.16942693293094635,0.10004087537527084,0.019209163263440132,0.06529584527015686,0.0724085055291653,0.10098980367183685,0.1238243579864502,0.16044679284095764,0.01920914836227894,0.019209163263440132,0.019209105521440506
8,6.920775750204921,0.09612499996554107,0.09742065429139984,0.1,-0.0025793457086001614,-0.025793454506656165,-0.025793454506656165,0.09655996412038803,0.0,0.0,False,1.5577019212287269e-06,123.19824981689453,0.31492313742637634,-3.1780079012833085e-08,0.0,0.05,4.287278716219589e-05,0.8,0.0,0.0,0.0015797812957316637,0.0010123284300789237,0.0005945225129835308,1.0375976700061074e-07,0.9999995231628418,5.322781085968018,node_conditioned,25,True,True,False,-1.4754029512405396,0.0839523896574974,0.08131811767816544,0.10944117605686188,0.04651637002825737,1.9662443399429321,-12.678497314453125,1.9599250555038452,-0.006458881739415334,-1.477061152458191,0.07830803841352463,0.0,0.0,0.0,0.0015797812957316637,0.0,0.0,100,0.2,0.175,0.05,908,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09601829946041107,0.02168552577495575,0.06522423028945923,0.15942996740341187,0.0062156920321285725,0.0006004971801303327,0.0012286205310374498,0.00802944041788578,0.0062156920321285725,0.0006004971801303327,0.006215691566467285,0.0067781866528093815,1.0,0.0,0.0,0.09655996412038803,0.02181321568787098,0.9919429803715695,mpnn,5,3,16,mean_max,32,38,363200,none,3632.0,0.45484912395477295,0.5014103651046753,0.13104479014873505,0.8609732389450073,0.1658027619123459,0.09655996412038803,0.02181321568787098,0.06529918313026428,0.07318898737430574,0.0933317244052887,0.1213172793388243,0.160508930683136,0.021813198924064636,0.02181321568787098,0.02181316539645195
9,7.716614133268595,0.09465000024065376,0.0960353272660268,0.1,-0.003964672733973204,-0.0396467233750597,-0.0396467233750597,0.09487171471118927,0.0,0.0,False,2.0365464479255024e-06,154.67344665527344,0.3112424314022064,9.76122933593615e-08,0.0,0.05,5.159518696018495e-05,0.8,0.0,0.0,0.0015231352299451828,0.0009637748589739203,0.000646162370685488,-2.4414061883248905e-08,0.9999997019767761,4.832480430603027,node_conditioned,25,True,True,False,-1.846742033958435,0.08123382180929184,0.07757125049829483,0.10235065221786499,0.045003026723861694,2.452011823654175,-14.333724975585938,2.4577229022979736,0.004642065261567074,-1.8867640495300293,0.08520360291004181,0.0,0.0,0.0,0.0015231352299451828,0.0,0.0,100,0.2,0.19,0.03,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.0,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09429911524057388,0.021326320245862007,0.06522423028945923,0.15942996740341187,0.006690777372568846,0.0006481268792413175,0.0011264535132795572,0.008560411632061005,0.006690777372568846,0.0006481268792413175,0.006690777372568846,0.006996059324592352,1.0,0.0,0.0,0.09487171471118927,0.021454408764839172,0.9918273478787929,mpnn,5,3,16,mean_max,32,38,368800,none,3688.0,0.4410196542739868,0.4968111515045166,0.13197600841522217,0.8577936291694641,0.16796250641345978,0.09487171471118927,0.021454408764839172,0.06529292464256287,0.07279965579509742,0.091207355260849,0.12109180986880395,0.1605743169784546,0.02145439200103283,0.021454408764839172,0.0214543454349041
