episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,edge_freshness_feature,version_gap_tau,mean_directed_degree,mean_edge_freshness_feature,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,attention_temperature,attention_uniform_mix,attention_entropy_mean,attention_effective_degree_mean,attention_max_weight_mean,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.964901504702866,0.097874999884516,0.098937499942258,0.1,-0.0010625000577419996,-0.010624999514920045,-0.010624999514920045,0.0980132594704628,0.0,0.0,False,-2.2805327262176434e-06,128.993896484375,0.3173949122428894,5.451800575428933e-07,0.0,0.05,1.1422740726629854e-06,0.8,0.0,0.0,0.0015946199418976903,0.0015946199418976903,0.0,6.103515914901436e-08,0.9999995231628418,5.326375484466553,node_conditioned,25,True,True,False,-0.7174755930900574,0.09064076840877533,0.05084875971078873,0.08218669891357422,0.03815791755914688,2.012599229812622,-12.141439437866211,2.0563535690307617,0.042102632656344396,-0.750070333480835,0.05336342751979828,0.0,0.0,0.0,0.0015946199418976903,0.0,0.0,100,0.2,0.185,0.07,1002,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.0980132594704628,0.025424612686038017,0.0,mpnn,5,3,16,mean_max,32,38,400800,none,normalized_version_gap,,4008.0,0.344119131565094,,,,,0.5,0.0,,,,0.0980132594704628,0.025424612686038017,0.06522423028945923,0.06522423028945923,0.09427881240844727,0.13587576150894165,0.15942996740341187,0.02542460896074772,0.025424612686038017,0.025424737483263016
1,7.10217247787863,0.09560000004712492,0.09726874999469146,0.1,-0.0027312500053085498,-0.027312497321835764,-0.027312497321835764,0.09823526442050934,0.0,0.0,False,5.128007387611433e-07,133.63233947753906,0.3174818754196167,1.1088112614743295e-06,0.0,0.05,3.664218183985213e-06,0.8,0.0,0.0,0.0008223265176638961,0.0009171493584290147,0.0001032934378599748,9.765624753299562e-08,0.9999995231628418,4.992413520812988,node_conditioned,25,True,True,False,-1.0474392175674438,0.11915743350982666,0.05395301803946495,0.09047424048185349,0.038837119936943054,2.177281379699707,-12.64825439453125,2.238138437271118,0.05364245489838082,-1.1123404502868652,0.05271399766206741,0.0,0.0,0.0,0.0008223265176638961,0.0,0.0,100,0.2,0.1825,0.06,1006,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09823526442050934,0.026529507711529732,0.0,mpnn,5,3,16,mean_max,32,38,402400,none,normalized_version_gap,,4024.0,0.3401232361793518,,,,,0.5,0.0,,,,0.09823526442050934,0.026529507711529732,0.06524085998535156,0.06535157561302185,0.0943654477596283,0.13101369738578797,0.15971630811691284,0.026529507711529732,0.026529507711529732,0.02652949094772339
2,7.82277902405709,0.09690000001341105,0.09708437500405126,0.1,-0.0029156249959487457,-0.029156247043862753,-0.029156247043862753,0.09750401228666306,0.0,0.0,False,4.114468765692436e-08,162.63497924804688,0.3181842267513275,1.311348682975222e-07,0.0,0.05,5.217425041337265e-06,0.8,0.0,0.0,0.001285851700231433,0.0011509408941492438,0.00013640242104884237,-4.272461069376732e-07,0.9999997019767761,4.782844543457031,node_conditioned,25,True,True,False,-1.40947687625885,0.15802723169326782,0.05192476883530617,0.0940948873758316,0.03809609264135361,2.4754953384399414,-14.17546558380127,2.5728118419647217,0.07421916279589491,-1.516357421875,0.043656375259160995,0.0,0.0,0.0,0.001285851700231433,0.0,0.0,100,0.2,0.17,0.02,1022,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09750401228666306,0.01591036282479763,0.0,mpnn,5,3,16,mean_max,32,38,408800,none,normalized_version_gap,,4088.0,0.32952627539634705,,,,,0.5,0.0,,,,0.09750401228666306,0.01591036282479763,0.06524121761322021,0.07732936441898346,0.09689663350582123,0.11981001794338225,0.12903225421905518,0.015910359099507332,0.01591036282479763,0.015910303220152855
3,7.831829555258155,0.099074999964796,0.09807968748442364,0.1,-0.0019203125155763667,-0.019203123235451345,-0.019203123235451345,0.09639424085617065,0.0,0.0,False,-9.123178301706503e-07,161.02479553222656,0.31457972526550293,-1.6347316886822227e-06,0.0,0.05,1.0196024959441274e-05,0.8,0.0,0.0,0.0014516280498355627,0.00128274317830801,0.000177940382855013,1.3427734302240424e-07,0.9999995827674866,4.958924770355225,node_conditioned,25,True,True,False,-1.7500122785568237,0.1867796778678894,0.05463321506977081,0.09721320867538452,0.03761301562190056,2.4010367393493652,-14.477479934692383,2.5120441913604736,0.086427351058733,-1.8819307088851929,0.04999973997473717,0.0,0.0,0.0,0.0014516280498355627,0.0,0.0,100,0.2,0.185,0.02,938,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09639424085617065,0.02160409837961197,0.0,mpnn,5,3,16,mean_max,32,38,375200,none,normalized_version_gap,,3752.0,0.32759255170822144,,,,,0.5,0.0,,,,0.09639424085617065,0.02160409837961197,0.06524813175201416,0.06546586751937866,0.094485804438591,0.12342306971549988,0.15995189547538757,0.02160409279167652,0.02160409837961197,0.02160402201116085
4,6.5785800411179665,0.09967500006314367,0.09887734377378365,0.1,-0.0011226562262163509,-0.011226561139507395,-0.011226561139507395,0.09798172861337662,0.0,0.0,False,-1.7999690271608415e-07,109.51052856445312,0.31890004873275757,-2.001082748392946e-06,0.0,0.05,1.8372717022430152e-05,0.8,0.0,0.0,0.000699241179972887,0.00047898429329507053,0.0002568349300418049,3.6621094068323146e-07,0.9999994039535522,5.658985614776611,node_conditioned,25,True,True,False,-2.0156919956207275,0.19335301220417023,0.060009509325027466,0.09279375523328781,0.04114583134651184,1.7746753692626953,-12.594575881958008,1.8760385513305664,0.10514160317228505,-2.102769374847412,0.05841763690114021,0.0,0.0,0.0,0.000699241179972887,0.0,0.0,100,0.2,0.1625,0.01,980,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09798172861337662,0.018106231465935707,0.0,mpnn,5,3,16,mean_max,32,38,392000,none,normalized_version_gap,,3920.0,0.3351348340511322,,,,,0.5,0.0,,,,0.09798172861337662,0.018106231465935707,0.06526735424995422,0.07430598735809349,0.0992872565984726,0.12646195590496062,0.13150212168693542,0.018106216564774513,0.018106231465935707,0.01810603216290474
5,7.475000744014978,0.0962250000005588,0.09755117188717122,0.1,-0.002448828112828788,-0.02448827867946001,-0.02448827867946001,0.09565450251102448,0.0,0.0,False,2.9630973585881293e-07,142.3784637451172,0.3130159080028534,-7.175239034040715e-07,0.0,0.05,2.704435792111326e-05,0.8,0.0,0.0,0.0006712505128234625,0.0004999577649869025,0.00033810592140071094,3.784179796184617e-07,0.9999995231628418,5.056705474853516,node_conditioned,25,True,True,False,-2.4402642250061035,0.23930183053016663,0.0672605037689209,0.1080569326877594,0.04257342219352722,2.239666223526001,-14.443817138671875,2.373281240463257,0.10942969640676325,-2.495393753051758,0.07535398006439209,0.0,0.0,0.0,0.0006712505128234625,0.0,0.0,100,0.2,0.1725,0.04,998,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09565450251102448,0.02118942327797413,0.0,mpnn,5,3,16,mean_max,32,38,399200,none,normalized_version_gap,,3992.0,0.3261284828186035,,,,,0.5,0.0,,,,0.09565450251102448,0.02118942327797413,0.0652848482131958,0.0656478613615036,0.09458088129758835,0.12423632442950865,0.1603798270225525,0.02118939906358719,0.02118942327797413,0.02118917927145958
6,7.0184106041491034,0.09622499998193235,0.09688808593455178,0.1,-0.0031119140654482236,-0.03111913754256848,-0.03111913754256848,0.09496839344501495,0.0,0.0,False,-2.750446356003522e-06,124.23699951171875,0.3117011487483978,-1.1195411389053334e-06,0.0,0.05,4.2647319787647575e-05,0.8,0.0,0.0,0.003704103408381343,0.003286574501544237,0.000423680612584576,-2.258300781932121e-07,0.9999995827674866,4.833587646484375,node_conditioned,25,True,True,False,-2.768947124481201,0.2912203371524811,0.07024966180324554,0.11063763499259949,0.04426867514848709,2.2063159942626953,-13.98786449432373,2.382880210876465,0.14270353654831558,-2.8692541122436523,0.07343290746212006,0.0,0.0,0.0,0.003704103408381343,0.0,0.0,100,0.2,0.1925,0.03,1054,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09496839344501495,0.020488698035478592,0.0,mpnn,5,3,16,mean_max,32,38,421600,none,normalized_version_gap,,4216.0,0.34855517745018005,,,,,0.5,0.0,,,,0.09496839344501495,0.020488698035478592,0.06529107689857483,0.07010993659496312,0.09236466884613037,0.1200705498456955,0.16050317883491516,0.02048865705728531,0.020488698035478592,0.020488301292061806
7,7.226929529942572,0.10079999998211861,0.0988440429583352,0.1,-0.0011559570416648096,-0.01155956926069117,-0.01155956926069117,0.10014507174491882,0.0,0.0,False,5.76448564970633e-06,129.83140563964844,0.32351166009902954,-1.0274337682858459e-06,0.0,0.05,5.830396548844874e-05,0.8,3.801435468631098e-06,0.0021233821753412485,0.001098345615901053,0.0016399361193180084,0.0005426023271866143,-3.41796862812771e-07,0.9999995827674866,5.222346782684326,node_conditioned,25,True,True,False,-3.1937174797058105,0.33275920152664185,0.07732031494379044,0.12398410588502884,0.04878890514373779,2.0943851470947266,-14.69782543182373,2.292297601699829,0.1652217479180178,-3.334394931793213,0.06985929608345032,0.0,0.0,0.0,0.001098345615901053,0.0,0.0,100,0.2,0.1575,0.03,1084,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10014507174491882,0.019188718870282173,0.0,mpnn,5,3,16,mean_max,32,38,433600,none,normalized_version_gap,,4336.0,0.34074246883392334,,,,,0.5,0.0,,,,0.10014507174491882,0.019188718870282173,0.06530004739761353,0.07245048061013222,0.10102149844169617,0.12383832037448883,0.16090285778045654,0.0191886518150568,0.019188718870282173,0.019187966361641884
8,6.912173735424876,0.09634999996051193,0.09759702145942356,0.1,-0.0024029785405764448,-0.02402978300278615,-0.02402978300278615,0.09668470174074173,0.0,0.0,False,2.7440419216873124e-06,115.8618392944336,0.31521064043045044,-2.646218888457952e-07,0.0,0.05,6.58671633573249e-05,0.8,0.0,0.0,0.0013973505701869726,0.000816769665107131,0.0006210145074874163,-7.324219097881723e-08,0.9999995231628418,5.579945087432861,node_conditioned,25,True,True,False,-3.5360941886901855,0.3378487527370453,0.0872674360871315,0.14192938804626465,0.0557919442653656,1.8334401845932007,-14.441387176513672,2.012124538421631,0.16972154787335458,-3.805450201034546,0.06903521716594696,0.0,0.0,0.0,0.0013973505701869726,0.0,0.0,100,0.2,0.175,0.05,908,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09668470174074173,0.021784797310829163,0.0,mpnn,5,3,16,mean_max,32,38,363200,none,normalized_version_gap,,3632.0,0.32784873247146606,,,,,0.5,0.0,,,,0.09668470174074173,0.021784797310829163,0.06531324982643127,0.07331748008728027,0.09354864060878754,0.12179542183874882,0.1611061990261078,0.021784711629152298,0.021784797310829163,0.02178388647735119
9,7.714536870867014,0.0948500002734363,0.09622351086642994,0.1,-0.0037764891335700657,-0.0377648875592119,-0.0377648875592119,0.09498921036720276,0.0,0.0,False,3.5610141821962316e-06,145.98951721191406,0.31149837374687195,-1.395657704961195e-07,0.0,0.05,7.390583050437272e-05,0.8,0.0,0.0,0.001016577472910285,0.0004826721560675651,0.0006554201827384531,-2.3193359766082722e-07,0.9999995231628418,4.984195232391357,node_conditioned,25,True,True,False,-4.038079261779785,0.4078764021396637,0.09730813652276993,0.1598779410123825,0.06127939373254776,2.3272266387939453,-16.21233367919922,2.5576589107513428,0.1720728016750549,-4.111358642578125,0.12817226350307465,0.0,0.0,0.0,0.001016577472910285,0.0,0.0,100,0.2,0.19,0.03,922,curvature_stage2_mpnn_v1,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09498921036720276,0.02142617665231228,0.0,mpnn,5,3,16,mean_max,32,38,368800,none,normalized_version_gap,,3688.0,0.32700181007385254,,,,,0.5,0.0,,,,0.09498921036720276,0.02142617665231228,0.06531238555908203,0.07286706268787388,0.09116478264331818,0.12156363129614997,0.16123628616333008,0.021426072344183922,0.02142617665231228,0.02142508514225483
