episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,edge_freshness_feature,version_gap_tau,mean_directed_degree,mean_edge_freshness_feature,mean_neighbor_freshness_gain,mean_neighbor_version_gap_normalized,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,attention_temperature,attention_uniform_mix,attention_entropy_mean,attention_effective_degree_mean,attention_max_weight_mean,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.964901504702866,0.097874999884516,0.098937499942258,0.1,-0.0010625000577419996,-0.010624999514920045,-0.010624999514920045,0.0980132594704628,0.0,0.0,False,-3.414298817006056e-06,128.06930541992188,0.31747865676879883,6.870091056043748e-07,0.0,0.05,2.2706617528456263e-06,0.8,0.0,0.0,0.002517756773158908,0.002517756773158908,0.0,-3.906249901319825e-07,0.9999995827674866,5.283572673797607,node_conditioned,25,True,True,False,0.032532699406147,0.09758444875478745,0.09421268105506897,0.1176566481590271,0.06843096017837524,2.0540478229522705,-11.501657485961914,2.0454084873199463,-0.008465269436650935,0.020747371017932892,0.09681855887174606,0.0,0.0,0.0,0.002517756773158908,0.0,0.0,100,0.2,0.185,0.07,1002,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.0980132594704628,0.025424612686038017,0.0,mpnn,5,4,16,curvature_attention_max,32,38,400800,none,normalized_version_gap_with_gain,,4008.0,0.46821680665016174,0.46821680665016174,0.344119131565094,,,,,0.5,0.0,,,,0.0980132594704628,0.025424612686038017,0.06522423028945923,0.06522423028945923,0.09427881240844727,0.13587576150894165,0.15942996740341187,0.02542460896074772,0.025424612686038017,0.025424737483263016
1,7.102038137353957,0.09562500005122274,0.09728124999674037,0.1,-0.0027187500032596346,-0.027187497313846613,-0.027187497313846613,0.09828680753707886,0.0,0.0,False,1.2659492085731472e-06,132.22442626953125,0.31766390800476074,2.035477109529893e-06,0.0,0.05,8.229139893956017e-06,0.8,0.0,0.0,0.0008710648398846388,0.0010349989170208573,0.00019677502859849483,-4.272461069376732e-07,0.9999995231628418,4.964163780212402,node_conditioned,25,True,True,False,-0.5004303455352783,0.09247618168592453,0.08401062339544296,0.11182434856891632,0.060937631875276566,2.2110512256622314,-12.17703628540039,2.234445810317993,0.020830422363087853,-0.4805138409137726,0.07403061538934708,0.0,0.0,0.0,0.0008710648398846388,0.0,0.0,100,0.2,0.1825,0.06,1006,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09828680753707886,0.02654002606868744,0.0,mpnn,5,4,16,curvature_attention_max,32,38,402400,none,normalized_version_gap_with_gain,,4024.0,0.458953857421875,0.458953857421875,0.34012216329574585,,,,,0.5,0.0,,,,0.09828680753707886,0.02654002606868744,0.0652531087398529,0.06538408994674683,0.09441541507840157,0.13108212053775786,0.15979701280593872,0.02654002420604229,0.02654002606868744,0.026540009304881096
2,7.82277902405709,0.09690000001341105,0.0970906250050757,0.1,-0.002909374994924302,-0.029093747039868317,-0.029093747039868317,0.09759597480297089,0.0,0.0,False,-7.411064189000172e-07,160.6653289794922,0.31843963265419006,4.5207721655060595e-07,0.0,0.05,1.3009903341298923e-05,0.8,0.0,0.0,0.0018616811139509082,0.0015816864324733615,0.0002881182008422911,1.770019508740006e-07,0.9999995827674866,4.752041339874268,node_conditioned,25,True,True,False,-1.032718300819397,0.10948659479618073,0.07412870228290558,0.11562405526638031,0.05198286846280098,2.5007851123809814,-13.849720001220703,2.5526278018951416,0.04020666014787322,-1.0942779779434204,0.06537174433469772,0.0,0.0,0.0,0.0018616811139509082,0.0,0.0,100,0.2,0.17,0.02,1022,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09759597480297089,0.01592119224369526,0.0,mpnn,5,4,16,curvature_attention_max,32,38,408800,none,normalized_version_gap_with_gain,,4088.0,0.4351937174797058,0.4351937174797058,0.32952627539634705,,,,,0.5,0.0,,,,0.09759597480297089,0.01592119224369526,0.06525784730911255,0.07740458399057389,0.09699471294879913,0.11991400122642518,0.12916883826255798,0.015921181067824364,0.01592119224369526,0.01592111401259899
3,7.8226739981025455,0.0991499999538064,0.09812031247944106,0.1,-0.001879687520558948,-0.018796873325902148,-0.018796873325902148,0.09651472419500351,0.0,0.0,False,-3.2952175388345495e-07,158.22348022460938,0.31489408016204834,-2.390141162322834e-06,0.0,0.05,2.3438860807800665e-05,0.8,0.0,0.0,0.001985694980248809,0.0016498772893100977,0.0003807174798566848,-4.272461069376732e-07,0.9999995827674866,4.942687034606934,node_conditioned,25,True,True,False,-1.5526413917541504,0.13405241072177887,0.06515001505613327,0.10346103459596634,0.04867495596408844,2.4143447875976562,-14.28796100616455,2.4882683753967285,0.058535064242413726,-1.643156886100769,0.07079428434371948,0.0,0.0,0.0,0.001985694980248809,0.0,0.0,100,0.2,0.185,0.02,938,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09651472419500351,0.02162354812026024,0.0,mpnn,5,4,16,curvature_attention_max,32,38,375200,none,normalized_version_gap_with_gain,,3752.0,0.44704312086105347,0.44704312086105347,0.3276776075363159,,,,,0.5,0.0,,,,0.09651472419500351,0.02162354812026024,0.06526780128479004,0.06555494368076324,0.09461276233196259,0.12356501817703247,0.16016092896461487,0.021623529493808746,0.02162354812026024,0.021623440086841583
4,6.5920025171712044,0.09987500006798655,0.0989976562737138,0.1,-0.0010023437262862006,-0.01002343626051838,-0.01002343626051838,0.09813098609447479,0.0,0.0,False,7.650226052646758e-07,107.55116271972656,0.31927794218063354,-2.3250618141901214e-06,0.0,0.05,3.8982092519290745e-05,0.8,0.0,0.0,0.0012491729576140642,0.0008257461595349014,0.0005211368552409112,4.882812376649781e-08,0.9999995231628418,5.549517631530762,node_conditioned,25,True,True,False,-2.0044426918029785,0.15574631094932556,0.06677265465259552,0.09448980540037155,0.05025807395577431,1.7968525886535645,-12.60341739654541,1.8735820055007935,0.08022947555443372,-2.1031856536865234,0.06851893663406372,0.0,0.0,0.0,0.0012491729576140642,0.0,0.0,100,0.2,0.1625,0.01,980,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09813098609447479,0.018125688657164574,0.0,mpnn,5,4,16,curvature_attention_max,32,38,392000,none,normalized_version_gap_with_gain,,3920.0,0.466884046792984,0.466884046792984,0.335140198469162,,,,,0.5,0.0,,,,0.09813098609447479,0.018125688657164574,0.06529226899147034,0.07435230910778069,0.09942565858364105,0.12662938237190247,0.13174152374267578,0.018125655129551888,0.018125688657164574,0.018125448375940323
5,7.475923222452402,0.09640000001993031,0.09769882814682206,0.1,-0.0023011718531779496,-0.02301171623060787,-0.02301171623060787,0.09583236277103424,0.0,0.0,False,1.1982135674770689e-06,138.88844299316406,0.313452810049057,-8.00506768428022e-07,0.0,0.05,5.619083094643429e-05,0.8,0.0,0.0,0.001054665306583047,0.0007425619405694306,0.0006754138157702982,6.713867151120212e-07,0.9999995827674866,5.050678253173828,node_conditioned,25,True,True,False,-2.5782806873321533,0.20149335265159607,0.07308686524629593,0.11082831025123596,0.052866917103528976,2.240018129348755,-14.55777645111084,2.346151828765869,0.0884283053177537,-2.659820318222046,0.056621044874191284,0.0,0.0,0.0,0.001054665306583047,0.0,0.0,100,0.2,0.1725,0.04,998,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09583236277103424,0.02121690846979618,0.0,mpnn,5,4,16,curvature_attention_max,32,38,399200,none,normalized_version_gap_with_gain,,3992.0,0.43578362464904785,0.43578362464904785,0.3261350691318512,,,,,0.5,0.0,,,,0.09583236277103424,0.02121690846979618,0.06531620025634766,0.06577299237251281,0.09475003182888031,0.12443535625934282,0.16065427660942078,0.0212168600410223,0.02121690846979618,0.021216612309217453
6,7.020621205717325,0.09647499998565763,0.09708691406623984,0.1,-0.0029130859337601622,-0.029130856424515978,-0.029130856424515978,0.09516534209251404,0.0,0.0,False,-2.528537152102217e-06,120.39787292480469,0.31220394372940063,-1.5565611874990282e-06,0.0,0.05,8.431694732280448e-05,0.8,0.0,0.0,0.004895057063549757,0.004087547305971384,0.0008188531501218677,6.103515470812226e-09,0.9999995827674866,4.807952880859375,node_conditioned,25,True,True,False,-3.0759053230285645,0.2620547115802765,0.07685388624668121,0.1109866201877594,0.054048288613557816,2.2032620906829834,-14.245205879211426,2.360060453414917,0.12846240718840984,-3.163090467453003,0.08183810114860535,0.0,0.0,0.0,0.004895057063549757,0.0,0.0,100,0.2,0.1925,0.03,1054,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09516534209251404,0.020517373457551003,0.0,mpnn,5,4,16,curvature_attention_max,32,38,421600,none,normalized_version_gap_with_gain,,4216.0,0.4674440324306488,0.4674440324306488,0.34885141253471375,,,,,0.5,0.0,,,,0.09516534209251404,0.020517373457551003,0.06532439589500427,0.07015987038612367,0.09254984557628632,0.12028269171714782,0.160863995552063,0.020517291501164436,0.020517373457551003,0.020516883581876755
7,7.227237622775138,0.10102500000968576,0.0990559570379628,0.1,-0.000944042962037206,-0.009440428676329191,-0.009440428676329191,0.10039573907852173,0.0,0.0,False,1.7872393073048443e-05,125.14996337890625,0.32394808530807495,-4.806734636986221e-07,0.0,0.05,9.769244206836447e-05,0.8,1.4000953342474531e-05,0.004119017627090216,0.001485670916736126,0.006221309769898653,0.0010443934006616473,1.4648438195763447e-07,0.9999995231628418,5.219177722930908,node_conditioned,25,True,True,False,-3.658479690551758,0.31686562299728394,0.08719504624605179,0.11973424255847931,0.05926675349473953,2.087435007095337,-15.084573745727539,2.2809946537017822,0.16251420242149273,-3.7548327445983887,0.11116024851799011,0.0,0.0,0.0,0.001485670916736126,0.0,0.0,100,0.2,0.1575,0.03,1084,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10039573907852173,0.019224001094698906,0.0,mpnn,5,4,16,curvature_attention_max,32,38,433600,none,normalized_version_gap_with_gain,,4336.0,0.46251964569091797,0.46251964569091797,0.34076106548309326,,,,,0.5,0.0,,,,0.10039573907852173,0.019224001094698906,0.06533640623092651,0.07255639359354973,0.1012873649597168,0.12413669526576995,0.16126638650894165,0.019223852083086967,0.019224001094698906,0.019223034381866455
8,6.915487374588847,0.09649999997578561,0.0977779785068742,0.1,-0.0022220214931258087,-0.022220212709236815,-0.022220212709236815,0.09684809297323227,0.0,0.0,False,4.809691745322198e-06,110.89582824707031,0.31541767716407776,-2.470860351877491e-07,0.0,0.05,8.471922046737745e-05,0.8,0.0,0.0,0.002034457167610526,0.0010470655979588628,0.001037742244079709,3.41796862812771e-07,0.9999995231628418,5.5323357582092285,node_conditioned,25,True,True,False,-4.187238693237305,0.3431771695613861,0.09345243126153946,0.14807617664337158,0.0607779324054718,1.8264904022216797,-14.993494987487793,2.007800340652466,0.17245089580714112,-4.455593109130859,0.09947249293327332,0.0,0.0,0.0,0.002034457167610526,0.0,0.0,100,0.2,0.175,0.05,908,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09684809297323227,0.021807992830872536,0.0,mpnn,5,4,16,curvature_attention_max,32,38,363200,none,normalized_version_gap_with_gain,,3632.0,0.45440584421157837,0.45440584421157837,0.3278427720069885,,,,,0.5,0.0,,,,0.09684809297323227,0.021807992830872536,0.0653383731842041,0.07346572279930115,0.09363812208175659,0.12196967005728535,0.16133961081504822,0.021807851269841194,0.021807992830872536,0.021807044744491577
9,7.712937375456095,0.09490000028163195,0.09633898939425307,0.1,-0.003661010605746931,-0.03661010239645907,-0.03661010239645907,0.09506112337112427,0.0,0.0,False,4.090740731044207e-06,139.5087432861328,0.31155145168304443,-3.008637605717013e-08,0.0,0.05,7.888512482168153e-05,0.8,0.0,0.0,0.0013296791585162282,0.0004997604410164058,0.0009550699614919722,1.2207031829802872e-07,0.9999996423721313,5.014588832855225,node_conditioned,25,True,True,False,-4.8667826652526855,0.4335491359233856,0.11344418674707413,0.18009157478809357,0.0681115984916687,2.2977378368377686,-16.909448623657227,2.547689914703369,0.18659305560494344,-4.989528179168701,0.1135343387722969,0.0,0.0,0.0,0.0013296791585162282,0.0,0.0,100,0.2,0.19,0.03,922,curvature_stage2_mpnn_v3_5_edge_gain,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09506112337112427,0.021435292437672615,0.0,mpnn,5,4,16,curvature_attention_max,32,38,368800,none,normalized_version_gap_with_gain,,3688.0,0.4411620795726776,0.4411620795726776,0.32709768414497375,,,,,0.5,0.0,,,,0.09506112337112427,0.021435292437672615,0.06532493233680725,0.07287882268428805,0.09125614166259766,0.12159578353165797,0.16127493977546692,0.02143515832722187,0.021435292437672615,0.021434366703033447
