episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,edge_freshness_feature,version_gap_tau,mean_directed_degree,mean_edge_freshness_feature,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,attention_temperature,attention_uniform_mix,attention_entropy_mean,attention_effective_degree_mean,attention_max_weight_mean,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.964901504702866,0.097874999884516,0.098937499942258,0.1,-0.0010625000577419996,-0.010624999514920045,-0.010624999514920045,0.0980132594704628,0.0,0.0,False,-2.9977557005622657e-06,128.06930541992188,0.31741097569465637,3.985367698078335e-07,0.0,0.05,1.3241829037724528e-06,0.8,0.0,0.0,0.00218286644667387,0.00218286644667387,0.0,-3.906249901319825e-07,0.9999995827674866,5.283572673797607,node_conditioned,25,True,True,False,0.032532699406147,0.09758444875478745,0.09421268105506897,0.1176566481590271,0.06843096017837524,2.0540478229522705,-11.501657485961914,2.0454084873199463,-0.008465269436650935,0.020747371017932892,0.09681855887174606,0.0,0.0,0.0,0.00218286644667387,0.0,0.0,100,0.2,0.185,0.07,1002,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.0980132594704628,0.025424612686038017,0.0,mpnn,5,3,16,curvature_attention_max,32,38,400800,none,normalized_version_gap,,4008.0,0.344119131565094,,,,,0.5,0.0,,,,0.0980132594704628,0.025424612686038017,0.06522423028945923,0.06522423028945923,0.09427881240844727,0.13587576150894165,0.15942996740341187,0.02542460896074772,0.025424612686038017,0.025424737483263016
1,7.10217247787863,0.09560000004712492,0.09726874999469146,0.1,-0.0027312500053085498,-0.027312497321835764,-0.027312497321835764,0.09824572503566742,0.0,0.0,False,4.791659193870146e-07,132.22970581054688,0.3175414204597473,1.5436449984918e-06,0.0,0.05,4.944646661897423e-06,0.8,0.0,0.0,0.0007234250660985708,0.0008159648859873414,0.00012090968084521592,1.8310547034161573e-07,0.9999995827674866,4.964162826538086,node_conditioned,25,True,True,False,-0.5004257559776306,0.09247718751430511,0.0840136781334877,0.11182434856891632,0.06094062700867653,2.211097478866577,-12.177258491516113,2.2344908714294434,0.02082872532807689,-0.4805138409137726,0.07403061538934708,0.0,0.0,0.0,0.0007234250660985708,0.0,0.0,100,0.2,0.1825,0.06,1006,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09824572503566742,0.026531396433711052,0.0,mpnn,5,3,16,curvature_attention_max,32,38,402400,none,normalized_version_gap,,4024.0,0.3401232361793518,,,,,0.5,0.0,,,,0.09824572503566742,0.026531396433711052,0.06525331735610962,0.06535542011260986,0.09437569975852966,0.1310257375240326,0.15972262620925903,0.026531396433711052,0.026531396433711052,0.026531383395195007
2,7.82277902405709,0.09690000001341105,0.09708437500405126,0.1,-0.0029156249959487457,-0.029156247043862753,-0.029156247043862753,0.09754020720720291,0.0,0.0,False,-9.913547955875401e-07,160.6653289794922,0.3182985782623291,2.8424727815945516e-07,0.0,0.05,8.24907601781888e-06,0.8,0.0,0.0,0.0015527192736044526,0.0013755755499005318,0.00017995783127844334,2.5024414185281785e-07,0.9999996423721313,4.752041339874268,node_conditioned,25,True,True,False,-1.0327192544937134,0.10948673635721207,0.07412879168987274,0.1156243085861206,0.05198299512267113,2.5007851123809814,-13.849720001220703,2.5526278018951416,0.04020665720553174,-1.0942790508270264,0.06537184864282608,0.0,0.0,0.0,0.0015527192736044526,0.0,0.0,100,0.2,0.17,0.02,1022,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09754020720720291,0.01591499336063862,0.0,mpnn,5,3,16,curvature_attention_max,32,38,408800,none,normalized_version_gap,,4088.0,0.32952627539634705,,,,,0.5,0.0,,,,0.09754020720720291,0.01591499336063862,0.06525659561157227,0.07735511437058448,0.09693197906017303,0.11984910368919373,0.1290808618068695,0.01591498963534832,0.01591499336063862,0.015914922580122948
3,7.8243959762901065,0.0990999999595806,0.09809218748181593,0.1,-0.0019078125181840738,-0.01907812327402841,-0.01907812327402841,0.09644581377506256,0.0,0.0,False,-8.672140552334895e-07,158.29722595214844,0.3147164583206177,-2.046947656708653e-06,0.0,0.05,1.5248490853991825e-05,0.8,0.0,0.0,0.001654568244703114,0.0014323637587949634,0.0002413353358861059,-1.2817382355478912e-07,0.9999996423721313,4.9419450759887695,node_conditioned,25,True,True,False,-1.5527801513671875,0.1341169774532318,0.06520646810531616,0.10346126556396484,0.048719026148319244,2.4152884483337402,-14.290969848632812,2.4892420768737793,0.05853584211270657,-1.6431584358215332,0.07079441100358963,0.0,0.0,0.0,0.001654568244703114,0.0,0.0,100,0.2,0.185,0.02,938,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09644581377506256,0.02161216549575329,0.0,mpnn,5,3,16,curvature_attention_max,32,38,375200,none,normalized_version_gap,,3752.0,0.3274047076702118,,,,,0.5,0.0,,,,0.09644581377506256,0.02161216549575329,0.065267413854599,0.06551219522953033,0.09453871846199036,0.12347642779350282,0.16001328825950623,0.02161215804517269,0.02161216549575329,0.021612051874399185
4,6.583070202060044,0.09980000008363277,0.09894609378272434,0.1,-0.001053906217275663,-0.010539061118850519,-0.010539061118850519,0.0980464443564415,0.0,0.0,False,9.405466130374407e-07,107.21820068359375,0.31906068325042725,-2.3299726308323443e-06,0.0,0.05,2.6135150619666092e-05,0.8,0.0,0.0,0.0008931746706366539,0.0006100835162214935,0.0003377613320481032,-5.737304604735982e-07,0.9999994039535522,5.567582607269287,node_conditioned,25,True,True,False,-2.0044522285461426,0.1558428704738617,0.06701155751943588,0.10056751221418381,0.050430864095687866,1.7883265018463135,-12.588418960571289,1.8649351596832275,0.08046947151695927,-2.1032049655914307,0.06851805001497269,0.0,0.0,0.0,0.0008931746706366539,0.0,0.0,100,0.2,0.1625,0.01,980,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.0980464443564415,0.018114205449819565,0.0,mpnn,5,3,16,curvature_attention_max,32,38,392000,none,normalized_version_gap,,3920.0,0.33475056290626526,,,,,0.5,0.0,,,,0.0980464443564415,0.018114205449819565,0.06529662013053894,0.07435096204280878,0.09934642910957336,0.12652423977851868,0.13163864612579346,0.01811419054865837,0.018114205449819565,0.01811395399272442
5,7.475596705824136,0.09627499999012798,0.09761054688642616,0.1,-0.0023894531135738445,-0.02389452874628557,-0.02389452874628557,0.09573253244161606,0.0,0.0,False,5.830602276546415e-07,138.88392639160156,0.31320157647132874,-7.8341031439777e-07,0.0,0.05,3.8028392737032846e-05,0.8,0.0,0.0,0.0008835913031361997,0.0006531846011057496,0.0004436774761416018,5.004882837056357e-07,0.9999996423721313,5.047906398773193,node_conditioned,25,True,True,False,-2.578092098236084,0.20145675539970398,0.07304207980632782,0.11120405048131943,0.0528135783970356,2.2413899898529053,-14.557029724121094,2.3474678993225098,0.08833437609761208,-2.6591811180114746,0.05673125013709068,0.0,0.0,0.0,0.0008835913031361997,0.0,0.0,100,0.2,0.1725,0.04,998,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09573253244161606,0.0212031751871109,0.0,mpnn,5,3,16,curvature_attention_max,32,38,399200,none,normalized_version_gap,,3992.0,0.3261702060699463,,,,,0.5,0.0,,,,0.09573253244161606,0.0212031751871109,0.06532266736030579,0.06571166217327118,0.09464345499873161,0.12439801990985545,0.16053986549377441,0.02120315283536911,0.0212031751871109,0.02120286598801613
6,7.030271461158991,0.09629999998491258,0.09695527343566937,0.1,-0.0030447265643306354,-0.030447262598580094,-0.030447262598580094,0.09505250304937363,0.0,0.0,False,-2.910307557613123e-06,120.79937744140625,0.31189975142478943,-1.1691387271639542e-06,0.0,0.05,5.727236202801578e-05,0.8,0.0,0.0,0.004151554312556982,0.003612078260630369,0.0005467709270305932,2.136230534688366e-07,0.9999995231628418,4.7872467041015625,node_conditioned,25,True,True,False,-3.0762264728546143,0.26222893595695496,0.076710544526577,0.1113661453127861,0.0540132001042366,2.2161705493927,-14.26168441772461,2.373349905014038,0.12806760202527046,-3.1628639698028564,0.08181299269199371,0.0,0.0,0.0,0.004151554312556982,0.0,0.0,100,0.2,0.1925,0.03,1054,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09505250304937363,0.020499294623732567,0.0,mpnn,5,3,16,curvature_attention_max,32,38,421600,none,normalized_version_gap,,4216.0,0.34853091835975647,,,,,0.5,0.0,,,,0.09505250304937363,0.020499294623732567,0.06532987952232361,0.0701572567224503,0.0924968421459198,0.1201436549425125,0.16065967082977295,0.020499257370829582,0.020499294623732567,0.020498773083090782
7,7.226665899790824,0.10094999998807908,0.09895263671187422,0.1,-0.0010473632881257827,-0.010473631833894643,-0.010473631833894643,0.10024279356002808,0.0,0.0,False,9.041306839208119e-06,125.1248779296875,0.32369089126586914,-9.329716021966306e-07,0.0,0.05,7.303401798708364e-05,0.8,7.0863834480405785e-06,0.0029394894372671843,0.0013818340376019478,0.002823346061632037,0.0006857036496512592,2.19726558725597e-07,0.9999995827674866,5.220345497131348,node_conditioned,25,True,True,False,-3.65832781791687,0.31682902574539185,0.0872255489230156,0.11999132484197617,0.05929803475737572,2.086786985397339,-15.08348274230957,2.2802956104278564,0.16252087227316925,-3.7547104358673096,0.11116134375333786,0.0,0.0,0.0,0.0013818340376019478,0.0,0.0,100,0.2,0.1575,0.03,1084,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10024279356002808,0.01920285075902939,0.0,mpnn,5,3,16,curvature_attention_max,32,38,433600,none,normalized_version_gap,,4336.0,0.34081554412841797,,,,,0.5,0.0,,,,0.10024279356002808,0.01920285075902939,0.06533989310264587,0.0725104071199894,0.1011015921831131,0.12392924726009369,0.16117385029792786,0.019202787429094315,0.01920285075902939,0.019201859831809998
8,6.914123987480998,0.09642499995417893,0.09768881833302658,0.1,-0.0023111816669734303,-0.023111814358552866,-0.023111814358552866,0.09674699604511261,0.0,0.0,False,3.2187031138164457e-06,110.8218994140625,0.3153036832809448,-3.052316515095299e-07,0.0,0.05,7.389554957626387e-05,0.8,0.0,0.0,0.0016188352601602674,0.0009135041618719697,0.0007406003423966467,2.3193359766082722e-07,0.9999995231628418,5.554290294647217,node_conditioned,25,True,True,False,-4.187522888183594,0.34306854009628296,0.093441441655159,0.1480688452720642,0.06081215292215347,1.8188483715057373,-14.991437911987305,1.9998477697372437,0.1728217750004497,-4.4555864334106445,0.099471315741539,0.0,0.0,0.0,0.0016188352601602674,0.0,0.0,100,0.2,0.175,0.05,908,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09674699604511261,0.02179049141705036,0.0,mpnn,5,3,16,curvature_attention_max,32,38,363200,none,normalized_version_gap,,3632.0,0.3277081549167633,,,,,0.5,0.0,,,,0.09674699604511261,0.02179049141705036,0.06534925103187561,0.0733794242143631,0.09362366795539856,0.12195394337176134,0.1612858772277832,0.02179042063653469,0.02179049141705036,0.02178940363228321
9,7.714536870867014,0.0948500002734363,0.09626940930323144,0.1,-0.0037305906967685654,-0.03730590323709533,-0.03730590323709533,0.09502679109573364,0.0,0.0,False,3.5584400848165387e-06,139.5691680908203,0.31155431270599365,-1.37468433081267e-07,0.0,0.05,7.89812984294258e-05,0.8,0.0,0.0,0.0012387436581775546,0.0006099145975895226,0.000751988438423723,2.19726558725597e-07,0.9999995231628418,5.016025543212891,node_conditioned,25,True,True,False,-4.866949081420898,0.4335545301437378,0.11342456191778183,0.18007676303386688,0.06809241324663162,2.297589063644409,-16.912273406982422,2.5476138591766357,0.18665001793425806,-4.989551067352295,0.11353254318237305,0.0,0.0,0.0,0.0012387436581775546,0.0,0.0,100,0.2,0.19,0.03,922,curvature_stage2_mpnn_v3_5,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09502679109573364,0.021427396684885025,0.0,mpnn,5,3,16,curvature_attention_max,32,38,368800,none,normalized_version_gap,,3688.0,0.32700181007385254,,,,,0.5,0.0,,,,0.09502679109573364,0.021427396684885025,0.06534186005592346,0.07290092706680301,0.09118863940238953,0.12162257879971675,0.16141819953918457,0.021427307277917862,0.021427396684885025,0.021426144987344742
