candidate_id,phase,evaluation_phase,base_tx_ratio,alpha,calibrated_intercept,calibration_probability_mean,search_probability_mean,actual_tx_ratio,mean_VAoI,mean_tail_VAoI,constraint_feasible,coarse_rank_within_alpha,evaluated_on_full,pruned_after_coarse,phase_slots,rank,selected
29,coarse,coarse,0.11249999999999999,1.8,-2.843994140625,0.11249956384832466,0.11278483079432829,0.11201000000000001,9.059970757575758,21.36220101010101,True,1,False,False,200,1,False
15,coarse,coarse,0.11249999999999999,1.2,-2.5697021484375,0.11250001461802722,0.11252579938365488,0.11205000000000002,9.082025555555557,21.38322828282828,True,1,False,False,200,2,False
22,coarse,coarse,0.11249999999999999,1.5,-2.705047607421875,0.11249977663552418,0.11263529942495376,0.11207500000000001,9.12202136363636,21.44384242424243,True,1,False,False,200,3,False
8,coarse,coarse,0.11249999999999999,1.0,-2.48150634765625,0.11250058767748243,0.11247608898593567,0.11205000000000001,9.127420454545454,21.471044444444445,True,1,False,False,200,4,False
36,coarse,coarse,0.11249999999999999,2.5,-3.1815948486328125,0.11250044307711482,0.11327830204388337,0.11232499999999998,9.1651797979798,21.546998989898988,True,1,False,False,200,5,False
1,coarse,coarse,0.11249999999999999,0.5,-2.268280029296875,0.11249988046185862,0.11243072980075444,0.11174999999999999,9.355574191919192,21.83362222222222,True,1,False,False,200,6,False
23,coarse,coarse,0.15,1.5,-2.36932373046875,0.15000096918695982,0.15009430063568838,0.14992,9.395006262626262,21.946396969696966,True,2,False,False,200,7,False
21,coarse,coarse,0.075,1.5,-3.156829833984375,0.0750003995392894,0.07513980019845956,0.07427999999999998,9.407244848484847,21.944862626262626,True,3,False,True,200,8,False
16,coarse,coarse,0.15,1.2,-2.2357940673828125,0.14999909250551333,0.14998354866211655,0.14946500000000001,9.409579242424243,22.011557575757582,True,2,False,False,200,9,False
2,coarse,coarse,0.15,0.5,-1.9369049072265625,0.15000089199961167,0.14990523361927102,0.14927,9.426955050505052,22.038684848484852,True,2,False,False,200,10,False
28,coarse,coarse,0.075,1.8,-3.298095703125,0.07500090584050773,0.0752680835551537,0.07433999999999999,9.433316161616158,22.14455757575758,True,2,False,False,200,11,False
14,coarse,coarse,0.075,1.2,-3.0196533203125,0.07499970355009843,0.0750448582011538,0.07430999999999999,9.43342095959596,21.771887878787886,True,3,False,True,200,12,False
7,coarse,coarse,0.075,1.0,-2.93048095703125,0.07500023842636282,0.07500134288059786,0.07425,9.450231818181816,21.75419595959596,True,2,False,False,200,13,False
30,coarse,coarse,0.15,1.8,-2.5060272216796875,0.14999989247930384,0.15024384510921213,0.150085,9.470944090909093,22.115572727272724,True,3,False,True,200,14,False
9,coarse,coarse,0.15,1.0,-2.1485595703125,0.1499993496187919,0.1499356121847401,0.149445,9.49923878787879,22.18425656565657,True,3,False,True,200,15,False
0,coarse,coarse,0.075,0.5,-2.71563720703125,0.07500043537595683,0.07495643634623364,0.07442499999999999,9.58068590909091,21.9368898989899,True,3,False,True,200,16,False
35,coarse,coarse,0.075,2.5,-3.643218994140625,0.07499972074520155,0.0756896379902406,0.074815,9.688318030303032,22.809788888888885,True,2,False,False,200,17,False
37,coarse,coarse,0.15,2.5,-2.8365478515625,0.14999985459593868,0.1507388433301249,0.150215,9.752531666666668,22.526078787878788,True,3,False,True,200,18,False
15,coarse,full,0.11249999999999999,1.2,-2.5697021484375,0.11250001461802722,0.11270807809113377,0.1125135,10.074177025252524,25.177569898989898,True,1,True,False,500,19,False
22,coarse,full,0.11249999999999999,1.5,-2.705047607421875,0.11249977663552418,0.11282743498509151,0.11265,10.079098287878788,25.25596575757576,True,1,True,False,500,20,False
52,refine,full,0.09375,1.5,-2.910736083984375,0.09374974100379432,0.09404919006791812,0.093868,10.106139232323232,25.383112424242427,True,,True,False,500,21,False
