episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,edge_freshness_feature,version_gap_tau,mean_directed_degree,mean_edge_freshness_feature,mean_neighbor_freshness_gain,mean_neighbor_version_gap_normalized,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,attention_temperature,attention_uniform_mix,attention_entropy_mean,attention_effective_degree_mean,attention_max_weight_mean,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,10.011327514983714,0.11244999988470226,0.20622499994235113,0.3,-0.09377500005764886,-0.3125833231060521,-0.3125833231060521,0.11249947547912598,0.0,0.0,False,-2.73442969955795e-06,275.99346923828125,0.35191285610198975,1.9003246620741265e-07,0.0,0.05,9.754672873896197e-07,0.8,0.0,0.0,0.001815757597796619,0.001815757597796619,0.0,-2.4414061883248905e-08,0.9999997615814209,3.9430716037750244,node_conditioned,22,False,False,True,-1.2126895189285278,0.14553946256637573,0.07807925343513489,0.10744655877351761,0.055019572377204895,3.9808101654052734,-17.668594360351562,4.063546180725098,0.04030647409815358,-1.218956708908081,0.07503604143857956,0.0,0.0,0.0,0.001815757597796619,0.0,0.0,100,0.2,0.15,0.0,1002,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.11249947547912598,7.450580596923828e-09,0.0,mpnn,5,4,16,mean_max,32,37,400800,disabled_zero_placeholder,normalized_version_gap_with_gain,,4008.0,0.4559005796909332,0.4559005796909332,0.3640531003475189,,,,,0.5,0.0,,,,0.11249947547912598,7.450580596923828e-09,0.11249947547912598,0.11249947547912598,0.11249947547912598,0.11249947547912598,0.11249951273202896,1.1542390154772875e-08,7.450580596923828e-09,2.493441186857126e-08
1,10.07900505658239,0.11007500002160668,0.1581499999819789,0.3,-0.1418500000180211,-0.4728333176322931,-0.4728333176322931,0.11263152211904526,0.0,0.0,False,7.737213536529453e-07,276.2967529296875,0.3520604074001312,9.819769957175595e-07,0.0,0.05,2.901184416259639e-06,0.8,0.0,0.0,0.0010204012505710125,0.0011070984182879329,8.84884357219562e-05,-8.544921570319275e-08,0.9999997019767761,4.049723148345947,node_conditioned,22,False,False,True,-1.6331826448440552,0.18798057734966278,0.08269700407981873,0.13613034784793854,0.05746855586767197,3.842388868331909,-18.136011123657227,3.955275774002075,0.05626714147543843,-1.6907849311828613,0.08059093356132507,0.0,0.0,0.0,0.0010204012505710125,0.0,0.0,100,0.2,0.1425,0.0,1006,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.11263152211904526,1.1230955351493321e-05,0.0,mpnn,5,4,16,mean_max,32,37,402400,disabled_zero_placeholder,normalized_version_gap_with_gain,,4024.0,0.4677254855632782,0.4677254855632782,0.3720629811286926,,,,,0.5,0.0,,,,0.11263152211904526,1.1230955351493321e-05,0.11253079771995544,0.11262023448944092,0.11263105273246765,0.11264538764953613,0.11267563700675964,9.421079994353931e-06,1.1230955351493321e-05,3.1831036721996497e-06
2,10.869957055188715,0.11360000010114163,0.13587500004156028,0.3,-0.1641249999584397,-0.5470833149586886,-0.5470833149586886,0.11266904324293137,0.0,0.0,False,9.695827429823112e-08,319.8708190917969,0.35210296511650085,-1.843161925307868e-07,0.0,0.05,3.6481496863416396e-06,0.8,0.0,0.0,0.0011606959160417318,0.0010519529459998012,0.00011316385644022375,-3.295898522992502e-07,0.9999997615814209,4.158248424530029,node_conditioned,22,False,False,True,-2.090956211090088,0.24445396661758423,0.0864400863647461,0.15875111520290375,0.060941487550735474,4.014552116394043,-19.864234924316406,4.1818389892578125,0.07840592612264663,-2.2085726261138916,0.09095127135515213,0.0,0.0,0.0,0.0011606959160417318,0.0,0.0,100,0.2,0.1675,0.0,1022,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.11266904324293137,1.2145120308559854e-05,0.0,mpnn,5,4,16,mean_max,32,37,408800,disabled_zero_placeholder,normalized_version_gap_with_gain,,4088.0,0.45431211590766907,0.45431211590766907,0.36354508996009827,,,,,0.5,0.0,,,,0.11266904324293137,1.2145120308559854e-05,0.11253494024276733,0.11265784502029419,0.11266905069351196,0.11268192529678345,0.11271536350250244,9.031421541294549e-06,1.2145120308559854e-05,3.6026906400365988e-06
3,10.63382525358349,0.11504999986849725,0.12546249995502876,0.3,-0.17453750004497123,-0.5817916474235159,-0.5817916474235159,0.11270248889923096,0.0,0.0,False,5.1297149639140116e-08,304.1998291015625,0.35221025347709656,-1.003277134259406e-06,0.0,0.05,5.9087556110171136e-06,0.8,0.0,0.0,0.0006805745651945472,0.0005567778134718537,0.0001358518929919228,-1.8310547034161573e-07,0.9999997615814209,3.964777946472168,node_conditioned,22,False,False,True,-2.5415143966674805,0.29405438899993896,0.10199914127588272,0.16429705917835236,0.06803790479898453,4.1064133644104,-19.846078872680664,4.303327560424805,0.08942338026329177,-2.6619255542755127,0.103715680539608,0.0,0.0,0.0,0.0006805745651945472,0.0,0.0,100,0.2,0.1575,0.0,938,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.11270248889923096,1.559942938911263e-05,0.0,mpnn,5,4,16,mean_max,32,37,375200,disabled_zero_placeholder,normalized_version_gap_with_gain,,3752.0,0.450211763381958,0.450211763381958,0.35222896933555603,,,,,0.5,0.0,,,,0.11270248889923096,1.559942938911263e-05,0.1125374436378479,0.11268773674964905,0.1127026379108429,0.11271917819976807,0.11275309324264526,1.1745253686967772e-05,1.559942938911263e-05,4.163127414358314e-06
4,9.196464385017753,0.1141249999962747,0.11979374997565173,0.3,-0.18020625002434826,-0.6006874800582449,-0.6006874800582449,0.11275516450405121,0.0,0.0,False,-1.2014027106488356e-08,218.26812744140625,0.35233721137046814,-6.904082283654134e-07,0.0,0.05,9.281203347200062e-06,0.8,0.0,0.0,0.0009108285885304213,0.0007471141871064901,0.00017251200915779918,-1.770019508740006e-07,0.9999996423721313,4.93721342086792,node_conditioned,22,False,False,True,-2.9257545471191406,0.3246495723724365,0.11602365225553513,0.17932011187076569,0.07585473358631134,2.813913106918335,-17.76458168029785,3.0156779289245605,0.12933409407196483,-3.1672964096069336,0.13392773270606995,0.0,0.0,0.0,0.0009108285885304213,0.0,0.0,100,0.2,0.1625,0.0,980,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.11275516450405121,2.2432652258430608e-05,0.0,mpnn,5,4,16,mean_max,32,37,392000,disabled_zero_placeholder,normalized_version_gap_with_gain,,3920.0,0.4664655327796936,0.4664655327796936,0.37043577432632446,,,,,0.5,0.0,,,,0.11275516450405121,2.2432652258430608e-05,0.11254584789276123,0.11273255944252014,0.11275377869606018,0.11278179287910461,0.11283260583877563,1.8131182514480315e-05,2.2432652258430608e-05,6.5143676692969166e-06
5,10.377429552450776,0.11319999997969717,0.11649687497767444,0.3,-0.18350312502232555,-0.6116770630185164,-0.6116770630185164,0.11282254755496979,0.0,0.0,False,5.956902100479056e-07,280.1669921875,0.3524632453918457,-1.695739086926551e-07,0.0,0.05,1.3378647054196335e-05,0.8,0.0,0.0,0.00036992758396081626,0.00039612327236682177,0.00022170398733578622,-1.2207030941624453e-08,0.9999997019767761,4.523656845092773,node_conditioned,22,False,False,True,-3.4481453895568848,0.37481504678726196,0.13109859824180603,0.20365029573440552,0.08200868964195251,3.48531174659729,-20.169321060180664,3.734829902648926,0.1291535208111425,-3.567927837371826,0.11589081585407257,0.0,0.0,0.0,0.00036992758396081626,0.0,0.0,100,0.2,0.1625,0.0,998,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.11282254755496979,2.737575960054528e-05,0.0,mpnn,5,4,16,mean_max,32,37,399200,disabled_zero_placeholder,normalized_version_gap_with_gain,,3992.0,0.43964216113090515,0.43964216113090515,0.35441040992736816,,,,,0.5,0.0,,,,0.11282254755496979,2.737575960054528e-05,0.11256110668182373,0.1127953827381134,0.1128208339214325,0.11285480856895447,0.11292058229446411,2.185980338254012e-05,2.737575960054528e-05,7.918870323919691e-06
6,10.817206070572137,0.11692500012461096,0.1167109375511427,0.3,-0.1832890624488573,-0.6109635211307403,-0.6109635211307403,0.1128740981221199,0.0,0.0,False,-3.23528001899831e-06,310.1211853027344,0.3526398539543152,-3.2535110676690238e-06,0.0,0.05,2.0377407054184005e-05,0.8,0.0,0.0,0.0038717074785381556,0.003613095497712493,0.00025954825105145574,1.2207030941624453e-08,0.9999997615814209,3.687804937362671,node_conditioned,22,False,False,True,-3.930110454559326,0.4732103645801544,0.1436454802751541,0.2286045402288437,0.08815619349479675,4.413997173309326,-21.35356903076172,4.761226654052734,0.1405385511686399,-4.106145858764648,0.14270970225334167,0.0,0.0,0.0,0.0038717074785381556,0.0,0.0,100,0.2,0.1725,0.0,1054,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.1128740981221199,3.275957715231925e-05,0.0,mpnn,5,4,16,mean_max,32,37,421600,disabled_zero_placeholder,normalized_version_gap_with_gain,,4216.0,0.44164592027664185,0.44164592027664185,0.35424718260765076,,,,,0.5,0.0,,,,0.1128740981221199,3.275957715231925e-05,0.11257064342498779,0.11284253001213074,0.11287155747413635,0.11291337013244629,0.11298754811286926,2.667711851245258e-05,3.275957715231925e-05,8.993432857096195e-06
7,9.303705314621329,0.11287499956786633,0.11479296855950452,0.3,-0.18520703144049547,-0.6173567508897599,-0.6173567508897599,0.11298815906047821,0.0,0.0,False,1.080449010260054e-06,218.75537109375,0.35290610790252686,5.0358845982145795e-08,0.0,0.05,3.369394107721746e-05,0.8,0.0,0.0,0.0008105204324238002,0.0007008158136159182,0.00034822020097635686,-2.19726558725597e-07,0.9999997615814209,4.3230180740356445,node_conditioned,22,False,False,True,-4.311328411102295,0.4783092141151428,0.15145160257816315,0.23613643646240234,0.09879326075315475,3.2223727703094482,-19.129030227661133,3.5438497066497803,0.17319903808962744,-4.510265350341797,0.12703296542167664,0.0,0.0,0.0,0.0008105204324238002,0.0,0.0,100,0.2,0.145,0.0,1084,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.11298815906047821,4.587084913509898e-05,0.0,mpnn,5,4,16,mean_max,32,37,433600,disabled_zero_placeholder,normalized_version_gap_with_gain,,4336.0,0.495017409324646,0.495017409324646,0.38942551612854004,,,,,0.5,0.0,,,,0.11298815906047821,4.587084913509898e-05,0.1125887930393219,0.11294317245483398,0.11298295855522156,0.11304715275764465,0.11313840746879578,3.8627949834335595e-05,4.587084913509898e-05,1.1549779628694523e-05
8,10.55190201472491,0.11362499983515591,0.11420898419733022,0.3,-0.18579101580266977,-0.6193033653654537,-0.6193033653654537,0.11310593038797379,0.0,0.0,False,2.1991488665662473e-06,282.2508850097656,0.3530614376068115,-3.6037451422998856e-07,0.0,0.05,4.300641376175918e-05,0.8,0.0,0.0,0.00047303593601100147,0.0008926789741963148,0.0004441553319338709,2.3803710291758762e-07,0.9999997019767761,4.275061130523682,node_conditioned,22,False,False,True,-4.92229700088501,0.5485697984695435,0.1651802957057953,0.2806030213832855,0.10645131021738052,3.698948621749878,-21.729816436767578,4.052281379699707,0.16678438836592302,-5.263597011566162,0.15053564310073853,0.0,0.0,0.0,0.00047303593601100147,0.0,0.0,100,0.2,0.1525,0.0,908,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.11310593038797379,5.7687462685862556e-05,0.0,mpnn,5,4,16,mean_max,32,37,363200,disabled_zero_placeholder,normalized_version_gap_with_gain,,3632.0,0.4207906723022461,0.4207906723022461,0.3319830000400543,,,,,0.5,0.0,,,,0.11310593038797379,5.7687462685862556e-05,0.11260578036308289,0.11304789781570435,0.11310333013534546,0.11317473649978638,0.1133016049861908,4.835762592847459e-05,5.7687462685862556e-05,1.5247362171066925e-05
9,11.563933325894176,0.11320000005885959,0.11370449212809491,0.3,-0.18629550787190507,-0.6209850055401834,-0.6209850055401834,0.11316076666116714,0.0,0.0,False,1.6531082565052202e-06,340.3338623046875,0.3531443774700165,-3.443993534801848e-08,0.0,0.05,4.844302384299226e-05,0.8,0.0,0.0,0.0013934088638052344,0.0009201736538670957,0.00048816052731126547,1.1596679883041361e-07,0.9999997615814209,4.039849758148193,node_conditioned,22,False,False,True,-5.567190647125244,0.641215980052948,0.18136753141880035,0.29682430624961853,0.11352614313364029,4.325673580169678,-23.97890853881836,4.788656711578369,0.18401904253907841,-5.731497764587402,0.15594622492790222,0.0,0.0,0.0,0.0013934088638052344,0.0,0.0,100,0.2,0.155,0.0,922,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.11316076666116714,6.551482510985807e-05,0.0,mpnn,5,4,16,mean_max,32,37,368800,disabled_zero_placeholder,normalized_version_gap_with_gain,,3688.0,0.4101778268814087,0.4101778268814087,0.33044615387916565,,,,,0.5,0.0,,,,0.11316076666116714,6.551482510985807e-05,0.11260984092950821,0.1130962073802948,0.11315557360649109,0.11324143409729004,0.1133975088596344,5.565688115893863e-05,6.551482510985807e-05,1.4690366697323043e-05
