episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,edge_freshness_feature,version_gap_tau,mean_directed_degree,mean_edge_freshness_feature,mean_neighbor_freshness_gain,mean_neighbor_version_gap_normalized,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,attention_temperature,attention_uniform_mix,attention_entropy_mean,attention_effective_degree_mean,attention_max_weight_mean,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,9.504630521722138,0.09974999994505197,0.099874999972526,0.1,-0.0001250000274740093,-0.001250000149740078,-0.001250000149740078,0.09999994933605194,0.0,0.0,False,-1.114739575314161e-06,246.0927734375,0.32527071237564087,3.9034151200212364e-07,0.0,0.05,9.038748771672545e-07,0.8,5.856721827512956e-07,0.0008545990567654371,0.0013421844923868775,0.0013421844923868775,0.0,-2.685546860448085e-07,0.9999997615814209,4.188090801239014,node_conditioned,22,False,False,True,-1.2036665678024292,0.1407116800546646,0.07852480560541153,0.11450900137424469,0.05626634135842323,3.5296974182128906,-16.809186935424805,3.6089346408843994,0.04342962622621305,-1.2381688356399536,0.07241372764110565,0.0,0.0,0.0,0.0013421844923868775,0.0,0.0,100,0.2,0.1325,0.0,1002,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.09999994933605194,1.7943374786000277e-08,0.0,mpnn,5,4,16,mean_max,32,37,400800,disabled_zero_placeholder,normalized_version_gap_with_gain,,4008.0,0.45996570587158203,0.45996570587158203,0.3633788228034973,,,,,0.5,0.0,,,,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.09999996423721313,0.09999996423721313,0.09999996423721313,0.10000000149011612,1.5269147723984133e-08,1.7943374786000277e-08,2.2351741790771484e-08
1,10.266689654253423,0.0971499999659136,0.09851249996921979,0.1,-0.0014875000307802144,-0.014874998820302262,-0.014874998820302262,0.10011070221662521,0.0,0.0,False,3.214204298274126e-07,288.09423828125,0.3252682387828827,-9.117567856264941e-07,0.0,0.05,8.802911111160938e-07,0.8,5.703746523977316e-07,0.000842785753775388,0.0012444208841770887,0.002372223883867264,8.155353862093762e-05,-2.19726558725597e-07,0.9999997019767761,3.943539619445801,node_conditioned,22,False,False,True,-1.6440074443817139,0.19202816486358643,0.08524597436189651,0.13343071937561035,0.06101807579398155,4.038442134857178,-18.461393356323242,4.154055118560791,0.054888222932398256,-1.6937423944473267,0.07964011281728745,0.0,0.0,0.0,0.0012444208841770887,0.0,0.0,100,0.2,0.13,0.0,1006,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10011070221662521,8.394863471039571e-06,0.0,mpnn,5,4,16,mean_max,32,37,402400,disabled_zero_placeholder,normalized_version_gap_with_gain,,4024.0,0.46819061040878296,0.46819061040878296,0.3710649311542511,,,,,0.5,0.0,,,,0.10011070221662521,8.394863471039571e-06,0.10001590847969055,0.10010352730751038,0.10011032223701477,0.10012015700340271,0.1001473069190979,6.246726115932688e-06,8.394863471039571e-06,1.981481318580336e-06
2,10.723394972421229,0.10045000007376075,0.09948125002149028,0.1,-0.0005187499785097305,-0.005187499266347378,-0.005187499266347378,0.10006605088710785,0.0,0.0,False,6.874543032608926e-07,310.95989990234375,0.32515785098075867,9.200386585916931e-08,0.0,0.05,1.4571045880984457e-07,0.8,9.423128943808479e-08,0.00034071109257638454,0.0012502196477726102,0.0005959103582426906,4.791133324033581e-05,5.493163968139925e-08,0.9999998211860657,4.178144454956055,node_conditioned,22,False,False,True,-2.0896499156951904,0.24547791481018066,0.09035741537809372,0.1545969843864441,0.06420546025037766,3.968076467514038,-19.61433219909668,4.134101867675781,0.07870715095397329,-2.1490886211395264,0.07802104204893112,0.0,0.0,0.0,0.0012502196477726102,0.0,0.0,100,0.2,0.145,0.0,1022,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10006605088710785,1.0187401130679063e-05,0.0,mpnn,5,4,16,mean_max,32,37,408800,disabled_zero_placeholder,normalized_version_gap_with_gain,,4088.0,0.45498785376548767,0.45498785376548767,0.3664751350879669,,,,,0.5,0.0,,,,0.10006605088710785,1.0187401130679063e-05,0.10000190138816833,0.10004821419715881,0.10006871819496155,0.10007569193840027,0.10008808970451355,8.577219887229148e-06,1.0187401130679063e-05,1.4403550494535011e-06
3,10.347299476712942,0.10202500002458692,0.1007531250230386,0.1,0.0007531250230385922,0.007531249477260974,0.007531249477260974,0.1000303253531456,0.0,7.531249477260974e-05,False,7.301822080307829e-08,285.06689453125,0.32516059279441833,-9.70343094763848e-08,0.0,0.05,1.5738903869078058e-07,0.8,1.0176986364740515e-07,0.0003542558988556266,0.001164776273071766,0.0008699207101017237,2.1805664800922386e-05,-1.2207031829802872e-07,0.9999997019767761,4.343453407287598,node_conditioned,22,False,False,True,-2.5298094749450684,0.2932874262332916,0.10606619715690613,0.16157867014408112,0.07261232286691666,3.679386854171753,-19.352462768554688,3.8704988956451416,0.09631531282845796,-2.6112658977508545,0.10291916131973267,0.0,0.0,0.0,0.001164776273071766,0.0,0.0,100,0.2,0.1475,0.0,938,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.1000303253531456,1.1701147741405293e-05,0.0,mpnn,5,4,16,mean_max,32,37,375200,disabled_zero_placeholder,normalized_version_gap_with_gain,,3752.0,0.4516065716743469,0.4516065716743469,0.35506734251976013,,,,,0.5,0.0,,,,0.1000303253531456,1.1701147741405293e-05,0.09998190402984619,0.10000842809677124,0.10003530979156494,0.10003945231437683,0.10004675388336182,1.0350310731155332e-05,1.1701147741405293e-05,1.735295882099308e-06
4,9.033037366569042,0.10122499999590218,0.10098906250947039,0.1,0.0009890625094703814,0.009890624105641404,0.009890624105641404,0.10004092752933502,7.531249477260974e-05,0.00017421873582902376,False,7.773260790600034e-08,209.2678680419922,0.32521674036979675,-2.6923791551780596e-07,0.0,0.05,4.614169313299499e-07,0.8,2.9880240504098765e-07,0.0006091132527217269,0.0009002218721434474,0.0005181885790079832,2.923949978139717e-05,1.525878978725359e-08,0.9999995827674866,5.173933029174805,node_conditioned,22,False,False,True,-2.9113693237304688,0.3239860236644745,0.12249627709388733,0.17844268679618835,0.08145948499441147,2.5612266063690186,-17.479782104492188,2.7705233097076416,0.14538123791321356,-3.224391222000122,0.10174994170665741,-8.917525917695457e-08,2.2716238163411617e-05,6.778255192330107e-05,0.0009002218721434474,4.389400601212401e-06,0.004875855584585404,100,0.2,0.14,0.0,980,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10004092752933502,8.531375897291582e-06,0.0,mpnn,5,4,16,mean_max,32,37,392000,disabled_zero_placeholder,normalized_version_gap_with_gain,,3920.0,0.46697157621383667,0.46697157621383667,0.3669198751449585,,,,,0.5,0.0,,,,0.10004092752933502,8.531375897291582e-06,0.09997612237930298,0.10002729296684265,0.1000434160232544,0.10004854202270508,0.10005837678909302,6.885305992909707e-06,8.531375897291582e-06,1.1597462616919074e-06
5,10.311628567501902,0.10017500010784715,0.10058203130865877,0.1,0.000582031308658762,0.005820312504556369,0.005820312504556369,0.10006838291883469,0.00017421873582902376,0.00023242186087458745,False,1.664290607550356e-07,276.5679931640625,0.3252386450767517,-3.033969520060964e-08,0.0,0.05,6.234001261873345e-07,0.8,4.038137433326483e-07,0.000708527397364378,0.0003928012738469988,0.001008461113087833,4.87060024170205e-05,1.8310547034161573e-07,0.9999997615814209,4.495900630950928,node_conditioned,22,False,False,True,-3.4342851638793945,0.37851059436798096,0.13572916388511658,0.19682250916957855,0.08867742866277695,3.478562593460083,-20.047927856445312,3.7327005863189697,0.13153290664263761,-3.5780861377716064,0.1170361191034317,-1.8574034754692548e-08,5.230624446994625e-05,0.0001567978470120579,0.0003928012738469988,1.0052168363472447e-05,0.025590325514404145,100,0.2,0.14,0.0,998,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10006838291883469,7.979881047504023e-06,0.0,mpnn,5,4,16,mean_max,32,37,399200,disabled_zero_placeholder,normalized_version_gap_with_gain,,3992.0,0.44362133741378784,0.44362133741378784,0.3544791042804718,,,,,0.5,0.0,,,,0.10006838291883469,7.979881047504023e-06,0.0999940037727356,0.10005822777748108,0.1000690832734108,0.10007691383361816,0.10008703917264938,5.620043793896912e-06,7.979881047504023e-06,1.2988718935957877e-06
6,10.40164392605424,0.10367500000167638,0.10212851565516758,0.1,0.0021285156551675705,0.02128515442316026,0.02128515442316026,0.1000666618347168,0.00023242186087458745,0.00044527340510619007,False,-3.7602643487844034e-07,284.1891784667969,0.3252895474433899,-1.1238930710533168e-06,0.0,0.05,1.0963453860313166e-06,0.8,7.105136887730623e-07,0.0009402771247550845,0.0037017641589045525,0.0030339891090989113,4.726687984657474e-05,2.9296876391526894e-07,0.9999997615814209,3.8478405475616455,node_conditioned,22,False,False,True,-3.889326572418213,0.46208757162094116,0.14895443618297577,0.22461192309856415,0.0965389609336853,4.058020114898682,-20.622848510742188,4.387141227722168,0.14441110597089424,-4.1193623542785645,0.15309488773345947,-8.386562626583327e-07,7.085110701154917e-05,0.00020918120571877807,0.0037017641589045525,1.3766237316303886e-05,0.0037188214962248427,100,0.2,0.1625,0.01,1054,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.1000666618347168,7.72704242990585e-06,0.0,mpnn,5,4,16,mean_max,32,37,421600,disabled_zero_placeholder,normalized_version_gap_with_gain,,4216.0,0.4504281282424927,0.4504281282424927,0.35990679264068604,,,,,0.5,0.0,,,,0.1000666618347168,7.72704242990585e-06,0.09999299049377441,0.10005748271942139,0.10006678104400635,0.10007542371749878,0.10008785128593445,5.664129730575951e-06,7.72704242990585e-06,1.3829143199473037e-06
7,9.527231301739812,0.10067499987781048,0.10140175776648902,0.1,0.0014017577664890146,0.01401757626313252,0.01401757626313252,0.10011140257120132,0.00044527340510619007,0.0005854491677375153,False,1.528349002910545e-06,230.4821014404297,0.3254091441631317,-3.4143869243052904e-07,0.0,0.05,2.729627112785238e-06,0.8,1.770285621205403e-06,0.0014848790597170591,0.0011452739126980305,0.000990908476524055,7.964209362398833e-05,-2.0751953400122147e-07,0.9999997615814209,4.277395248413086,node_conditioned,22,False,False,True,-4.321915149688721,0.4865400791168213,0.15555359423160553,0.23056508600711823,0.10312318801879883,3.359767198562622,-19.50798988342285,3.685450792312622,0.16893087949730656,-4.41670036315918,0.12647604942321777,-2.509525813820801e-07,0.0001339818409178406,0.00040074557182379067,0.0011452739126980305,2.5904653739416972e-05,0.022618543273162244,100,0.2,0.1325,0.0,1084,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10011140257120132,1.0405423381598666e-05,0.0,mpnn,5,4,16,mean_max,32,37,433600,disabled_zero_placeholder,normalized_version_gap_with_gain,,4336.0,0.47777703404426575,0.47777703404426575,0.37795254588127136,,,,,0.5,0.0,,,,0.10011140257120132,1.0405423381598666e-05,0.10000079870223999,0.10010212659835815,0.10011056065559387,0.10012385249137878,0.10014316439628601,7.483668014174327e-06,1.0405423381598666e-05,1.8639985910340329e-06
8,10.17630202319473,0.09992500012274831,0.10066337894461866,0.1,0.0006633789446186533,0.006633788782807655,0.006633788782807655,0.10015631467103958,0.0005854491677375153,0.0006517870555655919,False,1.6695134945621248e-06,259.0959167480469,0.3254249393939972,-8.028541031990244e-08,0.0,0.05,3.001352524734102e-06,0.8,1.9466920093691442e-06,0.0015569293173030019,0.0003703652764670551,0.0015219819033518434,0.00011259596794843674,3.540039017480012e-07,0.9999997019767761,4.767465114593506,node_conditioned,22,False,False,True,-4.877089500427246,0.5390039086341858,0.17634157836437225,0.278247594833374,0.11360649019479752,3.182490825653076,-21.059206008911133,3.525048017501831,0.1849125154003055,-5.254369735717773,0.14972399175167084,1.3541797727611993e-07,0.00017557614773977548,0.0005269022658467293,0.0003703652764670551,3.4062675695167854e-05,0.09196800612634233,100,0.2,0.1375,0.0,908,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10015631467103958,1.3636019502882846e-05,0.0,mpnn,5,4,16,mean_max,32,37,363200,disabled_zero_placeholder,normalized_version_gap_with_gain,,3632.0,0.43342310190200806,0.43342310190200806,0.33915406465530396,,,,,0.5,0.0,,,,0.10015631467103958,1.3636019502882846e-05,0.10000213980674744,0.10014340281486511,0.1001574695110321,0.10016939043998718,0.10019505023956299,9.626728569855914e-06,1.3636019502882846e-05,3.1293432130041765e-06
9,11.332600769586861,0.10062499972991645,0.10064418933726756,0.1,0.0006441893372675506,0.0064418927284862326,0.0064418927284862326,0.10014884918928146,0.0006517870555655919,0.0007162059828504542,False,1.998422931137611e-06,326.5787048339844,0.3253653943538666,3.771260281837385e-08,0.0,0.05,2.0487443634920055e-06,0.8,1.3283587350088055e-06,0.0012859322596341372,0.0010682588908821344,0.0004877312749158591,0.00010619032400427386,1.5258788721439487e-07,0.9999997615814209,4.053701877593994,node_conditioned,22,False,False,True,-5.516154766082764,0.6377207636833191,0.18522655963897705,0.29811498522758484,0.11755384504795074,4.206368923187256,-23.547080993652344,4.650412559509277,0.18185228184096158,-5.721675872802734,0.16519534587860107,-3.103473318333272e-07,0.0001960780646186322,0.0005866130813956261,0.0010682588908821344,3.778497193707153e-05,0.03537028201380103,100,0.2,0.13,0.0,922,no_curvature_stage2_mpnn_v1,False,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,,,,,,,,,,,,,,,,0.10014884918928146,1.6847681763465516e-05,0.0,mpnn,5,4,16,mean_max,32,37,368800,disabled_zero_placeholder,normalized_version_gap_with_gain,,3688.0,0.41470351815223694,0.41470351815223694,0.3305085003376007,,,,,0.5,0.0,,,,0.10014884918928146,1.6847681763465516e-05,0.09999242424964905,0.10013341903686523,0.10014745593070984,0.10016906261444092,0.10020357370376587,1.3463967661664356e-05,1.6847681763465516e-05,3.342861191413249e-06
