episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,edge_freshness_feature,version_gap_tau,mean_directed_degree,mean_edge_freshness_feature,mean_neighbor_freshness_gain,mean_neighbor_version_gap_normalized,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,attention_temperature,attention_uniform_mix,attention_entropy_mean,attention_effective_degree_mean,attention_max_weight_mean,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,9.264413886778057,0.09647499986924231,0.19823749993462114,0.3,-0.10176250006537885,-0.3392083222443188,-0.3392083222443188,0.09662904590368271,0.0,0.0,False,-1.6280124327749945e-05,235.01171875,0.3137595057487488,1.5821539136595675e-06,0.0,0.05,3.401665162527934e-05,0.8,0.0,0.0,0.012827175669372082,0.012827175669372082,0.0,3.295898522992502e-07,0.9999997019767761,4.371524810791016,node_conditioned,25,True,True,False,0.1069842055439949,0.10485962778329849,0.09705904126167297,0.1291414052248001,0.06495699286460876,3.3309078216552734,-15.29039192199707,3.3148279190063477,-0.009725266967925972,0.056675251573324203,0.09482809156179428,0.0,0.0,0.0,0.012827175669372082,0.0,0.0,100,0.2,0.1975,0.0,1002,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.09662904590368271,0.030371293425559998,0.0,mpnn,7,4,16,curvature_attention_max,32,40,400800,none,normalized_version_gap_with_gain,,4008.0,0.47055676579475403,0.47055676579475403,0.37670931220054626,,,,,0.5,0.0,,,,0.09662904590368271,0.030371293425559998,0.05871915817260742,0.05871915817260742,0.09158152341842651,0.141914963722229,0.17157936096191406,0.030371299013495445,0.030371293425559998,0.030371027067303658
1,9.788544691614806,0.09490000004880131,0.1465687499917112,0.3,-0.15343125000828878,-0.5114374829797131,-0.5114374829797131,0.09750933945178986,0.0,0.0,False,5.301594683260191e-06,260.7096862792969,0.3142056167125702,1.895068180601811e-06,0.0,0.05,6.965493957977742e-05,0.8,0.0,0.0,0.009468297474086285,0.01271762140095234,0.003256541909649968,-1.2207030941624453e-08,0.9999997615814209,4.355762004852295,node_conditioned,25,True,True,False,-0.4719056189060211,0.09629116952419281,0.08481457829475403,0.11769399791955948,0.05583156645298004,3.48382568359375,-16.6583194732666,3.509568452835083,0.014616136100366828,-0.4997834265232086,0.06859003752470016,0.0,0.0,0.0,0.009468297474086285,0.0,0.0,100,0.2,0.1875,0.0,1006,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.09750933945178986,0.0320989154279232,0.0,mpnn,7,4,16,curvature_attention_max,32,40,402400,none,normalized_version_gap_with_gain,,4024.0,0.47602924704551697,0.47602924704551697,0.37964949011802673,,,,,0.5,0.0,,,,0.09750933945178986,0.0320989154279232,0.058762431144714355,0.059054750204086306,0.09182792901992798,0.1369732975959778,0.17373186349868774,0.032098911702632904,0.0320989154279232,0.0320989154279232
2,10.3326563135162,0.09589999999385328,0.12123437499278225,0.3,-0.17876562500721774,-0.5958853968278792,-0.5958853968278792,0.09625460207462311,0.0,0.0,False,3.3339229048579e-06,291.7650146484375,0.31473901867866516,-1.6811368652724923e-07,0.0,0.05,8.376829646294937e-05,0.8,0.0,0.0,0.01561091747134924,0.01115567609667778,0.004469794686883688,-1.5258788721439487e-07,0.9999998211860657,3.9974398612976074,node_conditioned,25,True,True,False,-1.0201728343963623,0.12324033677577972,0.07855267822742462,0.1096947118639946,0.05317045375704765,4.00205659866333,-18.04643440246582,4.071690559387207,0.03391143288336995,-1.0336463451385498,0.08238670974969864,0.0,0.0,0.0,0.01561091747134924,0.0,0.0,100,0.2,0.175,0.0,1022,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.09625460207462311,0.018985390663146973,0.0,mpnn,7,4,16,curvature_attention_max,32,40,408800,none,normalized_version_gap_with_gain,,4088.0,0.45689496397972107,0.45689496397972107,0.3661904036998749,,,,,0.5,0.0,,,,0.09625460207462311,0.018985390663146973,0.058924973011016846,0.07220711931586266,0.09534931182861328,0.12267658114433289,0.13436555862426758,0.018985385075211525,0.018985390663146973,0.018985379487276077
3,9.852408335991203,0.09747499986551703,0.10935468742914964,0.3,-0.19064531257085035,-0.635484354053356,-0.635484354053356,0.09508917480707169,0.0,0.0,False,8.166266525222454e-07,258.00360107421875,0.31071412563323975,-5.133554168423871e-06,0.0,0.05,0.00010300245776306838,0.8,0.0,0.0,0.009402573108673096,0.005946585442870855,0.0034753417130559683,-2.4414061883248905e-08,0.9999997615814209,4.571445465087891,node_conditioned,25,True,True,False,-1.5717275142669678,0.15986476838588715,0.07358887046575546,0.10908376425504684,0.051570311188697815,3.2671022415161133,-17.706022262573242,3.367455244064331,0.05871346796216448,-1.6908516883850098,0.06959371268749237,0.0,0.0,0.0,0.009402573108673096,0.0,0.0,100,0.2,0.2,0.0,938,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.09508917480707169,0.025892864912748337,0.0,mpnn,7,4,16,curvature_attention_max,32,40,375200,none,normalized_version_gap_with_gain,,3752.0,0.4599132835865021,0.4599132835865021,0.3621268570423126,,,,,0.5,0.0,,,,0.09508917480707169,0.025892864912748337,0.058751970529556274,0.0588937371969223,0.09224018454551697,0.12723797857761382,0.1725926697254181,0.025892863050103188,0.025892864912748337,0.025892850011587143
4,8.7910437098518,0.09862500003073364,0.10398984372994163,0.3,-0.19601015627005836,-0.6533671657879557,-0.6533671657879557,0.09702396392822266,0.0,0.0,False,5.798750862595625e-06,200.3740692138672,0.31621697545051575,-6.480661795649212e-06,0.0,0.05,0.0001975179766304791,0.8,0.0,0.0,0.007615253794938326,0.002262083813548088,0.005457653198391199,3.479003964912408e-07,0.9999996423721313,4.822554111480713,node_conditioned,25,True,True,False,-2.056433916091919,0.19110146164894104,0.07469706237316132,0.11382854729890823,0.054732128977775574,2.836225748062134,-16.333669662475586,2.952620029449463,0.07728742015356027,-2.096911668777466,0.09525895118713379,0.0,0.0,0.0,0.007615253794938326,0.0,0.0,100,0.2,0.1625,0.0,980,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.09702396392822266,0.021699795499444008,0.0,mpnn,7,4,16,curvature_attention_max,32,40,392000,none,normalized_version_gap_with_gain,,3920.0,0.48284199833869934,0.48284199833869934,0.3799915015697479,,,,,0.5,0.0,,,,0.09702396392822266,0.021699795499444008,0.05876648426055908,0.06895220577716857,0.09862145781517029,0.13141778409481047,0.1377364695072174,0.02169978804886341,0.021699795499444008,0.021699778735637665
5,10.170511859729887,0.09490000011399388,0.09944492192196776,0.3,-0.20055507807803225,-0.6685169046428774,-0.6685169046428774,0.09457308053970337,0.0,0.0,False,1.1157538210682105e-05,269.2138366699219,0.309296190738678,5.8477464648376554e-08,0.0,0.05,0.00021631481649819762,0.8,0.0,0.0,0.0012829637853428721,0.007478269748389721,0.006316869519650936,-2.19726558725597e-07,0.9999996423721313,4.493515968322754,node_conditioned,25,True,True,False,-2.6734116077423096,0.25216802954673767,0.0810932070016861,0.124163918197155,0.05723508819937706,3.419025182723999,-19.161291122436523,3.5827739238739014,0.0893200301333662,-2.818354606628418,0.07185423374176025,0.0,0.0,0.0,0.0012829637853428721,0.0,0.0,100,0.2,0.18,0.0,998,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.09457308053970337,0.02585940808057785,0.0,mpnn,7,4,16,curvature_attention_max,32,40,399200,none,normalized_version_gap_with_gain,,3992.0,0.4300108850002289,0.4300108850002289,0.3476909399032593,,,,,0.5,0.0,,,,0.09457308053970337,0.02585940808057785,0.05878406763076782,0.05905159413814545,0.09266647696495056,0.12972454428672475,0.17576521635055542,0.025859398767352104,0.02585940808057785,0.02585938386619091
6,9.398331306837498,0.09407499993685633,0.09675996092941205,0.3,-0.20324003907058794,-0.677466774319734,-0.677466774319734,0.09367553889751434,0.0,0.0,False,8.417042408837005e-06,226.30982971191406,0.3076379895210266,5.753228720095649e-07,0.0,0.05,0.00025794043904170394,0.8,0.0,0.0,0.018573418259620667,0.011649436317384243,0.006936982739716768,4.882812376649781e-08,0.9999997019767761,4.388967514038086,node_conditioned,25,True,True,False,-3.1933538913726807,0.3182918429374695,0.08740224689245224,0.1216680184006691,0.06119011715054512,3.2219839096069336,-18.3399600982666,3.4452507495880127,0.12540885593583861,-3.385591745376587,0.10325741767883301,0.0,0.0,0.0,0.018573418259620667,0.0,0.0,100,0.2,0.2,0.0,1054,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.09367553889751434,0.02487839385867119,0.0,mpnn,7,4,16,curvature_attention_max,32,40,421600,none,normalized_version_gap_with_gain,,4216.0,0.4688926041126251,0.4688926041126251,0.37525811791419983,,,,,0.5,0.0,,,,0.09367553889751434,0.02487839385867119,0.058773696422576904,0.0641053259372712,0.09027336537837982,0.12333388328552246,0.17472058534622192,0.024878384545445442,0.02487839385867119,0.02487836964428425
7,9.096771709546447,0.10029999995604158,0.09852998044272682,0.3,-0.20147001955727317,-0.6715667094720202,-0.6715667094720202,0.10008690506219864,0.0,0.0,False,2.1395338990259916e-05,209.0707550048828,0.32230716943740845,9.247269616707854e-08,0.0,0.05,0.00043718412052839994,0.8,0.0,0.0,0.0013650304172188044,0.011407842859625816,0.01162068359553814,-7.324219097881723e-08,0.9999997019767761,4.195896625518799,node_conditioned,25,True,True,False,-3.780768632888794,0.3769957423210144,0.09338068217039108,0.12356371432542801,0.06523129343986511,3.2844717502593994,-18.32279396057129,3.5434980392456055,0.14085465274828124,-3.8854196071624756,0.09935387969017029,0.0,0.0,0.0,0.0013650304172188044,0.0,0.0,100,0.2,0.17,0.0,1084,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.10008690506219864,0.02351102977991104,0.0,mpnn,7,4,16,curvature_attention_max,32,40,433600,none,normalized_version_gap_with_gain,,4336.0,0.4890870153903961,0.4890870153903961,0.3862228989601135,,,,,0.5,0.0,,,,0.10008690506219864,0.02351102977991104,0.05877453088760376,0.06691775768995292,0.10062700510025024,0.12887113392352925,0.1751309037208557,0.0235110092908144,0.02351102977991104,0.02351098135113716
8,9.02031768027693,0.09520000000484288,0.09686499022378485,0.3,-0.20313500977621513,-0.6771166766834945,-0.6771166766834945,0.09560743719339371,0.0,0.0,False,1.3062710422673263e-05,197.97132873535156,0.311261922121048,-2.2917082276308065e-07,0.0,0.05,0.0002300042106071487,0.8,0.0,0.0,0.008897189982235432,0.0019586379639804363,0.007015842013061047,-7.324219097881723e-08,0.9999995827674866,5.3597798347473145,node_conditioned,25,True,True,False,-4.373780250549316,0.41103804111480713,0.10446777939796448,0.14857138693332672,0.06882816553115845,2.4737651348114014,-18.68647003173828,2.732410430908203,0.18035644164335862,-4.72254753112793,0.10257995128631592,0.0,0.0,0.0,0.008897189982235432,0.0,0.0,100,0.2,0.19,0.0,908,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.09560743719339371,0.026819517835974693,0.0,mpnn,7,4,16,curvature_attention_max,32,40,363200,none,normalized_version_gap_with_gain,,3632.0,0.4631894826889038,0.4631894826889038,0.3643011748790741,,,,,0.5,0.0,,,,0.09560743719339371,0.026819517835974693,0.05877557396888733,0.06747033894062042,0.09107349812984467,0.126079535484299,0.1757303774356842,0.02681950107216835,0.026819517835974693,0.026819484308362007
9,9.851398262567818,0.09332500013057142,0.09509499517717813,0.3,-0.20490500482282187,-0.6830166599755176,-0.6830166599755176,0.09338164329528809,0.0,0.0,False,9.532561307423748e-06,237.83140563964844,0.30656898021698,-6.931936269438665e-08,0.0,0.05,0.00020676449639722705,0.8,0.0,0.0,0.011005112901329994,0.005269377958029509,0.005757912993431091,-8.544921570319275e-08,0.9999996423721313,4.859209060668945,node_conditioned,25,True,True,False,-5.070436954498291,0.5172695517539978,0.11849234253168106,0.17713461816310883,0.07289059460163116,2.975120782852173,-20.68418312072754,3.3248391151428223,0.19930359639777961,-5.490381240844727,0.09865860641002655,0.0,0.0,0.0,0.011005112901329994,0.0,0.0,100,0.2,0.1975,0.0,922,curvature_stage2_mpnn_v3_6_node_curvature,True,,,,,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|node_curvature_score|raw_af3_min_edge_curvature,,,,,,,,,,,,,,,,0.09338164329528809,0.02633332647383213,0.0,mpnn,7,4,16,curvature_attention_max,32,40,368800,none,normalized_version_gap_with_gain,,3688.0,0.45093274116516113,0.45093274116516113,0.3570476174354553,,,,,0.5,0.0,,,,0.09338164329528809,0.02633332647383213,0.05876818299293518,0.06721195578575145,0.08835238218307495,0.1243928596377253,0.17636141180992126,0.026333313435316086,0.02633332647383213,0.026333298534154892
