episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.0722361135482785,0.11662499957252294,0.10831249978626148,0.1,0.008312499786261474,0.08312498955011578,0.08312498955011578,0.11425203830003738,0.0,0.004156249477505789,False,-1.2259931736480212e-06,136.52346801757812,0.34911760687828064,2.4044595647865208e-06,0.0,0.05,1.2369724800009863e-06,0.0006785982986912131,0.0006785982986912131,0.0,2.0751953400122147e-07,0.9999995827674866,4.793162822723389,node_conditioned,25,True,True,False,-0.16295810043811798,0.07264004647731781,0.06653955578804016,0.08840744197368622,0.054295629262924194,2.3232498168945312,-11.84652328491211,2.3141367435455322,-0.007891470889513252,-0.14844685792922974,0.06674200296401978,0.0,0.0,0.0,0.0006785982986912131,0.0,0.0,100,0.2,0.235,0.16,970,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.21430417895317078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11425203830003738,0.035265110433101654,0.9853913506278098,mpnn,5,3,16,mean_max,32,38,388000,none,3880.0,0.47124791145324707,1.0260636806488037,0.10715337842702866,1.5750943422317505,0.12223502993583679,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.07224552631378195,0.10975059866905212,0.1617414951324463,0.21430417895317078,0.03526511788368225,0.035265110433101654,0.03526517003774643
1,7.640410612877458,0.10549999978858977,0.10690624978742563,0.1,0.006906249787425628,0.06906249096800718,0.06906249096800718,0.10521437972784042,0.004156249477505789,0.007609374025906148,False,-1.2118887298129266e-06,158.4003448486328,0.32528436183929443,5.073796955912258e-07,0.0,0.05,7.012225523794768e-06,0.0016441290499642491,0.0018436504760757089,0.00013279651466291398,1.4648438195763447e-07,0.9999995827674866,4.935591697692871,node_conditioned,25,True,True,False,-0.48400887846946716,0.063068687915802,0.05804668366909027,0.07894478738307953,0.047804225236177444,2.400073766708374,-13.075638771057129,2.4017081260681152,0.0013603620581311704,-0.46940380334854126,0.07370947301387787,-1.1870799880853156e-06,0.0012591634877026081,0.003918222617357969,0.0016441290499642491,0.000343644293025136,0.20901169705360892,100,0.2,0.2625,0.17,904,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10535085201263428,0.04750553518533707,0.05736881494522095,0.21430417895317078,-0.0014793005539104342,0.00011858288053190336,-0.002153238281607628,-0.00010833644773811102,-0.0014793005539104342,0.00011858288053190336,0.0014793005539104342,0.0015180325135588646,0.0,1.0,0.0,0.10521437972784042,0.04745226725935936,0.9842799039959053,mpnn,5,3,16,mean_max,32,38,361600,none,3616.0,0.4379282593727112,1.0193794965744019,0.10756605863571167,1.5560743808746338,0.12375582009553909,0.10521437972784042,0.04745226725935936,0.057259589433670044,0.05728965997695923,0.09201709926128387,0.21403130888938904,0.21427395939826965,0.04745226725935936,0.04745226725935936,0.04745225980877876
2,6.647682314552367,0.10124999966472387,0.10407812472607475,0.1,0.004078124726074744,0.04078124318262313,0.0,0.1050761267542839,0.007609374025906148,0.007609374025906148,False,-3.075379936490208e-05,116.82462310791016,0.32754769921302795,-4.864972197538009e-06,0.0,0.05,1.9323419110151008e-05,0.001152600860223174,0.001481305225752294,0.0002847821160685271,2.9296876391526894e-07,0.9999995231628418,5.452716827392578,node_conditioned,25,True,True,False,-0.7734004259109497,0.05455496534705162,0.04896600544452667,0.06077096238732338,0.041275087743997574,1.8760769367218018,-11.640830039978027,1.8797321319580078,0.0038851932457026894,-0.7983211278915405,0.05221522971987724,2.9114418794051744e-05,0.0022718573454767466,0.007174232043325901,0.001152600860223174,0.0006269579753279686,0.543945920487487,100,0.2,0.2575,0.14,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10536124557256699,0.04146726429462433,0.05736881494522095,0.21430417895317078,-0.0030839929822832346,0.0002581816224846989,-0.004308550152927637,-0.00031264315475709736,-0.0030839929822832346,0.0002581816224846989,0.0030839925166219473,0.003197035286575556,0.0,1.0,0.0,0.1050761267542839,0.04137309640645981,0.9836173688181908,mpnn,5,3,16,mean_max,32,38,428000,none,4280.0,0.4734807312488556,1.0423593521118164,0.10759987682104111,1.590936541557312,0.12784188985824585,0.1050761267542839,0.04137309640645981,0.05717155337333679,0.06247088313102722,0.0947374701499939,0.1544507771730259,0.21421563625335693,0.04137308895587921,0.04137309640645981,0.04137309640645981
3,7.6060560545325275,0.10177500001620501,0.10292656237113988,0.1,0.0029265623711398764,0.029265620784836684,0.0,0.10277486592531204,0.007609374025906148,0.007609374025906148,False,-5.5951591093617026e-06,154.63523864746094,0.3236836791038513,-7.244926791827311e-07,0.0,0.05,3.091908001806587e-05,0.0011962470598518848,0.0010243688011541963,0.0004509886493906379,-2.4414063659605745e-07,0.9999995827674866,4.958179473876953,node_conditioned,25,True,True,False,-1.0897222757339478,0.057752761989831924,0.043575383722782135,0.06983107328414917,0.03647743538022041,2.358064889907837,-13.525128364562988,2.374967575073242,0.014183371257949884,-1.1122915744781494,0.04045062139630318,7.608366104250308e-06,0.002280635293573141,0.007175111211836338,0.0011962470598518848,0.0006430157809518278,0.5375230813947657,100,0.2,0.2525,0.14,1058,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1032114028930664,0.037906575947999954,0.05736881494522095,0.21430417895317078,-0.0047951252199709415,0.0003978115855716169,-0.006611695047467947,-0.000518543878570199,-0.0047951252199709415,0.0003978115855716169,0.0047951252199709415,0.004952696152031422,0.0,1.0,0.0,0.10277486592531204,0.03776855766773224,0.9822045469189904,mpnn,5,3,16,mean_max,32,38,423200,none,4232.0,0.4483855068683624,1.037337303161621,0.10801396518945694,1.5816117525100708,0.12607380747795105,0.10277486592531204,0.03776855766773224,0.057038694620132446,0.05711760818958282,0.09664225578308105,0.1493058174848369,0.21412906050682068,0.03776855394244194,0.03776855766773224,0.037768539041280746
4,7.739637882933021,0.10737499956507236,0.10515078096810612,0.1,0.005150780968106117,0.05150780453028071,0.05150780453028071,0.10758788138628006,0.007609374025906148,0.010184764252420184,False,-5.248720071904245e-07,158.9228057861328,0.3343944847583771,2.2159116497277864e-07,0.0,0.05,3.3203730708919466e-05,0.0007347817881964147,0.0006079000886529684,0.0005324484081938863,4.821777110919356e-07,0.9999996423721313,5.028176307678223,node_conditioned,25,True,True,False,-1.381604790687561,0.07055114209651947,0.041181161999702454,0.06299655884504318,0.03472191467881203,2.3620269298553467,-13.998788833618164,2.39039945602417,0.02359780953005397,-1.4624003171920776,0.054869864135980606,1.6199294350371929e-06,0.002338710241019726,0.007175368256866932,0.0007347817881964147,0.0006784177967347205,0.923278958247387,100,0.2,0.275,0.12,940,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10812375694513321,0.03677346929907799,0.05736881494522095,0.21430417895317078,-0.005641387775540352,0.00041550028254278004,-0.0077736214734613895,-0.0008032433106563985,-0.005641387775540352,0.00041550028254278004,0.005641387775540352,0.005788115784525871,0.0,1.0,0.0,0.10758788138628006,0.03661184385418892,0.9871258857759444,mpnn,5,3,16,mean_max,32,38,376000,none,3760.0,0.43711864948272705,1.0253757238388062,0.10568740963935852,1.563808560371399,0.12256404012441635,0.10758788138628006,0.03661184385418892,0.057004958391189575,0.057073503732681274,0.10687729716300964,0.14746481478214263,0.214114248752594,0.036611832678318024,0.03661184385418892,0.03661182522773743
5,7.102472245022654,0.10707499972544611,0.10611289034677612,0.1,0.0061128903467761175,0.06112889735487144,0.06112889735487144,0.1082172840833664,0.010184764252420184,0.013241209120163756,False,-1.0879009096242953e-05,131.4894256591797,0.3365023732185364,1.1233817787115186e-07,0.0,0.05,3.48612193192821e-05,0.0009259614162147045,0.0011639269068837166,0.0005437468062154949,2.3193359766082722e-07,0.9999995231628418,4.9865593910217285,node_conditioned,25,True,True,False,-1.6765965223312378,0.08071046322584152,0.041900500655174255,0.054908424615859985,0.03484572470188141,2.161057233810425,-13.174958229064941,2.2006676197052,0.03567453786895747,-1.6941004991531372,0.04049181193113327,1.1633917893050238e-05,0.003128353739157319,0.009604251012206078,0.0009259614162147045,0.0009079071460291743,0.9804915466404185,100,0.2,0.24,0.12,954,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10876794159412384,0.03568749874830246,0.05736881494522095,0.21430417895317078,-0.005755857564508915,0.00039070664206519723,-0.008259948343038559,-0.0008676995639689267,-0.005755857564508915,0.00039070664206519723,0.005755857098847628,0.005905138794332743,0.0,1.0,0.0,0.1082172840833664,0.035528913140296936,0.9830953955263049,mpnn,5,3,16,mean_max,32,38,381600,none,3816.0,0.4617069661617279,1.0340510606765747,0.10503813624382019,1.5796689987182617,0.11968183517456055,0.1082172840833664,0.035528913140296936,0.056960076093673706,0.06556306779384621,0.10202350094914436,0.14366637170312038,0.2140660583972931,0.03552889823913574,0.035528913140296936,0.03552888706326485
6,6.776337125301361,0.10134999997913838,0.10373144516295725,0.1,0.003731445162957245,0.037314447898127656,0.0,0.10224918276071548,0.013241209120163756,0.013241209120163756,False,-1.2384799447318073e-05,117.87167358398438,0.32432428002357483,-7.053070021356689e-07,0.0,0.05,4.588310912367888e-05,0.0018938223365694284,0.002451264066621661,0.0005695545114576817,2.3193359766082722e-07,0.9999995231628418,5.11776876449585,node_conditioned,25,True,True,False,-1.9762455224990845,0.0919802114367485,0.04112263768911362,0.05644511431455612,0.034129828214645386,2.009986639022827,-12.880908012390137,2.052460193634033,0.04095966381969007,-2.0240488052368164,0.05426416173577309,1.1906289728358388e-05,0.003973733633756638,0.012486244551837444,0.0018938223365694284,0.0011323500657454133,0.5979146326102986,100,0.2,0.2125,0.09,1064,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10279645770788193,0.03331880643963814,0.05736881494522095,0.21430417895317078,-0.006001716013997793,0.00045153932296670973,-0.008927238173782825,-0.0010283428709954023,-0.006001716013997793,0.00045153932296670973,0.006001715548336506,0.006164936348795891,0.0,1.0,0.0,0.10224918276071548,0.03316178172826767,0.9838722380773735,mpnn,5,3,16,mean_max,32,38,425600,none,4256.0,0.4626559913158417,1.0424785614013672,0.10406330972909927,1.5979083776474,0.1198095828294754,0.10224918276071548,0.03316178172826767,0.05695575475692749,0.06801986694335938,0.09369295835494995,0.13467918932437445,0.21408089995384216,0.033161770552396774,0.03316178172826767,0.03316175937652588
7,7.499439117461443,0.09747499965131283,0.10060322240713504,0.1,0.0006032224071350345,0.006032223468127998,0.0,0.09964354336261749,0.013241209120163756,0.013241209120163756,False,-2.6190033167949878e-05,145.3024444580078,0.3137373924255371,-1.5842109633013024e-06,0.0,0.05,6.189266423461959e-05,0.0011503436835482717,0.0008296931046061218,0.0006787551683373749,2.3193359766082722e-07,0.9999995827674866,4.9048542976379395,node_conditioned,25,True,True,False,-2.31711483001709,0.11746606230735779,0.04612765461206436,0.061565544456243515,0.03487667813897133,2.343047857284546,-14.380450248718262,2.40913724899292,0.05411301365454446,-2.318923234939575,0.05404847487807274,2.871404831239488e-05,0.0038803790230304003,0.01248827762901783,0.0011503436835482717,0.0010879391338676214,0.9457431652775412,100,0.2,0.23,0.15,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10027240961790085,0.04528488218784332,0.05736881494522095,0.21430417895317078,-0.007100550923496485,0.0005824018735438585,-0.010835208930075169,-0.001022426295094192,-0.007100550923496485,0.0005824018735438585,0.007100550923496485,0.00732166925445199,0.0,1.0,0.0,0.09964354336261749,0.04502818360924721,0.9864236079993455,mpnn,5,3,16,mean_max,32,38,390400,none,3904.0,0.4505111873149872,1.0369759798049927,0.10513594001531601,1.5752285718917847,0.11935237050056458,0.09964354336261749,0.04502818360924721,0.05681568384170532,0.05699366331100464,0.08346010744571686,0.16970491707324983,0.21403637528419495,0.04502817243337631,0.04502818360924721,0.04502814635634422
8,8.497005569376052,0.10029999976977706,0.10045161108845604,0.1,0.0004516110884560387,0.004516110432949343,0.0,0.09904072433710098,0.013241209120163756,0.013241209120163756,False,1.8595939764054492e-05,188.25453186035156,0.31704750657081604,8.668522468724404e-07,0.0,0.05,7.846174412406981e-05,0.0016379168955609202,0.0020044869743287563,0.000780533067882061,-3.295898522992502e-07,0.9999995827674866,4.555470943450928,node_conditioned,25,True,True,False,-2.674422264099121,0.14814256131649017,0.046875275671482086,0.061834607273340225,0.03409875929355621,2.8365163803100586,-16.355207443237305,2.930570125579834,0.06315794492091065,-2.7252206802368164,0.05043260008096695,-1.667437936703209e-05,0.003957836423069239,0.012488976120948792,0.0016379168955609202,0.0011517535895109177,0.7031776525755694,100,0.2,0.2225,0.07,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09975522756576538,0.032919786870479584,0.05736881494522095,0.21430417895317078,-0.008039377629756927,0.0007176161743700504,-0.01230764389038086,-0.0011453167535364628,-0.008039377629756927,0.0007176161743700504,0.008039377629756927,0.00829588994383812,0.0,1.0,0.0,0.09904072433710098,0.032701779156923294,0.9836579594239181,mpnn,5,3,16,mean_max,32,38,368800,none,3688.0,0.4205283522605896,1.0329501628875732,0.10571230947971344,1.5757302045822144,0.12580673396587372,0.09904072433710098,0.032701779156923294,0.05675274133682251,0.056955543160438535,0.09909507632255554,0.13492909967898398,0.21397298574447632,0.032701753079891205,0.032701779156923294,0.03270170837640762
9,6.60484114266932,0.10415000014472753,0.10230080561659179,0.1,0.0023008056165917806,0.02300805386511242,0.0,0.10081340372562408,0.013241209120163756,0.013241209120163756,False,4.8521877033635974e-05,107.73582458496094,0.319895476102829,2.035184252235922e-06,0.0,0.05,9.580373443895951e-05,0.0017447567079216242,0.0014758470933884382,0.0009161997586488724,3.0517577442878974e-07,0.999999463558197,5.413750171661377,node_conditioned,25,True,True,False,-2.9227311611175537,0.14897482097148895,0.06026170775294304,0.08488328754901886,0.04175305366516113,1.8277872800827026,-13.393085479736328,1.9053916931152344,0.07979888474072172,-2.9863040447235107,0.055981069803237915,-4.4180585973663256e-05,0.004017416387796402,0.01248925644904375,0.0017447567079216242,0.0012135818833485246,0.6955553873412396,100,0.2,0.255,0.1,972,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10164296627044678,0.036942772567272186,0.05736881494522095,0.21430417895317078,-0.009202579036355019,0.0008708321256563067,-0.014132910408079624,-0.00114423967897892,-0.009202579036355019,0.0008708321256563067,0.009202578105032444,0.009499019011855125,0.0,1.0,0.0,0.10081340372562408,0.03666887432336807,0.9817893843811308,mpnn,5,3,16,mean_max,32,38,388800,none,3888.0,0.47436267137527466,1.046953558921814,0.10413787513971329,1.5962351560592651,0.12336795777082443,0.10081340372562408,0.03666887432336807,0.056717246770858765,0.06125307083129883,0.09566955268383026,0.1450547903776145,0.2139412760734558,0.03666884824633598,0.03666887432336807,0.03666878119111061
