episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,3.5454388931021095,0.11662499957252294,0.10831249978626148,0.1,0.008312499786261474,0.08312498955011578,0.08312498955011578,0.11425203830003738,0.0,0.0008312498955011579,False,-1.2896259704575641e-06,33.042762756347656,0.3491113781929016,2.4492824195476715e-06,0.0,0.05,1.3070890645394684e-06,0.0008751607965677977,0.0008751607965677977,0.0,4.882812376649781e-08,0.9999992251396179,4.783112525939941,node_conditioned,25,True,True,False,-0.1749727725982666,0.07337606698274612,0.06454556435346603,0.08481555432081223,0.0491660013794899,1.172532558441162,-6.011112213134766,1.160441517829895,-0.02094719409661372,-0.13470278680324554,0.05906275659799576,0.0,0.0,0.0,0.0008751607965677977,0.0,0.0,100,0.1,0.235,0.16,970,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.21430417895317078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11425203830003738,0.035265110433101654,0.9853913506278098,mpnn,5,3,16,mean_max,32,38,388000,none,3880.0,0.43758514523506165,1.018250584602356,0.10451873391866684,1.563578486442566,0.11857093125581741,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.07224552631378195,0.10975059866905212,0.1617414951324463,0.21430417895317078,0.03526511788368225,0.035265110433101654,0.03526517003774643
1,3.874412886481732,0.10547499981243164,0.10689374979934656,0.1,0.006893749799346552,0.0689374910997164,0.0689374910997164,0.10521131753921509,0.0008312498955011579,0.001520624806498322,False,-2.473349695719662e-06,39.15523910522461,0.3252700865268707,4.835487175114395e-07,0.0,0.05,7.417769666062668e-06,0.0019621853716671467,0.0018969383090734482,0.00013552959717344493,2.5024414185281785e-07,0.9999992847442627,4.904051780700684,node_conditioned,25,True,True,False,-0.4662991166114807,0.05738808587193489,0.052048563957214355,0.0770789310336113,0.04053029045462608,1.2271802425384521,-6.814336776733398,1.2144474983215332,-0.021078843002827474,-0.46954354643821716,0.06627676635980606,-2.1918857839864359e-07,0.00025180558441206813,0.0007836456061340868,0.0019621853716671467,6.85751365381293e-05,0.03494816954942951,100,0.1,0.2625,0.17,904,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10535085201263428,0.04750553518533707,0.05736881494522095,0.21430417895317078,-0.0015129896346479654,0.00012559417518787086,-0.0022076659370213747,-0.00014187590568326414,-0.0015129896346479654,0.00012559417518787086,0.0015129895182326436,0.0015605902299284935,0.0,1.0,0.0,0.10521131753921509,0.04745138809084892,0.9842799039959053,mpnn,5,3,16,mean_max,32,38,361600,none,3616.0,0.404247909784317,1.011720061302185,0.1054595485329628,1.5449635982513428,0.12052101641893387,0.10521131753921509,0.04745138809084892,0.057257771492004395,0.057289063930511475,0.09201371669769287,0.21402692794799805,0.2142663598060608,0.04745138809084892,0.04745138809084892,0.04745140299201012
2,3.388683083988726,0.10124999966472387,0.10407187473203522,0.1,0.004071874732035213,0.04071874324847781,0.0,0.10506768524646759,0.001520624806498322,0.001520624806498322,False,-6.454020876844879e-06,28.500532150268555,0.3275415599346161,-4.600804459187202e-06,0.0,0.05,1.960122426680755e-05,0.0011032577604055405,0.000950666842982173,0.00029289087979122996,1.708984314063855e-07,0.9999988079071045,5.896564960479736,node_conditioned,25,True,True,False,-0.7300133109092712,0.04904617369174957,0.04627005010843277,0.06385443359613419,0.03485582768917084,0.8750497698783875,-6.204219341278076,0.870137095451355,-0.011323584023120281,-0.7569117546081543,0.04798700287938118,5.805256932944758e-06,0.00045399830560199916,0.0014336815802380443,0.0011032577604055405,0.00012512248940765858,0.11341080914180426,100,0.1,0.2575,0.14,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10536124557256699,0.04146726429462433,0.05736881494522095,0.21430417895317078,-0.003176650032401085,0.0002788239507935941,-0.004419963341206312,-0.00035658784327097237,-0.003176650032401085,0.0002788239507935941,0.003176650032401085,0.0033118468709290028,0.0,1.0,0.0,0.10506768524646759,0.04137101769447327,0.9836173688181908,mpnn,5,3,16,mean_max,32,38,428000,none,4280.0,0.443657785654068,1.03519868850708,0.10516867786645889,1.5803416967391968,0.12454425543546677,0.10506768524646759,0.04137101769447327,0.057167500257492065,0.06246649920940399,0.09472979605197906,0.15444064140318187,0.21420419216156006,0.04137101769447327,0.04137101769447327,0.04137100651860237
3,3.742519952096045,0.10177500001620501,0.10292343737412012,0.1,0.002923437374120111,0.029234370817764026,0.0,0.10277670621871948,0.001520624806498322,0.001520624806498322,False,3.8328471418935806e-07,35.33449935913086,0.32376524806022644,-3.0007223017491924e-07,0.0,0.05,2.6342451747041196e-05,0.0015544532798230648,0.0018643628573045135,0.00044733972754329443,-1.9531249506599124e-07,0.9999991059303284,5.040095329284668,node_conditioned,25,True,True,False,-1.018996000289917,0.04248317703604698,0.038511425256729126,0.06090569496154785,0.029275275766849518,1.1273274421691895,-7.060490608215332,1.1330643892288208,0.010100766448960963,-1.0389318466186523,0.03437935188412666,1.5232282066790503e-06,0.0004557523934636265,0.0014338423497974873,0.0015544532798230648,0.00012805259029846638,0.08237736584748521,100,0.1,0.2525,0.14,1058,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1032114028930664,0.037906575947999954,0.05736881494522095,0.21430417895317078,-0.004773687571287155,0.00039649129030294716,-0.006608296651393175,-0.000547822390217334,-0.004773687571287155,0.00039649129030294716,0.004773687571287155,0.004945144057273865,0.0,1.0,0.0,0.10277670621871948,0.03776904195547104,0.9822045469189904,mpnn,5,3,16,mean_max,32,38,423200,none,4232.0,0.41399267315864563,1.0273736715316772,0.10536191612482071,1.566954255104065,0.12231013178825378,0.10277670621871948,0.03776904195547104,0.057039499282836914,0.057120174169540405,0.0966436117887497,0.14930100739000352,0.21412083506584167,0.03776903450489044,0.03776904195547104,0.037769023329019547
4,3.8980734860152007,0.10737499956507236,0.10514921846959624,0.1,0.005149218469596234,0.051492179546744385,0.051492179546744385,0.10764423757791519,0.001520624806498322,0.002035546601965766,False,8.086408342933282e-08,38.0171012878418,0.3346107304096222,3.193253519384598e-07,0.0,0.05,2.163681165257003e-05,0.0009142538765445352,0.0012343920534476638,0.0004697349504567683,1.0375976700061074e-07,0.9999992847442627,4.958641529083252,node_conditioned,25,True,True,False,-1.286095142364502,0.046936944127082825,0.035253990441560745,0.05062730610370636,0.027684111148118973,1.195594072341919,-7.544209957122803,1.208361268043518,0.02101969594706976,-1.3367815017700195,0.044575076550245285,4.0942308032754227e-07,0.0004673578660003841,0.0014338435139507055,0.0009142538765445352,0.00013371581735555083,0.14625516854163637,100,0.1,0.275,0.12,940,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10812375694513321,0.03677346929907799,0.05736881494522095,0.21430417895317078,-0.005046372767537832,0.00037325697485357523,-0.0069867572747170925,-0.0007482482469640672,-0.005046372767537832,0.00037325697485357523,0.005046373698860407,0.00519343838095665,0.0,1.0,0.0,0.10764423757791519,0.03662874549627304,0.9871258857759444,mpnn,5,3,16,mean_max,32,38,376000,none,3760.0,0.40352413058280945,1.0139893293380737,0.10341011732816696,1.5475407838821411,0.11876579374074936,0.10764423757791519,0.03662874549627304,0.057042866945266724,0.05710524320602417,0.1069357693195343,0.14753714203834534,0.21412983536720276,0.036628734320402145,0.03662874549627304,0.03662872686982155
5,3.559813636932522,0.10714999970979988,0.10614960908969806,0.1,0.006149609089698055,0.06149608474737207,0.06149608474737207,0.1083393320441246,0.002035546601965766,0.002650507449439487,False,-1.9889250779669965e-06,30.78230857849121,0.3368726670742035,8.301764751195151e-07,0.0,0.05,1.6129701180034317e-05,0.0008425941341556609,0.0008397966739721596,0.0004124227853026241,7.324219097881723e-08,0.9999991059303284,4.889420986175537,node_conditioned,25,True,True,False,-1.5451912879943848,0.057172223925590515,0.037377070635557175,0.04916868731379509,0.02853318676352501,1.0990474224090576,-7.194782733917236,1.123052954673767,0.0422936877659863,-1.5532139539718628,0.033735763281583786,2.4209361981775146e-06,0.0006254285690374672,0.0019193569896742702,0.0008425941341556609,0.00017705763457342982,0.21013145722439638,100,0.1,0.24,0.12,954,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10876794159412384,0.03568749874830246,0.05736881494522095,0.21430417895317078,-0.004477038513869047,0.00030450490885414183,-0.00644714804366231,-0.0006855146493762732,-0.004477038513869047,0.00030450490885414183,0.004477038513869047,0.0045919278636574745,0.0,1.0,0.0,0.1083393320441246,0.035563740879297256,0.9830953955263049,mpnn,5,3,16,mean_max,32,38,381600,none,3816.0,0.4262740910053253,1.0200622081756592,0.10227654874324799,1.5597277879714966,0.11531082540750504,0.1083393320441246,0.035563740879297256,0.05704990029335022,0.0656445562839509,0.10211033001542091,0.14372783303258024,0.21412533521652222,0.03556373342871666,0.035563740879297256,0.035563722252845764
6,3.3275017723813654,0.10154999999329448,0.10384980454149627,0.1,0.003849804541496263,0.03849804156515847,0.0,0.10244189202785492,0.002650507449439487,0.002650507449439487,False,-1.7779871086531784e-06,26.013065338134766,0.3248961865901947,-4.8207493108520794e-08,0.0,0.05,1.4489085515378974e-05,0.0013129074359312654,0.001179420854896307,0.0003535353753250092,1.9531249506599124e-07,0.999998927116394,5.213162899017334,node_conditioned,25,True,True,False,-1.8199282884597778,0.07113528251647949,0.03811990097165108,0.049990784376859665,0.02903645485639572,0.9480060338973999,-7.040219306945801,0.9768380522727966,0.05816018208812901,-1.8706425428390503,0.047242265194654465,2.3639756818738533e-06,0.0007960902294144034,0.0024990644305944443,0.0013129074359312654,0.0002180316369049251,0.16606652553918833,100,0.1,0.2125,0.09,1064,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10279645770788193,0.03331880643963814,0.05736881494522095,0.21430417895317078,-0.00388041278347373,0.000321142200846225,-0.005909163039177656,-0.0005984855233691633,-0.00388041278347373,0.000321142200846225,0.0038804125506430864,0.003986495081335306,0.0,1.0,0.0,0.10244189202785492,0.03321509808301926,0.9838722380773735,mpnn,5,3,16,mean_max,32,38,425600,none,4256.0,0.4261334240436554,1.0252089500427246,0.10112117975950241,1.5730104446411133,0.11513503640890121,0.10244189202785492,0.03321509808301926,0.05709525942802429,0.0681564211845398,0.09387130290269852,0.1347626268863629,0.21417206525802612,0.03321509063243866,0.03321509808301926,0.03321508318185806
7,3.8268691940419375,0.0978749995585531,0.10086240205002468,0.1,0.0008624020500246771,0.008624019637844807,0.0,0.09992864727973938,0.002650507449439487,0.002650507449439487,False,-5.037389655626612e-06,34.73672866821289,0.31450143456459045,3.4136829185626993e-07,0.0,0.05,1.3998297617945354e-05,0.0012869758065789938,0.0014211853267624974,0.0003465065383352339,-1.708984314063855e-07,0.9999992251396179,5.108641147613525,node_conditioned,25,True,True,False,-2.1357600688934326,0.0919213742017746,0.04770701751112938,0.06009361892938614,0.032768238335847855,1.1274161338806152,-8.137282371520996,1.173840045928955,0.07753334834505221,-2.1391048431396484,0.05141182988882065,5.443203463073587e-06,0.0007780500454828143,0.0024992250837385654,0.0012869758065789938,0.00020533888891804963,0.15955023580553074,100,0.1,0.2325,0.16,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10027240961790085,0.04528488218784332,0.05736881494522095,0.21430417895317078,-0.0038584969006478786,0.0004462873039301485,-0.006258468143641949,-0.0005435475613921881,-0.0038584969006478786,0.0004462873039301485,0.0038584969006478786,0.0040169875137507915,0.0,1.0,0.0,0.09992864727973938,0.04513930529356003,0.9864236079993455,mpnn,5,3,16,mean_max,32,38,390400,none,3904.0,0.4237983822822571,1.019012689590454,0.10269161313772202,1.5502947568893433,0.11499056965112686,0.09992864727973938,0.04513930529356003,0.05704718828201294,0.057163238525390625,0.08364810049533844,0.17015795409679413,0.21418273448944092,0.04513929784297943,0.04513930529356003,0.045139290392398834
8,4.322844684869051,0.1005749997496605,0.10071870089984258,0.1,0.0007187008998425781,0.007187008279724953,0.0,0.09942955523729324,0.002650507449439487,0.002650507449439487,False,4.106025244254852e-06,45.175350189208984,0.3180467188358307,-3.4398661341583647e-07,0.0,0.05,1.3028703506279271e-05,0.0013741690199822187,0.0012638557236641645,0.00032595745869912207,-3.295898522992502e-07,0.9999992847442627,4.42939567565918,node_conditioned,25,True,True,False,-2.4541163444519043,0.11886598914861679,0.04738156497478485,0.06760691851377487,0.03263121098279953,1.4621922969818115,-9.245806694030762,1.536232352256775,0.09406888106755174,-2.471074104309082,0.05078035593032837,-3.0359904030774487e-06,0.0007931662257760763,0.0024992034304887056,0.0013741690199822187,0.00021256308536976576,0.15468369279318225,100,0.1,0.2225,0.08,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09975522756576538,0.032919786870479584,0.05736881494522095,0.21430417895317078,-0.0036504496820271015,0.0005635149427689612,-0.00611522002145648,-0.00043749649194069207,-0.0036504496820271015,0.0005635149427689612,0.003650449449196458,0.003858353244140744,0.0,1.0,0.0,0.09942955523729324,0.03281698003411293,0.9836579594239181,mpnn,5,3,16,mean_max,32,38,368800,none,3688.0,0.3849712610244751,1.0105942487716675,0.10293416678905487,1.544029712677002,0.12048491090536118,0.09942955523729324,0.03281698003411293,0.057056427001953125,0.05718236565589904,0.0994805097579956,0.13512060046194985,0.2141886055469513,0.03281697258353233,0.03281698003411293,0.03281693905591965
9,3.315621973471716,0.10450000015553088,0.10260935052768673,0.1,0.002609350527686724,0.026093502667516973,0.0,0.10131325572729111,0.002650507449439487,0.002650507449439487,False,8.602772140875459e-06,24.187957763671875,0.3211022913455963,-3.247141933115927e-07,0.0,0.05,1.1899200217158068e-05,0.001862120465375483,0.0019634419586509466,0.0003248405992053449,-2.19726558725597e-07,0.9999988079071045,5.253917217254639,node_conditioned,25,True,True,False,-2.6767475605010986,0.11114443093538284,0.050989504903554916,0.06806779652833939,0.034704793244600296,0.9175503253936768,-7.738821029663086,0.9757230281829834,0.11568569013119812,-2.7218878269195557,0.046260833740234375,-8.446475476375781e-06,0.0008053821511566639,0.0024991477839648724,0.001862120465375483,0.0002193574036937207,0.11779915949631871,100,0.1,0.255,0.1,972,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10164296627044678,0.036942772567272186,0.05736881494522095,0.21430417895317078,-0.003626636927947402,0.0007158027146942914,-0.006372933275997639,-0.0003935295681003481,-0.003626636927947402,0.0007158027146942914,0.003626636927947402,0.003931520041078329,0.0,1.0,0.0,0.10131325572729111,0.03682507947087288,0.9817893843811308,mpnn,5,3,16,mean_max,32,38,388800,none,3888.0,0.43930140137672424,1.022416591644287,0.10103920102119446,1.5615531206130981,0.11754099279642105,0.10131325572729111,0.03682507947087288,0.0570702850818634,0.061562192440032956,0.09615141153335571,0.1453325897455182,0.21420103311538696,0.03682507202029228,0.03682507947087288,0.036825019866228104
