episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.0722361135482785,0.11662499957252294,0.10831249978626148,0.1,0.008312499786261474,0.08312498955011578,0.08312498955011578,0.11425203830003738,0.0,0.0,False,-4.002030436822679e-06,124.53079986572266,0.34823155403137207,1.32205768750282e-05,0.0,0.05,3.079924135818146e-05,0.0006785982986912131,0.0006785982986912131,0.0,2.0751953400122147e-07,0.9999995827674866,4.793162822723389,node_conditioned,25,-0.16295810043811798,0.07264004647731781,0.06653955578804016,0.08840744197368622,0.054295629262924194,2.3232498168945312,-11.84652328491211,2.3141367435455322,-0.007891470889513252,-0.14844685792922974,0.06674200296401978,0.0,0.0,0.0,0.0006785982986912131,0.0,0.0,100,0.2,0.235,0.16,970,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.21430417895317078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11425203830003738,0.035265110433101654,0.9853913506278098,mpnn,5,3,16,mean_max,32,38,388000,3880.0,0.47124791145324707,1.0312873125076294,0.10789593309164047,1.5830332040786743,0.12300027906894684,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.07224552631378195,0.10975059866905212,0.1617414951324463,0.21430417895317078,0.03526511788368225,0.035265110433101654,0.03526517003774643
1,7.60237017845735,0.10482499980833382,0.10656874979729765,0.1,0.006568749797297643,0.06568749140422729,0.06568749140422729,0.10468383878469467,0.0,0.0,False,-8.45246177050285e-07,141.46226501464844,0.3233298361301422,2.6522741336520994e-06,0.0,0.05,0.00017035093333106488,0.001357867382466793,0.0007552967872470617,0.0006718696095049381,-2.5634764710957825e-07,0.9999995827674866,4.913682460784912,node_conditioned,25,-1.1931160688400269,0.06458815932273865,0.041806407272815704,0.05914193019270897,0.035667262971401215,2.3757083415985107,-13.612412452697754,2.4040565490722656,0.023444483683120798,-1.2020337581634521,0.0496000312268734,0.0,0.0,0.0,0.001357867382466793,0.0,0.0,100,0.2,0.26,0.17,904,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10535085201263428,0.04750553518533707,0.05736881494522095,0.21430417895317078,-0.007258628960698843,0.000602810992859304,-0.010312453843653202,-0.00040798119152896106,-0.007258628960698843,0.000602810992859304,0.007258628495037556,0.007438844535499811,0.0,1.0,0.0,0.10468383878469467,0.04724874719977379,0.9842799039959053,mpnn,5,3,16,mean_max,32,38,361600,3616.0,0.43941107392311096,1.031960129737854,0.11050371825695038,1.5769810676574707,0.12626852095127106,0.10468383878469467,0.04724874719977379,0.05684518814086914,0.056976822018623356,0.09171026945114136,0.21298393607139587,0.21418708562850952,0.047248724848032,0.04724874719977379,0.047248706221580505
2,6.809730792976916,0.10029999963007867,0.10343437471368816,0.1,0.003434374713688154,0.03434374370250717,0.0,0.10399862378835678,0.0,0.0,False,9.638211849960499e-06,107.86447143554688,0.32564473152160645,2.233432951470604e-06,0.0,0.05,0.00020668025535997003,0.0007810702081769705,0.0010055153397843242,0.0015022081788629293,2.4414061883248905e-08,0.9999995231628418,5.172544002532959,node_conditioned,25,-2.1676392555236816,0.10661216080188751,0.04259224236011505,0.055768828839063644,0.033752646297216415,1.9857189655303955,-13.092692375183105,2.0407161712646484,0.053173668639581284,-2.2270824909210205,0.04095451533794403,0.0,0.0,0.0,0.0007810702081769705,0.0,0.0,100,0.2,0.2575,0.13,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10536124557256699,0.04146726429462433,0.05736881494522095,0.21430417895317078,-0.014856010675430298,0.0015678949421271682,-0.018087318167090416,-0.0011373871238902211,-0.014856010675430298,0.0015678949421271682,0.014856011606752872,0.01531148049980402,0.0,1.0,0.0,0.10399862378835678,0.04103292152285576,0.9836173688181908,mpnn,5,3,16,mean_max,32,38,428000,4280.0,0.4688204824924469,1.0483378171920776,0.10919845849275589,1.6025348901748657,0.12882040441036224,0.10399862378835678,0.04103292152285576,0.0564517080783844,0.06175037622451782,0.09411193430423737,0.15413098931311162,0.2139584720134735,0.04103283956646919,0.04103292152285576,0.04103267192840576
3,7.582954047620296,0.10132499995175749,0.10237968733272282,0.1,0.002379687332722813,0.023796870947541036,0.0,0.10201554000377655,0.0,0.0,False,-1.046816942107398e-05,133.36817932128906,0.3233359754085541,6.21234130449011e-06,0.0,0.05,5.49188262084499e-05,0.002000177977606654,0.0032550485339015722,0.0012807645834982395,-1.708984314063855e-07,0.9999995827674866,5.029961585998535,node_conditioned,25,-3.1767749786376953,0.1746303141117096,0.06558512896299362,0.09096422046422958,0.04622810706496239,2.272965669631958,-15.252763748168945,2.3706178665161133,0.0806884838432006,-3.227508783340454,0.0685400664806366,0.0,0.0,0.0,0.002000177977606654,0.0,0.0,100,0.2,0.25,0.13,1058,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1032114028930664,0.037906575947999954,0.05736881494522095,0.21430417895317078,-0.013232845813035965,0.001438978360965848,-0.016530068591237068,-0.0009246823028661311,-0.013232845813035965,0.001438978360965848,0.013232843950390816,0.013791766948997974,0.0,1.0,0.0,0.10201554000377655,0.037542182952165604,0.9822045469189904,mpnn,5,3,16,mean_max,32,38,423200,4232.0,0.44907644391059875,1.0339792966842651,0.10830327123403549,1.5803130865097046,0.1248890832066536,0.10201554000377655,0.037542182952165604,0.05648145079612732,0.05665337741374969,0.09587819874286652,0.14910190701482978,0.21404650807380676,0.037542108446359634,0.037542182952165604,0.0375419519841671
4,7.735967171415687,0.1074499995680526,0.10491484345038771,0.1,0.004914843450387701,0.04914842958903406,0.0,0.10762369632720947,0.0,0.0,False,-1.0063748959510121e-05,132.99026489257812,0.33572760224342346,4.3872037167602684e-06,0.0,0.05,1.3617350305139553e-06,0.0012914686230942607,0.0017299343599006534,0.0004551696765702218,-1.831054774470431e-08,0.9999995231628418,5.044032573699951,node_conditioned,25,-4.183684825897217,0.24133630096912384,0.07897958904504776,0.09988265484571457,0.05432736501097679,2.276820659637451,-16.367586135864258,2.4173738956451416,0.11290537389257294,-4.405200958251953,0.0827350914478302,0.0,0.0,0.0,0.0012914686230942607,0.0,0.0,100,0.2,0.275,0.12,940,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10812375694513321,0.03677346929907799,0.05736881494522095,0.21430417895317078,-0.0052884770557284355,0.0012078555300831795,-0.009189754724502563,0.0011907905573025346,-0.0052884770557284355,0.0012078555300831795,0.005292541813105345,0.006510329898446798,0.002675,0.997325,0.0,0.10762369632720947,0.03662586212158203,0.9871258857759444,mpnn,5,3,16,mean_max,32,38,376000,3760.0,0.43710556626319885,1.021669864654541,0.10710436850786209,1.5644506216049194,0.1215539202094078,0.10762369632720947,0.03662586212158203,0.05687388777732849,0.057102978229522705,0.10693348944187164,0.1475928455591202,0.21442919969558716,0.036625832319259644,0.03662586212158203,0.03662567958235741
5,7.086429806873202,0.10777499974705279,0.10634492159872025,0.1,0.006344921598720243,0.06344920964228147,0.06344920964228147,0.10908830910921097,0.0,0.0,False,-1.3503170066542225e-06,101.7314682006836,0.33919528126716614,8.696067197888624e-06,0.0,0.05,6.149463297333568e-05,0.0008730925619602203,0.0008625590126030147,0.0002652333350852132,3.1738281336401997e-07,0.9999995827674866,5.106481075286865,node_conditioned,25,-5.318477630615234,0.3064960837364197,0.10032983124256134,0.1336873173713684,0.06576326489448547,2.035501003265381,-16.230249404907227,2.2126963138580322,0.1537491973864048,-5.408987522125244,0.08668188005685806,0.0,0.0,0.0,0.0008730925619602203,0.0,0.0,100,0.2,0.24,0.12,954,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10876794159412384,0.03568749874830246,0.05736881494522095,0.21430417895317078,0.003361694747582078,0.0015943617327138782,-0.0013133786851540208,0.008195594884455204,0.003361694747582078,0.0015943617327138782,0.0033616945147514343,0.004359412007033825,0.993975,0.006025,0.0,0.10908830910921097,0.03576168417930603,0.9830953955263049,mpnn,5,3,16,mean_max,32,38,381600,3816.0,0.46172842383384705,1.0374969244003296,0.10900737345218658,1.5926038026809692,0.12208925187587738,0.10908830910921097,0.03576168417930603,0.05731147527694702,0.06597069799900061,0.10276877880096436,0.14468106329438327,0.21550261974334717,0.03576163947582245,0.03576168417930603,0.03576138988137245
6,6.737165414988994,0.10277499996591359,0.10455996078231691,0.1,0.0045599607823169075,0.04559960326320875,0.0,0.10361073166131973,0.0,0.0,False,3.716671926667914e-06,83.62411499023438,0.32746583223342896,-3.846449772026972e-07,0.0,0.05,9.142328053712845e-05,0.0006714356131851673,0.0012920807348564267,0.0006785840378142893,2.4414061883248905e-08,0.9999995231628418,5.262304306030273,node_conditioned,25,-6.642172813415527,0.3915916383266449,0.1343117356300354,0.16774894297122955,0.09251012653112411,1.8453340530395508,-16.76616859436035,2.062744617462158,0.19968847700710968,-6.826794624328613,0.1721811145544052,0.0,0.0,0.0,0.0006714356131851673,0.0,0.0,100,0.2,0.2175,0.1,1064,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10279645770788193,0.03331880643963814,0.05736881494522095,0.21430417895317078,0.008996542543172836,0.0025476112496107817,0.001893441891297698,0.015477655455470085,0.008996542543172836,0.0025476112496107817,0.008996542543172836,0.010475868359208107,1.0,0.0,0.0,0.10361073166131973,0.033494289964437485,0.9838722380773735,mpnn,5,3,16,mean_max,32,38,425600,4256.0,0.4629678428173065,1.0337717533111572,0.10755881667137146,1.5926090478897095,0.12213875353336334,0.10361073166131973,0.033494289964437485,0.05749186873435974,0.06912586987018585,0.09493158757686615,0.13644179105758286,0.21670186519622803,0.033494189381599426,0.033494289964437485,0.0334935300052166
7,7.454210329502821,0.0989249996189028,0.10174248020060986,0.1,0.0017424802006098528,0.017424800263618503,0.0,0.10100086778402328,0.0,0.0,False,3.190007191733457e-08,98.14246368408203,0.31685754656791687,1.537566618026176e-06,0.0,0.05,8.315752347698435e-05,0.0018137131119146943,0.0012891435762867332,0.0005746068782173097,-1.2207031829802872e-07,0.9999995231628418,5.1845316886901855,node_conditioned,25,-8.336387634277344,0.545316755771637,0.18941546976566315,0.2304547131061554,0.12280941009521484,2.0793588161468506,-19.401199340820312,2.4078445434570312,0.2542350994560042,-8.405891418457031,0.20434966683387756,0.0,0.0,0.0,0.0018137131119146943,0.0,0.0,100,0.2,0.2325,0.16,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10027240961790085,0.04528488218784332,0.05736881494522095,0.21430417895317078,0.008476088754832745,0.0034333907533437014,0.0013688376639038324,0.01670125499367714,0.008476088754832745,0.0034333907533437014,0.00847608782351017,0.010048854164779186,1.0,0.0,0.0,0.10100086778402328,0.04548997804522514,0.9864236079993455,mpnn,5,3,16,mean_max,32,38,390400,3904.0,0.4507223665714264,1.0273061990737915,0.10934578627347946,1.5681895017623901,0.12299846857786179,0.10100086778402328,0.04548997804522514,0.05744290351867676,0.057764732837676996,0.08465330302715302,0.1716633290052414,0.21689164638519287,0.04548989236354828,0.04548997804522514,0.04548903927206993
8,8.493134315647184,0.10179999970830977,0.10177123995445982,0.1,0.0017712399544598106,0.01771239777335833,0.0,0.1005953699350357,0.0,0.0,False,5.659386715706205e-06,123.27002716064453,0.320738285779953,-3.3922835882549407e-06,0.0,0.05,0.0001125773778767325,0.000261127162957564,0.0006456473493017256,0.0006315110367722809,-3.41796862812771e-07,0.9999995827674866,4.9585747718811035,node_conditioned,25,-10.398052215576172,0.7497060298919678,0.2319975644350052,0.2787696123123169,0.15713602304458618,2.4429783821105957,-22.900331497192383,2.9274332523345947,0.3035895226937877,-10.676517486572266,0.22943420708179474,0.0,0.0,0.0,0.000261127162957564,0.0,0.0,100,0.2,0.225,0.09,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09975522756576538,0.032919786870479584,0.05736881494522095,0.21430417895317078,0.0094918729737401,0.004673504736274481,0.0007179176900535822,0.02071346901357174,0.0094918729737401,0.004673504736274481,0.0094918729737401,0.011720354668796062,1.0,0.0,0.0,0.1005953699350357,0.03312365710735321,0.9836579594239181,mpnn,5,3,16,mean_max,32,38,368800,3688.0,0.41722723841667175,1.02288818359375,0.11240299791097641,1.5676898956298828,0.1327592134475708,0.1005953699350357,0.03312365710735321,0.05740770697593689,0.057867631316185,0.100420281291008,0.13745807111262517,0.2176438271999359,0.0331234335899353,0.03312365710735321,0.033121030777692795
9,6.578452525809407,0.10582500007469207,0.10379812001457595,0.1,0.0037981200145759397,0.03798119634763976,0.0,0.10263721644878387,0.0,0.0,False,-1.9685541701619513e-05,53.982582092285156,0.3247128129005432,-1.0246297279081773e-05,0.0,0.05,0.0002442286058794707,0.004098515957593918,0.003391771810129285,0.0007545664557255805,-9.765624753299562e-08,0.9999992847442627,6.026408672332764,node_conditioned,25,-12.186589241027832,0.8149915337562561,0.31607306003570557,0.3930284380912781,0.21876667439937592,1.511310338973999,-21.197040557861328,1.9724136590957642,0.4129011500000497,-12.455513954162598,0.2748164236545563,0.0,0.0,0.0,0.004098515957593918,0.0,0.0,100,0.2,0.255,0.11,972,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10164296627044678,0.036942772567272186,0.05736881494522095,0.21430417895317078,0.011266052722930908,0.0060569653287529945,0.0008736132294870913,0.0239169429987669,0.011266052722930908,0.0060569653287529945,0.011266052722930908,0.014010249637067318,1.0,0.0,0.0,0.10263721644878387,0.03714143484830856,0.9817893843811308,mpnn,5,3,16,mean_max,32,38,388800,3888.0,0.4739243686199188,1.0602480173110962,0.11672086268663406,1.6249884366989136,0.13667988777160645,0.10263721644878387,0.03714143484830856,0.05744782090187073,0.0621846467256546,0.09709398448467255,0.14807845950126605,0.2180720567703247,0.03714114800095558,0.03714143484830856,0.03713761270046234
