episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.0722361135482785,0.11662499957252294,0.10831249978626148,0.1,0.008312499786261474,0.08312498955011578,0.08312498955011578,0.11425203830003738,0.0,0.0,False,-1.2259931736480212e-06,136.52346801757812,0.34911760687828064,2.4044579731707927e-06,0.0,0.05,1.2369724800009863e-06,0.0006785982986912131,0.0006785982986912131,0.0,2.0751953400122147e-07,0.9999995827674866,4.793162822723389,node_conditioned,25,-0.16295810043811798,0.07264004647731781,0.06653955578804016,0.08840744197368622,0.054295629262924194,2.3232498168945312,-11.84652328491211,2.3141367435455322,-0.007891470889513252,-0.14844685792922974,0.06674200296401978,0.0,0.0,0.0,0.0006785982986912131,0.0,0.0,100,0.2,0.235,0.16,970,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.21430417895317078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11425203830003738,0.035265110433101654,0.9853913506278098,mpnn,5,3,16,mean_max,32,38,388000,3880.0,0.47124791145324707,1.0260636806488037,0.10715337842702866,1.5750943422317505,0.12223502993583679,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.07224552631378195,0.10975059866905212,0.1617414951324463,0.21430417895317078,0.03526511788368225,0.035265110433101654,0.03526517003774643
1,7.640410612877458,0.10549999978858977,0.10690624978742563,0.1,0.006906249787425628,0.06906249096800718,0.06906249096800718,0.10521437972784042,0.0,0.0,False,-2.0383249648148194e-06,158.4003448486328,0.3252818286418915,5.122434458826319e-07,0.0,0.05,7.0850619522389024e-06,0.0016441290499642491,0.0015180957270786166,0.0001327965292148292,1.4648438195763447e-07,0.9999995827674866,4.935591697692871,node_conditioned,25,-0.48400887846946716,0.063068687915802,0.05804668366909027,0.07894478738307953,0.047804225236177444,2.400073766708374,-13.075638771057129,2.4017081260681152,0.0013603620581311704,-0.46940380334854126,0.07370947301387787,0.0,0.0,0.0,0.0016441290499642491,0.0,0.0,100,0.2,0.2625,0.17,904,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10535085201263428,0.04750553518533707,0.05736881494522095,0.21430417895317078,-0.0014793005539104342,0.00011858288053190336,-0.002153238281607628,-0.00010833644773811102,-0.0014793005539104342,0.00011858288053190336,0.0014793005539104342,0.0015180325135588646,0.0,1.0,0.0,0.10521437972784042,0.04745226725935936,0.9842799039959053,mpnn,5,3,16,mean_max,32,38,361600,3616.0,0.4379282593727112,1.0192166566848755,0.10757192224264145,1.5558605194091797,0.1237352192401886,0.10521437972784042,0.04745226725935936,0.057259589433670044,0.05728965997695923,0.09201709926128387,0.21403130888938904,0.21427395939826965,0.04745226725935936,0.04745226725935936,0.04745225980877876
2,6.647682314552367,0.10124999966472387,0.10407812472607475,0.1,0.004078124726074744,0.04078124318262313,0.0,0.10507500171661377,0.0,0.0,False,-6.734167641297972e-07,116.82462310791016,0.32756003737449646,-4.561003152048215e-06,0.0,0.05,1.8758226360660046e-05,0.0011515483492985368,0.0008909281459636986,0.0002856703067664057,2.9296876391526894e-07,0.9999995231628418,5.452716827392578,node_conditioned,25,-0.7734004259109497,0.05455496534705162,0.04896600544452667,0.06077096238732338,0.041275087743997574,1.8760769367218018,-11.640830039978027,1.8797321319580078,0.0038851932457026894,-0.7983211278915405,0.05221522971987724,0.0,0.0,0.0,0.0011515483492985368,0.0,0.0,100,0.2,0.2575,0.14,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10536124557256699,0.04146726429462433,0.05736881494522095,0.21430417895317078,-0.003096633590757847,0.0002614723634906113,-0.004304809030145407,-0.0003119946632068604,-0.003096633590757847,0.0002614723634906113,0.003096632892265916,0.0032099399250000715,0.0,1.0,0.0,0.10507500171661377,0.041372910141944885,0.9836173688181908,mpnn,5,3,16,mean_max,32,38,428000,4280.0,0.4734807312488556,1.0417720079421997,0.10752199590206146,1.590077519416809,0.12768606841564178,0.10507500171661377,0.041372910141944885,0.05717170238494873,0.0624701052904129,0.09473761916160583,0.15445068478582652,0.21421533823013306,0.04137290641665459,0.041372910141944885,0.04137290641665459
3,7.6060560545325275,0.10177500001620501,0.10292656237113988,0.1,0.0029265623711398764,0.029265620784836684,0.0,0.1027848869562149,0.0,0.0,False,1.7047592564267688e-06,154.63523864746094,0.323787122964859,-2.4788715791146387e-07,0.0,0.05,2.518405017326586e-05,0.001191255752928555,0.001604472054168582,0.0004386318032629788,-2.4414063659605745e-07,0.9999995827674866,4.958179473876953,node_conditioned,25,-1.0897222757339478,0.057752761989831924,0.043575383722782135,0.06983107328414917,0.03647743538022041,2.358064889907837,-13.525128364562988,2.374967575073242,0.014183371257949884,-1.1122915744781494,0.04045062139630318,0.0,0.0,0.0,0.001191255752928555,0.0,0.0,100,0.2,0.2525,0.14,1058,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1032114028930664,0.037906575947999954,0.05736881494522095,0.21430417895317078,-0.004683962091803551,0.0003790338523685932,-0.006444657687097788,-0.0005012323963455856,-0.004683962091803551,0.0003790338523685932,0.004683962557464838,0.004833408165723085,0.0,1.0,0.0,0.1027848869562149,0.037771448493003845,0.9822045469189904,mpnn,5,3,16,mean_max,32,38,423200,4232.0,0.4483855068683624,1.035393238067627,0.1078556701540947,1.5788072347640991,0.12574827671051025,0.1027848869562149,0.037771448493003845,0.057046741247177124,0.057123211026191716,0.09665141999721527,0.1493117839097789,0.21413466334342957,0.03777144104242325,0.037771448493003845,0.03777143731713295
4,7.739427523836493,0.10739999955985695,0.10516328096549842,0.1,0.00516328096549841,0.05163280449170365,0.05163280449170365,0.10765505582094193,0.0,0.0,False,5.609441586784669e-07,158.91336059570312,0.33464017510414124,3.513356716666749e-07,0.0,0.05,2.025208596023731e-05,0.0007159983506426215,0.0011523761786520481,0.0004584725829772651,6.713867151120212e-08,0.9999995827674866,5.028355598449707,node_conditioned,25,-1.3816124200820923,0.07055932283401489,0.04119283705949783,0.06299655884504318,0.03472813218832016,2.361872434616089,-13.998443603515625,2.3902547359466553,0.02360742756922196,-1.4624003171920776,0.054869864135980606,0.0,0.0,0.0,0.0007159983506426215,0.0,0.0,100,0.2,0.275,0.12,940,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10812375694513321,0.03677346929907799,0.05736881494522095,0.21430417895317078,-0.004932032898068428,0.00035167825990356505,-0.006792774889618158,-0.000680723343975842,-0.004932032898068428,0.00035167825990356505,0.004932032898068428,0.005053362809121609,0.0,1.0,0.0,0.10765505582094193,0.03663173317909241,0.9871258857759444,mpnn,5,3,16,mean_max,32,38,376000,3760.0,0.43705523014068604,1.0220558643341064,0.10556618869304657,1.5591686964035034,0.1221289113163948,0.10765505582094193,0.03663173317909241,0.057050079107284546,0.05710923671722412,0.10694576799869537,0.14754880070686338,0.21414494514465332,0.03663172572851181,0.03663173317909241,0.03663172200322151
5,7.104521478936076,0.10714999970979988,0.10615664033764916,0.1,0.00615664033764915,0.06156639721985178,0.06156639721985178,0.10835650563240051,0.0,0.0,False,3.1973755199032894e-07,131.57394409179688,0.3369085490703583,8.667162774145254e-07,0.0,0.05,1.4695531717734411e-05,0.000926382839679718,0.0008000551606528461,0.0003951685212086886,1.4648438195763447e-07,0.999999463558197,4.984210014343262,node_conditioned,25,-1.6766375303268433,0.08073680102825165,0.04192810133099556,0.05624565854668617,0.03487816080451012,2.1627655029296875,-13.178437232971191,2.2023913860321045,0.03566088284144897,-1.6940997838974,0.04049185663461685,0.0,0.0,0.0,0.000926382839679718,0.0,0.0,100,0.2,0.24,0.12,954,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10876794159412384,0.03568749874830246,0.05736881494522095,0.21430417895317078,-0.004296840634196997,0.0002963311562780291,-0.006163241807371378,-0.0006192484288476408,-0.004296840634196997,0.0002963311562780291,0.004296841099858284,0.004400223959237337,0.0,1.0,0.0,0.10835650563240051,0.03556821122765541,0.9830953955263049,mpnn,5,3,16,mean_max,32,38,381600,3816.0,0.46187782287597656,1.0286883115768433,0.10501573234796524,1.57228422164917,0.11919446289539337,0.10835650563240051,0.03556821122765541,0.05705997347831726,0.06565324068069467,0.10212399810552597,0.14374355375763975,0.21414059400558472,0.035568203777074814,0.03556821122765541,0.035568200051784515
6,6.764972469806671,0.10154999999329448,0.10385332016547182,0.1,0.0038533201654718102,0.03853319780139832,0.0,0.1024576872587204,0.0,0.0,False,4.7001680059111095e-07,117.42033386230469,0.32490772008895874,-1.839656391666722e-07,0.0,0.05,1.4039007510291412e-05,0.0017679891316220164,0.0014359368942677975,0.0003372302744537592,7.324219097881723e-08,0.9999995231628418,5.139712810516357,node_conditioned,25,-1.9760334491729736,0.0918305292725563,0.04123014584183693,0.056433167308568954,0.034203723073005676,1.9988189935684204,-12.861547470092773,2.0411219596862793,0.04102111797965746,-2.020831346511841,0.055806588381528854,0.0,0.0,0.0,0.0017679891316220164,0.0,0.0,100,0.2,0.2125,0.09,1064,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10279645770788193,0.03331880643963814,0.05736881494522095,0.21430417895317078,-0.0037058910820633173,0.00035969397868029773,-0.005703689064830542,-0.0005011818720959127,-0.0037058910820633173,0.00035969397868029773,0.003705891314893961,0.0038079286459833384,0.0,1.0,0.0,0.1024576872587204,0.03321894258260727,0.9838722380773735,mpnn,5,3,16,mean_max,32,38,425600,4256.0,0.4628582000732422,1.0346091985702515,0.10400117188692093,1.586931824684143,0.11911699920892715,0.1024576872587204,0.03321894258260727,0.05710306763648987,0.06817179322242736,0.09388458728790283,0.13477527499198422,0.21418651938438416,0.03321893513202667,0.03321894258260727,0.03321892023086548
7,7.5227237303555015,0.0978749995585531,0.10086415986201246,0.1,0.0008641598620124508,0.008641597755964733,0.0,0.09992719441652298,0.0,0.0,False,6.287228870860417e-07,146.23629760742188,0.3144797384738922,9.914748488881742e-08,0.0,0.05,1.4893792467773892e-05,0.0011346068931743503,0.0014541249256581068,0.00034795081592164934,-2.3193359766082722e-07,0.9999995827674866,4.914189338684082,node_conditioned,25,-2.3181989192962646,0.11811299622058868,0.04632525518536568,0.061944518238306046,0.035014159977436066,2.345921277999878,-14.420507431030273,2.4122581481933594,0.05424366758299881,-2.3185861110687256,0.05392332002520561,0.0,0.0,0.0,0.0011346068931743503,0.0,0.0,100,0.2,0.2325,0.16,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10027240961790085,0.04528488218784332,0.05736881494522095,0.21430417895317078,-0.003874624613672495,0.0004962538368999958,-0.006287765223532915,-0.00050429004477337,-0.003874624613672495,0.0004962538368999958,0.0038746243808418512,0.004092555493116379,0.0,1.0,0.0,0.09992719441652298,0.04513845220208168,0.9864236079993455,mpnn,5,3,16,mean_max,32,38,390400,3904.0,0.4507695734500885,1.0267930030822754,0.10491026192903519,1.5611608028411865,0.11827683448791504,0.09992719441652298,0.04513845220208168,0.05704507231712341,0.057160612940788266,0.08364903926849365,0.17015075981616973,0.21418946981430054,0.04513844847679138,0.04513845220208168,0.04513842612504959
8,8.60700253907591,0.1005749997496605,0.10071957980583648,0.1,0.0007195798058364788,0.007195797338785055,0.0,0.09941821545362473,0.0,0.0,False,4.836900302507274e-07,193.0408477783203,0.31801411509513855,-2.827380853887007e-07,0.0,0.05,1.4312472558231093e-05,0.0014895250787958503,0.0011599083663895726,0.00033816907671280205,1.708984314063855e-07,0.9999996423721313,4.665932655334473,node_conditioned,25,-2.6810965538024902,0.15022343397140503,0.04675948992371559,0.06184767186641693,0.03405199944972992,2.808870792388916,-16.545642852783203,2.9018280506134033,0.06304193960037785,-2.7250559329986572,0.05032172054052353,0.0,0.0,0.0,0.0014895250787958503,0.0,0.0,100,0.2,0.2225,0.08,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09975522756576538,0.032919786870479584,0.05736881494522095,0.21430417895317078,-0.0037811794318258762,0.000637803808785975,-0.006326199043542147,-0.0004090513684786856,-0.0037811794318258762,0.000637803808785975,0.0037811794318258762,0.004052851349115372,0.0,1.0,0.0,0.09941821545362473,0.03281407430768013,0.9836579594239181,mpnn,5,3,16,mean_max,32,38,368800,3688.0,0.41646531224250793,1.019083857536316,0.1053447350859642,1.5560859441757202,0.12414983659982681,0.09941821545362473,0.03281407430768013,0.05704474449157715,0.057172954082489014,0.09946426749229431,0.13512047529219584,0.2141907811164856,0.03281407058238983,0.03281407430768013,0.03281402960419655
9,6.601213127449155,0.10447500016074628,0.10259728998329137,0.1,0.0025972899832913676,0.025972897235623953,0.0,0.10129852592945099,0.0,0.0,False,-5.183920848139678e-08,107.5904769897461,0.32107290625572205,-3.585367380765092e-07,0.0,0.05,1.3001301340409555e-05,0.0016474383883178234,0.001971056219190359,0.0003406505275052041,6.103515914901436e-08,0.9999994039535522,5.416436672210693,node_conditioned,25,-2.9234366416931152,0.148991197347641,0.06025046855211258,0.08488316833972931,0.04180411994457245,1.8257274627685547,-13.387540817260742,1.903295636177063,0.07984844281357939,-2.9871301651000977,0.05600528419017792,0.0,0.0,0.0,0.0016474383883178234,0.0,0.0,100,0.2,0.255,0.1,972,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10164296627044678,0.036942772567272186,0.05736881494522095,0.21430417895317078,-0.0037917206063866615,0.000801378395408392,-0.006633014418184757,-0.0003868314379360527,-0.0037917206063866615,0.000801378395408392,0.003791720839217305,0.0041902740485966206,0.0,1.0,0.0,0.10129852592945099,0.036820415407419205,0.9817893843811308,mpnn,5,3,16,mean_max,32,38,388800,3888.0,0.4745613932609558,1.0321307182312012,0.10401494801044464,1.5753953456878662,0.12171410024166107,0.10129852592945099,0.036820415407419205,0.05705484747886658,0.06154724955558777,0.09612926095724106,0.14532862305640842,0.21420001983642578,0.03682040795683861,0.036820415407419205,0.03682034835219383
