episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.50995377548039,0.10287499989848584,0.10143749994924292,0.1,0.0014374999492429152,0.014374998054929347,0.0,0.09999994933605194,0.0,0.0,False,-1.5932560017972719e-06,159.86380004882812,0.32479920983314514,4.166138296568533e-06,0.0,0.05,2.0704248981928686e-06,0.0010081459768116474,0.0010081459768116474,0.0,3.662109548940862e-08,0.9999997019767761,4.573188781738281,node_conditioned,22,False,False,True,1.1328227519989014,0.09717141091823578,0.09080393612384796,0.1418306976556778,0.07000426203012466,2.643415689468384,-11.496078491210938,2.648561477661133,0.003882060244856378,1.1401853561401367,0.09018775075674057,0.0,0.0,0.0,0.0010081459768116474,0.0,0.0,100,0.2,0.145,0.0,970,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999994933605194,1.7943374786000277e-08,0.0,mpnn,5,3,16,mean_max,32,37,388000,disabled_zero_placeholder,3880.0,0.4544503092765808,0.5134195685386658,0.1280847191810608,0.8393926024436951,0.14206546545028687,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.09999996423721313,0.09999996423721313,0.09999996423721313,0.10000000149011612,1.5269147723984133e-08,1.7943374786000277e-08,2.2351741790771484e-08
1,8.539938633032143,0.09972499964758753,0.10058124979841523,0.1,0.0005812497984152287,0.005812497402902547,0.0,0.09982883185148239,0.0,0.0,False,-3.086243168581859e-06,206.5250244140625,0.32442110776901245,1.6930569302076037e-07,0.0,0.05,1.1273182281001937e-05,0.0023293059784919024,0.002153423149138689,0.00017696194117888808,1.2207030941624453e-08,0.9999996423721313,4.446346759796143,node_conditioned,22,False,False,True,0.775428056716919,0.1000634953379631,0.08871818333864212,0.14871898293495178,0.0656498447060585,3.0468826293945312,-13.534612655639648,3.073735475540161,0.01739615230559055,0.7679361701011658,0.07241304963827133,0.0,0.0,0.0,0.0023293059784919024,0.0,0.0,100,0.2,0.145,0.0,904,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.0019032247364521027,0.0003653154708445072,-0.0027682713698595762,-0.00018427039321977645,-0.0019032247364521027,0.0003653154708445072,0.0019032246200367808,0.002039676997810602,0.0,1.0,0.0,0.09982883185148239,3.282806574134156e-05,0.0,mpnn,5,3,16,mean_max,32,37,361600,disabled_zero_placeholder,3616.0,0.40722471475601196,0.515204131603241,0.12761946022510529,0.8353570103645325,0.1428845077753067,0.09982883185148239,3.282806574134156e-05,0.09975108504295349,0.09977942705154419,0.09983226656913757,0.09986552596092224,0.09998345375061035,3.002878656843677e-05,3.282806574134156e-05,4.871839792031096e-06
2,7.573186110034585,0.09509999989066273,0.09784062484453898,0.1,-0.002159375155461024,-0.0215937493952353,0.0,0.09964732825756073,0.0,0.0,False,-6.933499889782979e-07,159.01100158691406,0.32400447130203247,-7.362693395407405e-06,0.0,0.05,2.9956241633044556e-05,0.0014377770712599158,0.0010663695866242051,0.00037789432099089026,-1.3427734302240424e-07,0.9999996423721313,4.876889705657959,node_conditioned,22,False,False,True,0.4409083425998688,0.09797754138708115,0.07901178300380707,0.1428733766078949,0.05993528291583061,2.4414987564086914,-12.178177833557129,2.4729371070861816,0.02526424996081389,0.4209645986557007,0.06389675289392471,0.0,0.0,0.0,0.0014377770712599158,0.0,0.0,100,0.2,0.135,0.0,1070,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.003924790769815445,0.0007682887953706086,-0.005689751356840134,-0.0003848800261039287,-0.003924790769815445,0.0007682887953706086,0.00392478983849287,0.004239754751324654,0.0,1.0,0.0,0.09964732825756073,6.892870442243293e-05,0.0,mpnn,5,3,16,mean_max,32,37,428000,disabled_zero_placeholder,4280.0,0.45374608039855957,0.5217406749725342,0.12762193381786346,0.854756236076355,0.14292068779468536,0.09964732825756073,6.892870442243293e-05,0.09948906302452087,0.09954667091369629,0.09965193271636963,0.09972694516181946,0.09996536374092102,6.333429337246343e-05,6.892870442243293e-05,1.0002007911680266e-05
3,7.66608081035316,0.09744999999646098,0.09764531242049998,0.1,-0.0023546875795000255,-0.02354687344031291,0.0,0.09946715831756592,0.0,0.0,False,2.108899479935644e-06,161.87411499023438,0.32370373606681824,-1.7834292975749122e-06,0.0,0.05,4.901392458123155e-05,0.00014761633065063506,0.0005587298073805869,0.0005812293384224176,2.685546860448085e-07,0.9999995827674866,5.023797512054443,node_conditioned,22,False,False,True,0.1133342981338501,0.10697495192289352,0.07818632572889328,0.148463636636734,0.05629463121294975,2.3862907886505127,-12.623367309570312,2.428882360458374,0.03476350350344959,0.06473509222269058,0.06086026132106781,0.0,0.0,0.0,0.00014761633065063506,0.0,0.0,100,0.2,0.1375,0.0,1058,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.005934795364737511,0.0011570468777790666,-0.008751974441111088,-0.0006487348582595587,-0.005934795364737511,0.0011570468777790666,0.005934795364737511,0.006313847843557596,0.0,1.0,0.0,0.09946715831756592,0.00010363689216319472,0.0,mpnn,5,3,16,mean_max,32,37,423200,disabled_zero_placeholder,4232.0,0.4538206160068512,0.523531973361969,0.1283172369003296,0.858834445476532,0.14264383912086487,0.09946715831756592,0.00010363689216319472,0.0992150604724884,0.09931302070617676,0.09947666525840759,0.09958481788635254,0.09994164109230042,9.534524724585935e-05,0.00010363689216319472,1.4799179552937858e-05
4,8.908632073029876,0.09922499998472631,0.09843515620261314,0.1,-0.0015648437973868612,-0.015648436409024972,0.0,0.09936216473579407,0.0,0.0,False,2.0793877411051653e-06,219.88685607910156,0.323712021112442,5.4219736256300166e-08,0.0,0.05,4.842368798563257e-05,0.0015310130547732115,0.0022206949070096016,0.0006953896372579038,1.4648438195763447e-07,0.9999997615814209,4.677552223205566,node_conditioned,22,False,False,True,-0.2300204038619995,0.12587621808052063,0.07651884853839874,0.13500916957855225,0.054654646664857864,3.025797128677368,-14.989303588867188,3.089775323867798,0.04098396456583708,-0.2748163342475891,0.10593724995851517,0.0,0.0,0.0,0.0015310130547732115,0.0,0.0,100,0.2,0.135,0.0,940,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.007107820361852646,0.0013799805892631412,-0.010657068341970444,-0.0008364984532818198,-0.007107820361852646,0.0013799805892631412,0.007107820361852646,0.007679181173443794,0.0,1.0,0.0,0.09936216473579407,0.00012348374002613127,0.0,mpnn,5,3,16,mean_max,32,37,376000,disabled_zero_placeholder,3760.0,0.4019497036933899,0.5157533884048462,0.12677447497844696,0.8386294841766357,0.13913817703723907,0.09936216473579407,0.00012348374002613127,0.09904494881629944,0.09918042719364167,0.09937603399157524,0.09950003027915955,0.0999247133731842,0.00011337459727656096,0.00012348374002613127,2.0250889065209776e-05
5,8.607659597918392,0.09702499982900918,0.09773007801581116,0.1,-0.0022699219841888496,-0.02269921757196674,0.0,0.0993897020816803,0.0,0.0,False,2.5888816708175e-06,205.5099334716797,0.32380211353302,1.1536747024365468e-06,0.0,0.05,4.225614611641504e-05,0.0017373466398566961,0.0011244023917242885,0.0006649549468420446,-3.662109548940862e-08,0.9999997019767761,4.243456840515137,node_conditioned,22,False,False,True,-0.5466481447219849,0.13606815040111542,0.07262704521417618,0.13594244420528412,0.05165443569421768,3.1878626346588135,-14.757793426513672,3.2652883529663086,0.04686123471890369,-0.5720299482345581,0.07569054514169693,0.0,0.0,0.0,0.0017373466398566961,0.0,0.0,100,0.2,0.135,0.0,954,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.006800071801990271,0.0013338684802874923,-0.010011792182922363,-0.0007765681948512793,-0.006800071801990271,0.0013338684802874923,0.006800072267651558,0.007286430802196264,0.0,1.0,0.0,0.0993897020816803,0.00011939098476432264,0.0,mpnn,5,3,16,mean_max,32,37,381600,disabled_zero_placeholder,3816.0,0.42849528789520264,0.520956814289093,0.128468319773674,0.8471384048461914,0.14210891723632812,0.0993897020816803,0.00011939098476432264,0.09910255670547485,0.0992119312286377,0.09939965605735779,0.09952566027641296,0.09993010759353638,0.00011004319094354287,0.00011939098476432264,1.8182179701398127e-05
6,7.300138137638569,0.09909999991301448,0.09841503896441281,0.1,-0.0015849610355871957,-0.01584960877091108,0.0,0.09941911697387695,0.0,0.0,False,1.1534900750120869e-06,144.40467834472656,0.3237164616584778,-7.782783484344691e-08,0.0,0.05,4.809421443496831e-05,0.0026837948244065046,0.002060492755845189,0.0006265721167437732,-1.2207031829802872e-07,0.9999995827674866,4.481855392456055,node_conditioned,22,False,False,True,-0.8136954307556152,0.1259915679693222,0.062369056046009064,0.1493755578994751,0.04708397760987282,2.523703098297119,-12.781686782836914,2.589509963989258,0.05017990436743203,-0.8395484685897827,0.07957163453102112,0.0,0.0,0.0,0.0026837948244065046,0.0,0.0,100,0.2,0.1425,0.0,1064,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.0064713736064732075,0.0011912556365132332,-0.009317543357610703,-0.0007326491759158671,-0.0064713736064732075,0.0011912556365132332,0.006471374537795782,0.006875867024064064,0.0,1.0,0.0,0.09941911697387695,0.0001066567565430887,0.0,mpnn,5,3,16,mean_max,32,37,425600,disabled_zero_placeholder,4256.0,0.4493792653083801,0.5220610499382019,0.12802937626838684,0.852856457233429,0.13902617990970612,0.09941911697387695,0.0001066567565430887,0.09916451573371887,0.0992632508277893,0.0994294285774231,0.09953856468200684,0.09993404150009155,9.740162931848317e-05,0.0001066567565430887,1.6089596101664938e-05
7,8.054927267879247,0.09882499985862524,0.09862001941151902,0.1,-0.001379980588480989,-0.01379980450482944,0.0,0.09935632348060608,0.0,0.0,False,2.2418246317101875e-06,175.15927124023438,0.3236631751060486,6.804503271951035e-08,0.0,0.05,5.191657328396104e-05,0.0022365062031894922,0.0029309154488146305,0.0006979989120736718,3.1738281336401997e-07,0.9999997019767761,4.836632251739502,node_conditioned,22,False,False,True,-1.1268270015716553,0.14026138186454773,0.06395985931158066,0.13943926990032196,0.04749040678143501,2.5900421142578125,-14.318288803100586,2.670170307159424,0.059116682679711485,-1.1885654926300049,0.1403466761112213,0.0,0.0,0.0,0.0022365062031894922,0.0,0.0,100,0.2,0.1275,0.0,976,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.007172966841608286,0.0012733100447803736,-0.010470893234014511,-0.0008407004061155021,-0.007172966841608286,0.0012733100447803736,0.007172966375946999,0.007629273924976587,0.0,1.0,0.0,0.09935632348060608,0.00011393983731977642,0.0,mpnn,5,3,16,mean_max,32,37,390400,disabled_zero_placeholder,3904.0,0.42989909648895264,0.5228574872016907,0.12833023071289062,0.8488890528678894,0.1413717120885849,0.09935632348060608,0.00011393983731977642,0.099061518907547,0.09918781816959381,0.09936872124671936,0.09948205947875977,0.09992435574531555,0.00010365035996073857,0.00011393983731977642,1.6031674022087827e-05
8,9.002565915025771,0.09975000008009374,0.09918500974580638,0.1,-0.000814990254193626,-0.008149901726946088,0.0,0.09937494248151779,0.0,0.0,False,2.6289301331416937e-06,220.1107940673828,0.3237714469432831,-2.0652151988542755e-07,0.0,0.05,4.42778218712192e-05,0.0013292760122567415,0.0006745982100255787,0.0006706722197122872,0.0,0.9999996423721313,4.477468013763428,node_conditioned,22,False,False,True,-1.4437938928604126,0.15791355073451996,0.06807585805654526,0.12781760096549988,0.04625634104013443,3.0835649967193604,-16.172685623168945,3.1811699867248535,0.06042280563402058,-1.5059224367141724,0.07121036946773529,0.0,0.0,0.0,0.0013292760122567415,0.0,0.0,100,0.2,0.15,0.0,922,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.006964842788875103,0.0011761881178244948,-0.010028894990682602,-0.0008199119474738836,-0.006964842788875103,0.0011761881178244948,0.00696484325453639,0.007383039686828852,0.0,1.0,0.0,0.09937494248151779,0.00010526845289859921,0.0,mpnn,5,3,16,mean_max,32,37,368800,disabled_zero_placeholder,3688.0,0.4077949523925781,0.5191829204559326,0.12837757170200348,0.8426455855369568,0.14377234876155853,0.09937494248151779,0.00010526845289859921,0.0991010069847107,0.09921845197677612,0.09938609600067139,0.09949034452438354,0.09992623329162598,9.563824278302491e-05,0.00010526845289859921,1.5018410522316117e-05
9,7.35998610612005,0.10267499979119749,0.10093000476850193,0.1,0.0009300047685019269,0.009300046755014594,0.0,0.09940313547849655,0.0,0.0,False,9.311148687629611e-07,142.96421813964844,0.3238750994205475,-1.5275770692824153e-06,0.0,0.05,3.7543195503531024e-05,0.0018406929448246956,0.0024541744496673346,0.0006420034915208817,-9.765624753299562e-08,0.9999995231628418,4.793127536773682,node_conditioned,22,False,False,True,-1.6690287590026855,0.14271649718284607,0.05479913204908371,0.08870390802621841,0.04357646778225899,2.3552279472351074,-13.603241920471191,2.4358789920806885,0.06512294483319059,-1.679253339767456,0.061643943190574646,0.0,0.0,0.0,0.0018406929448246956,0.0,0.0,100,0.2,0.1425,0.0,972,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.006649725139141083,0.0010809041559696198,-0.009287607856094837,-0.0007642594282515347,-0.006649725139141083,0.0010809041559696198,0.00664972560480237,0.0069680167362093925,0.0,1.0,0.0,0.09940313547849655,9.676939953351393e-05,0.0,mpnn,5,3,16,mean_max,32,37,388800,disabled_zero_placeholder,3888.0,0.46111801266670227,0.521959662437439,0.12911106646060944,0.8499472737312317,0.14155122637748718,0.09940313547849655,9.676939953351393e-05,0.09916719794273376,0.09926277101039888,0.09941405057907104,0.09950852394104004,0.09993121027946472,8.761844947002828e-05,9.676939953351393e-05,1.4361992725753225e-05
