episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,8.262145200446248,0.10287499989848584,0.10143749994924292,0.1,0.0014374999492429152,0.014374998054929347,0.0,0.09999994933605194,0.0,0.0,False,-5.624481218546862e-07,194.67791748046875,0.3248901069164276,2.7848748231917853e-06,0.0,0.05,9.580686537447036e-07,0.00032000793726183474,0.00032000793726183474,0.0,6.103515914901436e-08,0.9999997019767761,4.421894073486328,node_conditioned,22,False,False,True,1.1701945066452026,0.13337795436382294,0.1195889264345169,0.19612149894237518,0.0758078470826149,3.0190834999084473,-12.724339485168457,2.998839855194092,-0.013546502664580684,1.145104169845581,0.12396549433469772,0.0,0.0,0.0,0.00032000793726183474,0.0,0.0,100,0.2,0.145,0.0,1054,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999994933605194,1.7943374786000277e-08,0.0,mpnn,5,3,16,mean_max,32,37,421600,disabled_zero_placeholder,4216.0,0.4337269365787506,0.5049861669540405,0.12404926866292953,0.8265587091445923,0.13595831394195557,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.09999996423721313,0.09999996423721313,0.09999996423721313,0.10000000149011612,1.5269147723984133e-08,1.7943374786000277e-08,2.2351741790771484e-08
1,6.074683078676462,0.09977499963715672,0.10060624979319982,0.1,0.0006062497931998145,0.006062497325748413,0.0,0.09988422691822052,0.0,0.0,False,-1.0617986845318228e-06,101.6902084350586,0.3245913088321686,1.1480599582114337e-08,0.0,0.05,6.229846803762484e-06,0.00078291428508237,0.0006668277783319354,0.00012099400191800669,4.1503906800244295e-07,0.999999463558197,5.609563827514648,node_conditioned,22,False,False,True,0.79231858253479,0.09016060084104538,0.0821092426776886,0.11619210243225098,0.061412084847688675,1.7159804105758667,-9.38669204711914,1.7259646654129028,0.01153599179577558,0.7802305817604065,0.0788196325302124,0.0,0.0,0.0,0.00078291428508237,0.0,0.0,100,0.2,0.145,0.0,1078,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.0012868703342974186,0.0003751363547053188,-0.002084918087348342,3.661857408587821e-05,-0.0012868703342974186,0.0003751363547053188,0.0012869659112766385,0.0014019155642017722,0.002475,0.997525,0.0,0.09988422691822052,3.372636638232507e-05,0.0,mpnn,5,3,16,mean_max,32,37,431200,disabled_zero_placeholder,4312.0,0.48818275332450867,0.5101085901260376,0.12942877411842346,0.8452948927879333,0.14001664519309998,0.09988422691822052,3.372636638232507e-05,0.09981247782707214,0.09983482956886292,0.09988901019096375,0.09992364048957825,0.10000324249267578,3.153202487737872e-05,3.372636638232507e-05,5.144755959918257e-06
2,6.47797978233546,0.09509999989066273,0.09785312484193127,0.1,-0.002146875158068731,-0.02146874943381237,0.0,0.09973406046628952,0.0,0.0,False,-1.4638183074566768e-06,115.56812286376953,0.3242120146751404,-6.880043656565249e-06,0.0,0.05,1.955175684997812e-05,0.001512270187959075,0.0012353190686553717,0.00028252278571017087,1.9531249506599124e-07,0.9999995231628418,5.096118450164795,node_conditioned,22,False,False,True,0.47216367721557617,0.08946316689252853,0.07480981945991516,0.13276366889476776,0.05718842148780823,2.0271151065826416,-10.315293312072754,2.051271915435791,0.023414531103193137,0.45149800181388855,0.07077675312757492,0.0,0.0,0.0,0.001512270187959075,0.0,0.0,100,0.2,0.135,0.0,1094,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.0029584276489913464,0.0007523380336351693,-0.004646854009479284,-0.00013301319268066436,-0.0029584276489913464,0.0007523380336351693,0.0029584276489913464,0.003252561204135418,0.0,1.0,0.0,0.09973406046628952,6.75475166644901e-05,0.0,mpnn,5,3,16,mean_max,32,37,437600,disabled_zero_placeholder,4376.0,0.4878295361995697,0.5169126987457275,0.1280793398618698,0.8534421920776367,0.14273743331432343,0.09973406046628952,6.75475166644901e-05,0.09958252310752869,0.09963658452033997,0.09974056482315063,0.09981551766395569,0.09998798370361328,6.28992056590505e-05,6.75475166644901e-05,9.542231055092998e-06
3,6.208813137561083,0.0975499999942258,0.09770156241807854,0.1,-0.0022984375819214697,-0.022984373520777344,0.0,0.09955786913633347,0.0,0.0,False,1.509480625827564e-06,104.61117553710938,0.3238524794578552,-2.2288797936198534e-06,0.0,0.05,3.903970718965866e-05,0.0005370689323171973,0.00019704121223185211,0.00047538787475787103,-2.0751953400122147e-07,0.9999994039535522,5.532065391540527,node_conditioned,22,False,False,True,0.17017921805381775,0.08978934586048126,0.0681610107421875,0.10508334636688232,0.05132941156625748,1.7618389129638672,-10.129022598266602,1.787276029586792,0.028262148907825524,0.12194761633872986,0.06358146667480469,0.0,0.0,0.0,0.0005370689323171973,0.0,0.0,100,0.2,0.1375,0.0,1068,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.004922562278807163,0.0011436068452894688,-0.007374992128461599,-0.0002740492345765233,-0.004922562278807163,0.0011436068452894688,0.004922562278807163,0.005288771353662014,0.0,1.0,0.0,0.09955786913633347,0.00010251640196656808,0.0,mpnn,5,3,16,mean_max,32,37,427200,disabled_zero_placeholder,4272.0,0.4852662682533264,0.5251338481903076,0.1279701590538025,0.8601292967796326,0.14132912456989288,0.09955786913633347,0.00010251640196656808,0.09933820366859436,0.09940978437662124,0.0995655357837677,0.09968104958534241,0.09997531771659851,9.514980774838477e-05,0.00010251640196656808,1.4949795513530262e-05
4,5.958179051503539,0.09922499998472631,0.09846328120140242,0.1,-0.0015367187985975833,-0.015367186449257188,0.0,0.09940791875123978,0.0,0.0,False,1.989984639294562e-06,95.36163330078125,0.32378828525543213,-1.6085989429370784e-08,0.0,0.05,4.321766027715057e-05,0.0009747114963829517,0.0016116221668198705,0.0006462230812758207,2.4414061883248905e-08,0.9999994039535522,5.46554708480835,node_conditioned,22,False,False,True,-0.11818505823612213,0.0949569121003151,0.06619593501091003,0.10928335785865784,0.04971146583557129,1.7050399780273438,-9.951703071594238,1.7389816045761108,0.0386553288834407,-0.14273086190223694,0.062466658651828766,0.0,0.0,0.0,0.0009747114963829517,0.0,0.0,100,0.2,0.135,0.0,1040,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.006596798077225685,0.0015136342262849212,-0.009853312745690346,-0.0005154779646545649,-0.006596798077225685,0.0015136342262849212,0.006596797611564398,0.007034448441118002,0.0,1.0,0.0,0.09940791875123978,0.00013550529547501355,0.0,mpnn,5,3,16,mean_max,32,37,416000,disabled_zero_placeholder,4160.0,0.4934963881969452,0.5258201360702515,0.12946568429470062,0.8610174655914307,0.13940463960170746,0.09940791875123978,0.00013550529547501355,0.09911668300628662,0.09921452403068542,0.09941640496253967,0.09957098960876465,0.09995362162590027,0.00012632858124561608,0.00013550529547501355,2.273170139233116e-05
5,6.757327272407711,0.09709999983198941,0.09778164051669591,0.1,-0.0022183594833040943,-0.022183592614681683,0.0,0.09943215548992157,0.0,0.0,False,1.966076297321706e-06,122.56412506103516,0.3239271342754364,1.5628465916961432e-06,0.0,0.05,3.443871537456289e-05,0.0009451577789150178,0.0005001767422072589,0.0006135980947874486,2.4414061883248905e-08,0.9999995231628418,5.387027740478516,node_conditioned,22,False,False,True,-0.43215546011924744,0.10630856454372406,0.06120511516928673,0.09824056923389435,0.045011747628450394,1.9423375129699707,-11.548670768737793,1.9844826459884644,0.04202365581970524,-0.47203293442726135,0.07682037353515625,0.0,0.0,0.0,0.0009451577789150178,0.0,0.0,100,0.2,0.135,0.0,958,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.006326140370219946,0.0014765227679163218,-0.009560118429362774,-0.0006619013147428632,-0.006326140370219946,0.0014765227679163218,0.006326140370219946,0.006832722574472427,0.0,1.0,0.0,0.09943215548992157,0.00013220941764302552,0.0,mpnn,5,3,16,mean_max,32,37,383200,disabled_zero_placeholder,3832.0,0.4610123932361603,0.5248672962188721,0.12760213017463684,0.8521021604537964,0.13839872181415558,0.09943215548992157,0.00013220941764302552,0.09914284944534302,0.09924223124980927,0.09943947196006775,0.09959161281585693,0.09994041919708252,0.00012316793436184525,0.00013220941764302552,1.8907245248556137e-05
6,6.239025013893842,0.09919999992940574,0.09849082022305083,0.1,-0.001509179776949171,-0.015091796260312084,0.0,0.09948819875717163,0.0,0.0,False,4.6976253997854656e-07,103.45301818847656,0.3238596022129059,1.0493398150401845e-08,0.0,0.05,3.857005503959954e-05,0.002814733423292637,0.0022729607298970222,0.0005431777099147439,-2.4414061883248905e-08,0.999999463558197,5.118926048278809,node_conditioned,22,False,False,True,-0.7073481678962708,0.10714954882860184,0.0577283576130867,0.09956096112728119,0.046473003923892975,1.8830097913742065,-10.91408920288086,1.9361529350280762,0.05414218801707016,-0.6994399428367615,0.08178907632827759,0.0,0.0,0.0,0.002814733423292637,0.0,0.0,100,0.2,0.1425,0.0,1020,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.005700033623725176,0.0012910468503832817,-0.009040662087500095,-0.0004426999657880515,-0.005700033623725176,0.0012910468503832817,0.005700034089386463,0.006166758481413126,0.0,1.0,0.0,0.09948819875717163,0.00011565779277589172,0.0,mpnn,5,3,16,mean_max,32,37,408000,disabled_zero_placeholder,4080.0,0.47204163670539856,0.5199154615402222,0.12771150469779968,0.8501319289207458,0.14066959917545319,0.09948819875717163,0.00011565779277589172,0.09918925166130066,0.09932014048099518,0.09949909150600433,0.09962397888302804,0.09996014833450317,0.00010765992192318663,0.00011565779277589172,1.7002028471324593e-05
7,6.533173226304353,0.09887499982956797,0.09868291002630941,0.1,-0.0013170899736905939,-0.013170898419816097,0.0,0.09941284358501434,0.0,0.0,False,2.9506286409741733e-06,112.86152648925781,0.323774516582489,-2.7441233285685485e-08,0.0,0.05,4.4119991798652336e-05,0.0020319195464253426,0.0026566004380583763,0.0006298806983977556,-6.713867151120212e-07,0.999999463558197,5.3092265129089355,node_conditioned,22,False,False,True,-0.9980033040046692,0.11332378536462784,0.05707639828324318,0.10041984170675278,0.04509174823760986,1.8964953422546387,-11.657310485839844,1.9503802061080933,0.05449243310006113,-1.033474326133728,0.07287829369306564,0.0,0.0,0.0,0.0020319195464253426,0.0,0.0,100,0.2,0.1275,0.0,1072,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.006541646551340818,0.0014111767522990704,-0.010045535862445831,-0.0005630044615827501,-0.006541646551340818,0.0014111767522990704,0.006541646551340818,0.007053013890981674,0.0,1.0,0.0,0.09941284358501434,0.00012633604637812823,0.0,mpnn,5,3,16,mean_max,32,37,428800,disabled_zero_placeholder,4288.0,0.48808032274246216,0.5133754014968872,0.12736552953720093,0.8481371998786926,0.13893675804138184,0.09941284358501434,0.00012633604637812823,0.0990995243191719,0.09922983944416047,0.09942372143268585,0.0995604395866394,0.09994934499263763,0.00011711833940353245,0.00012633604637812823,1.7732922060531564e-05
8,6.42795025434345,0.09977500007487833,0.09922895505059387,0.1,-0.0007710449494061355,-0.0077104487230164834,0.0,0.09942013025283813,0.0,0.0,False,2.589671794339665e-06,108.68035888671875,0.3238704204559326,-1.329118362036752e-07,0.0,0.05,3.787742025451735e-05,0.001236324431374669,0.0006348423776216805,0.0006209150305949152,-3.0517577442878974e-07,0.9999995827674866,4.942689418792725,node_conditioned,22,False,False,True,-1.2679933309555054,0.12111283093690872,0.0568833202123642,0.09239749610424042,0.04428703337907791,1.9961252212524414,-11.704277038574219,2.0575950145721436,0.0588566081292935,-1.2812367677688599,0.04820174723863602,0.0,0.0,0.0,0.001236324431374669,0.0,0.0,100,0.2,0.15,0.0,972,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.006460265256464481,0.0013408068334683776,-0.009655150584876537,-0.0006163666257634759,-0.006460265256464481,0.0013408068334683776,0.006460265722125769,0.006848419085144997,0.0,1.0,0.0,0.09942013025283813,0.00012004584277747199,0.0,mpnn,5,3,16,mean_max,32,37,388800,disabled_zero_placeholder,3888.0,0.47697025537490845,0.5198827981948853,0.12849751114845276,0.8491029143333435,0.14121082425117493,0.09942013025283813,0.00012004584277747199,0.09913438558578491,0.09924661815166473,0.09943187236785889,0.09955936670303345,0.09994450211524963,0.00011085220467066392,0.00012004584277747199,1.7675165508990176e-05
9,6.868233087714762,0.10269999980460852,0.1009644774276012,0.1,0.0009644774276011958,0.009644773311534627,0.0,0.09945640712976456,0.0,0.0,False,1.3134174423612421e-06,122.89025115966797,0.3239630162715912,-1.1157799235661514e-06,0.0,0.05,3.231082882848568e-05,0.0007750557269901037,0.0013358262367546558,0.0005754288868047297,-8.544921570319275e-08,0.9999995231628418,5.463469505310059,node_conditioned,22,False,False,True,-1.5606536865234375,0.1261240839958191,0.049554094672203064,0.08563454449176788,0.04185010865330696,1.9235997200012207,-12.687061309814453,1.9872115850448608,0.06299650905706289,-1.6162980794906616,0.05312976986169815,0.0,0.0,0.0,0.0007750557269901037,0.0,0.0,100,0.2,0.1425,0.0,1066,no_curvature_stage2_mpnn_v1,False,1.2475175857543945,1.5000001192092896,0.0,37,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09999994933605194,1.7943374786000277e-08,0.09999996423721313,0.10000000149011612,-0.006054879631847143,0.0011964052682742476,-0.00915610697120428,-0.000548583164345473,-0.006054879631847143,0.0011964052682742476,0.006054879631847143,0.006434567738324404,0.0,1.0,0.0,0.09945640712976456,0.00010715225653257221,0.0,mpnn,5,3,16,mean_max,32,37,426400,disabled_zero_placeholder,4264.0,0.47385314106941223,0.5099908113479614,0.1267678290605545,0.8401885032653809,0.13833771646022797,0.09945640712976456,0.00010715225653257221,0.09917899966239929,0.09930196404457092,0.09946650266647339,0.09957751631736755,0.0999506413936615,9.823343134485185e-05,0.00010715225653257221,1.6056830645538867e-05
