episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mean_directed_degree,valid_edge_fraction,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.0722361135482785,0.11662499957252294,0.10831249978626148,0.1,0.008312499786261474,0.08312498955011578,0.08312498955011578,0.11425203830003738,0.0,0.0,False,-2.2583008103538305e-06,137.8709716796875,0.34910687804222107,2.59282410297601e-06,0.0,1.708984314063855e-07,0.9999995827674866,4.808034896850586,0.0,0.0,0.0,0.000545086688362062,0.0,0.0,100,0.2,0.235,0.16,970,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.21430417895317078,0.0,0.0,0.0,0.0,0.11425203830003738,0.035265110433101654,0.9853913506278098,mpnn,5,3,16,mean_max,32,38,388000,3880.0,0.9365128874778748,1.1035878658294678,0.1731400489807129,1.6634595394134521,0.18173913657665253,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.07224552631378195,0.10975059866905212,0.1617414951324463,0.21430417895317078,0.03526511788368225,0.035265110433101654,0.03526517003774643
1,7.640410612877458,0.10549999978858977,0.10690624978742563,0.1,0.006906249787425628,0.06906249096800718,0.06906249096800718,0.10520307719707489,0.0,0.0,False,-5.2001951189595275e-06,159.62034606933594,0.32482579350471497,1.993434580072062e-06,0.0,-4.882812376649781e-08,0.9999995231628418,5.038987159729004,0.0,0.0,0.0,0.002136251190677285,0.0,0.0,100,0.2,0.2625,0.17,904,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10535085201263428,0.04750553518533707,0.05736881494522095,0.21430417895317078,-0.0015794605715200305,0.000532069185283035,-0.0030224632937461138,0.0014833135064691305,0.10520307719707489,0.04744117334485054,0.9842799039959053,mpnn,5,3,16,mean_max,32,38,361600,3616.0,0.9389463663101196,1.0963588953018188,0.16305744647979736,1.6616061925888062,0.17345622181892395,0.10520307719707489,0.04744117334485054,0.057216137647628784,0.057298630475997925,0.09205523133277893,0.21394217014312744,0.214552640914917,0.04744116961956024,0.04744117334485054,0.04744114726781845
2,6.655139142908156,0.1008999996446073,0.10390312471601647,0.1,0.0039031247160164623,0.0390312432570403,0.0,0.10475755482912064,0.0,0.0,False,-4.565429662761744e-06,118.02654266357422,0.3262362778186798,-1.6690653865225613e-05,0.0,-4.516601563864242e-07,0.9999995231628418,5.5673041343688965,0.0,0.0,0.0,0.0017474634805694222,0.0,0.0,100,0.2,0.2575,0.14,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10536124557256699,0.04146726429462433,0.05736881494522095,0.21430417895317078,-0.006520404014736414,0.0007313868263736367,-0.009557985700666904,0.00043391523649916053,0.10475755482912064,0.04126222804188728,0.9836173688181908,mpnn,5,3,16,mean_max,32,38,428000,4280.0,0.935287356376648,1.1353671550750732,0.1685497760772705,1.704702377319336,0.18151910603046417,0.10475755482912064,0.04126222804188728,0.056922584772109985,0.06228362321853638,0.09457698464393616,0.1544833362102356,0.2143712341785431,0.04126220569014549,0.04126222804188728,0.04126216843724251
3,7.587049488723278,0.10137499995995312,0.1026390623379848,0.1,0.0026390623379847905,0.026390620740785832,0.0,0.10203807055950165,0.0,0.0,False,1.5563964552711695e-06,154.60333251953125,0.3218717575073242,-9.126175086748844e-07,0.0,-4.7607420583517523e-07,0.9999995827674866,5.178280830383301,0.0,0.0,0.0,0.0016680087428539991,0.0,0.0,100,0.2,0.25,0.13,1058,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1032114028930664,0.037906575947999954,0.05736881494522095,0.21430417895317078,-0.012913206592202187,0.0011030611349269748,-0.01824389211833477,-0.0013234091456979513,0.10203807055950165,0.03753150254487991,0.9822045469189904,mpnn,5,3,16,mean_max,32,38,423200,4232.0,0.931939959526062,1.1282284259796143,0.17152327299118042,1.7023566961288452,0.17958569526672363,0.10203807055950165,0.03753150254487991,0.05648598074913025,0.05671104192733765,0.0959019660949707,0.14911379814146278,0.21408045291900635,0.03753144294023514,0.03753150254487991,0.03753135725855827
4,7.706041160449385,0.10689999955240637,0.10476953094519559,0.1,0.0047695309451955825,0.04769530468242536,0.0,0.10669262707233429,0.0,0.0,False,-1.8981933180839405e-06,157.89410400390625,0.33278563618659973,1.0845341193999047e-06,0.0,3.845214848752221e-07,0.9999995231628418,5.383841037750244,0.0,0.0,0.0,0.001139700529165566,0.0,0.0,100,0.2,0.2725,0.12,940,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10812375694513321,0.03677346929907799,0.05736881494522095,0.21430417895317078,-0.015076491981744766,0.001607929589226842,-0.02100837416946888,-0.0018574760761111975,0.10669262707233429,0.0363280363380909,0.9871258857759444,mpnn,5,3,16,mean_max,32,38,376000,3760.0,0.9433563947677612,1.1068782806396484,0.16748842597007751,1.6754419803619385,0.1733127236366272,0.10669262707233429,0.0363280363380909,0.05636432766914368,0.056628644466400146,0.10596390068531036,0.14645735025405882,0.21394038200378418,0.03632795065641403,0.0363280363380909,0.036327704787254333
5,7.121435102745891,0.10642499977257103,0.10559726535888331,0.1,0.005597265358883302,0.055972647991568224,0.055972647991568224,0.10749970376491547,0.0,0.0,False,-2.752685531959287e-06,132.84494018554688,0.33522656559944153,2.96370308205951e-06,0.0,4.272461069376732e-07,0.9999995231628418,5.319026470184326,0.0,0.0,0.0,0.001361481728963554,0.0,0.0,100,0.2,0.24,0.12,954,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10876794159412384,0.03568749874830246,0.05736881494522095,0.21430417895317078,-0.013224747031927109,0.0021261454094201326,-0.020198963582515717,-0.0016033905558288097,0.10749970376491547,0.03529760241508484,0.9830953955263049,mpnn,5,3,16,mean_max,32,38,381600,3816.0,0.944507360458374,1.1127681732177734,0.16890130937099457,1.6813753843307495,0.17767013609409332,0.10749970376491547,0.03529760241508484,0.05638715624809265,0.06501337289810184,0.10151587426662445,0.14342598021027897,0.21403434872627258,0.03529752418398857,0.03529760241508484,0.03529703617095947
6,6.779585862457752,0.10077499995939433,0.10318613265913881,0.1,0.0031861326591388073,0.03186132340525573,0.0,0.10166161507368088,0.0,0.0,False,-6.091308478062274e-06,118.5606918334961,0.3227749168872833,-2.5537610781611875e-06,0.0,-2.4414061883248905e-08,0.9999995231628418,5.529168128967285,0.0,0.0,0.0,0.003550521098077297,0.0,0.0,100,0.2,0.2125,0.09,1064,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10279645770788193,0.03331880643963814,0.05736881494522095,0.21430417895317078,-0.012381290085613728,0.0030382294207811356,-0.02068093977868557,-0.0015318694058805704,0.10166161507368088,0.03296135738492012,0.9838722380773735,mpnn,5,3,16,mean_max,32,38,425600,4256.0,0.9385667443275452,1.1285327672958374,0.16894616186618805,1.708516001701355,0.17400798201560974,0.10166161507368088,0.03296135738492012,0.05640590190887451,0.06777345836162567,0.09310620650649071,0.1344778329133959,0.21404635906219482,0.03296126425266266,0.03296135738492012,0.03296025097370148
7,7.495768680125475,0.09662499971687794,0.09990556618800837,0.1,-9.443381199163159e-05,-0.0009443380254825133,0.0,0.09883308410644531,0.0,0.0,False,5.493163968139925e-08,145.79354858398438,0.311672568321228,-5.681130915036192e-06,0.0,2.19726558725597e-07,0.9999995827674866,5.30418586730957,0.0,0.0,0.0,0.0008802695665508509,0.0,0.0,100,0.2,0.23,0.15,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10027240961790085,0.04528488218784332,0.05736881494522095,0.21430417895317078,-0.016021588817238808,0.003941928967833519,-0.02704048715531826,-0.0025803551543504,0.09883308410644531,0.044626012444496155,0.9864236079993455,mpnn,5,3,16,mean_max,32,38,390400,3904.0,0.9440445899963379,1.1266454458236694,0.16713088750839233,1.7095634937286377,0.17671184241771698,0.09883308410644531,0.044626012444496155,0.055964261293411255,0.05651401579380035,0.08282646536827087,0.16809549927711487,0.21387004852294922,0.0446259081363678,0.044626012444496155,0.04462478682398796
8,8.515964900590479,0.09909999975934625,0.09950278297367732,0.1,-0.0004972170263226883,-0.004972169766009906,0.0,0.097991444170475,0.0,0.0,False,-7.0678711381333414e-06,189.4978485107422,0.3142676055431366,3.501810169836972e-06,0.0,9.765624753299562e-08,0.9999996423721313,5.04797887802124,0.0,0.0,0.0,0.0028075992595404387,0.0,0.0,100,0.2,0.2175,0.06,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09975522756576538,0.032919786870479584,0.05736881494522095,0.21430417895317078,-0.01981784962117672,0.004829226993024349,-0.03256234899163246,-0.003623149124905467,0.097991444170475,0.03234252706170082,0.9836579594239181,mpnn,5,3,16,mean_max,32,38,368800,3688.0,0.9434950947761536,1.1210529804229736,0.16840626299381256,1.6963297128677368,0.18102644383907318,0.097991444170475,0.03234252706170082,0.055759966373443604,0.05638596117496491,0.09781911969184875,0.13449930250644035,0.21357470750808716,0.032342322170734406,0.03234252706170082,0.03233982250094414
9,6.628294701650739,0.1029000000981614,0.10120139153591937,0.1,0.0012013915359193605,0.01201391415780219,0.0,0.09941525012254715,0.0,0.0,False,1.2756347587128403e-06,109.42003631591797,0.31638550758361816,1.3251147720438894e-05,0.0,1.3427734302240424e-07,0.9999995231628418,5.8409810066223145,0.0,0.0,0.0,0.0014697929145768285,0.0,0.0,100,0.2,0.2525,0.1,972,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10164296627044678,0.036942772567272186,0.05736881494522095,0.21430417895317078,-0.02468682825565338,0.005785765126347542,-0.040143661201000214,-0.004815582651644945,0.09941525012254715,0.036150407046079636,0.9817893843811308,mpnn,5,3,16,mean_max,32,38,388800,3888.0,0.9479990005493164,1.1522914171218872,0.169247105717659,1.7390611171722412,0.17452669143676758,0.09941525012254715,0.036150407046079636,0.05546906590461731,0.060182636976242064,0.09397020190954208,0.14334166646003713,0.21344700455665588,0.03615013509988785,0.036150407046079636,0.03614692762494087
