episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mean_directed_degree,valid_edge_fraction,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.0722361135482785,0.11662499957252294,0.10831249978626148,0.1,0.008312499786261474,0.08312498955011578,0.08312498955011578,0.11425203830003738,0.0,0.0,False,-7.427978289342718e-06,127.009521484375,0.34851160645484924,9.895509720081463e-06,0.0,1.708984314063855e-07,0.9999995827674866,4.808034896850586,0.0,0.0,0.0,0.000545086688362062,0.0,0.0,100,0.2,0.235,0.16,970,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.21430417895317078,0.0,0.0,0.0,0.0,0.11425203830003738,0.035265110433101654,0.9853913506278098,mpnn,5,3,16,mean_max,32,38,388000,3880.0,0.9365128874778748,1.103621482849121,0.1728121042251587,1.664001703262329,0.1807926595211029,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.07224552631378195,0.10975059866905212,0.1617414951324463,0.21430417895317078,0.03526511788368225,0.035265110433101654,0.03526517003774643
1,7.6407782707177105,0.1050999998068437,0.10670624979655259,0.1,0.006706249796552585,0.06706249125927673,0.06706249125927673,0.10479971766471863,0.0,0.0,False,-2.770385799522046e-05,144.24127197265625,0.3216414451599121,1.8041815565084107e-05,0.0,-8.544921570319275e-08,0.9999995231628418,5.17714786529541,0.0,0.0,0.0,0.0024120621383190155,0.0,0.0,100,0.2,0.2625,0.17,904,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10535085201263428,0.04750553518533707,0.05736881494522095,0.21430417895317078,-0.005902962293475866,0.0019172634929418564,-0.01117612887173891,0.005497484002262354,0.10479971766471863,0.04726561903953552,0.9842799039959053,mpnn,5,3,16,mean_max,32,38,361600,3616.0,0.9389491081237793,1.1183226108551025,0.1610012799501419,1.6917874813079834,0.17163850367069244,0.10479971766471863,0.04726561903953552,0.0568084716796875,0.05710287690162658,0.09193845093250275,0.21295881271362305,0.2152136266231537,0.04726554825901985,0.04726561903953552,0.04726528003811836
2,6.8449118641391395,0.0988999996241182,0.1028031247103354,0.1,0.002803124710335392,0.028031244300229487,0.0,0.1026620864868164,0.0,0.0,False,-3.355712760821916e-05,110.06491088867188,0.3176478445529938,-6.905223563080654e-05,0.0,3.295898522992502e-07,0.9999995231628418,5.582705020904541,0.0,0.0,0.0,0.00215060799382627,0.0,0.0,100,0.2,0.255,0.13,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10536124557256699,0.04146726429462433,0.05736881494522095,0.21430417895317078,-0.029530126601457596,0.0025891331024467945,-0.03847555071115494,0.0009880764409899712,0.1026620864868164,0.04058845713734627,0.9836173688181908,mpnn,5,3,16,mean_max,32,38,428000,4280.0,0.9355186820030212,1.1893569231033325,0.16543453931808472,1.7788835763931274,0.18066759407520294,0.1026620864868164,0.04058845713734627,0.05553743243217468,0.060961535573005675,0.09276260435581207,0.15416743159293142,0.21444064378738403,0.040588051080703735,0.04058845713734627,0.040587689727544785
3,7.597991157770156,0.09650000010617077,0.09965156240825308,0.1,-0.00034843759174692235,-0.0034843755690316665,0.0,0.09726203978061676,0.0,0.0,False,9.851074537436944e-06,134.39231872558594,0.30989620089530945,-2.8369761366775492e-06,0.0,-5.126952942191565e-07,0.9999995827674866,5.490797519683838,0.0,0.0,0.0,0.0019670906476676464,0.0,0.0,100,0.2,0.235,0.09,1058,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1032114028930664,0.037906575947999954,0.05736881494522095,0.21430417895317078,-0.06706715375185013,0.004579101223498583,-0.0802353024482727,-0.008142995648086071,0.09726203978061676,0.03605778142809868,0.9822045469189904,mpnn,5,3,16,mean_max,32,38,423200,4232.0,0.9326087236404419,1.1747878789901733,0.16493605077266693,1.7670494318008423,0.1737191379070282,0.09726203978061676,0.03605778142809868,0.05348196625709534,0.05389758907258511,0.09121672809123993,0.14746078848838168,0.21293628215789795,0.03605622798204422,0.03605778142809868,0.03605540469288826
4,7.859920462593436,0.1011499997926876,0.10040078110047035,0.1,0.0004007811004703432,0.004007810603922372,0.0,0.10098842531442642,0.0,0.0,False,-2.5640869353082962e-05,138.39627075195312,0.32349419593811035,1.177689409814775e-05,0.0,-2.3193359766082722e-07,0.9999996423721313,6.027212619781494,0.0,0.0,0.0,0.002748259576037526,0.0,0.0,100,0.2,0.2625,0.08,940,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10812375694513321,0.03677346929907799,0.05736881494522095,0.21430417895317078,-0.07718444615602493,0.005905128549784422,-0.09565301239490509,-0.011768474243581295,0.10098842531442642,0.03460304066538811,0.9871258857759444,mpnn,5,3,16,mean_max,32,38,376000,3760.0,0.9451569318771362,1.119040608406067,0.15954189002513885,1.688093900680542,0.1658278852701187,0.10098842531442642,0.03460304066538811,0.052742987871170044,0.05349639058113098,0.10018584132194519,0.13923192620277405,0.2120787799358368,0.03460083156824112,0.03460304066538811,0.03459884971380234
5,7.17066893748939,0.10242499989457428,0.1014128904975223,0.1,0.0014128904975223011,0.014128903562332654,0.0,0.10358729213476181,0.0,0.0,False,5.310058668328566e-07,107.86486053466797,0.32888931035995483,2.435330861771945e-05,0.0,2.4414061883248905e-08,0.9999995827674866,5.942385673522949,0.0,0.0,0.0,0.0018853814108297229,0.0,0.0,100,0.2,0.2275,0.09,954,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10876794159412384,0.03568749874830246,0.05736881494522095,0.21430417895317078,-0.055093664675951004,0.006247180514037609,-0.07710587233304977,-0.008795603178441525,0.10358729213476181,0.03416367992758751,0.9830953955263049,mpnn,5,3,16,mean_max,32,38,381600,3816.0,0.9452515840530396,1.1031601428985596,0.15644745528697968,1.6641775369644165,0.16446436941623688,0.10358729213476181,0.03416367992758751,0.05372124910354614,0.0622092604637146,0.09874863922595978,0.14164305329321178,0.21282696723937988,0.034162577241659164,0.03416367992758751,0.03415884077548981
6,6.724797980189323,0.09810000011697412,0.09975644530724821,0.1,-0.00024355469275179342,-0.002435546683963266,0.0,0.09883980453014374,0.0,0.0,False,-2.491455052222591e-05,88.4452133178711,0.31544002890586853,-3.9903452488943e-06,0.0,1.708984314063855e-07,0.9999996423721313,6.21549654006958,0.0,0.0,0.0,0.004164781887084246,0.0,0.0,100,0.2,0.21,0.07,1064,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10279645770788193,0.03331880643963814,0.05736881494522095,0.21430417895317078,-0.04383772984147072,0.00882659014314413,-0.0696997344493866,-0.007693721447139978,0.09883980453014374,0.032124113291502,0.9838722380773735,mpnn,5,3,16,mean_max,32,38,425600,4256.0,0.9387264847755432,1.127204418182373,0.154917374253273,1.6978365182876587,0.15935951471328735,0.09883980453014374,0.032124113291502,0.0540522038936615,0.06610753834247589,0.09054269269108772,0.13115577697753902,0.21301156282424927,0.032123297452926636,0.032124113291502,0.032114703208208084
7,7.594921708256006,0.09272499992512166,0.09624072261618494,0.1,-0.0037592773838150684,-0.037592770078873676,0.0,0.09509805589914322,0.0,0.0,False,-4.028320290672127e-07,112.46548461914062,0.3013227880001068,-2.7316378691466525e-05,0.0,-9.765624753299562e-08,0.9999997019767761,5.890067100524902,0.0,0.0,0.0,0.0005010859458707273,0.0,0.0,100,0.2,0.22,0.12,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10027240961790085,0.04528488218784332,0.05736881494522095,0.21430417895317078,-0.058828748762607574,0.012380252592265606,-0.09429652243852615,-0.012543939985334873,0.09509805589914322,0.042976465076208115,0.9864236079993455,mpnn,5,3,16,mean_max,32,38,390400,3904.0,0.9457274675369263,1.136907696723938,0.148935005068779,1.7121105194091797,0.15835808217525482,0.09509805589914322,0.042976465076208115,0.05260249972343445,0.05435365438461304,0.0800839364528656,0.16142028868198396,0.2121995985507965,0.04297540336847305,0.042976465076208115,0.0429641418159008
8,8.61893586937338,0.09314999971538782,0.09469536116578638,0.1,-0.005304638834213629,-0.053046383037497986,-0.053046383037497986,0.09279455244541168,0.0,0.0,False,-4.2803956603165716e-05,141.77635192871094,0.299110472202301,2.8804963221773505e-05,0.0,-9.765624753299562e-08,0.9999997019767761,5.88379430770874,0.0,0.0,0.0,0.0029559482354670763,0.0,0.0,100,0.2,0.205,0.06,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09975522756576538,0.032919786870479584,0.05736881494522095,0.21430417895317078,-0.0801456868648529,0.016195395961403847,-0.12098021805286407,-0.017829421907663345,0.09279455244541168,0.030648263171315193,0.9836579594239181,mpnn,5,3,16,mean_max,32,38,368800,3688.0,0.9450216889381409,1.1644675731658936,0.14865614473819733,1.7464196681976318,0.16183510422706604,0.09279455244541168,0.030648263171315193,0.05163896083831787,0.05359746515750885,0.09222108125686646,0.1290501952171325,0.21058708429336548,0.0306459441781044,0.030648263171315193,0.030619293451309204
9,6.705012127235531,0.09509999989997596,0.09489768053288117,0.1,-0.005102319467118838,-0.05102318956886942,-0.05102318956886942,0.09164696931838989,0.0,0.0,False,1.2261963092896622e-05,69.6485824584961,0.2953345775604248,0.00011754097795346752,0.0,1.2207031829802872e-07,0.9999996423721313,6.543892860412598,0.0,0.0,0.0,0.0011277886806055903,0.0,0.0,100,0.2,0.2175,0.07,972,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10164296627044678,0.036942772567272186,0.05736881494522095,0.21430417895317078,-0.1151178702712059,0.02031128481030464,-0.16610275208950043,-0.02610168792307377,0.09164696931838989,0.03348734602332115,0.9817893843811308,mpnn,5,3,16,mean_max,32,38,388800,3888.0,0.9465715289115906,1.2086559534072876,0.15088193118572235,1.8093687295913696,0.15787671506404877,0.09164696931838989,0.03348734602332115,0.049613773822784424,0.05484482049942017,0.08620594441890717,0.1317632704973221,0.20963546633720398,0.0334835909307003,0.03348734602332115,0.033447302877902985
