episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mean_directed_degree,valid_edge_fraction,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.0722361135482785,0.11662499957252294,0.10831249978626148,0.1,0.008312499786261474,0.08312498955011578,0.08312498955011578,0.11425203830003738,0.0,0.0,False,-3.686523541546194e-06,127.009521484375,0.34894639253616333,4.4669054659607355e-06,0.0,1.708984314063855e-07,0.9999995827674866,4.808034896850586,0.0,0.0,0.0,0.000545086688362062,0.0,0.0,100,0.2,0.235,0.16,970,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.21430417895317078,0.0,0.0,0.0,0.0,0.11425203830003738,0.035265110433101654,0.9853913506278098,mpnn,5,3,16,mean_max,32,38,388000,3880.0,0.9365128874778748,1.1035568714141846,0.1731090396642685,1.6635513305664062,0.1815483570098877,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.07224552631378195,0.10975059866905212,0.1617414951324463,0.21430417895317078,0.03526511788368225,0.035265110433101654,0.03526517003774643
1,7.6405535328947005,0.10534999981056899,0.10683124979841524,0.1,0.006831249798415234,0.06831249115290322,0.06831249115290322,0.1050979271531105,0.0,0.0,False,-9.790039257495664e-06,144.2266845703125,0.32406744360923767,4.166266990068834e-06,0.0,-1.8310547034161573e-07,0.9999995827674866,5.179354190826416,0.0,0.0,0.0,0.002199136884883046,0.0,0.0,100,0.2,0.2625,0.17,904,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10535085201263428,0.04750553518533707,0.05736881494522095,0.21430417895317078,-0.002704315586015582,0.0009038008283823729,-0.005161878652870655,0.0025413446128368378,0.1050979271531105,0.04739529639482498,0.9842799039959053,mpnn,5,3,16,mean_max,32,38,361600,3616.0,0.9389491081237793,1.103554129600525,0.16260626912117004,1.671390414237976,0.17303813993930817,0.1050979271531105,0.04739529639482498,0.05710837244987488,0.05724825561046601,0.09202389419078827,0.21368447542190552,0.21472874283790588,0.04739528149366379,0.04739529639482498,0.04739522188901901
2,6.802018676735461,0.10049999967217445,0.10366562473529484,0.1,0.0036656247352948312,0.036656243687323946,0.0,0.10426628589630127,0.0,0.0,False,-9.716796739667188e-06,108.6541976928711,0.32437369227409363,-2.9886150514357723e-05,0.0,-2.19726558725597e-07,0.9999995827674866,5.549810886383057,0.0,0.0,0.0,0.0018317297799512744,0.0,0.0,100,0.2,0.2575,0.13,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10536124557256699,0.04146726429462433,0.05736881494522095,0.21430417895317078,-0.011868010275065899,0.001217907527461648,-0.016742268577218056,0.000663062441162765,0.10426628589630127,0.041100967675447464,0.9836173688181908,mpnn,5,3,16,mean_max,32,38,428000,4280.0,0.9347336292266846,1.1476771831512451,0.1669532060623169,1.7210732698440552,0.1812565177679062,0.10426628589630127,0.041100967675447464,0.05658373236656189,0.06197488605976105,0.09431110322475433,0.1544143348932127,0.214408278465271,0.04110089689493179,0.041100967675447464,0.041100796312093735
3,7.576724984347821,0.10037500007543713,0.10202031240536599,0.1,0.002020312405365987,0.02020312203334767,0.0,0.10101661086082458,0.0,0.0,False,2.7648925424728077e-06,133.31568908691406,0.31934112310409546,-1.2006740917058778e-06,0.0,4.882812376649781e-08,0.9999997019767761,5.590329647064209,0.0,0.0,0.0,0.0016432852717116475,0.0,0.0,100,0.2,0.2425,0.12,1058,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1032114028930664,0.037906575947999954,0.05736881494522095,0.21430417895317078,-0.02428332157433033,0.0019158999202772975,-0.033038366585969925,-0.002632531803101301,0.10101661086082458,0.03721148520708084,0.9822045469189904,mpnn,5,3,16,mean_max,32,38,423200,4232.0,0.9326701164245605,1.1396586894989014,0.168636292219162,1.716521143913269,0.1769631952047348,0.10101661086082458,0.03721148520708084,0.05576682090759277,0.05612119436264038,0.09488877654075623,0.1487665742635584,0.21386125683784485,0.037211284041404724,0.03721148520708084,0.03721105679869652
4,7.813847478553653,0.10567499960307032,0.10384765600421816,0.1,0.0038476560042181585,0.03847655619452597,0.0,0.10545703023672104,0.0,0.0,False,-3.765869223570917e-06,137.00177001953125,0.33064380288124084,1.3769908946414944e-06,0.0,-2.685546860448085e-07,0.9999995827674866,5.871431827545166,0.0,0.0,0.0,0.001671590143814683,0.0,0.0,100,0.2,0.2725,0.11,940,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10812375694513321,0.03677346929907799,0.05736881494522095,0.21430417895317078,-0.028262201696634293,0.002713946159929037,-0.03785272315144539,-0.0037708620075136423,0.10545703023672104,0.035950690507888794,0.9871258857759444,mpnn,5,3,16,mean_max,32,38,376000,3760.0,0.9434787034988403,1.1098849773406982,0.16355320811271667,1.675857663154602,0.16986237466335297,0.10545703023672104,0.035950690507888794,0.05554550886154175,0.055966195464134214,0.10470868647098541,0.14491334557533264,0.21357429027557373,0.03595039248466492,0.035950690507888794,0.03594977408647537
5,7.084118925854564,0.10539999978151172,0.10462382789286495,0.1,0.004623827892864946,0.046238274304822025,0.0,0.1065577045083046,0.0,0.0,False,-2.673339849934564e-06,105.0523452758789,0.33350831270217896,5.031519322074018e-06,0.0,4.272461069376732e-07,0.9999995827674866,5.867511749267578,0.0,0.0,0.0,0.001812207861803472,0.0,0.0,100,0.2,0.235,0.11,954,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10876794159412384,0.03568749874830246,0.05736881494522095,0.21430417895317078,-0.023168932646512985,0.0031542873475700617,-0.03405456617474556,-0.003165483009070158,0.1065577045083046,0.03502049669623375,0.9830953955263049,mpnn,5,3,16,mean_max,32,38,381600,3816.0,0.9435534477233887,1.1101495027542114,0.16283468902111053,1.6731783151626587,0.1717468500137329,0.1065577045083046,0.03502049669623375,0.05572479963302612,0.06435639262199402,0.10087437927722931,0.14302696883676133,0.21377167105674744,0.03502028062939644,0.03502049669623375,0.03501925989985466
6,6.751771457195282,0.10005000004544855,0.10233691396915676,0.1,0.002336913969156751,0.023369137354653773,0.0,0.10086142271757126,0.0,0.0,False,-9.936523383657914e-06,89.3539810180664,0.3206978738307953,-2.8362924240354914e-06,0.0,2.4414061883248905e-08,0.9999995231628418,6.2110676765441895,0.0,0.0,0.0,0.003362947376444936,0.0,0.0,100,0.2,0.21,0.09,1064,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10279645770788193,0.03331880643963814,0.05736881494522095,0.21430417895317078,-0.0212215818464756,0.004401880316436291,-0.034162137657403946,-0.003102550283074379,0.10086142271757126,0.03272324800491333,0.9838722380773735,mpnn,5,3,16,mean_max,32,38,425600,4256.0,0.9388909935951233,1.1322505474090576,0.16189345717430115,1.7075437307357788,0.1677486002445221,0.10086142271757126,0.03272324800491333,0.055777907371520996,0.06734321117401122,0.09235619381070137,0.13413844406604658,0.21378228068351746,0.032723039388656616,0.03272324800491333,0.032720912247896194
7,7.495887392610311,0.09577499970793724,0.099055956838547,0.1,-0.0009440431614530093,-0.009440430670487025,0.0,0.09778721630573273,0.0,0.0,False,1.2084960872016381e-06,108.80859375,0.30898863077163696,-9.532319381833076e-06,0.0,2.4414061883248905e-08,0.9999996423721313,6.000707149505615,0.0,0.0,0.0,0.0007863669306971133,0.0,0.0,100,0.2,0.2275,0.14,976,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10027240961790085,0.04528488218784332,0.05736881494522095,0.21430417895317078,-0.027915721759200096,0.005656916182488203,-0.04525376111268997,-0.005076627712696791,0.09778721630573273,0.04417835921049118,0.9864236079993455,mpnn,5,3,16,mean_max,32,38,390400,3904.0,0.9438422322273254,1.1330400705337524,0.15887047350406647,1.7117230892181396,0.16955402493476868,0.09778721630573273,0.04417835921049118,0.05504116415977478,0.055907693505287175,0.08208061754703522,0.16627320945262908,0.2134484052658081,0.04417811334133148,0.04417835921049118,0.04417579621076584
8,8.555808314420283,0.09794999964535236,0.09850297824194967,0.1,-0.001497021758050332,-0.01497021608348171,0.0,0.09666755050420761,0.0,0.0,False,-9.759521162777673e-06,139.55079650878906,0.310855895280838,9.064464393304661e-06,0.0,2.4414061883248905e-08,0.9999997615814209,5.870425701141357,0.0,0.0,0.0,0.002218622947111726,0.0,0.0,100,0.2,0.2175,0.06,922,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09975522756576538,0.032919786870479584,0.05736881494522095,0.21430417895317078,-0.03494901582598686,0.006975426804274321,-0.055173616856336594,-0.007047117222100496,0.09666755050420761,0.0319230817258358,0.9836579594239181,mpnn,5,3,16,mean_max,32,38,368800,3688.0,0.9434327483177185,1.1338279247283936,0.16025179624557495,1.7070730924606323,0.17480307817459106,0.09666755050420761,0.0319230817258358,0.054654866456985474,0.05564052760601044,0.09642207622528076,0.1338644117116892,0.21288412809371948,0.0319226011633873,0.0319230817258358,0.03191745653748512
9,6.661754814311862,0.10132500005420297,0.09991398914807632,0.1,-8.601085192368185e-05,-0.0008601084332259752,0.0,0.09770747274160385,0.0,0.0,False,2.8808594834117685e-06,68.55094909667969,0.3122137188911438,2.4893373847589828e-05,0.0,1.2207031829802872e-07,0.9999997019767761,6.552893161773682,0.0,0.0,0.0,0.0011099508265033364,0.0,0.0,100,0.2,0.2425,0.09,972,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10164296627044678,0.036942772567272186,0.05736881494522095,0.21430417895317078,-0.04403425753116608,0.008299088105559349,-0.06819997727870941,-0.009393502026796341,0.09770747274160385,0.03557414934039116,0.9817893843811308,mpnn,5,3,16,mean_max,32,38,388800,3888.0,0.9480838179588318,1.1667191982269287,0.159939244389534,1.7525215148925781,0.16754834353923798,0.09770747274160385,0.03557414934039116,0.0541609525680542,0.0590251088142395,0.09215328097343445,0.14118082523345948,0.21263331174850464,0.03557351231575012,0.03557414934039116,0.03556700050830841
