episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,7.0722361135482785,0.11662499957252294,0.10831249978626148,0.1,0.008312499786261474,0.08312498955011578,0.08312498955011578,0.11425203830003738,0.0,0.0,False,-1.1463713462944725e-06,137.2382049560547,0.3494439423084259,-1.145141482084e-06,0.0,0.05,2.6593087909532187e-07,0.0004988841246813536,0.0004988841246813536,0.0,3.6621094068323146e-07,0.9999995231628418,4.884761333465576,node_conditioned,25,-0.2822711765766144,0.10981322824954987,0.1017398089170456,0.1554027795791626,0.09113101661205292,2.323033571243286,-11.94703483581543,2.3035571575164795,-0.016981243248380462,-0.283565491437912,0.105812206864357,0.0,0.0,0.0,0.0004988841246813536,0.0,0.0,100,0.2,0.235,0.16,970,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.21430417895317078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11425203830003738,0.035265110433101654,0.9853913506278098,0.11425203830003738,0.035265110433101654,0.05736881494522095,0.07224552631378195,0.10975059866905212,0.1617414951324463,0.21430417895317078,0.03526511788368225,0.035265110433101654,0.03526517003774643
1,7.659820973929018,0.1056999998120591,0.10700624979916029,0.1,0.007006249799160286,0.07006249098535376,0.07006249098535376,0.10540857911109924,0.0,0.0,False,-9.213007956532238e-07,160.358642578125,0.3257221579551697,2.5229286393368966e-07,0.0,0.05,1.286718713799928e-07,0.0013961849035695195,0.0014624554896727204,7.251840725075454e-05,-2.685546860448085e-07,0.9999995827674866,4.919694900512695,node_conditioned,25,-0.5088832974433899,0.11139385402202606,0.104826919734478,0.17150072753429413,0.09352729469537735,2.4191672801971436,-13.129932403564453,2.411553144454956,-0.0063246046584644056,-0.5061132311820984,0.12427756190299988,0.0,0.0,0.0,0.0013961849035695195,0.0,0.0,100,0.2,0.2625,0.18,904,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.10535085201263428,0.04750553518533707,0.05736881494522095,0.21430417895317078,0.0006059433217160404,0.00018101099703926593,1.4716147234139498e-05,0.0011997667606920004,0.0006059433217160404,0.00018101099703926593,0.0006059432635083795,0.0007917059119790792,1.0,0.0,0.0,0.10540857911109924,0.04753214865922928,0.9842799039959053,0.10540857911109924,0.04753214865922928,0.05736967921257019,0.057394444942474365,0.09215831756591797,0.21438173055648804,0.2145053744316101,0.04753214865922928,0.04753214865922928,0.04753214865922928
2,6.613802520669997,0.10142499968409538,0.10421562474162784,0.1,0.00421562474162783,0.042156243200653976,0.0,0.1052970364689827,0.0,0.0,False,5.728136898142111e-08,116.3958740234375,0.32809150218963623,-3.1304466574511025e-06,0.0,0.05,2.488400696165627e-06,0.0009253493044525385,0.0009577590972185135,9.012897498905659e-05,-7.324219097881723e-08,0.9999994039535522,5.554964542388916,node_conditioned,25,-0.7570697665214539,0.1252061277627945,0.11822271347045898,0.16687844693660736,0.10473144799470901,1.8476685285568237,-11.571276664733887,1.8564456701278687,0.009433556589448888,-0.7813742160797119,0.12588176131248474,0.0,0.0,0.0,0.0009253493044525385,0.0,0.0,100,0.2,0.2575,0.14,1070,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.10536124557256699,0.04146726429462433,0.05736881494522095,0.21430417895317078,-0.0007338192081078887,0.00042736512841656804,-0.0018849119078367949,0.000674330978654325,-0.0007338192081078887,0.00042736512841656804,0.0007382039912045002,0.0008952023927122355,0.026125,0.973875,0.0,0.1052970364689827,0.04145696014165878,0.9836173688181908,0.1052970364689827,0.04145696014165878,0.05726698040962219,0.06258990466594697,0.09487646818161011,0.15461158454416515,0.21441775560379028,0.041456956416368484,0.04145696014165878,0.041456934064626694
3,7.52387398570776,0.10204999998677522,0.10313281236420152,0.1,0.003132812364201515,0.0313281205092031,0.0,0.10305588692426682,0.0,0.0,False,-1.8162879769079154e-06,152.13021850585938,0.3245239555835724,7.620669180141704e-07,0.0,0.05,1.393966613250086e-06,0.0026194339152425528,0.002824109746143222,0.00021295824262779206,3.295898522992502e-07,0.9999995827674866,5.051368713378906,node_conditioned,25,-1.0165208578109741,0.14961916208267212,0.13407638669013977,0.20683345198631287,0.1143038347363472,2.311746835708618,-13.32699966430664,2.3440866470336914,0.02740237140169366,-1.0126023292541504,0.14138546586036682,0.0,0.0,0.0,0.0026194339152425528,0.0,0.0,100,0.2,0.2525,0.15,1058,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.1032114028930664,0.037906575947999954,0.05736881494522095,0.21430417895317078,-0.0017472761683166027,0.00044012765283696353,-0.0029438072815537453,0.00037329201586544514,-0.0017472761683166027,0.00044012765283696353,0.0017479709349572659,0.0019565438851714134,0.00295,0.99705,0.0,0.10305588692426682,0.037868667393922806,0.9822045469189904,0.10305588692426682,0.037868667393922806,0.05720987915992737,0.05726739764213562,0.09692609310150146,0.14949499070642455,0.2143670618534088,0.03786866366863251,0.037868667393922806,0.037868648767471313
4,7.744464395567775,0.10807499955408276,0.10560390595914214,0.1,0.005603905959142133,0.05603905398751593,0.05603905398751593,0.10804349184036255,0.0,0.0,False,-3.1863266940490576e-06,160.43649291992188,0.3356102406978607,5.672480938301305e-07,0.0,0.05,2.3831066187085526e-07,0.002572598634287715,0.002673711394891143,0.00010319826105842367,2.685546860448085e-07,0.9999995231628418,5.1259989738464355,node_conditioned,25,-1.2769945859909058,0.16748617589473724,0.14146333932876587,0.19705438613891602,0.12100183218717575,2.34798264503479,-13.925113677978516,2.3889639377593994,0.03401464214233263,-1.4327480792999268,0.17674092948436737,0.0,0.0,0.0,0.002572598634287715,0.0,0.0,100,0.2,0.2775,0.13,940,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.10812375694513321,0.03677346929907799,0.05736881494522095,0.21430417895317078,-0.0008555011008866131,0.00034666043939068913,-0.0018275638576596975,0.0007529277936555445,-0.0008555011008866131,0.00034666043939068913,0.0008585758041590452,0.0010689750779420137,0.01365,0.98635,0.0,0.10804349184036255,0.03675244003534317,0.9871258857759444,0.10804349184036255,0.03675244003534317,0.05727356672286987,0.05732592642307281,0.10733868181705475,0.14808160364627837,0.21440497040748596,0.03675244003534317,0.03675244003534317,0.03675243258476257
5,7.096919199749827,0.10749999975785612,0.10655195285849914,0.1,0.006551952858499133,0.06551952203303912,0.06551952203303912,0.10886573791503906,0.0,0.0,False,-1.1914141850866145e-06,132.61697387695312,0.3381330370903015,2.5169499622279545e-06,0.0,0.05,5.83480095883715e-06,0.001305089914239943,0.0012193408329039812,0.00012429071648512036,-8.544921570319275e-08,0.9999995231628418,5.095081806182861,node_conditioned,25,-1.5399620532989502,0.1807165890932083,0.14606346189975739,0.19835202395915985,0.12529167532920837,2.1551616191864014,-13.05472469329834,2.2144229412078857,0.05280676803097406,-1.5525339841842651,0.14840665459632874,0.0,0.0,0.0,0.001305089914239943,0.0,0.0,100,0.2,0.24,0.12,954,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.10876794159412384,0.03568749874830246,0.05736881494522095,0.21430417895317078,0.0010352194076403975,0.00047642766730859876,9.114128624787554e-05,0.002425356302410364,0.0010352194076403975,0.00047642766730859876,0.0010352192912250757,0.001308148493990302,1.0,0.0,0.0,0.10886573791503906,0.0357087180018425,0.9830953955263049,0.10886573791503906,0.0357087180018425,0.05737832188606262,0.06595573723316203,0.10253400728106499,0.1441897630691244,0.2146579623222351,0.0357087180018425,0.0357087180018425,0.03570869192481041
6,6.748004795014858,0.1020749999396503,0.10431347639907472,0.1,0.004313476399074714,0.04313475967727118,0.0,0.10305406153202057,0.0,0.0,False,4.892384026788932e-07,118.19773864746094,0.32634833455085754,5.634248054775526e-07,0.0,0.05,1.3935158676758874e-05,0.0006896192207932472,0.0009075099951587617,0.00034736975794658065,2.3193359766082722e-07,0.9999994039535522,5.330087184906006,node_conditioned,25,-1.7820371389389038,0.18896394968032837,0.14461953938007355,0.1913987398147583,0.12524457275867462,1.982662320137024,-12.675429344177246,2.045138359069824,0.06016397137942431,-1.850888967514038,0.15832625329494476,0.0,0.0,0.0,0.0006896192207932472,0.0,0.0,100,0.2,0.2175,0.09,1064,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.10279645770788193,0.03331880643963814,0.05736881494522095,0.21430417895317078,0.002863630885258317,0.0007917280308902264,0.0011458300286903977,0.004838965833187103,0.002863630885258317,0.0007917280308902264,0.0028636313509196043,0.0032290855888277292,1.0,0.0,0.0,0.10305406153202057,0.03337164595723152,0.9838722380773735,0.10305406153202057,0.03337164595723152,0.057444214820861816,0.06861936748027801,0.09441816434264183,0.13541578650474034,0.2150665521621704,0.033371638506650925,0.03337164595723152,0.03337157145142555
7,7.50229545995593,0.09859999963082373,0.10145673801494923,0.1,0.0014567380149492215,0.014567378692754346,0.0,0.1006033718585968,0.0,0.0,False,-1.40102997647773e-06,146.9521026611328,0.3160749077796936,2.0188015241728863e-06,0.0,0.05,2.3004789909464307e-05,0.003163020359352231,0.002714539645239711,0.00046760294935666025,-3.1738281336401997e-07,0.9999996423721313,5.09799861907959,node_conditioned,25,-2.08284592628479,0.21954528987407684,0.15712158381938934,0.19644862413406372,0.12825508415699005,2.322455883026123,-14.196969985961914,2.4081592559814453,0.06991072584453195,-2.1545631885528564,0.16831925511360168,0.0,0.0,0.0,0.003163020359352231,0.0,0.0,100,0.2,0.2325,0.16,976,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.10027240961790085,0.04528488218784332,0.05736881494522095,0.21430417895317078,0.0038706371560692787,0.0011180038563907146,0.0013300286373123527,0.006395916920155287,0.0038706371560692787,0.0011180038563907146,0.003870636923238635,0.004251955077052116,1.0,0.0,0.0,0.1006033718585968,0.045379601418972015,0.9864236079993455,0.1006033718585968,0.045379601418972015,0.057440876960754395,0.05757820308208465,0.08420094847679138,0.17118895649909974,0.21529904007911682,0.04537959024310112,0.045379601418972015,0.04537951201200485
8,8.52135881844908,0.10137499975971878,0.101415868887334,0.1,0.0014158688873339986,0.014158687457471241,0.0,0.1001952663064003,0.0,0.0,False,2.0482041236391524e-06,190.49691772460938,0.3198145627975464,-1.6643006119920756e-06,0.0,0.05,3.2541229302296415e-05,0.0008600368746556342,0.0013801624299958348,0.0006011719815433025,-6.103515914901436e-08,0.9999995827674866,4.831657886505127,node_conditioned,25,-2.415938377380371,0.251865029335022,0.15729399025440216,0.2127874493598938,0.13012005388736725,2.7412302494049072,-16.188350677490234,2.85856032371521,0.08040574088706576,-2.5264711380004883,0.18069590628147125,0.0,0.0,0.0,0.0008600368746556342,0.0,0.0,100,0.2,0.225,0.09,922,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.09975522756576538,0.032919786870479584,0.05736881494522095,0.21430417895317078,0.004997161217033863,0.0014097578823566437,0.0014513909118250012,0.008400057442486286,0.004997161217033863,0.0014097578823566437,0.004997161217033863,0.00562341557815671,1.0,0.0,0.0,0.1001952663064003,0.03302956372499466,0.9836579594239181,0.1001952663064003,0.03302956372499466,0.05745437741279602,0.05766546428203583,0.1001892238855362,0.13614974021910636,0.2157013714313507,0.03302953764796257,0.03302956372499466,0.033029329031705856
9,6.579209342673421,0.10540000012610108,0.10340793450671754,0.1,0.0034079345067175304,0.03407934165924114,0.0,0.10217048227787018,0.0,0.0,False,-2.044316488536424e-06,108.01703643798828,0.3230613172054291,-2.351233433728339e-06,0.0,0.05,4.7248435294022784e-05,0.004456019960343838,0.0037657329812645912,0.0007246655295602977,5.859375278305379e-07,0.9999994039535522,5.570981025695801,node_conditioned,25,-2.6479010581970215,0.2670630216598511,0.18203628063201904,0.2318091094493866,0.1473144292831421,1.8241686820983887,-13.125577926635742,1.9314543008804321,0.10800766933274264,-2.686213493347168,0.1704879254102707,0.0,0.0,0.0,0.004456019960343838,0.0,0.0,100,0.2,0.255,0.11,972,curvature_stage2_residual_v1,True,1.2475175857543945,1.5000001192092896,1.5,9,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment|neighbor_freshness_mean|neighbor_freshness_max|neighbor_confidence_mean|detached_stage1_probability,0.10164296627044678,0.036942772567272186,0.05736881494522095,0.21430417895317078,0.005949593149125576,0.0017488606972619891,0.0015209950506687164,0.009716164320707321,0.005949593149125576,0.0017488606972619891,0.005949593614786863,0.006705509964376688,1.0,0.0,0.0,0.10217048227787018,0.03707018867135048,0.9817893843811308,0.10217048227787018,0.03707018867135048,0.05745115876197815,0.06207659542560578,0.0969218760728836,0.14658001661300368,0.21588730812072754,0.037070147693157196,0.03707018867135048,0.0370698943734169
