episode,mean_VAoI,avg_tx_ratio,target_tx_ratio,n_nodes,update_probability,lagrange,actor_loss,critic_loss,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages
0,3.5018753580302002,0.08919999997317792,0.1,100,0.05,0.9891999999731779,-0.0033499975688755512,3373.0048828125,0.126,0.0,932
1,3.900283034546301,0.09981999995186924,0.1,100,0.05,0.9890199999250471,-0.0032716263085603714,4211.25634765625,0.128,0.0,942
2,2.703404244553298,0.10465999997407198,0.1,100,0.05,0.993679999899119,-0.0034003013279289007,1986.144775390625,0.142,0.0,1036
3,5.31719494523108,0.10851999983564019,0.1,100,0.05,1.0021999997347593,-0.0035436591133475304,8605.724609375,0.144,0.0,1046
4,3.26914748211205,0.11617999985814094,0.1,100,0.05,1.0183799995929002,-0.003797156037762761,2890.9072265625,0.154,0.01,1012
5,4.769568877525628,0.12160000000521541,0.1,100,0.05,1.0399799995981156,-0.0038470106665045023,6419.1953125,0.178,0.06,936
6,3.4558642420098185,0.13328000029176473,0.1,100,0.05,1.0732599998898804,-0.004080862272530794,3319.235107421875,0.174,0.14,1028
7,5.2929991981387134,0.14088000009208917,0.1,100,0.05,1.1141399999819697,-0.004179307259619236,8003.85498046875,0.19,0.25,1042
8,4.3756979715675115,0.15400000024586916,0.1,100,0.05,1.1681400002278388,-0.004494178108870983,5449.95703125,0.194,0.58,926
9,5.270565854489804,0.16396000005304814,0.1,100,0.05,1.2321000002808868,-0.004403773229569197,7969.86669921875,0.204,0.79,962
10,3.7426789855733515,0.1692000000104308,0.1,100,0.05,1.3013000002913175,-0.004558546002954245,4046.90625,0.214,0.83,1038
11,4.171591705292463,0.1722800003439188,0.1,100,0.05,1.3735800006352363,-0.004620556253939867,4944.31640625,0.21,0.93,1014
12,7.6034735305607315,0.1727200001254678,0.1,100,0.05,1.446300000760704,-0.004752950742840767,17184.720703125,0.214,0.87,1080
13,4.894316764742136,0.1795000003427267,0.1,100,0.05,1.5258000011034307,-0.004975523333996534,6703.4892578125,0.214,0.92,932
14,6.72531110830605,0.18578000009059906,0.1,100,0.05,1.6115800011940298,-0.004824697505682707,12610.6787109375,0.234,0.96,958
15,4.587567669689656,0.19032000011205674,0.1,100,0.05,1.7019000013060865,-0.004893806297332048,5669.6416015625,0.244,0.98,906
16,4.8164345436543226,0.19258000014722348,0.1,100,0.05,1.79448000145331,-0.004914203658699989,6205.7236328125,0.23,0.99,1018
17,4.263446257673204,0.19396000012755393,0.1,100,0.05,1.888440001580864,-0.004933186341077089,4785.4267578125,0.256,1.0,978
18,7.561952128082514,0.19625999967008828,0.1,100,0.05,1.9847000012509524,-0.004942190367728472,15105.962890625,0.254,1.0,1128
19,4.701429497696459,0.19684000034630297,0.1,100,0.05,2.081540001597255,-0.004953742027282715,5193.1357421875,0.236,1.0,938
20,4.461096768893301,0.19646000002324582,0.1,100,0.05,2.178000001620501,-0.004966272506862879,4586.40478515625,0.248,0.98,1014
21,4.776270902730524,0.19502000018954277,0.1,100,0.05,2.273020001810044,-0.004961235914379358,5317.56591796875,0.238,0.97,942
22,4.845731508739292,0.19751999977976084,0.1,100,0.05,2.370540001589805,-0.004972756374627352,5229.029296875,0.246,1.0,956
23,5.8015292850025,0.19963999992609024,0.1,100,0.05,2.470180001515895,-0.004970638547092676,7804.05322265625,0.242,1.0,1084
24,5.754446470316499,0.197819999858737,0.1,100,0.05,2.568000001374632,-0.00497028511017561,6714.15087890625,0.246,0.99,898
