episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages
0,3.2324141406565903,0.1018199997767806,0.1009099998883903,0.1,0.0009099998883903004,0.009099997973903207,0.0,0.09999994933605194,0.0,0.0,False,-0.0032748456578701735,26.74628257751465,0.32786640524864197,-6.347656267280399e-08,0.9999992251396179,4.513420104980469,0.0,0.0,0.0,0.0010868047829717398,0.0,0.0,100,0.05,0.144,0.0,970
1,6.227344645671547,0.10095999985560775,0.10093499987199903,0.1,0.0009349998719990205,0.009349997784990426,0.0,0.10169045627117157,0.0,0.0,False,-0.0033110962249338627,115.08069610595703,0.33180883526802063,-1.416015606992005e-07,0.9999997615814209,2.609163761138916,0.0,0.0,0.0,0.001580972457304597,0.0,0.0,100,0.05,0.142,0.0,904
2,3.227502424299717,0.1010799999088049,0.10100749989040196,0.1,0.0010074998904019555,0.010074997896519765,0.0,0.10362926870584488,0.0,0.0,False,-0.0033590050879865885,25.32071304321289,0.33642637729644775,5.859375278305379e-07,0.9999990463256836,5.288358211517334,0.0,0.0,0.0,0.001710919663310051,0.0,0.0,100,0.05,0.134,0.0,1070
3,3.440671511679888,0.10414000000432133,0.10257374994736165,0.1,0.0025737499473616476,0.025737496899866787,0.0,0.10578162223100662,0.0,0.0,False,-0.003406381933018565,29.8651065826416,0.34147608280181885,-1.2207031829802872e-07,0.9999993443489075,4.210993766784668,0.0,0.0,0.0,0.0020435345359146595,0.0,0.0,100,0.05,0.146,0.0,1058
4,3.9639383816570044,0.1064599998779595,0.10451687491266057,0.1,0.004516874912660562,0.045168744609731165,0.0,0.10825973004102707,0.0,0.0,False,-0.0035151538904756308,39.96934509277344,0.34739625453948975,-8.789062633240974e-08,0.999999463558197,4.1236677169799805,0.0,0.0,0.0,0.006480408366769552,0.0,0.0,100,0.05,0.152,0.01,940
5,4.303451514981687,0.11079999973252416,0.10765843732259237,0.1,0.00765843732259236,0.07658436556748704,0.07658436556748704,0.11122683435678482,0.0,0.0007658436556748705,False,-0.0035108753945678473,48.989234924316406,0.3538902997970581,4.882812376649781e-09,0.9999995827674866,3.4610190391540527,0.0,0.0,0.0,0.004361186176538467,0.0,0.0,100,0.05,0.164,0.01,954
6,3.3752893018200996,0.11287999982386827,0.11026921857323033,0.1,0.010269218573230321,0.10269217546308566,0.10269217546308566,0.11443392932415009,0.0007658436556748705,0.001792765410305727,False,-0.0035771802067756653,26.959203720092773,0.36027565598487854,2.3925781533762347e-07,0.9999993443489075,4.727333068847656,1.1900684739885037e-06,0.0002423470577923581,0.0006794281071051955,0.005023322533816099,0.00030387542210519314,0.060492794386906065,100,0.05,0.144,0.0,1064
7,3.928324045956135,0.11949999973922967,0.11488460915623,0.1,0.014884609156229994,0.14884607667769229,0.14884607667769229,0.11719948053359985,0.001792765410305727,0.0032812261770826497,False,-0.0036840029060840607,36.85373306274414,0.3667382001876831,-1.3671875365162123e-07,0.9999994039535522,4.886758804321289,-4.124283805140294e-06,0.0005815375479869545,0.001585894962772727,0.004155802074819803,0.0007702362490817904,0.18533952816314198,100,0.05,0.156,0.02,976
8,4.7447173701748255,0.12103999976813794,0.11796230446218398,0.1,0.01796230446218397,0.17962302665953703,0.17962302665953703,0.12086422741413116,0.0032812261770826497,0.00507745644367802,False,-0.0036969061475247145,58.19621658325195,0.37438201904296875,-3.417968841290531e-08,0.9999995827674866,3.64054012298584,-5.767853394900158e-07,0.0010702551808208227,0.0028923186473548412,0.005684841424226761,0.0014883173862472177,0.2618040956892123,100,0.05,0.154,0.02,922
9,3.436214345242828,0.12471999986469745,0.12134115216344071,0.1,0.021341152163440708,0.21341150029325703,0.21341150029325703,0.12498177587985992,0.00507745644367802,0.0072115714466105905,False,-0.003795935772359371,26.09462547302246,0.38223323225975037,1.4648438195763447e-07,0.9999992251396179,5.469468116760254,1.3291746654431336e-06,0.001677571446634829,0.004458364564925432,0.0027403957210481167,0.0024792917538434267,0.9047170405465281,100,0.05,0.17,0.04,972
10,4.935672530077398,0.1299999998509884,0.12567057600721454,0.1,0.025670576007214535,0.2567057344015719,0.2567057344015719,0.1285998672246933,0.0072115714466105905,0.00977862879062631,False,-0.0038488470017910004,61.31859588623047,0.3894120454788208,-1.9531249506599124e-07,0.9999996423721313,3.8617334365844727,-1.0097110134665854e-05,0.0024252692237496376,0.0063093677163124084,0.0023823499213904142,0.0037722194101661444,1.5833961007724509,100,0.05,0.178,0.1,934
11,5.184734743013978,0.13234000006318092,0.12900528803519773,0.1,0.029005288035197724,0.2900528513466921,0.2900528513466921,0.1322019398212433,0.00977862879062631,0.012679157304093231,False,-0.003962889313697815,66.23552703857422,0.39737290143966675,0.0,0.9999997019767761,4.108750820159912,-1.3501078228728147e-06,0.003313697874546051,0.008523926138877869,0.004023890942335129,0.00534847704693675,1.329177115337474,100,0.05,0.172,0.1,862
12,3.626131115630269,0.14068000032752753,0.13484264418136263,0.1,0.034842644181362625,0.34842640697098554,0.34842640697098554,0.13824988901615143,0.012679157304093231,0.016163421373803086,False,-0.003990914672613144,27.764272689819336,0.40886688232421875,6.835937682581061e-08,0.9999995231628418,5.493346214294434,-3.081186514464207e-05,0.0044082775712013245,0.010992210358381271,0.0025657378137111664,0.007735460065305233,3.0148949261371314,100,0.05,0.172,0.25,1002
13,3.8746987923383713,0.14390000026673078,0.1393713222240467,0.1,0.039371322224046684,0.3937131828691486,0.3937131828691486,0.14298641681671143,0.016163421373803086,0.020100553202494573,False,-0.004135829862207174,32.047489166259766,0.41765522956848145,1.5136718900521373e-07,0.999999463558197,5.336705207824707,-1.4766418644285295e-05,0.005673052277415991,0.013946420513093472,0.006222640164196491,0.01036397460848093,1.6655242276213023,100,0.05,0.188,0.3,988
14,3.769207263670862,0.1478600003644824,0.14361566129426456,0.1,0.04361566129426456,0.43615656932698865,0.43615656932698865,0.14906443655490875,0.020100553202494573,0.02446211889576446,False,-0.004244066309183836,29.5533390045166,0.42874452471733093,1.9042968801841198e-07,0.9999995231628418,5.43588924407959,2.4210045012296177e-05,0.007134989835321903,0.01724649965763092,0.003126490395516157,0.013758241198956966,4.400524375013106,100,0.05,0.19,0.45,1044
15,3.7763894991390408,0.1559200000911951,0.14976783069272984,0.1,0.04976783069272983,0.4976782571594726,0.4976782571594726,0.1549360305070877,0.02446211889576446,0.029438901467359186,False,-0.0042723398655653,29.26764678955078,0.4348667860031128,2.4414061883248905e-08,0.9999995231628418,5.3823041915893555,-2.4070048311841674e-05,0.008874999359250069,0.02086438611149788,0.000640445330645889,0.018095003440976143,28.2533419196115,100,0.05,0.196,0.68,1058
16,5.07864080811292,0.1559000003710389,0.15283391553188436,0.1,0.05283391553188435,0.5283391024849332,0.5283391024849332,0.15620394051074982,0.029438901467359186,0.03472229249220852,False,-0.0045059253461658955,57.9283332824707,0.426593542098999,1.3183593239318725e-07,0.9999995827674866,4.767916202545166,8.94807180884527e-06,0.010678788647055626,0.0250632856041193,0.021649133414030075,0.021804016083478928,1.0071537550695184,100,0.05,0.19,0.62,870
17,3.802052330031991,0.1510400001332164,0.15193695783255037,0.1,0.05193695783255037,0.519369526388551,0.519369526388551,0.15074127912521362,0.03472229249220852,0.03991598775609403,False,-0.004380682483315468,28.123611450195312,0.41305461525917053,2.9296874259898686e-08,0.999999463558197,5.673652172088623,-1.0372620636189822e-05,0.01243347954005003,0.02974521927535534,0.004738587886095047,0.024361219257116318,5.141018470590623,100,0.05,0.186,0.43,962
18,3.569673933148384,0.1441200003400445,0.14802847908629743,0.1,0.048028479086297426,0.48028474283449996,0.48028474283449996,0.14287029206752777,0.03991598775609403,0.044718835184439025,False,-0.0041404408402740955,23.39248275756836,0.39998745918273926,-4.882812376649781e-09,0.999999463558197,6.0349273681640625,-4.98831614095252e-05,0.01401851512491703,0.034457672387361526,0.0037615709006786346,0.0258037019520998,6.859802469606462,100,0.05,0.188,0.31,1024
19,4.265663028232753,0.1377000002488494,0.14286423966757342,0.1,0.04286423966757341,0.42864235381149873,0.42864235381149873,0.1355055719614029,0.044718835184439025,0.04900525872255401,False,-0.00398516608402133,35.73493194580078,0.38768360018730164,-7.81249980263965e-08,0.9999996423721313,5.602651119232178,-9.813151700654998e-05,0.015408824197947979,0.03885515779256821,0.001789011643268168,0.026487745344638824,14.80571542793147,100,0.05,0.178,0.16,962
20,4.056312927231192,0.12916000010818243,0.13601211988787792,0.1,0.03601211988787792,0.3601211628666629,0.3601211628666629,0.1290515661239624,0.04900525872255401,0.05260647035122064,False,-0.00410806480795145,30.34209632873535,0.3751756250858307,5.371093791950443e-08,0.999999463558197,5.920240879058838,-5.314068857842358e-06,0.01643485017120838,0.04285028576850891,0.013439657166600227,0.026133215054869652,1.9444837979183718,100,0.05,0.182,0.08,880
21,3.3394923253655433,0.12364000003412366,0.1298260599610008,0.1,0.029826059961000795,0.298260569783951,0.298260569783951,0.12269273400306702,0.05260647035122064,0.055589076049060146,False,-0.003751305863261223,17.94977569580078,0.3639167249202728,1.56249996052793e-07,0.999999463558197,6.544279098510742,-4.983222970622592e-05,0.017316162586212158,0.046283598989248276,0.007145400159060955,0.025694388896226883,3.5959291803066518,100,0.05,0.162,0.03,1032
22,3.80068868458271,0.11767999966442586,0.12375302981271333,0.1,0.023753029812713322,0.2375302743741058,0.2375302743741058,0.11728238314390182,0.055589076049060146,0.057964378792801204,False,-0.003671075450256467,24.98855209350586,0.3549991548061371,2.2460937998403097e-07,0.9999995827674866,5.98333740234375,-2.2103125957073644e-05,0.017912305891513824,0.04916641488671303,0.0048880623653531075,0.02468603104352951,5.0502589156628055,100,0.05,0.166,0.01,956
23,6.3697531390190125,0.11166000001505018,0.11770651491388176,0.1,0.017706514913881755,0.1770651314323044,0.1770651314323044,0.11291280388832092,0.057964378792801204,0.05973503010712425,False,-0.003619797993451357,96.9752197265625,0.347739577293396,4.882812376649781e-09,0.9999998211860657,3.679830312728882,7.26184734958224e-05,0.018255818635225296,0.05148571729660034,0.011229423806071281,0.023388288915157318,2.082766532940624,100,0.05,0.148,0.0,974
