source,version,generation_slot,completion_slot,delay,completed
0,1,0,,,False
9,1,0,,,False
7,1,1,17,16,True
1,1,3,17,14,True
12,1,4,,,False
15,1,4,17,13,True
0,2,8,,,False
4,1,8,20,12,True
9,2,10,,,False
9,3,13,,,False
8,1,15,,,False
10,1,15,,,False
9,4,17,,,False
9,5,21,,,False
9,6,22,,,False
14,1,22,,,False
3,1,23,,,False
15,2,23,,,False
1,2,24,,,False
13,1,25,,,False
0,3,26,,,False
13,2,27,,,False
5,1,28,,,False
14,2,28,,,False
3,2,29,,,False
12,2,29,,,False
2,1,32,,,False
13,3,32,,,False
14,3,32,,,False
12,3,34,,,False
0,4,35,,,False
3,3,37,,,False
8,2,39,,,False
