node_i,node_j,is_inter_cluster
0,2,False
0,3,False
0,6,False
0,10,False
0,11,False
1,4,False
1,5,False
1,7,False
1,8,False
1,9,False
1,10,False
1,12,False
1,13,False
1,14,False
1,15,False
2,3,False
2,6,False
2,10,False
2,11,False
3,10,False
4,5,False
4,7,False
4,8,False
4,9,False
4,13,False
5,8,False
5,13,False
6,11,False
6,13,False
7,8,False
7,9,False
7,10,False
7,12,False
7,13,False
7,14,False
7,15,False
8,9,False
8,10,False
8,13,False
9,12,False
9,14,False
9,15,False
10,11,False
11,13,False
12,14,False
12,15,False
14,15,False
