source,version,generation_slot,completion_slot,delay,completed
0,1,0,,,False
9,1,0,26,26,True
7,1,1,26,25,True
1,1,3,26,23,True
12,1,4,26,22,True
15,1,4,26,22,True
0,2,8,,,False
4,1,8,,,False
9,2,10,26,16,True
9,3,13,26,13,True
8,1,15,28,13,True
10,1,15,28,13,True
9,4,17,26,9,True
9,5,21,,,False
9,6,22,,,False
14,1,22,,,False
3,1,23,,,False
15,2,23,,,False
1,2,24,38,14,True
13,1,25,,,False
0,3,26,,,False
13,2,27,,,False
5,1,28,,,False
14,2,28,,,False
3,2,29,,,False
12,2,29,,,False
2,1,32,,,False
13,3,32,,,False
14,3,32,,,False
12,3,34,,,False
0,4,35,,,False
3,3,37,,,False
8,2,39,,,False
