node_i,node_j,curvature,bottleneck_importance
0,2,6.0,0.0
0,3,2.0,0.0
0,6,1.0,0.0
0,10,1.0,0.0
0,11,3.0,0.0
1,4,3.0,0.0
1,5,-1.0,0.1
1,7,9.0,0.0
1,8,5.0,0.0
1,9,5.0,0.0
1,10,-7.0,0.5384615384615384
1,12,1.0,0.0
1,13,-1.0,0.07692307692307693
1,14,1.0,0.0
1,15,1.0,0.0
2,3,2.0,0.0
2,6,1.0,0.0
2,10,1.0,0.0
2,11,3.0,0.0
3,10,0.0,-0.0
4,5,3.0,0.0
4,7,1.0,0.0
4,8,6.0,0.0
4,9,0.0,-0.0
4,13,3.0,0.0
5,8,2.0,0.0
5,13,2.0,0.0
6,11,4.0,0.0
6,13,-4.0,0.5714285714285714
7,8,3.0,0.0
7,9,6.0,0.0
7,10,-6.0,0.5
7,12,2.0,0.0
7,13,-3.0,0.25
7,14,2.0,0.0
7,15,2.0,0.0
8,9,-1.0,0.1
8,10,-4.0,0.4
8,13,2.0,0.0
9,12,4.0,0.0
9,14,4.0,0.0
9,15,4.0,0.0
10,11,-2.0,0.25
11,13,-5.0,0.625
12,14,6.0,0.0
12,15,6.0,0.0
14,15,6.0,0.0
