checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,model_id,model_directory
200,v00,nn,100,500,0.20000,0.10000,0.09378,0.09378,6.53007,0.09308,0.09378,0.02684,0.03707,0.06180,0.09047,0.13199,0.18611,0.02669,0.02684,0.02146,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
200,v00,stage1_only,100,500,0.20000,0.10000,0.09378,0.10150,6.90574,0.10038,0.10150,0.02568,0.05737,0.07012,0.09982,0.13525,0.16810,0.02568,0.02568,0.02568,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
200,v00,matched_random,100,500,0.20000,0.10000,0.09378,0.09378,7.45318,0.09348,0.09378,0.00000,0.09378,0.09378,0.09378,0.09378,0.09378,0.00000,0.00000,0.00000,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
200,v00,fixed_random,100,500,0.20000,0.10000,0.09378,0.10000,7.74517,0.09778,0.10000,0.00000,0.10000,0.10000,0.10000,0.10000,0.10000,0.00000,0.00000,0.00000,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
200,v01,nn,100,500,0.20000,0.10000,0.09754,0.09754,6.46745,0.09862,0.09754,0.03475,0.03599,0.06048,0.09164,0.14518,0.23534,0.03461,0.03475,0.03041,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
200,v01,stage1_only,100,500,0.20000,0.10000,0.09754,0.10623,6.88978,0.10718,0.10623,0.03641,0.05737,0.06732,0.09982,0.15339,0.21430,0.03641,0.03641,0.03641,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
200,v01,matched_random,100,500,0.20000,0.10000,0.09754,0.09754,7.83219,0.09774,0.09754,0.00000,0.09754,0.09754,0.09754,0.09754,0.09754,0.00000,0.00000,0.00000,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
200,v01,fixed_random,100,500,0.20000,0.10000,0.09754,0.10000,7.81829,0.09978,0.10000,0.00000,0.10000,0.10000,0.10000,0.10000,0.10000,0.00000,0.00000,0.00000,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
200,v02,nn,100,500,0.20000,0.10000,0.09355,0.09355,6.84985,0.09152,0.09355,0.02603,0.03640,0.06223,0.09138,0.12840,0.18550,0.02588,0.02603,0.02061,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
200,v02,stage1_only,100,500,0.20000,0.10000,0.09355,0.10134,7.25128,0.09934,0.10134,0.02486,0.05737,0.06987,0.09982,0.13490,0.16810,0.02486,0.02486,0.02486,mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3,D:\ZMF\2026Curvature\curvature-gossip\result_GNN\mpnn_heuristic_channel_n100_u0.20_b0.10_a1.5_lr1e-3
