topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
community,Community topology,50,cross_model,matched_random,5,5.237634693877553,0.5115608368167781,0.44840284385360524,0.11245999999999998,0.005665509685809388,0.00496603819558408,0.11318384557962417,0.005309780650750777,0.004654227948431188
community,Community topology,50,cross_model,nn,5,3.9506053061224478,0.3644232089507887,0.31943102657468875,0.11392000000000002,0.006077170394188404,0.005326874716003749,0.11318385601043701,0.00530977894727028,0.0046542264552646975
community,Community topology,60,cross_model,matched_random,5,6.095203672316383,0.8621084923213526,0.7556714115816767,0.11524999999999999,0.0076856648667792205,0.006736782285004878,0.11555081754922866,0.006446973139855801,0.005651021114414469
community,Community topology,60,cross_model,nn,5,4.231412146892656,0.28051891951113306,0.24588567421666074,0.11513333333333334,0.005029979567000691,0.0044089714850014125,0.11555082499980926,0.006446968077516233,0.005651016677078192
community,Community topology,70,cross_model,matched_random,5,6.022197308488615,0.6069073633963838,0.5319777592749968,0.11724285714285713,0.006615650892746223,0.005798873683742388,0.11377141177654267,0.0032238803488748103,0.0028258557196726465
community,Community topology,70,cross_model,nn,5,4.559742028985507,0.2724898690684221,0.23884790120346752,0.11512857142857143,0.0025894211787224424,0.002269727736976397,0.11377141028642654,0.0032238779618609338,0.0028258536273627326
community,Community topology,80,cross_model,matched_random,5,6.186258860759493,0.5295596306049073,0.4641794822115223,0.11821250000000001,0.000738981562692875,0.000647745899253714,0.11812878847122192,0.0015341478158319968,0.0013447398510634037
community,Community topology,80,cross_model,nn,5,4.566190664556961,0.30548507979183626,0.2677694785743853,0.1186,0.0029396933300941458,0.002576754814684549,0.11812880039215087,0.001534148959460972,0.0013447408534983986
community,Community topology,90,cross_model,matched_random,5,6.736765168539326,0.5280090930837527,0.4628203761503277,0.11442222222222223,0.00279842327740215,0.0024529261538108714,0.115197192132473,0.0036577834380348796,0.003206188546452201
community,Community topology,90,cross_model,nn,5,5.113254307116106,0.265380535459843,0.2326162955398529,0.1153111111111111,0.0049421967425402405,0.004332026446803218,0.11519720256328583,0.0036577771723867226,0.0032061830543694417
community,Community topology,100,cross_model,matched_random,5,7.328610505050504,0.24766783933012995,0.21709043283640528,0.11610999999999998,0.007071368325861696,0.006198327626061729,0.1163601741194725,0.005088405322756413,0.004460183917911998
community,Community topology,100,cross_model,nn,5,5.542260303030305,0.20488005930817896,0.17958529002013243,0.11574999999999999,0.004374214215147676,0.003834167810620709,0.11636018455028534,0.0050883928981991485,0.004460173027307382
community,Community topology,110,cross_model,matched_random,5,7.3434035029191,0.6512109994825902,0.5708116085151516,0.11811818181818182,0.0041789268660825,0.0036629909018597675,0.11767206192016602,0.0035155988891553787,0.0030815582943274763
community,Community topology,110,cross_model,nn,5,5.7903828190158455,0.5182097407910161,0.454230865148413,0.11718181818181816,0.004509517025320211,0.003952765952808983,0.11767206192016602,0.003515596885496255,0.0030815565380428187
community,Community topology,120,cross_model,matched_random,5,7.554085994397759,0.17086840514317433,0.14977276068998807,0.11884166666666666,0.0029801717418818474,0.002612235706992933,0.11787860542535782,0.0031520129326597247,0.0027628611518871592
community,Community topology,120,cross_model,nn,5,5.819699999999999,0.11953886784595369,0.10478043750711119,0.11893333333333334,0.003043178847849731,0.0026674638704207434,0.11787860542535782,0.003152010102142905,0.002762858670829776
community,Community topology,130,cross_model,matched_random,5,7.778965474060821,0.36618927452370487,0.32097905130280374,0.1190076923076923,0.003503738493659685,0.0030711621993046623,0.11952127516269684,0.002737224309541347,0.002399282893313356
community,Community topology,130,cross_model,nn,5,5.867685271317829,0.33028865500612,0.2895107708379389,0.12029999999999999,0.0033299119522094594,0.002918796517817918,0.11952126026153564,0.002737226816306168,0.002399285090589601
community,Community topology,140,cross_model,matched_random,5,7.803190853031859,0.5367665895233554,0.47049666023218,0.1186,0.004946551055729515,0.004335843170595542,0.11858056932687759,0.002668783436505887,0.0023392918230510417
community,Community topology,140,cross_model,nn,5,6.124257708119218,0.4754364045415773,0.4167383828569582,0.11945000000000001,0.0024027779416198043,0.00210612772642117,0.11858056485652924,0.0026687799703704585,0.0023392887848493822
community,Community topology,150,cross_model,matched_random,5,8.381264876957493,0.4332823568433091,0.37978873091436044,0.11823333333333333,0.002462496474898773,0.0021584733287930862,0.11788970082998276,0.0024425576677615424,0.002140996193758637
community,Community topology,150,cross_model,nn,5,6.366052841163311,0.2587423314228314,0.22679765315354647,0.11681333333333335,0.002228427447526374,0.0019533027801933644,0.11788969337940217,0.002442556270282439,0.002140994968814194
random,Random-geometric topology,50,cross_model,matched_random,5,4.382560408163266,0.2277880529049563,0.19966503173705788,0.11688000000000001,0.005966322150202754,0.0052297119461782995,0.11928940713405609,0.006259987374935944,0.005487120864989716
random,Random-geometric topology,50,cross_model,nn,5,3.4668885714285715,0.1621815183201582,0.14215836866593648,0.11922000000000002,0.005854656266596699,0.005131832483626097,0.11928941309452057,0.006259998795130009,0.005487130875231171
random,Random-geometric topology,60,cross_model,matched_random,5,4.596418361581922,0.2748450383550071,0.24091229810381048,0.12083333333333332,0.005201829272263535,0.004559604393170775,0.1203472375869751,0.005445199267491641,0.004772927599552201
random,Random-geometric topology,60,cross_model,nn,5,3.674571186440678,0.27600118920236055,0.2419257090034856,0.11983333333333332,0.00518745816582864,0.0045470075629778514,0.12034724205732346,0.005445198803264622,0.004772927192639278
random,Random-geometric topology,70,cross_model,matched_random,5,4.897159420289855,0.2813967987314973,0.24665516928086617,0.12191428571428571,0.0017831410030434175,0.0015629920025387184,0.12250868827104569,0.0029043809132031414,0.002545802116554255
random,Random-geometric topology,70,cross_model,nn,5,3.843574741200828,0.23428370118543215,0.20535871849338275,0.12397142857142858,0.0024591561519333896,0.002155545406619865,0.1225086897611618,0.0029043836580899688,0.0025458045225536415
random,Random-geometric topology,80,cross_model,matched_random,5,5.096449050632912,0.40927696023156696,0.3587470730432866,0.11880000000000002,0.005915155323404452,0.0051848622450360255,0.12037396878004074,0.0039904535807492245,0.0034977867833041825
random,Random-geometric topology,80,cross_model,nn,5,4.0383188291139245,0.29729194056644503,0.26058787540160416,0.1211125,0.005167015277217594,0.004529088581050276,0.12037397623062134,0.003990449239736165,0.0034977829782384686
random,Random-geometric topology,90,cross_model,matched_random,5,5.582358801498129,0.6730240727232338,0.5899316102243418,0.12088888888888889,0.0033639794923113497,0.002948658033331576,0.12096500396728516,0.003002912914702896,0.0026321692238527794
random,Random-geometric topology,90,cross_model,nn,5,4.3096510611735335,0.30037952236429394,0.26329426017374796,0.12127777777777778,0.004562325592810616,0.003999054703116532,0.12096500396728516,0.0030029029248478936,0.00263216046735879
random,Random-geometric topology,100,cross_model,matched_random,5,5.848072626262626,0.13474989210441296,0.11811348813284198,0.12182,0.0024580480060405617,0.0021545740739180876,0.12218357473611832,0.00309710939856249,0.002714736082384173
random,Random-geometric topology,100,cross_model,nn,5,4.546404040404039,0.06584175694481922,0.057712844560360785,0.12269000000000001,0.0052239113698454,0.004578960205112077,0.12218357622623444,0.0030970948357835555,0.0027147233175456266
random,Random-geometric topology,110,cross_model,matched_random,5,6.02668373644704,0.23898783425270295,0.2094820729283226,0.12160000000000001,0.0037191430186789575,0.003259972590261488,0.12205272912979126,0.002586451795833007,0.0022671249581155324
random,Random-geometric topology,110,cross_model,nn,5,4.829188240200167,0.23300537909245125,0.20423821977534104,0.12193636363636365,0.004117915905522925,0.0036095124370277296,0.12205273061990737,0.0025864458417681003,0.0022671197391475337
random,Random-geometric topology,120,cross_model,matched_random,5,6.4693531512605045,0.24039496229239832,0.21071547503664612,0.1226,0.003382527613420997,0.0029649161783167556,0.12065510600805282,0.003075165433741282,0.0026955013491460275
random,Random-geometric topology,120,cross_model,nn,5,5.040547899159664,0.25535426818418927,0.22382788478578708,0.12281666666666666,0.0039648630353252895,0.0034753556812376907,0.12065510153770446,0.003075163507788773,0.0026954996609742207
random,Random-geometric topology,130,cross_model,matched_random,5,6.635410435301134,0.27469102930485717,0.24077730321933857,0.1188923076923077,0.00326463477845324,0.002861578552241913,0.11943738460540772,0.0029479222488224383,0.0025839677799744
random,Random-geometric topology,130,cross_model,nn,5,5.284167084078713,0.08134326062279759,0.07130051162351046,0.12021538461538461,0.0021172369512391194,0.0018558400129984707,0.11943738460540772,0.002947929372816676,0.002583974024430672
random,Random-geometric topology,140,cross_model,matched_random,5,6.814826464542653,0.4549051805656592,0.39874197156815905,0.12432142857142855,0.002899683304312057,0.002541684480811883,0.12411565482616424,0.0030977532655009346,0.002715300456639361
random,Random-geometric topology,140,cross_model,nn,5,5.4086882322713254,0.3653930181452756,0.3202811018140469,0.12214285714285715,0.0029292246658215028,0.002567578625865226,0.12411565184593201,0.003097753347820062,0.002715300528795258
random,Random-geometric topology,150,cross_model,matched_random,5,7.255117002237138,0.1931181952414861,0.1692755616027994,0.12179333333333334,0.0018071463077951766,0.001584033579890967,0.12108727693557739,0.0027871556130366817,0.0024430496105310867
random,Random-geometric topology,150,cross_model,nn,5,5.797548456375841,0.17469152548301284,0.15312387342067615,0.12068666666666668,0.0025759140772419705,0.0022578882405173825,0.12108728289604187,0.0027871509877382774,0.0024430455562782804
