topology,node_count,single_n_mean_vaoi,cross_n_mean_vaoi,cross_minus_single_vaoi,single_n_mean_action_probability,cross_n_mean_action_probability,cross_minus_single_action_probability
community,50,4.6025812244897955,4.656942448979592,0.05436122448979663,0.09637485444545746,0.09163184314966202,-0.004743011295795435
community,60,5.2279268361581925,5.169322881355933,-0.05860395480225922,0.09700927734375,0.09319930523633957,-0.0038099721074104365
community,70,5.338819047619047,5.225406625258799,-0.1134124223602484,0.09681889563798904,0.09297096729278564,-0.003847928345203394
community,80,5.234504588607594,5.165204430379748,-0.06930015822784608,0.09828334599733353,0.09620618969202041,-0.0020771563053131187
community,90,6.162530711610485,5.938014856429463,-0.22451585518102135,0.09719350039958954,0.09420905560255051,-0.0029844447970390348
community,100,6.30000494949495,6.083820404040404,-0.21618454545454568,0.09836869090795516,0.09624744802713395,-0.002121242880821217
community,110,6.590254962468724,6.363948123436197,-0.22630683903252713,0.09817135334014893,0.09680098742246628,-0.0013703659176826505
community,120,6.455025910364147,6.353120238095239,-0.10190567226890757,0.09888836592435837,0.09752705246210099,-0.001361313462257388
community,130,6.581947823494334,6.428801967799641,-0.1531458556946923,0.09939772933721543,0.09906760603189468,-0.0003301233053207425
community,140,7.014305755395685,6.744301644398765,-0.27000411099692023,0.09933861196041108,0.09906537979841232,-0.0002732321619987599
community,150,7.305166085011183,7.051513109619687,-0.2536529753914962,0.09857233464717866,0.09849025905132294,-8.207559585571289e-05
random,50,3.9811824489795926,3.9977579591836743,0.016575510204081656,0.09993525296449661,0.09565853327512741,-0.004276719689369199
random,60,4.137075706214689,4.199499717514125,0.06242401129943609,0.10034691989421844,0.0968027412891388,-0.003544178605079648
random,70,4.360657763975155,4.327845962732919,-0.032811801242235816,0.10100598782300949,0.0992667481303215,-0.00173923969268798
random,80,4.590473734177216,4.568192246835443,-0.022281487341773598,0.09965604841709137,0.09686502963304519,-0.0027910187840461814
random,90,4.852624469413233,4.732343695380773,-0.12028077403246051,0.09963067173957825,0.0975580245256424,-0.002072647213935852
random,100,5.154493636363637,5.051048585858586,-0.1034450505050506,0.1006657600402832,0.09950418770313263,-0.001161572337150571
random,110,5.380316346955796,5.362591242702252,-0.01772510425354401,0.10089682042598724,0.09984013736248017,-0.0010566830635070773
random,120,5.603866526610644,5.5199855742296915,-0.0838809523809525,0.09981416314840316,0.09899442493915558,-0.000819738209247578
random,130,5.7976395945140125,5.713317292784735,-0.08432230172927735,0.09912079125642777,0.09781075567007065,-0.0013100355863571167
random,140,5.874242446043165,5.748052517985611,-0.12618992805755358,0.10158102065324784,0.10178748816251755,0.00020646750926971158
random,150,6.230066442953019,6.149789127516779,-0.08027731543624039,0.10004778057336808,0.09973032772541046,-0.00031745284795761664
