topology,topology_label,node_count,model,policy,n_scenarios,mean_vaoi,std_vaoi,ci95_vaoi,mean_actual_tx_ratio,std_actual_tx_ratio,ci95_actual_tx_ratio,mean_action_probability,std_action_probability,ci95_action_probability
community,Community topology,50,cross_n_v3_3,nn,5,4.656942448979592,0.4014303400830494,0.35186920723337034,0.09146,0.004073450625698069,0.003570536900803574,0.09163184314966202,0.003543345937171083,0.003105879654258398
community,Community topology,50,single_n_v3_3,nn,5,4.6025812244897955,0.3959841829405662,0.3470954400193689,0.09681999999999999,0.004091698913654332,0.0035865322304421067,0.09637485444545746,0.0025226329656535007,0.0022111852870453827
community,Community topology,60,cross_n_v3_3,nn,5,5.169322881355933,0.2579616477181036,0.22611335371512895,0.09316666666666665,0.005215827941095367,0.004571874767410947,0.09319930523633957,0.005359382700999189,0.004697706062453281
community,Community topology,60,single_n_v3_3,nn,5,5.2279268361581925,0.3398514176292761,0.29789290185094286,0.09691666666666666,0.0035183053054307586,0.003083930572788204,0.09700927734375,0.003210206619431528,0.002813870167364528
community,Community topology,70,cross_n_v3_3,nn,5,5.225406625258799,0.47195414891492665,0.4136860512208391,0.09298571428571428,0.002503772663605947,0.0021946535034032153,0.09297096729278564,0.0024595793069439862,0.002155916318340401
community,Community topology,70,single_n_v3_3,nn,5,5.338819047619047,0.3774817661258411,0.33087735661503076,0.09644285714285714,0.0014858173041207006,0.001302376289710471,0.09681889563798904,0.0018416581798708798,0.00161428456955185
community,Community topology,80,cross_n_v3_3,nn,5,5.165204430379748,0.23442777957408667,0.20548500876926182,0.09634999999999999,0.0032765144399193513,0.0028719915346323735,0.09620618969202041,0.001082103981590499,0.0009485059601313385
community,Community topology,80,single_n_v3_3,nn,5,5.234504588607594,0.2559876807658302,0.22438309539320533,0.0992875,0.0027847940902335994,0.0024409796445279885,0.09828334599733353,0.0008063375852879695,0.0007067860561786382
community,Community topology,90,cross_n_v3_3,nn,5,5.938014856429463,0.31588006766474486,0.27688108718195625,0.09454444444444444,0.0029771247210921884,0.002609564875512036,0.09420905560255051,0.0027300843979309007,0.0023930244848493513
community,Community topology,90,single_n_v3_3,nn,5,6.162530711610485,0.3981360718507748,0.34898165381360463,0.09737777777777777,0.0022927690951024234,0.0020097007209170016,0.09719350039958954,0.0021358406103146313,0.0018721468391571163
community,Community topology,100,cross_n_v3_3,nn,5,6.083820404040404,0.42765171930811857,0.37485325950650406,0.09576,0.004197529035039546,0.0036792964218719886,0.09624744802713395,0.0049492742864767885,0.004338230187590716
community,Community topology,100,single_n_v3_3,nn,5,6.30000494949495,0.35510808921429987,0.31126596412254787,0.09763,0.002895384257745423,0.002537916200350203,0.09836869090795516,0.0031952978569462897,0.0028008020608645905
community,Community topology,110,cross_n_v3_3,nn,5,6.363948123436197,0.5926254801608176,0.5194591366645122,0.09652727272727271,0.004597160460275524,0.0040295888107189145,0.09680098742246628,0.003805538501369899,0.003335701569781862
community,Community topology,110,single_n_v3_3,nn,5,6.590254962468724,0.6890785182969348,0.6040039522287373,0.09827272727272728,0.0032224676135938412,0.0028246174026006427,0.09817135334014893,0.0022322556926089154,0.0019566583849590885
community,Community topology,120,cross_n_v3_3,nn,5,6.353120238095239,0.2413998534736262,0.2115963009932026,0.09803333333333333,0.003624928160207683,0.0031773896256728296,0.09752705246210099,0.0034449654865810007,0.0030196453871892165
community,Community topology,120,single_n_v3_3,nn,5,6.455025910364147,0.34720851751647064,0.3043416842332319,0.09915833333333332,0.0022881412276731915,0.002005644216261255,0.09888836592435837,0.002431211544100311,0.002131050877873885
community,Community topology,130,cross_n_v3_3,nn,5,6.428801967799641,0.21510766982286011,0.18855018590455416,0.09973846153846154,0.0027993025335887154,0.0024536968558391678,0.09906760603189468,0.0030573620280175823,0.0026798959759777806
community,Community topology,130,single_n_v3_3,nn,5,6.581947823494334,0.2593669879260913,0.2273451887198661,0.09976923076923076,0.001995742509864554,0.001749345439716129,0.09939772933721543,0.0020323354456781794,0.001781420562170546
community,Community topology,140,cross_n_v3_3,nn,5,6.744301644398765,0.4678401465799709,0.41007996917966205,0.09858571428571429,0.0027381004140737816,0.0024000508327950043,0.09906537979841232,0.001790613943902754,0.0015695423240100167
community,Community topology,140,single_n_v3_3,nn,5,7.014305755395685,0.6408430581265949,0.5617237072249268,0.09874285714285715,0.0020949100121923307,0.00183626958805073,0.09933861196041108,0.0012473689808030002,0.0010933671189672545
community,Community topology,150,cross_n_v3_3,nn,5,7.051513109619687,0.2824298786539519,0.24756070375852327,0.09892666666666668,0.0010280510147307315,0.0009011264456840169,0.09849025905132294,0.002266782991862314,0.0019869228971374385
community,Community topology,150,single_n_v3_3,nn,5,7.305166085011183,0.29738689320651607,0.2606711050602782,0.09860000000000001,0.0008679477710861012,0.0007607897650906358,0.09857233464717866,0.001625937064722068,0.0014251966751111674
random,Random-geometric topology,50,cross_n_v3_3,nn,5,3.9977579591836743,0.3207212670177188,0.28112458551354036,0.0963,0.00559240556469217,0.004901959608156717,0.09565853327512741,0.005830823176650033,0.005110941859206129
