episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.227753955423832,0.10103125039488077,0.1005156251974404,0.1,0.0005156251974403891,0.005156251458778746,0.005156251458778746,0.1016087755560875,0.0,5.156251458778746e-05,False,0.0001829667016863823,106.07653045654297,0.3204997777938843,-3.8461840290437976e-07,0.0,0.05,1.8899954739026725e-06,0.8,0.0001762651518220082,0.014843497425317764,0.004787089768797159,0.01762065291404724,0.0,9.155273517080786e-08,0.9999995827674866,5.097721576690674,node_conditioned,25,True,True,False,-0.026237525045871735,0.04539341852068901,0.03985478729009628,0.053258370608091354,0.03414994850754738,1.9170997142791748,-10.324615478515625,1.9262348413467407,0.00946238600430871,-0.029521411284804344,0.04430137574672699,0.0,0.0,0.0,0.004787089768797159,0.0,0.0,80,0.2,0.2325,0.1125,718,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1016087755560875,0.039119698107242584,0.05268523097038269,0.19951993227005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016087755560875,0.039119698107242584,0.9807322231152076,mpnn,5,3,16,mean_max,32,38,287200,none,3590.0,0.4692015051841736,0.6229307651519775,0.1736469268798828,1.0774526596069336,0.14753161370754242,0.1016087755560875,0.039119698107242584,0.05268523097038269,0.05676746368408203,0.09383507072925568,0.14246787428856814,0.19951993227005005,0.03911969065666199,0.039119698107242584,0.0391196645796299
1,6.347330203056336,0.09388889108784497,0.09694444554392248,0.1,-0.003055554456077525,-0.0305555415052211,-0.0305555415052211,0.09463278204202652,0.0,0.0,False,1.8427195982440026e-06,109.3954086303711,0.3090387284755707,-8.66193317961006e-07,0.0,0.05,8.50695141707547e-06,0.8,0.0,0.0,0.001184989931061864,0.0013637751108035445,0.00018930740770883858,-2.57703987927016e-07,0.999999463558197,5.026948928833008,node_conditioned,25,True,True,False,-0.2679593563079834,0.049736980348825455,0.035528458654880524,0.04850621894001961,0.03170230984687805,1.9740532636642456,-10.717236518859863,1.9872009754180908,0.013188659840631223,-0.2750365138053894,0.03738129511475563,0.0,0.0,0.0,0.001184989931061864,0.0,0.0,90,0.2,0.17,0.05555555555555555,1016,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09479396045207977,0.026079371571540833,0.05268523097038269,0.16056860983371735,-0.0018872522050514817,0.00014302608906291425,-0.0023373973090201616,-0.0006030535441823304,-0.0018872522050514817,0.00014302608906291425,0.0018872522050514817,0.001950407400727272,0.0,1.0,0.0,0.09463278204202652,0.02603805810213089,0.9899410017403851,mpnn,5,3,16,mean_max,32,38,406400,none,4515.555555555556,0.4826669692993164,0.6592937111854553,0.18816488981246948,1.1357700824737549,0.14817452430725098,0.09463278204202652,0.02603805810213089,0.05258980393409729,0.0643574595451355,0.09515233337879181,0.1311067372560501,0.1604296714067459,0.02603805996477604,0.02603805810213089,0.02603805810213089
2,7.3343570872023705,0.09905000001192094,0.09952500000596047,0.1,-0.00047499999403953497,-0.004749999465395403,-0.004749999465395403,0.10034459829330444,0.0,0.0,False,9.081837561097927e-06,147.5851287841797,0.32149454951286316,-7.691319297009613e-07,0.0,0.05,1.4266847756516654e-05,0.8,6.5618551161605865e-06,0.0028610480949282646,0.0029623915906995535,0.0018413533689454198,0.0003141388588119298,0.0,0.9999995827674866,4.5631422996521,node_conditioned,25,True,True,False,-0.5197287797927856,0.06337456405162811,0.03450058400630951,0.046991098672151566,0.031400829553604126,2.48108172416687,-12.591424942016602,2.509225368499756,0.022306308686067977,-0.5304716229438782,0.03770134970545769,0.0,0.0,0.0,0.0029623915906995535,0.0,0.0,100,0.2,0.1825,0.04,920,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10062573850154877,0.027595899999141693,0.052685171365737915,0.16056859493255615,-0.003122677095234394,0.00022803398314863443,-0.0038317302241921425,-0.0010298598790541291,-0.003122677095234394,0.00022803398314863443,0.003122677095234394,0.003202007384970784,0.0,1.0,0.0,0.10034459829330444,0.02752314694225788,0.9915120132103952,mpnn,5,3,16,mean_max,32,38,368000,none,3680.0,0.4471161365509033,0.6467217803001404,0.1827065348625183,1.1184161901474,0.13582713901996613,0.10034459829330444,0.02752314694225788,0.05253218859434128,0.06646719574928284,0.10153616964817047,0.13741937875747007,0.1603432297706604,0.027523145079612732,0.02752314694225788,0.027523137629032135
3,8.619733325913549,0.09454545402899385,0.09727272701449693,0.1,-0.002727272985503071,-0.027272727127757995,-0.027272727127757995,0.09549836814403534,0.0,0.0,False,1.0808652177729527e-06,204.41949462890625,0.309757798910141,-4.023530379981821e-07,0.0,0.05,1.8953951439470984e-05,0.8,0.0,0.0,0.0005020128446631134,0.0008783789817243814,0.0003909248625859618,8.877840684817784e-08,0.9999997019767761,4.5966901779174805,node_conditioned,25,True,True,False,-0.7776976823806763,0.0813918262720108,0.032064955681562424,0.04586965963244438,0.02735205926001072,2.8865227699279785,-14.962220191955566,2.936157464981079,0.033523655858410994,-0.8036491274833679,0.031500812619924545,0.0,0.0,0.0,0.0005020128446631134,0.0,0.0,110,0.2,0.2125,0.08181818181818182,1004,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.0958356186747551,0.03074680082499981,0.052685171365737915,0.19951993227005005,-0.003919266629964113,0.00030540500301867723,-0.005037762690335512,-0.0013376650167629123,-0.003919266629964113,0.00030540500301867723,0.003919266629964113,0.004028462339192629,0.0,1.0,0.0,0.09549836814403534,0.030648749321699142,0.9838337001361663,mpnn,5,3,16,mean_max,32,38,401600,none,3650.909090909091,0.42460739612579346,0.6332336664199829,0.181196391582489,1.0733985900878906,0.16504153609275818,0.09549836814403534,0.030648749321699142,0.052479177713394165,0.05251315236091614,0.08980835974216461,0.13529087603090517,0.19927896559238434,0.030648745596408844,0.030648749321699142,0.030648741871118546
4,7.56099859867245,0.09814583514351398,0.09907291757175699,0.1,-0.0009270824282430201,-0.009270823355347865,-0.009270823355347865,0.09674504399299622,0.0,0.0,False,1.152226900558162e-06,154.31214904785156,0.3137878179550171,1.762711150377072e-07,0.0,0.05,2.2027285012882203e-05,0.8,0.0,0.0,0.0013079140335321426,0.0017656534910202026,0.0004667119064833969,1.627604149234685e-07,0.9999995231628418,5.0994038581848145,node_conditioned,25,True,True,False,-1.0054351091384888,0.09259968996047974,0.029958274215459824,0.04496607929468155,0.02349396049976349,2.2901785373687744,-13.381354331970215,2.3423898220062256,0.044082666417683214,-1.045904517173767,0.031200220808386803,0.0,0.0,0.0,0.0013079140335321426,0.0,0.0,120,0.2,0.2275,0.08333333333333333,1266,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09713984280824661,0.027426160871982574,0.05268523097038269,0.19951993227005005,-0.004534933250397444,0.0003383611037861556,-0.005588533356785774,-0.0013160525122657418,-0.004534933250397444,0.0003383611037861556,0.0045349327847361565,0.0046724556013941765,0.0,1.0,0.0,0.09674504399299622,0.027327589690685272,0.9838299903393135,mpnn,5,3,16,mean_max,32,38,506400,none,4220.0,0.4638393521308899,0.6717542409896851,0.19211646914482117,1.1274194717407227,0.1539834439754486,0.09674504399299622,0.027327589690685272,0.052448391914367676,0.0676349043846137,0.09162482619285583,0.141488915681839,0.1991969645023346,0.027327585965394974,0.027327589690685272,0.027327578514814377
5,6.445727454051376,0.09662500042235479,0.09857031280989759,0.1,-0.0014296871901024188,-0.014296870471337141,-0.014296870471337141,0.09657075256109238,5.156251458778746e-05,0.0,False,1.316214479629707e-06,110.09015655517578,0.31117627024650574,1.8992228234537833e-08,0.0,0.05,2.2051828636904247e-05,0.8,0.0,0.0,0.0008451401954516768,0.00044303087634034455,0.0004688447224907577,-2.5177001816700795e-07,0.999999463558197,5.348970413208008,node_conditioned,25,True,True,False,-1.1601542234420776,0.10311698913574219,0.04410813748836517,0.05820312723517418,0.029495548456907272,1.8394240140914917,-11.640419960021973,1.891303539276123,0.05410878034886768,-1.215099573135376,0.039682842791080475,-2.797325482362112e-09,1.5129959137993865e-05,4.88585137645714e-05,0.0008451401954516768,4.50102697868715e-06,0.005325712521762655,80,0.2,0.22,0.0625,732,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09697355329990387,0.034470509737730026,0.05268523097038269,0.19951993227005005,-0.004650004208087921,0.000348277622833848,-0.00577706890180707,-0.0014445633860304952,-0.004650004208087921,0.000348277622833848,0.004650004208087921,0.004801936447620392,0.0,1.0,0.0,0.09657075256109238,0.034344349056482315,0.9799971497412027,mpnn,5,3,16,mean_max,32,38,292800,none,3660.0,0.46626386046409607,0.6377519965171814,0.1755363494157791,1.0975213050842285,0.1514439433813095,0.09657075256109238,0.034344349056482315,0.05243951082229614,0.05652040243148804,0.09164215624332428,0.13289786875251913,0.19920441508293152,0.03434434160590172,0.034344349056482315,0.03434433788061142
6,6.85124501068145,0.0966944468813017,0.0968194462126121,0.1,-0.0031805537873879075,-0.03180553469332561,-0.03180553469332561,0.09778774529695511,0.0,0.0,False,1.2955084685017937e-06,125.31060791015625,0.31569334864616394,-7.472849716805285e-08,0.0,0.05,2.3333128410740755e-05,0.8,0.0,0.0,0.0009435643441975117,0.0005400748923420906,0.00048222322948276997,-2.0345052575976297e-07,0.9999995827674866,4.8163275718688965,node_conditioned,25,True,True,False,-1.3745548725128174,0.12130267173051834,0.04779486730694771,0.06494621932506561,0.03086235374212265,2.200249671936035,-12.498178482055664,2.259110689163208,0.05143098116020284,-1.3615683317184448,0.05629687383770943,0.0,0.0,0.0,0.0009435643441975117,0.0,0.0,90,0.2,0.21,0.08888888888888889,842,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09820559620857239,0.02910381183028221,0.05268523097038269,0.19951993227005005,-0.00475508626550436,0.0003754392091650516,-0.005991137120872736,-0.0015227028634399176,-0.00475508626550436,0.0003754392091650516,0.004755085799843073,0.004893788136541843,0.0,1.0,0.0,0.09778774529695511,0.028994357213377953,0.9834335446552772,mpnn,5,3,16,mean_max,32,38,336800,none,3742.222222222222,0.453182190656662,0.6636704802513123,0.18766504526138306,1.1161984205245972,0.15294162929058075,0.09778774529695511,0.028994357213377953,0.052433401346206665,0.06952470541000366,0.09317366778850555,0.13250031173232396,0.19915691018104553,0.028994353488087654,0.028994357213377953,0.02899434231221676
7,6.359776267111301,0.09909999978262932,0.09931249989429489,0.1,-0.0006875001057051189,-0.006875000369551152,-0.006875000369551152,0.09649811685085297,0.0,0.0,False,1.6152496300492203e-06,105.74161529541016,0.31104016304016113,3.193047746208322e-07,0.0,0.05,2.4614562789793126e-05,0.8,0.0,0.0,0.0013670953921973705,0.0008867276483215392,0.00048674753634259105,-5.615234499600774e-07,0.9999994039535522,5.432093620300293,node_conditioned,25,True,True,False,-1.5580689907073975,0.12932588160037994,0.05625578388571739,0.0738837942481041,0.034994110465049744,1.7684208154678345,-11.830815315246582,1.8350508213043213,0.0713008225641506,-1.5909287929534912,0.04909605532884598,0.0,0.0,0.0,0.0013670953921973705,0.0,0.0,100,0.2,0.2275,0.08,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09691683202981949,0.03426418825984001,0.052685171365737915,0.19951993227005005,-0.004832268226891756,0.00036472620558924973,-0.00585878686979413,-0.0012054299004375935,-0.004832268226891756,0.00036472620558924973,0.004832267761230469,0.005021670367568731,0.0,1.0,0.0,0.09649811685085297,0.03413100913167,0.9827737514368171,mpnn,5,3,16,mean_max,32,38,428000,none,4280.0,0.4705483615398407,0.6439551711082458,0.17701861262321472,1.1169452667236328,0.1453273743391037,0.09649811685085297,0.03413100913167,0.052424490451812744,0.05652021467685699,0.08853216469287872,0.14560618996620178,0.1991707980632782,0.0341310016810894,0.03413100913167,0.0341310016810894
8,6.9578519683331255,0.09881818152964116,0.09804545427206904,0.1,-0.0019545457279309675,-0.019545455324764142,-0.019545455324764142,0.09850740432739258,0.0,0.0,False,1.2488006859712186e-06,127.72459411621094,0.3173427879810333,8.251780769796824e-08,0.0,0.05,2.741741991485469e-05,0.8,0.0,0.0,0.001693445141427219,0.0011879508383572102,0.0005079885595478117,-2.6633523475538823e-07,0.9999995231628418,5.008933067321777,node_conditioned,25,True,True,False,-1.7843705415725708,0.149887815117836,0.05792304128408432,0.07332645356655121,0.037033408880233765,2.1298775672912598,-13.032671928405762,2.2100131511688232,0.07120576226673314,-1.821574091911316,0.06191454827785492,0.0,0.0,0.0,0.001693445141427219,0.0,0.0,110,0.2,0.2075,0.03636363636363636,1104,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09895108640193939,0.028479430824518204,0.05268523097038269,0.19951993227005005,-0.005015071947127581,0.0003746981674339622,-0.006026713643223047,-0.001497198361903429,-0.005015071947127581,0.0003746981674339622,0.005015071481466293,0.005169541109353304,0.0,1.0,0.0,0.09850740432739258,0.028363198041915894,0.9860743257585088,mpnn,5,3,16,mean_max,32,38,441600,none,4014.5454545454545,0.4749797582626343,0.6570738554000854,0.1854335218667984,1.1257569789886475,0.14142581820487976,0.09850740432739258,0.028363198041915894,0.052421241998672485,0.06633785367012024,0.1003129780292511,0.12860807776449845,0.19913628697395325,0.028363192453980446,0.028363198041915894,0.0283631831407547
9,7.643534161895514,0.09564583530649542,0.0973593764391262,0.1,-0.0026406235608738005,-0.026406232968114708,-0.026406232968114708,0.09657226502895355,0.0,0.0,False,1.7696818304102635e-06,153.32449340820312,0.3102365732192993,-1.726454001982347e-07,0.0,0.05,2.888321796490345e-05,0.8,0.0,0.0,0.00044385649380274117,0.0008637526771053672,0.0005196692654863,-2.746581913015689e-07,0.9999995827674866,5.316434860229492,node_conditioned,25,True,True,False,-2.0222463607788086,0.1723092794418335,0.06408622115850449,0.08435121178627014,0.04099154472351074,2.180824041366577,-14.380188941955566,2.278319835662842,0.08375445815515914,-2.140230417251587,0.07248488813638687,0.0,0.0,0.0,0.00044385649380274117,0.0,0.0,120,0.2,0.225,0.075,1112,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09702412039041519,0.03694553300738335,0.05268523097038269,0.19951993227005005,-0.005213437136262655,0.00041541882092133164,-0.006505192257463932,-0.0016742483712732792,-0.005213437136262655,0.00041541882092133164,0.0052134376019239426,0.005407408811151981,0.0,1.0,0.0,0.09657226502895355,0.03678976744413376,0.9790442491849284,mpnn,5,3,16,mean_max,32,38,444800,none,3706.6666666666665,0.4414485692977905,0.6194592118263245,0.17103712260723114,1.0683369636535645,0.15868160128593445,0.09657226502895355,0.03678976744413376,0.052405983209609985,0.05245083570480347,0.09157809615135193,0.13650727570056917,0.1991211175918579,0.03678975999355316,0.03678976744413376,0.03678974509239197
