episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,probability_budget_coefficient,probability_budget_loss,probability_budget_excess,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.227753955423832,0.10103125039488077,0.1005156251974404,0.1,0.0005156251974403891,0.005156251458778746,0.005156251458778746,0.1016087755560875,0.0,5.156251458778746e-05,False,0.00022698426619172096,106.07653045654297,0.3204995095729828,-3.8477719499496743e-07,0.0,0.05,1.8944022031064378e-06,1.0,0.0002202901232521981,0.014842105098068714,0.004787089768797159,0.02320704236626625,0.0,9.155273517080786e-08,0.9999995827674866,5.097721576690674,node_conditioned,25,True,True,False,-0.026237525045871735,0.04539341852068901,0.03985478729009628,0.053258370608091354,0.03414994850754738,1.9170997142791748,-10.324615478515625,1.9262348413467407,0.00946238600430871,-0.029521411284804344,0.04430137574672699,0.0,0.0,0.0,0.004787089768797159,0.0,0.0,80,0.2,0.2325,0.1125,718,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1016087755560875,0.039119698107242584,0.05268523097038269,0.19951993227005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016087755560875,0.039119698107242584,0.9807322231152076,mpnn,5,3,16,mean_max,32,38,287200,none,3590.0,0.4692015051841736,0.6230952739715576,0.17371700704097748,1.0777338743209839,0.14757634699344635,0.1016087755560875,0.039119698107242584,0.05268523097038269,0.05676746368408203,0.09383507072925568,0.14246787428856814,0.19951993227005005,0.03911969065666199,0.039119698107242584,0.0391196645796299
1,6.347330203056336,0.09388889108784497,0.09694444554392248,0.1,-0.003055554456077525,-0.0305555415052211,-0.0305555415052211,0.09463252127170563,0.0,0.0,False,1.95796019397676e-06,109.3954086303711,0.3090343475341797,-8.835833114062552e-07,0.0,0.05,8.641625754535198e-06,1.0,0.0,0.0,0.0011859379010275006,0.001365185366012156,0.00018979348533321172,-2.57703987927016e-07,0.999999463558197,5.026948928833008,node_conditioned,25,True,True,False,-0.2679593563079834,0.049736980348825455,0.035528458654880524,0.04850621894001961,0.03170230984687805,1.9740532636642456,-10.717236518859863,1.9872009754180908,0.013188659840631223,-0.2750365138053894,0.03738129511475563,0.0,0.0,0.0,0.0011859379010275006,0.0,0.0,90,0.2,0.17,0.05555555555555555,1016,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09479396045207977,0.026079371571540833,0.05268523097038269,0.16056860983371735,-0.0018903599120676517,0.00014291003753896803,-0.0023405663669109344,-0.0006037207203917205,-0.0018903599120676517,0.00014291003753896803,0.0018903599120676517,0.001953436993062496,0.0,1.0,0.0,0.09463252127170563,0.02603801339864731,0.9899410017403851,mpnn,5,3,16,mean_max,32,38,406400,none,4515.555555555556,0.4826669692993164,0.6598207354545593,0.18835848569869995,1.1366673707962036,0.14828315377235413,0.09463252127170563,0.02603801339864731,0.05258837342262268,0.06435727775096893,0.09515213966369629,0.131106436252594,0.16042952239513397,0.02603801339864731,0.02603801339864731,0.02603801339864731
2,7.3343570872023705,0.09905000001192094,0.09952500000596047,0.1,-0.00047499999403953497,-0.004749999465395403,-0.004749999465395403,0.10034158080816269,0.0,0.0,False,1.0451354683027603e-05,147.5851287841797,0.3214784264564514,-8.226652425946668e-07,0.0,0.05,1.4904275303706527e-05,1.0,7.777430255373474e-06,0.002785738790407777,0.0029696552082896233,0.002999333431944251,0.00031826732447370887,0.0,0.9999995827674866,4.5631422996521,node_conditioned,25,True,True,False,-0.5197287797927856,0.06337456405162811,0.03450058400630951,0.046991098672151566,0.031400829553604126,2.48108172416687,-12.591424942016602,2.509225368499756,0.022306308686067977,-0.5304716229438782,0.03770134970545769,0.0,0.0,0.0,0.0029696552082896233,0.0,0.0,100,0.2,0.1825,0.04,920,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10062573850154877,0.027595899999141693,0.052685171365737915,0.16056859493255615,-0.0031561225187033415,0.0002304538938915357,-0.003877847921103239,-0.0010433202842250466,-0.0031561225187033415,0.0002304538938915357,0.0031561225187033415,0.003235970623791218,0.0,1.0,0.0,0.10034158080816269,0.027522342279553413,0.9915120132103952,mpnn,5,3,16,mean_max,32,38,368000,none,3680.0,0.4471161365509033,0.6479620337486267,0.18314801156520844,1.120570421218872,0.13601841032505035,0.10034158080816269,0.027522342279553413,0.052529532462358475,0.06646543443202972,0.10153339803218842,0.13741667270659727,0.16034013032913208,0.027522340416908264,0.027522342279553413,0.027522331103682518
3,8.619733325913549,0.09454545402899385,0.09727272701449693,0.1,-0.002727272985503071,-0.027272727127757995,-0.027272727127757995,0.09548933804035187,0.0,0.0,False,1.2339303339103935e-06,204.41949462890625,0.30972573161125183,-4.546974139429949e-07,0.0,0.05,2.046163172053639e-05,1.0,0.0,0.0,0.0005035396316088736,0.0008922606357373297,0.00040352411451749504,8.877840684817784e-08,0.9999997019767761,4.5966901779174805,node_conditioned,25,True,True,False,-0.7776976823806763,0.0813918262720108,0.032064955681562424,0.04586965963244438,0.02735205926001072,2.8865227699279785,-14.962220191955566,2.936157464981079,0.033523655858410994,-0.8036491274833679,0.031500812619924545,0.0,0.0,0.0,0.0005035396316088736,0.0,0.0,110,0.2,0.2125,0.08181818181818182,1004,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.0958356186747551,0.03074680082499981,0.052685171365737915,0.19951993227005005,-0.004023709334433079,0.00031341376597993076,-0.005178874358534813,-0.0013770563527941704,-0.004023709334433079,0.00031341376597993076,0.004023709334433079,0.004134974908083677,0.0,1.0,0.0,0.09548933804035187,0.03064589388668537,0.9838337001361663,mpnn,5,3,16,mean_max,32,38,401600,none,3650.909090909091,0.42460739612579346,0.6353123784065247,0.18191556632518768,1.0769068002700806,0.1655338555574417,0.09548933804035187,0.03064589388668537,0.052474528551101685,0.05250862240791321,0.08980067074298859,0.13528294265268556,0.19927120208740234,0.030645890161395073,0.03064589388668537,0.030645884573459625
4,7.5605341425910595,0.09810416846070438,0.0990520842303522,0.1,-0.0009479157696478113,-0.009479156748562438,-0.009479156748562438,0.09672791510820389,0.0,0.0,False,1.394380319652555e-06,154.29151916503906,0.31373631954193115,2.8343856683932245e-07,0.0,0.05,2.4632397980894893e-05,1.0,0.0,0.0,0.001345250871963799,0.001827545347623527,0.0004912408767268062,1.4241535950532125e-07,0.9999996423721313,5.099869251251221,node_conditioned,25,True,True,False,-1.0054259300231934,0.09259476512670517,0.029950501397252083,0.04496607929468155,0.02349061705172062,2.2898166179656982,-13.38056468963623,2.3420231342315674,0.04408551660275417,-1.045904517173767,0.031200220808386803,0.0,0.0,0.0,0.001345250871963799,0.0,0.0,120,0.2,0.2275,0.08333333333333333,1266,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09713984280824661,0.027426160871982574,0.05268523097038269,0.19951993227005005,-0.004731081426143646,0.0003517166478559375,-0.005834831390529871,-0.001377186505123973,-0.004731081426143646,0.0003517166478559375,0.0047310818918049335,0.004872085060924292,0.0,1.0,0.0,0.09672791510820389,0.027322938665747643,0.9838299903393135,mpnn,5,3,16,mean_max,32,38,506400,none,4220.0,0.46386128664016724,0.6747567057609558,0.19309285283088684,1.1323891878128052,0.15452483296394348,0.09672791510820389,0.027322938665747643,0.052440524101257324,0.06762150228023595,0.09160855412483215,0.1414636135101318,0.1991807520389557,0.027322933077812195,0.027322938665747643,0.027322927489876747
5,6.445726662501693,0.09659375045215711,0.09855468782479876,0.1,-0.0014453121752012466,-0.014453120306700434,-0.014453120306700434,0.09654553979635239,5.156251458778746e-05,0.0,False,1.2407340364006814e-06,110.09015655517578,0.3111110329627991,2.6146649290126334e-08,0.0,0.05,2.5425031708437018e-05,1.0,0.0,0.0,0.000854114827234298,0.00042513638618402183,0.000504287367220968,-6.866454782539222e-08,0.999999463558197,5.348970413208008,node_conditioned,25,True,True,False,-1.160153865814209,0.10311582684516907,0.04410660266876221,0.0581943653523922,0.029494618996977806,1.8394242525100708,-11.64041805267334,1.891303539276123,0.054108513738154396,-1.2150977849960327,0.03968320041894913,-2.4860820069250167e-09,1.5127718143048696e-05,4.885921225650236e-05,0.000854114827234298,4.556539352051914e-06,0.005334746405635148,80,0.2,0.22,0.0625,732,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09697355329990387,0.034470509737730026,0.05268523097038269,0.19951993227005005,-0.004939688835293055,0.00036695427843369544,-0.006143916863948107,-0.0015379682881757617,-0.004939688835293055,0.00036695427843369544,0.004939688369631767,0.00509681785479188,0.0,1.0,0.0,0.09654553979635239,0.034335825592279434,0.9799971497412027,mpnn,5,3,16,mean_max,32,38,292800,none,3660.0,0.4662652015686035,0.6408836841583252,0.1766330748796463,1.10298490524292,0.1521129459142685,0.09654553979635239,0.034335825592279434,0.052426159381866455,0.056505528092384336,0.09161868691444397,0.1328787684441008,0.19918224215507507,0.034335821866989136,0.034335825592279434,0.034335821866989136
6,6.855788696594536,0.09666666910517961,0.09680555732455104,0.1,-0.0031944426754489663,-0.03194442356004731,-0.03194442356004731,0.09775564074516296,0.0,0.0,False,1.5270931044142344e-06,125.50235748291016,0.3156180679798126,-1.0228001912082618e-07,0.0,0.05,2.728665276663378e-05,1.0,0.0,0.0,0.0009548880625516176,0.0005212468677200377,0.0005270706606097519,-2.4414063659605745e-07,0.9999995827674866,4.806180953979492,node_conditioned,25,True,True,False,-1.3746674060821533,0.12137915194034576,0.04782227426767349,0.06494635343551636,0.030878525227308273,2.20646071434021,-12.505819320678711,2.2652316093444824,0.051216322319993624,-1.3615659475326538,0.05629713088274002,0.0,0.0,0.0,0.0009548880625516176,0.0,0.0,90,0.2,0.21,0.08888888888888889,842,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09820559620857239,0.02910381183028221,0.05268523097038269,0.19951993227005005,-0.005119445268064737,0.0003964527859352529,-0.006460047326982021,-0.0016406693030148745,-0.005119445268064737,0.0003964527859352529,0.005119445268064737,0.005258261691778898,0.0,1.0,0.0,0.09775564074516296,0.028985241428017616,0.9834335446552772,mpnn,5,3,16,mean_max,32,38,336800,none,3742.222222222222,0.4528336524963379,0.6670509576797485,0.188784658908844,1.1219112873077393,0.15352025628089905,0.09775564074516296,0.028985241428017616,0.05241706967353821,0.06950202584266663,0.0931510478258133,0.1324745535850842,0.19912704825401306,0.02898523584008217,0.028985241428017616,0.02898523025214672
7,6.3623302987217905,0.09904999977443367,0.09928749989019707,0.1,-0.0007125001098029354,-0.007125000385529315,-0.007125000385529315,0.09646349400281906,0.0,0.0,False,1.425508003194409e-06,105.8343276977539,0.3109644651412964,3.271833861617779e-07,0.0,0.05,2.8754298909916542e-05,1.0,0.0,0.0,0.0013711111387237906,0.0008426067070104182,0.000535491039045155,-2.0751953400122147e-07,0.999999463558197,5.428705215454102,node_conditioned,25,True,True,False,-1.5581849813461304,0.1293727308511734,0.05627186596393585,0.07388541847467422,0.034997548907995224,1.7703121900558472,-11.835206031799316,1.8369969129562378,0.07128420731987717,-1.5909473896026611,0.049097634851932526,0.0,0.0,0.0,0.0013711111387237906,0.0,0.0,100,0.2,0.2275,0.08,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09691683202981949,0.03426418825984001,0.052685171365737915,0.19951993227005005,-0.005229680798947811,0.00038609938928857446,-0.006361582316458225,-0.0013073188019916415,-0.005229680798947811,0.00038609938928857446,0.005229680333286524,0.005426615010946989,0.0,1.0,0.0,0.09646349400281906,0.03411906585097313,0.9827737514368171,mpnn,5,3,16,mean_max,32,38,428000,none,4280.0,0.47030529379844666,0.6470679640769958,0.17819124460220337,1.1225541830062866,0.14603546261787415,0.09646349400281906,0.03411906585097313,0.05240678787231445,0.056500339508056635,0.08849981427192688,0.145550674200058,0.1991402804851532,0.03411905840039253,0.03411906585097313,0.034119054675102234
8,6.957947882935405,0.09879545425996185,0.0980340906372294,0.1,-0.001965909362770607,-0.019659091661796906,-0.019659091661796906,0.09847205877304077,0.0,0.0,False,1.7421480151824653e-06,127.72699737548828,0.31727027893066406,7.348972985710134e-08,0.0,0.05,3.151376949972473e-05,1.0,0.0,0.0,0.0017713189590722322,0.0012167677050456405,0.0005573238013312221,-5.104758429297362e-07,0.9999995231628418,5.0092973709106445,node_conditioned,25,True,True,False,-1.784427523612976,0.14989499747753143,0.05792561173439026,0.07332896441221237,0.03703545406460762,2.129753589630127,-13.032883644104004,2.2098910808563232,0.0712111915384005,-1.8216416835784912,0.06191044673323631,0.0,0.0,0.0,0.0017713189590722322,0.0,0.0,110,0.2,0.2075,0.03636363636363636,1104,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09895108640193939,0.028479430824518204,0.05268523097038269,0.19951993227005005,-0.005413117352873087,0.00039636375731788576,-0.006519315764307976,-0.00161300553008914,-0.005413117352873087,0.00039636375731788576,0.005413117352873087,0.005566329229623079,0.0,1.0,0.0,0.09847205877304077,0.02835315465927124,0.9860743257585088,mpnn,5,3,16,mean_max,32,38,441600,none,4014.5454545454545,0.47498825192451477,0.6600590348243713,0.18654651939868927,1.131068229675293,0.1420082300901413,0.09847205877304077,0.02835315465927124,0.05240267515182495,0.06631547212600708,0.1002824455499649,0.12858332395552327,0.1991041600704193,0.028353145346045494,0.02835315465927124,0.028353136032819748
9,7.642794645875693,0.09560416864231229,0.09732812643633224,0.1,-0.0026718735636677704,-0.02671873296480441,-0.02671873296480441,0.09654082357883453,0.0,0.0,False,1.4510054597849376e-06,153.28855895996094,0.3101722300052643,-1.5547165332918667e-07,0.0,0.05,3.2682219170965254e-05,1.0,0.0,0.0,0.00046613794984295964,0.000936105556320399,0.0005641564493998885,2.237955669670555e-07,0.9999996423721313,5.318668365478516,node_conditioned,25,True,True,False,-2.022329568862915,0.1723172664642334,0.06408653408288956,0.08435571938753128,0.04099791496992111,2.1796717643737793,-14.379016876220703,2.2771921157836914,0.08381554970384641,-2.140316963195801,0.07248978316783905,0.0,0.0,0.0,0.00046613794984295964,0.0,0.0,120,0.2,0.225,0.075,1112,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09702412039041519,0.03694553300738335,0.05268523097038269,0.19951993227005005,-0.00557369738817215,0.00043487490620464087,-0.0069670891389250755,-0.001784026506356895,-0.00557369738817215,0.00043487490620464087,0.005573696922510862,0.005772721953690052,0.0,1.0,0.0,0.09654082357883453,0.03677784278988838,0.9790442491849284,mpnn,5,3,16,mean_max,32,38,444800,none,3706.6666666666665,0.4413241147994995,0.6218771934509277,0.1720142513513565,1.0728249549865723,0.15947815775871277,0.09654082357883453,0.03677784278988838,0.05239003896713257,0.05243411064147949,0.0915483832359314,0.1364629864692688,0.19909393787384033,0.036777835339307785,0.03677784278988838,0.03677783161401749
