source,version,generation_slot,completion_slot,delay,completed
38,1,0,55,55,True
46,1,0,55,55,True
5,1,1,52,51,True
0,1,2,50,48,True
22,1,2,50,48,True
25,1,2,55,53,True
29,1,2,55,53,True
37,1,2,83,81,True
36,1,3,83,80,True
41,1,3,33,30,True
14,1,4,85,81,True
15,1,4,50,46,True
16,1,4,50,46,True
17,1,4,50,46,True
24,1,4,50,46,True
47,1,4,55,51,True
0,2,5,50,45,True
20,1,5,50,45,True
22,2,5,50,45,True
41,2,5,33,28,True
11,1,6,85,79,True
19,1,6,50,44,True
0,3,7,50,43,True
19,2,7,50,43,True
23,1,7,85,78,True
33,1,7,52,45,True
17,2,8,50,42,True
22,3,8,50,42,True
28,1,8,55,47,True
48,1,8,55,47,True
17,3,9,85,76,True
22,4,9,50,41,True
30,1,9,83,74,True
49,1,9,55,46,True
40,1,11,55,44,True
3,1,12,50,38,True
6,1,12,85,73,True
10,1,12,85,73,True
21,1,12,50,38,True
8,1,14,55,41,True
38,2,14,83,69,True
49,2,15,83,68,True
6,2,16,85,69,True
40,2,16,55,39,True
42,1,16,55,39,True
49,3,16,83,67,True
18,1,17,85,68,True
19,3,17,50,33,True
35,1,17,83,66,True
21,2,18,50,32,True
25,2,18,83,65,True
18,2,19,85,66,True
38,3,20,83,63,True
49,4,20,83,63,True
26,1,21,55,34,True
27,1,21,83,62,True
5,2,22,52,30,True
19,4,22,85,63,True
40,3,22,55,33,True
48,2,22,55,33,True
8,2,23,55,32,True
28,2,24,83,59,True
31,1,24,83,59,True
28,3,25,83,58,True
48,3,25,83,58,True
4,1,26,85,59,True
17,4,26,85,59,True
24,2,26,85,59,True
26,2,26,55,29,True
38,4,26,83,57,True
1,1,27,85,58,True
7,1,27,85,58,True
9,1,27,85,58,True
16,2,27,85,58,True
22,5,27,85,58,True
24,3,27,85,58,True
46,2,27,102,75,True
3,2,28,85,57,True
13,1,28,85,57,True
42,2,28,83,55,True
3,3,29,85,56,True
14,2,29,85,56,True
25,3,29,83,54,True
36,2,29,83,54,True
11,2,31,85,54,True
42,3,31,83,52,True
46,3,31,102,71,True
15,2,32,85,53,True
24,4,32,85,53,True
5,3,33,60,27,True
32,1,33,83,50,True
33,2,33,83,50,True
46,4,33,102,69,True
1,2,34,85,51,True
12,1,34,85,51,True
24,5,34,85,51,True
34,1,34,83,49,True
43,1,34,83,49,True
44,1,34,83,49,True
20,2,35,85,50,True
29,2,35,83,48,True
38,5,35,102,67,True
19,5,36,85,49,True
23,2,37,85,48,True
37,2,37,83,46,True
39,1,37,83,46,True
29,3,38,83,45,True
28,4,39,102,63,True
30,2,39,102,63,True
4,2,40,85,45,True
17,5,40,85,45,True
49,5,40,102,62,True
15,3,41,85,44,True
28,5,41,102,61,True
40,4,41,102,61,True
3,4,42,85,43,True
13,2,42,85,43,True
8,3,43,85,42,True
10,2,43,85,42,True
27,2,43,83,40,True
38,6,43,102,59,True
13,3,44,85,41,True
23,3,44,85,41,True
33,3,44,83,39,True
3,5,45,85,40,True
39,2,45,83,38,True
47,2,45,83,38,True
49,6,45,102,57,True
6,3,46,85,39,True
13,4,46,94,48,True
4,3,47,85,38,True
20,3,47,85,38,True
10,3,49,85,36,True
13,5,49,94,45,True
36,3,49,130,81,True
22,6,50,85,35,True
31,2,50,102,52,True
46,5,50,102,52,True
7,2,52,85,33,True
23,4,52,94,42,True
35,2,53,130,77,True
38,7,53,102,49,True
1,3,54,85,31,True
8,4,55,85,30,True
24,6,55,85,30,True
26,3,55,85,30,True
8,5,56,85,29,True
17,6,56,94,38,True
34,2,56,102,46,True
36,4,56,130,74,True
2,1,57,85,28,True
4,4,57,94,37,True
15,4,57,94,37,True
16,3,57,85,28,True
3,6,58,94,36,True
25,4,58,149,91,True
1,4,59,85,26,True
18,3,59,94,35,True
48,4,59,102,43,True
8,6,62,85,23,True
16,4,62,94,32,True
22,7,62,94,32,True
46,6,62,102,40,True
20,4,63,85,22,True
29,4,63,102,39,True
30,3,63,102,39,True
33,4,63,102,39,True
14,3,64,94,30,True
28,6,64,102,38,True
1,5,65,94,29,True
46,7,65,102,37,True
9,2,66,94,28,True
7,3,67,94,27,True
16,5,68,94,26,True
26,4,68,102,34,True
42,4,68,102,34,True
46,8,68,102,34,True
44,2,69,102,33,True
19,6,70,141,71,True
37,3,70,130,60,True
1,6,71,94,23,True
2,2,71,111,40,True
18,4,71,94,23,True
33,5,71,102,31,True
14,4,72,141,69,True
8,7,73,94,21,True
48,5,73,130,57,True
28,7,74,130,56,True
38,8,74,102,28,True
2,3,75,111,36,True
16,6,75,141,66,True
22,8,75,141,66,True
29,5,75,130,55,True
39,3,75,102,27,True
22,9,76,141,65,True
43,2,76,130,54,True
4,5,77,141,64,True
7,4,77,94,17,True
14,5,77,141,64,True
22,10,77,141,64,True
24,7,77,141,64,True
39,4,77,102,25,True
21,3,78,141,63,True
28,8,78,130,52,True
34,3,78,130,52,True
12,2,79,141,62,True
42,5,79,130,51,True
0,4,80,141,61,True
2,4,80,111,31,True
5,4,80,102,22,True
29,6,80,130,50,True
36,5,80,130,50,True
43,3,80,130,50,True
2,5,81,111,30,True
15,5,81,141,60,True
22,11,81,141,60,True
33,6,81,130,49,True
39,5,81,130,49,True
25,5,82,149,67,True
37,4,82,130,48,True
30,4,83,149,66,True
36,6,83,130,47,True
20,5,84,141,57,True
5,5,85,141,56,True
32,2,85,130,45,True
37,5,85,130,45,True
2,6,86,111,25,True
6,4,86,141,55,True
13,6,86,141,55,True
49,7,86,130,44,True
20,6,87,141,54,True
29,7,87,130,43,True
21,4,88,141,53,True
49,8,88,130,42,True
18,5,89,141,52,True
36,7,89,149,60,True
8,8,90,141,51,True
32,3,92,130,38,True
3,7,93,141,48,True
27,3,93,149,56,True
37,6,94,149,55,True
49,9,94,189,95,True
27,4,95,149,54,True
30,5,96,149,53,True
39,6,96,149,53,True
44,3,96,130,34,True
1,7,97,141,44,True
21,5,97,141,44,True
39,7,97,149,52,True
23,5,98,168,70,True
41,3,98,141,43,True
47,3,98,130,32,True
2,7,99,141,42,True
36,8,99,149,50,True
37,7,99,149,50,True
20,7,100,141,41,True
21,6,100,141,41,True
22,12,100,141,41,True
35,3,101,149,48,True
45,1,101,149,48,True
2,8,102,141,39,True
2,9,103,141,38,True
45,2,103,149,46,True
46,9,103,189,86,True
49,10,103,189,86,True
16,7,104,168,64,True
18,6,104,141,37,True
33,7,104,141,37,True
35,4,104,149,45,True
48,6,104,149,45,True
1,8,105,141,36,True
34,4,105,149,44,True
38,9,105,149,44,True
3,8,106,141,35,True
8,9,106,141,35,True
17,7,108,141,33,True
45,3,108,149,41,True
39,8,110,149,39,True
43,4,110,196,86,True
2,10,111,141,30,True
6,5,111,141,30,True
7,5,111,141,30,True
10,4,111,141,30,True
47,4,112,149,37,True
3,9,113,141,28,True
32,4,114,149,35,True
10,5,115,141,26,True
13,7,115,168,53,True
18,7,115,141,26,True
20,8,115,149,34,True
29,8,115,189,74,True
35,5,115,149,34,True
20,9,116,149,33,True
28,9,116,189,73,True
3,10,117,141,24,True
5,6,117,149,32,True
46,10,118,189,71,True
49,11,118,189,71,True
4,6,119,152,33,True
15,6,119,141,22,True
42,6,119,189,70,True
12,3,120,168,48,True
32,5,120,189,69,True
37,8,120,189,69,True
27,5,121,189,68,True
28,10,121,189,68,True
37,9,121,189,68,True
42,7,121,189,68,True
16,8,122,168,46,True
26,5,122,149,27,True
45,4,122,196,74,True
3,11,123,184,61,True
20,10,123,149,26,True
27,6,123,189,66,True
29,9,123,189,66,True
6,6,124,168,44,True
24,8,124,141,17,True
37,10,124,189,65,True
41,4,124,168,44,True
23,6,125,168,43,True
32,6,125,189,64,True
12,4,126,168,42,True
9,3,127,168,41,True
30,6,127,189,62,True
24,9,128,152,24,True
16,9,129,168,39,True
21,7,130,181,51,True
2,11,131,152,21,True
7,6,131,184,53,True
13,8,131,181,50,True
48,7,131,189,58,True
49,12,131,189,58,True
0,5,132,184,52,True
10,6,132,168,36,True
15,7,132,168,36,True
24,10,132,168,36,True
25,6,132,189,57,True
48,8,132,189,57,True
6,7,133,168,35,True
12,5,133,168,35,True
39,9,133,158,25,True
40,5,133,189,56,True
42,8,133,189,56,True
0,6,134,184,50,True
45,5,134,196,62,True
8,10,136,168,32,True
46,11,136,196,60,True
4,7,137,184,47,True
5,7,137,181,44,True
16,10,137,168,31,True
17,8,137,184,47,True
18,8,137,184,47,True
29,10,137,189,52,True
4,8,138,184,46,True
20,11,138,168,30,True
30,7,140,196,56,True
26,6,142,189,47,True
26,7,143,189,46,True
40,6,143,189,46,True
4,9,144,184,40,True
23,7,145,219,74,True
27,7,145,196,51,True
28,11,145,196,51,True
35,6,146,196,50,True
8,11,147,189,42,True
13,9,147,198,51,True
38,10,147,196,49,True
17,9,148,184,36,True
29,11,148,196,48,True
6,8,149,181,32,True
8,12,149,189,40,True
13,10,149,198,49,True
